well_id,pad_id
000d7d20,5967_2138
00bbac68,6021_2169
00e12e8b,5942_2120
015fe0d2,5997_2155
01869cd4,5943_2137
01982c1d,5992_2243
028d7b28,6011_2145
02e7fe5a,5971_2117
0390d174,5999_2256
03a935ae,6072_2175
044af7d1,6020_2222
0498acab,5981_2191
052d64df,5962_2195
05948241,5918_2174
059c8f24,5826_2133
05a0ee4d,5989_2201
060ab2b8,5802_2051
06df5958,5807_2054
071d7b45,5894_2155
0849b4e2,6042_2238
084d66f9,5859_2113
08fecf00,6043_2238
09053135,5979_2178
09441b8d,5816_2076
0955cd6c,6053_2243
09ec2ca9,6009_2245
0a57a29c,5807_2061
0bbf5e67,5795_2072
0be01c24,6014_2233
0c1b160c,5941_2189
0d99f8e4,5787_2073
0dc5e64d,6022_2248
0dc835f3,5989_2243
0dd99dc5,6017_2148
0e5e560d,6020_2256
109d9d70,6044_2209
10a1281a,5808_2053
10b89021,5969_2111
10be2420,5909_2167
113011eb,6004_2145
1131525f,5803_2052
11d0f5ac,5783_2057
12203f2a,6029_2228
122bd617,5918_2172
125be846,5967_2207
1285a37b,6032_2160
1295a25b,5943_2134
12f0cd90,5997_2231
137d1e44,6037_2163
13ce113d,5794_2080
13f598d9,6017_2148
14a53cb3,5828_2074
14ab73fb,5804_2035
14ad5efb,5994_2230
14fee784,5984_2243
153552f5,6007_2180
1550491d,6011_2221
155887bb,6020_2168
1590af81,5982_2180
15e154a1,5916_2162
1619e2ca,5989_2193
16e4a047,6025_2200
173ed841,6047_2164
1770d7c6,6021_2149
177622d7,6017_2174
18d24f7b,5814_2074
19137a89,6007_2272
1944513c,6010_2220
197f8a5a,5765_2039
19871e7f,6003_2143
198a5607,5944_2190
19fb4f7b,6033_2160
1a518997,5815_2078
1a68190b,5896_2030
1a730ac2,5978_2190
1aaf1da0,6013_2210
1b08ed48,5974_2130
1b1c5372,5997_2255
1b1eba53,6066_2196
1b6ba517,5852_2034
1b82b665,5999_2254
1bcb2fcf,6029_2188
1beca81d,5952_2182
1d3fbf02,5930_2130
1d78281a,5896_2030
1e30dedf,5995_2255
1e5e3573,6053_2243
1f9afacb,6016_2196
1fdbba44,5899_2030
1fee2b62,5995_2140
20096916,6003_2191
200d233d,6017_2210
201661b5,6053_2214
203721ab,5798_2050
20402d71,5770_2042
2043abc5,5970_2208
204cc64b,6047_2164
206b6193,5963_2185
2075c696,5800_2081
22c5f93f,6002_2191
230eaaa3,5961_2201
2364716c,5905_2151
23b9beb0,5968_2171
24d8997e,5837_2092
25050f63,5778_2050
25939962,6026_2187
25fd32b3,5833_2089
261785ee,5978_2178
264feceb,5807_2053
26623a50,6003_2219
26d3a96a,6046_2164
272abef3,5985_2191
27300fd5,6032_2161
276b012a,6017_2147
27c3155b,6066_2190
27ebb9b9,5847_2031
283269ac,5961_2194
28473855,5928_2154
28f4eda9,5776_2049
29b24409,5815_2069
29de15c8,6024_2230
2ab29395,5997_2179
2ac7cb6b,5987_2243
2acc78d4,6017_2221
2b034622,5720_2081
2b06ad65,6023_2230
2b547943,5999_2179
2be5c96a,5993_2188
2bff06cf,5850_2111
2c0c4a4e,5914_2158
2cee0cba,5788_2073
2d0c268a,6005_2233
2d179ded,5742_2050
2d196986,5828_2074
2d2d0c6b,5837_2092
2d35f86d,6003_2204
2d9f6cb9,6020_2149
2ddad940,5942_2132
2e29e833,6046_2216
2e43c2ea,5833_2087
2e63d9de,6044_2194
2ee0235b,5807_2052
2f19d536,6007_2151
2f8e53c3,6023_2221
2fa01aa6,6044_2176
2fd68f7b,5994_2255
2fe023be,5980_2178
30d75030,5984_2227
310c71a5,5814_2064
32fe84c9,5969_2145
33c40295,5976_2171
3407f5bf,5856_2111
3417285d,5968_2111
347242c8,6028_2238
353e5502,5845_2093
357c12f9,5881_2128
3584a6eb,6022_2185
35b30c7f,5899_2159
35b3ef6a,5877_2138
367456ce,5989_2243
368131f9,5998_2203
368fe682,5805_2052
3690a146,5819_2080
37344c2a,5835_2089
373ef48b,5808_2054
374be387,5752_2051
37d36812,6019_2185
38991fd4,5871_2110
389ae58f,5941_2143
3932faa6,5845_2031
398dce4b,5908_2167
39b51819,5845_2098
3a0af893,6044_2210
3a223519,5889_2030
3a7dd95d,5835_2067
3a824aa7,6024_2187
3a86fe8d,5977_2202
3aaa2b30,5982_2240
3ac16ad0,5777_2048
3b21ea64,6020_2149
3bbe1f5d,5807_2062
3bfee975,6000_2180
3c3dbcbc,6003_2191
3d96d897,5811_2063
3df4b19e,6012_2232
3e011332,5972_2170
3e678ea7,6032_2190
3ef6372a,5962_2202
3ef98781,6024_2230
3f603129,6010_2272
404c4384,5912_2170
4121c517,6016_2257
41fb0192,6012_2154
42669188,5942_2121
42c538a1,5820_2047
43b06c70,6012_2209
43c7f85a,5771_2043
43e16325,5854_2094
44441e54,6023_2221
445af6c2,5814_2075
4463446c,5890_2148
44a94013,5782_2055
45fb3e21,5983_2180
460f859e,5826_2083
4630ab92,6028_2200
463c38f2,5874_2113
4654e7de,5813_2065
466fc788,6022_2197
46a301e9,5942_2198
46a7190b,6050_2200
46d24a09,5900_2031
46d41ff6,5980_2143
46dfcfca,6049_2200
47222616,6021_2185
47ee27ab,5966_2206
481de5fc,5849_2032
48c1f673,5997_2256
4936af16,5981_2240
493b5b31,6066_2190
49dbc14c,5820_2093
4a035ec2,6011_2154
4a335117,5825_2098
4a8ecc0b,6012_2195
4b462989,5857_2111
4b831d20,6022_2149
4c2208f5,6074_2178
4c3168cf,6023_2231
4c3df468,5766_2039
4caa7289,5808_2062
4cd1ac61,6011_2208
4cecf7b3,6022_2197
4ddde4c1,6015_2258
4e050c92,6024_2220
4ed93db6,6014_2233
4f3eb9e9,6010_2233
4f4ac5ce,5799_2048
4f4afcc6,5810_2062
4f69febf,5777_2049
4fbe9c06,5814_2076
504c8b08,5829_2075
511e1db0,5873_2126
512943b2,6009_2234
5138a660,6025_2219
516088b7,5968_2207
521a7819,5815_2075
5254b6db,5844_2027
529e88ca,6010_2272
52f1e77a,6046_2242
5305524b,5781_2054
53134831,6051_2243
5397ceb1,5980_2179
53f23031,5968_2171
543198e8,5848_2111
54753541,5886_2131
54a7e3c2,5944_2191
5542c301,5858_2112
5567d551,5982_2203
55efee7f,5874_2113
5663b2b7,5847_2032
5693dde2,6038_2227
56b00794,5835_2091
57796579,5879_2117
577eec7c,5722_2085
57f05c51,6067_2190
58850d2c,6052_2186
58fa8486,5844_2028
591cc951,5876_2114
593876b6,6013_2233
59f8b2e8,5798_2023
5a1a8fd8,6001_2204
