MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
9831.0,2913069.21,1066810.11,-7543.459999999999,-7768.5,-7965.889999999999,-8099.76,-8205.18,-8235.65,-8334.9,9556.52,,9556.52
9832.0,2913069.25,1066810.11,-7544.459999999999,-7768.549999999999,-7965.94,-8099.809999999999,-8205.23,-8235.7,-8334.95,9557.47,,9557.47
9833.0,2913069.3,1066810.12,-7545.459999999999,-7768.6,-7965.99,-8099.860000000001,-8205.28,-8235.74,-8335.0,9558.42,,9558.42
9834.0,2913069.35,1066810.12,-7546.459999999999,-7768.65,-7966.040000000001,-8099.91,-8205.33,-8235.79,-8335.05,9559.37,,9559.37
9835.0,2913069.4,1066810.13,-7547.459999999999,-7768.700000000001,-7966.09,-8099.959999999999,-8205.38,-8235.84,-8335.1,9560.320000000002,,9560.320000000002
9836.0,2913069.45,1066810.13,-7548.459999999999,-7768.75,-7966.139999999999,-8100.01,-8205.43,-8235.89,-8335.15,9561.27,,9561.27
9837.0,2913069.5,1066810.14,-7549.459999999999,-7768.799999999999,-7966.19,-8100.059999999999,-8205.48,-8235.94,-8335.19,9562.22,,9562.22
9838.0,2913069.54,1066810.14,-7550.459999999999,-7768.84,-7966.24,-8100.1,-8205.52,-8235.99,-8335.24,9563.17,,9563.17
9839.0,2913069.59,1066810.15,-7551.450000000001,-7768.889999999999,-7966.290000000001,-8100.15,-8205.57,-8236.04,-8335.29,9564.12,,9564.12
9840.0,2913069.64,1066810.15,-7552.450000000001,-7768.94,-7966.34,-8100.200000000001,-8205.62,-8236.09,-8335.34,9565.070000000002,,9565.070000000002
9841.0,2913069.69,1066810.16,-7553.450000000001,-7768.99,-7966.389999999999,-8100.25,-8205.67,-8236.14,-8335.39,9566.02,,9566.02
9842.0,2913069.74,1066810.16,-7554.450000000001,-7769.040000000001,-7966.44,-8100.299999999999,-8205.72,-8236.19,-8335.44,9566.97,,9566.97
9843.0,2913069.78,1066810.17,-7555.450000000001,-7769.09,-7966.49,-8100.35,-8205.77,-8236.24,-8335.49,9567.92,,9567.92
9844.0,2913069.83,1066810.17,-7556.450000000001,-7769.139999999999,-7966.530000000001,-8100.4,-8205.82,-8236.29,-8335.54,9568.87,,9568.87
9845.0,2913069.88,1066810.18,-7557.450000000001,-7769.19,-7966.58,-8100.450000000001,-8205.87,-8236.33,-8335.59,9569.820000000002,,9569.820000000002
9846.0,2913069.93,1066810.18,-7558.450000000001,-7769.24,-7966.629999999999,-8100.5,-8205.92,-8236.38,-8335.64,9570.77,,9570.77
9847.0,2913069.97,1066810.19,-7559.44,-7769.290000000001,-7966.68,-8100.549999999999,-8205.97,-8236.43,-8335.68,9571.72,,9571.72
9848.0,2913070.02,1066810.19,-7560.44,-7769.33,-7966.73,-8100.59,-8206.02,-8236.48,-8335.73,9572.67,,9572.67
9849.0,2913070.07,1066810.2,-7561.44,-7769.379999999999,-7966.780000000001,-8100.639999999999,-8206.06,-8236.53,-8335.78,9573.62,,9573.62
9850.0,2913070.12,1066810.2,-7562.44,-7769.43,-7966.83,-8100.69,-8206.11,-8236.58,-8335.83,9574.570000000002,,9574.570000000002
9851.0,2913070.17,1066810.21,-7563.44,-7769.48,-7966.879999999999,-8100.74,-8206.16,-8236.63,-8335.88,9575.52,,9575.52
9852.0,2913070.21,1066810.21,-7564.44,-7769.530000000001,-7966.92,-8100.790000000001,-8206.21,-8236.68,-8335.93,9576.47,,9576.47
9853.0,2913070.26,1066810.22,-7565.44,-7769.58,-7966.969999999999,-8100.84,-8206.26,-8236.72,-8335.98,9577.42,,9577.42
9854.0,2913070.31,1066810.22,-7566.44,-7769.629999999999,-7967.02,-8100.889999999999,-8206.31,-8236.77,-8336.03,9578.37,,9578.37
9855.0,2913070.36,1066810.23,-7567.44,-7769.68,-7967.07,-8100.94,-8206.36,-8236.82,-8336.07,9579.320000000002,,9579.320000000002
9856.0,2913070.4,1066810.24,-7568.43,-7769.719999999999,-7967.120000000001,-8100.98,-8206.4,-8236.87,-8336.12,9580.27,,9580.27
9857.0,2913070.45,1066810.24,-7569.43,-7769.77,-7967.17,-8101.030000000001,-8206.45,-8236.92,-8336.17,9581.22,,9581.22
9858.0,2913070.5,1066810.25,-7570.43,-7769.82,-7967.219999999999,-8101.08,-8206.5,-8236.97,-8336.22,9582.17,,9582.17
9859.0,2913070.54,1066810.25,-7571.43,-7769.870000000001,-7967.27,-8101.129999999999,-8206.55,-8237.02,-8336.27,9583.12,90.0017904339511,9583.12
9860.0,2913070.59,1066810.26,-7572.43,-7769.92,-7967.309999999999,-8101.18,-8206.6,-8237.06,-8336.32,9584.070000000002,121.3909949602336,9584.070000000002
9861.0,2913070.64,1066810.26,-7573.43,-7769.969999999999,-7967.360000000001,-8101.23,-8206.65,-8237.11,-8336.37,9585.02,,9585.02
9862.0,2913070.69,1066810.27,-7574.43,-7770.02,-7967.41,-8101.280000000001,-8206.7,-8237.16,-8336.41,9585.97,117.99830493174812,9585.97
9863.0,2913070.73,1066810.28,-7575.43,-7770.059999999999,-7967.459999999999,-8101.32,-8206.74,-8237.21,-8336.46,9586.92,119.6991977878521,9586.92
9864.0,2913070.78,1066810.28,-7576.43,-7770.110000000001,-7967.51,-8101.370000000001,-8206.79,-8237.26,-8336.51,9587.87,,9587.87
9865.0,2913070.83,1066810.29,-7577.42,-7770.16,-7967.559999999999,-8101.42,-8206.84,-8237.31,-8336.56,9588.820000000002,,9588.820000000002
9866.0,2913070.88,1066810.29,-7578.42,-7770.209999999999,-7967.6,-8101.469999999999,-8206.89,-8237.35,-8336.61,9589.77,111.21292487477716,9589.77
9867.0,2913070.92,1066810.3,-7579.42,-7770.26,-7967.65,-8101.52,-8206.94,-8237.4,-8336.66,9590.73,,9590.73
9868.0,2913070.97,1066810.31,-7580.42,-7770.309999999999,-7967.700000000001,-8101.57,-8206.99,-8237.45,-8336.7,9591.68,,9591.68
9869.0,2913071.02,1066810.31,-7581.42,-7770.35,-7967.75,-8101.610000000001,-8207.03,-8237.5,-8336.75,9592.63,124.78368498871907,9592.63
9870.0,2913071.06,1066810.32,-7582.42,-7770.4,-7967.799999999999,-8101.66,-8207.08,-8237.55,-8336.8,9593.58,,9593.58
9871.0,2913071.11,1066810.33,-7583.42,-7770.450000000001,-7967.84,-8101.709999999999,-8207.13,-8237.6,-8336.85,9594.53,131.5781607294125,9594.53
9872.0,2913071.16,1066810.33,-7584.42,-7770.5,-7967.889999999999,-8101.76,-8207.18,-8237.64,-8336.9,9595.48,125.62958357490982,9595.48
9873.0,2913071.2,1066810.34,-7585.42,-7770.549999999999,-7967.94,-8101.809999999999,-8207.23,-8237.69,-8336.95,9596.43,129.8772678733085,9596.43
9874.0,2913071.25,1066810.34,-7586.41,-7770.59,-7967.99,-8101.85,-8207.27,-8237.74,-8336.99,9597.38,129.03136928711777,9597.38
9875.0,2913071.3,1066810.35,-7587.41,-7770.639999999999,-7968.040000000001,-8101.9,-8207.32,-8237.79,-8337.04,9598.33,124.78368498871907,9598.33
9876.0,2913071.34,1066810.36,-7588.41,-7770.69,-7968.08,-8101.950000000001,-8207.37,-8237.84,-8337.09,9599.28,131.5781607294125,9599.28
9877.0,2913071.39,1066810.36,-7589.41,-7770.74,-7968.129999999999,-8102.0,-8207.42,-8237.88,-8337.14,9600.23,140.05533795876494,9600.23
9878.0,2913071.44,1066810.37,-7590.41,-7770.790000000001,-7968.18,-8102.049999999999,-8207.47,-8237.93,-8337.18,9601.18,132.41496363188074,9601.18
9879.0,2913071.48,1066810.38,-7591.41,-7770.83,-7968.23,-8102.09,-8207.51,-8237.98,-8337.23,9602.14,129.8772678733085,9602.14
9880.0,2913071.53,1066810.38,-7592.41,-7770.879999999999,-7968.280000000001,-8102.139999999999,-8207.56,-8238.03,-8337.28,9603.09,132.42405931560322,9603.09
9881.0,2913071.58,1066810.39,-7593.41,-7770.93,-7968.32,-8102.19,-8207.61,-8238.08,-8337.33,9604.04,128.17637501720452,9604.04
9882.0,2913071.62,1066810.4,-7594.41,-7770.98,-7968.370000000001,-8102.24,-8207.66,-8238.12,-8337.38,9604.990000000002,132.42405931560322,9604.990000000002
9883.0,2913071.67,1066810.4,-7595.4,-7771.02,-7968.42,-8102.290000000001,-8207.71,-8238.17,-8337.42,9605.94,128.17637501720452,9605.94
9884.0,2913071.72,1066810.41,-7596.4,-7771.07,-7968.469999999999,-8102.33,-8207.75,-8238.22,-8337.47,9606.89,,9606.89
9885.0,2913071.76,1066810.42,-7597.4,-7771.120000000001,-7968.51,-8102.379999999999,-8207.8,-8238.27,-8337.52,9607.84,131.5781607294125,9607.84
9886.0,2913071.81,1066810.42,-7598.4,-7771.17,-7968.559999999999,-8102.43,-8207.85,-8238.31,-8337.57,9608.79,134.11585648798473,9608.79
9887.0,2913071.86,1066810.43,-7599.4,-7771.209999999999,-7968.610000000001,-8102.48,-8207.9,-8238.36,-8337.61,9609.740000000002,128.17637501720452,9609.740000000002
9888.0,2913071.9,1066810.44,-7600.4,-7771.26,-7968.66,-8102.52,-8207.94,-8238.41,-8337.66,9610.7,134.4069183671041,9610.7
9889.0,2913071.95,1066810.44,-7601.4,-7771.309999999999,-7968.709999999999,-8102.57,-8207.99,-8238.46,-8337.71,9611.65,143.44802798725038,9611.65
9890.0,2913071.99,1066810.45,-7602.4,-7771.360000000001,-7968.75,-8102.620000000001,-8208.04,-8238.5,-8337.76,9612.6,131.5781607294125,9612.6
9891.0,2913072.04,1066810.46,-7603.4,-7771.41,-7968.799999999999,-8102.67,-8208.09,-8238.55,-8337.8,9613.55,134.97085075789795,9613.55
9892.0,2913072.09,1066810.47,-7604.389999999999,-7771.450000000001,-7968.85,-8102.709999999999,-8208.13,-8238.6,-8337.85,9614.5,128.185470700927,9614.5
9893.0,2913072.13,1066810.47,-7605.389999999999,-7771.5,-7968.9,-8102.76,-8208.18,-8238.65,-8337.9,9615.45,,9615.45
9894.0,2913072.18,1066810.48,-7606.389999999999,-7771.549999999999,-7968.94,-8102.809999999999,-8208.23,-8238.69,-8337.95,9616.4,,9616.4
9895.0,2913072.22,1066810.49,-7607.389999999999,-7771.59,-7968.99,-8102.85,-8208.28,-8238.74,-8337.99,9617.36,107.82023484629173,9617.36
9896.0,2913072.27,1066810.5,-7608.389999999999,-7771.639999999999,-7969.040000000001,-8102.9,-8208.32,-8238.79,-8338.04,9618.31,106.11934199018772,9618.31
9897.0,2913072.32,1066810.5,-7609.389999999999,-7771.69,-7969.08,-8102.950000000001,-8208.37,-8238.84,-8338.09,9619.26,,9619.26
9898.0,2913072.36,1066810.51,-7610.389999999999,-7771.74,-7969.129999999999,-8103.0,-8208.42,-8238.88,-8338.14,9620.21,117.99830493174812,9620.21
9899.0,2913072.41,1066810.52,-7611.389999999999,-7771.780000000001,-7969.18,-8103.040000000001,-8208.46,-8238.93,-8338.18,9621.16,,9621.16
9900.0,2913072.45,1066810.52,-7612.389999999999,-7771.83,-7969.23,-8103.09,-8208.51,-8238.98,-8338.23,9622.11,111.21292487477716,9622.11
9901.0,2913072.5,1066810.53,-7613.379999999999,-7771.879999999999,-7969.27,-8103.139999999999,-8208.56,-8239.02,-8338.28,9623.070000000002,,9623.070000000002
9902.0,2913072.55,1066810.54,-7614.379999999999,-7771.93,-7969.32,-8103.19,-8208.61,-8239.07,-8338.32,9624.02,,9624.02
9903.0,2913072.59,1066810.55,-7615.379999999999,-7771.969999999999,-7969.370000000001,-8103.23,-8208.65,-8239.12,-8338.37,9624.97,111.21292487477716,9624.97
9904.0,2913072.64,1066810.55,-7616.379999999999,-7772.02,-7969.41,-8103.280000000001,-8208.7,-8239.17,-8338.42,9625.92,117.99830493174812,9625.92
9905.0,2913072.68,1066810.56,-7617.379999999999,-7772.07,-7969.459999999999,-8103.33,-8208.75,-8239.21,-8338.47,9626.87,,9626.87
9906.0,2913072.73,1066810.57,-7618.379999999999,-7772.110000000001,-7969.51,-8103.370000000001,-8208.79,-8239.26,-8338.51,9627.83,134.97085075789795,9627.83
9907.0,2913072.77,1066810.58,-7619.379999999999,-7772.16,-7969.549999999999,-8103.42,-8208.84,-8239.31,-8338.56,9628.78,138.36354078638342,9628.78
9908.0,2913072.82,1066810.59,-7620.379999999999,-7772.209999999999,-7969.6,-8103.469999999999,-8208.89,-8239.35,-8338.61,9629.73,107.82023484629173,9629.73
9909.0,2913072.86,1066810.59,-7621.379999999999,-7772.25,-7969.65,-8103.51,-8208.93,-8239.4,-8338.65,9630.68,101.03485478932076,9630.68
9910.0,2913072.91,1066810.6,-7622.370000000001,-7772.299999999999,-7969.700000000001,-8103.559999999999,-8208.98,-8239.45,-8338.7,9631.63,,9631.63
9911.0,2913072.96,1066810.61,-7623.370000000001,-7772.35,-7969.74,-8103.610000000001,-8209.03,-8239.49,-8338.75,9632.59,102.72665196170225,9632.59
9912.0,2913073.0,1066810.62,-7624.370000000001,-7772.389999999999,-7969.790000000001,-8103.65,-8209.08,-8239.54,-8338.79,9633.54,92.54858187624583,9633.54
9913.0,2913073.05,1066810.63,-7625.370000000001,-7772.44,-7969.84,-8103.700000000001,-8209.12,-8239.59,-8338.84,9634.490000000002,97.6330690771128,9634.490000000002
9914.0,2913073.09,1066810.63,-7626.370000000001,-7772.49,-7969.879999999999,-8103.75,-8209.17,-8239.63,-8338.89,9635.44,104.42754481780624,9635.44
9915.0,2913073.14,1066810.64,-7627.370000000001,-7772.530000000001,-7969.93,-8103.790000000001,-8209.22,-8239.68,-8338.93,9636.4,112.90472204715869,9636.4
9916.0,2913073.18,1066810.65,-7628.370000000001,-7772.58,-7969.98,-8103.84,-8209.26,-8239.73,-8338.98,9637.35,114.60561490326263,9637.35
9917.0,2913073.23,1066810.66,-7629.370000000001,-7772.629999999999,-7970.02,-8103.889999999999,-8209.31,-8239.77,-8339.03,9638.3,111.21292487477716,9638.3
9918.0,2913073.27,1066810.67,-7630.370000000001,-7772.67,-7970.07,-8103.93,-8209.35,-8239.82,-8339.07,9639.25,92.54858187624583,9639.25
9919.0,2913073.32,1066810.67,-7631.370000000001,-7772.719999999999,-7970.120000000001,-8103.98,-8209.4,-8239.87,-8339.12,9640.2,,9640.2
9920.0,2913073.36,1066810.68,-7632.360000000001,-7772.77,-7970.16,-8104.030000000001,-8209.45,-8239.91,-8339.17,9641.16,106.11934199018772,9641.16
9921.0,2913073.41,1066810.69,-7633.360000000001,-7772.809999999999,-7970.209999999999,-8104.07,-8209.49,-8239.96,-8339.21,9642.11,,9642.11
9922.0,2913073.45,1066810.7,-7634.360000000001,-7772.860000000001,-7970.26,-8104.120000000001,-8209.54,-8240.01,-8339.26,9643.06,109.5120320186732,9643.06
9923.0,2913073.5,1066810.71,-7635.360000000001,-7772.91,-7970.299999999999,-8104.17,-8209.59,-8240.05,-8339.31,9644.01,102.72665196170225,9644.01
9924.0,2913073.54,1066810.72,-7636.360000000001,-7772.969999999999,-7970.360000000001,-8104.23,-8209.65,-8240.12,-8339.37,9644.95,102.72665196170225,9644.95
9925.0,2913073.59,1066810.72,-7637.360000000001,-7773.030000000001,-7970.43,-8104.290000000001,-8209.71,-8240.18,-8339.43,9645.89,,9645.89
9926.0,2913073.63,1066810.73,-7638.360000000001,-7773.09,-7970.49,-8104.35,-8209.77,-8240.24,-8339.49,9646.820000000002,107.82023484629173,9646.820000000002
9927.0,2913073.68,1066810.74,-7639.360000000001,-7773.16,-7970.549999999999,-8104.42,-8209.84,-8240.3,-8339.55,9647.76,112.90472204715869,9647.76
9928.0,2913073.72,1066810.75,-7640.360000000001,-7773.219999999999,-7970.610000000001,-8104.48,-8209.9,-8240.36,-8339.62,9648.7,146.84981369945837,9648.7
9929.0,2913073.77,1066810.76,-7641.35,-7773.280000000001,-7970.67,-8104.540000000001,-8209.96,-8240.43,-8339.68,9649.64,99.33396193321678,9649.64
9930.0,2913073.81,1066810.77,-7642.35,-7773.34,-7970.74,-8104.6,-8210.02,-8240.49,-8339.74,9650.570000000002,89.15589184776036,9650.570000000002
9931.0,2913073.86,1066810.78,-7643.35,-7773.4,-7970.799999999999,-8104.66,-8210.08,-8240.55,-8339.8,9651.51,,9651.51
9932.0,2913073.9,1066810.79,-7644.35,-7773.469999999999,-7970.860000000001,-8104.73,-8210.15,-8240.61,-8339.87,9652.45,90.85678470386434,9652.45
9933.0,2913073.94,1066810.79,-7645.35,-7773.530000000001,-7970.92,-8104.790000000001,-8210.21,-8240.67,-8339.93,9653.38,,9653.38
9934.0,2913073.99,1066810.8,-7646.35,-7773.6,-7970.99,-8104.860000000001,-8210.28,-8240.74,-8340.0,9654.31,87.45499899165638,9654.31
9935.0,2913074.03,1066810.81,-7647.35,-7773.67,-7971.059999999999,-8104.93,-8210.35,-8240.81,-8340.07,9655.240000000002,99.33396193321678,9655.240000000002
9936.0,2913074.08,1066810.82,-7648.35,-7773.74,-7971.129999999999,-8105.0,-8210.42,-8240.88,-8340.13,9656.17,97.6330690771128,9656.17
9937.0,2913074.12,1066810.83,-7649.35,-7773.799999999999,-7971.200000000001,-8105.07,-8210.49,-8240.95,-8340.2,9657.1,,9657.1
9938.0,2913074.17,1066810.84,-7650.35,-7773.870000000001,-7971.27,-8105.129999999999,-8210.55,-8241.02,-8340.27,9658.03,,9658.03
9939.0,2913074.21,1066810.85,-7651.34,-7773.94,-7971.34,-8105.200000000001,-8210.62,-8241.09,-8340.34,9658.96,89.15589184776036,9658.96
9940.0,2913074.25,1066810.86,-7652.34,-7774.01,-7971.41,-8105.27,-8210.69,-8241.16,-8340.41,9659.89,102.72665196170225,9659.89
9941.0,2913074.3,1066810.86,-7653.34,-7774.08,-7971.48,-8105.34,-8210.76,-8241.23,-8340.48,9660.820000000002,104.42754481780624,9660.820000000002
9942.0,2913074.34,1066810.87,-7654.34,-7774.15,-7971.549999999999,-8105.41,-8210.83,-8241.3,-8340.55,9661.75,109.5120320186732,9661.75
9943.0,2913074.38,1066810.88,-7655.34,-7774.219999999999,-7971.610000000001,-8105.48,-8210.9,-8241.37,-8340.62,9662.68,,9662.68
9944.0,2913074.42,1066810.89,-7656.34,-7774.280000000001,-7971.68,-8105.540000000001,-8210.97,-8241.43,-8340.68,9663.62,98.48806334702604,9663.62
9945.0,2913074.46,1066810.89,-7657.34,-7774.35,-7971.74,-8105.610000000001,-8211.03,-8241.5,-8340.75,9664.55,,9664.55
9946.0,2913074.51,1066810.9,-7658.34,-7774.41,-7971.809999999999,-8105.67,-8211.09,-8241.56,-8340.81,9665.48,104.42754481780624,9665.48
9947.0,2913074.55,1066810.91,-7659.34,-7774.48,-7971.870000000001,-8105.74,-8211.16,-8241.63,-8340.88,9666.42,102.72665196170225,9666.42
9948.0,2913074.59,1066810.92,-7660.34,-7774.540000000001,-7971.94,-8105.799999999999,-8211.22,-8241.69,-8340.94,9667.35,89.15589184776036,9667.35
9949.0,2913074.63,1066810.92,-7661.34,-7774.610000000001,-7972.0,-8105.870000000001,-8211.29,-8241.75,-8341.01,9668.29,,9668.29
9950.0,2913074.67,1066810.93,-7662.33,-7774.67,-7972.07,-8105.93,-8211.35,-8241.82,-8341.07,9669.22,102.72665196170225,9669.22
9951.0,2913074.71,1066810.93,-7663.33,-7774.74,-7972.129999999999,-8106.0,-8211.42,-8241.88,-8341.14,9670.16,86.60910040546563,9670.16
9952.0,2913074.75,1066810.94,-7664.33,-7774.799999999999,-7972.200000000001,-8106.059999999999,-8211.48,-8241.95,-8341.2,9671.09,,9671.09
9953.0,2913074.78,1066810.95,-7665.33,-7774.870000000001,-7972.26,-8106.129999999999,-8211.55,-8242.01,-8341.27,9672.02,101.03485478932076,9672.02
9954.0,2913074.82,1066810.95,-7666.33,-7774.93,-7972.32,-8106.19,-8211.61,-8242.07,-8341.33,9672.96,99.33396193321678,9672.96
9955.0,2913074.86,1066810.96,-7667.33,-7774.99,-7972.379999999999,-8106.25,-8211.67,-8242.14,-8341.39,9673.9,,9673.9
9956.0,2913074.9,1066810.96,-7668.33,-7775.049999999999,-7972.44,-8106.309999999999,-8211.73,-8242.2,-8341.45,9674.84,97.6330690771128,9674.84
9957.0,2913074.94,1066810.97,-7669.33,-7775.110000000001,-7972.5,-8106.370000000001,-8211.79,-8242.26,-8341.51,9675.78,95.94127190473132,9675.78
9958.0,2913074.97,1066810.97,-7670.33,-7775.17,-7972.57,-8106.43,-8211.85,-8242.32,-8341.57,9676.72,103.572550547893,9676.72
9959.0,2913075.01,1066810.98,-7671.33,-7775.23,-7972.629999999999,-8106.49,-8211.91,-8242.38,-8341.63,9677.66,106.11934199018772,9677.66
9960.0,2913075.05,1066810.98,-7672.33,-7775.290000000001,-7972.69,-8106.549999999999,-8211.97,-8242.44,-8341.69,9678.6,97.6330690771128,9678.6
9961.0,2913075.08,1066810.99,-7673.33,-7775.35,-7972.75,-8106.610000000001,-8212.03,-8242.5,-8341.75,9679.54,101.03485478932076,9679.54
9962.0,2913075.12,1066810.99,-7674.33,-7775.41,-7972.809999999999,-8106.67,-8212.09,-8242.56,-8341.81,9680.47,104.42754481780624,9680.47
9963.0,2913075.15,1066811.0,-7675.33,-7775.469999999999,-7972.870000000001,-8106.73,-8212.15,-8242.62,-8341.87,9681.41,92.54858187624583,9681.41
9964.0,2913075.19,1066811.0,-7676.32,-7775.530000000001,-7972.92,-8106.790000000001,-8212.21,-8242.67,-8341.93,9682.36,97.6330690771128,9682.36
9965.0,2913075.22,1066811.0,-7677.32,-7775.58,-7972.98,-8106.84,-8212.26,-8242.73,-8341.98,9683.3,107.82023484629173,9683.3
9966.0,2913075.26,1066811.01,-7678.32,-7775.639999999999,-7973.030000000001,-8106.9,-8212.32,-8242.79,-8342.04,9684.240000000002,101.03485478932076,9684.240000000002
9967.0,2913075.29,1066811.01,-7679.32,-7775.700000000001,-7973.09,-8106.959999999999,-8212.38,-8242.84,-8342.1,9685.19,103.572550547893,9685.19
9968.0,2913075.32,1066811.01,-7680.32,-7775.75,-7973.15,-8107.01,-8212.43,-8242.9,-8342.15,9686.13,98.20609715162912,9686.13
9969.0,2913075.36,1066811.02,-7681.32,-7775.809999999999,-7973.200000000001,-8107.07,-8212.49,-8242.95,-8342.21,9687.070000000002,92.54858187624583,9687.070000000002
9970.0,2913075.39,1066811.02,-7682.32,-7775.860000000001,-7973.26,-8107.120000000001,-8212.54,-8243.01,-8342.26,9688.02,104.42754481780624,9688.02
9971.0,2913075.42,1066811.02,-7683.32,-7775.92,-7973.309999999999,-8107.18,-8212.6,-8243.07,-8342.32,9688.96,95.94127190473132,9688.96
9972.0,2913075.45,1066811.02,-7684.32,-7775.98,-7973.370000000001,-8107.24,-8212.66,-8243.12,-8342.37,9689.9,98.48806334702604,9689.9
9973.0,2913075.49,1066811.03,-7685.32,-7776.030000000001,-7973.43,-8107.290000000001,-8212.71,-8243.18,-8342.43,9690.85,,9690.85
9974.0,2913075.52,1066811.03,-7686.32,-7776.08,-7973.48,-8107.34,-8212.76,-8243.23,-8342.48,9691.8,96.78717049092204,9691.8
