MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10387.0,2908308.08,1038444.9,-8216.46,-8627.29,-8850.73,-8917.11,-8966.62,-9004.66,-9130.98,10351.68,,10351.68
10388.0,2908308.08,1038444.92,-8217.46,-8627.28,-8850.72,-8917.1,-8966.62,-9004.66,-9130.97,10352.68,,10352.68
10389.0,2908308.09,1038444.94,-8218.46,-8627.28,-8850.72,-8917.1,-8966.62,-9004.65,-9130.97,10353.68,,10353.68
10390.0,2908308.1,1038444.96,-8219.46,-8627.28,-8850.72,-8917.1,-8966.61,-9004.65,-9130.97,10354.68,,10354.68
10391.0,2908308.11,1038444.98,-8220.46,-8627.28,-8850.72,-8917.1,-8966.61,-9004.65,-9130.97,10355.68,,10355.68
10392.0,2908308.12,1038445.0,-8221.46,-8627.27,-8850.71,-8917.09,-8966.61,-9004.65,-9130.96,10356.69,,10356.69
10393.0,2908308.13,1038445.02,-8222.46,-8627.27,-8850.71,-8917.09,-8966.61,-9004.64,-9130.96,10357.69,,10357.69
10394.0,2908308.14,1038445.04,-8223.46,-8627.27,-8850.71,-8917.09,-8966.6,-9004.64,-9130.96,10358.69,,10358.69
10395.0,2908308.15,1038445.06,-8224.46,-8627.26,-8850.7,-8917.08,-8966.6,-9004.64,-9130.95,10359.69,,10359.69
10396.0,2908308.16,1038445.08,-8225.46,-8627.26,-8850.7,-8917.08,-8966.6,-9004.63,-9130.95,10360.7,,10360.7
10397.0,2908308.17,1038445.1,-8226.46,-8627.26,-8850.7,-8917.08,-8966.6,-9004.63,-9130.95,10361.7,,10361.7
10398.0,2908308.18,1038445.12,-8227.46,-8627.26,-8850.7,-8917.08,-8966.59,-9004.63,-9130.95,10362.7,,10362.7
10399.0,2908308.18,1038445.14,-8228.46,-8627.25,-8850.69,-8917.07,-8966.59,-9004.63,-9130.94,10363.7,,10363.7
10400.0,2908308.19,1038445.16,-8229.46,-8627.25,-8850.69,-8917.07,-8966.59,-9004.62,-9130.94,10364.71,,10364.71
10401.0,2908308.2,1038445.18,-8230.46,-8627.25,-8850.69,-8917.07,-8966.59,-9004.62,-9130.94,10365.71,,10365.71
10402.0,2908308.21,1038445.2,-8231.46,-8627.25,-8850.69,-8917.07,-8966.58,-9004.62,-9130.94,10366.71,,10366.71
10403.0,2908308.22,1038445.22,-8232.46,-8627.24,-8850.68,-8917.06,-8966.58,-9004.62,-9130.93,10367.71,,10367.71
10404.0,2908308.23,1038445.24,-8233.46,-8627.24,-8850.68,-8917.06,-8966.58,-9004.61,-9130.93,10368.72,,10368.72
10405.0,2908308.23,1038445.26,-8234.46,-8627.24,-8850.68,-8917.06,-8966.58,-9004.61,-9130.93,10369.72,,10369.72
10406.0,2908308.24,1038445.27,-8235.46,-8627.24,-8850.68,-8917.06,-8966.57,-9004.61,-9130.93,10370.72,,10370.72
10407.0,2908308.25,1038445.29,-8236.46,-8627.23,-8850.67,-8917.05,-8966.57,-9004.6,-9130.92,10371.72,,10371.72
10408.0,2908308.26,1038445.31,-8237.46,-8627.23,-8850.67,-8917.05,-8966.57,-9004.6,-9130.92,10372.73,,10372.73
10409.0,2908308.27,1038445.33,-8238.46,-8627.23,-8850.67,-8917.05,-8966.56,-9004.6,-9130.92,10373.73,,10373.73
10410.0,2908308.27,1038445.35,-8239.46,-8627.22,-8850.66,-8917.04,-8966.56,-9004.6,-9130.91,10374.73,,10374.73
10411.0,2908308.28,1038445.37,-8240.46,-8627.22,-8850.66,-8917.04,-8966.56,-9004.59,-9130.91,10375.73,,10375.73
10412.0,2908308.29,1038445.39,-8241.46,-8627.22,-8850.66,-8917.04,-8966.56,-9004.59,-9130.91,10376.740000000002,,10376.740000000002
10413.0,2908308.3,1038445.41,-8242.45,-8627.22,-8850.66,-8917.04,-8966.55,-9004.59,-9130.91,10377.740000000002,,10377.740000000002
10414.0,2908308.31,1038445.43,-8243.45,-8627.21,-8850.65,-8917.03,-8966.55,-9004.59,-9130.9,10378.740000000002,,10378.740000000002
10415.0,2908308.31,1038445.45,-8244.45,-8627.21,-8850.65,-8917.03,-8966.55,-9004.58,-9130.9,10379.740000000002,,10379.740000000002
10416.0,2908308.32,1038445.47,-8245.45,-8627.21,-8850.65,-8917.03,-8966.54,-9004.58,-9130.9,10380.75,,10380.75
10417.0,2908308.33,1038445.49,-8246.45,-8627.2,-8850.64,-8917.02,-8966.54,-9004.58,-9130.89,10381.75,,10381.75
10418.0,2908308.34,1038445.51,-8247.45,-8627.2,-8850.64,-8917.02,-8966.54,-9004.57,-9130.89,10382.75,,10382.75
10419.0,2908308.34,1038445.53,-8248.45,-8627.2,-8850.64,-8917.02,-8966.54,-9004.57,-9130.89,10383.75,,10383.75
10420.0,2908308.35,1038445.55,-8249.45,-8627.2,-8850.64,-8917.02,-8966.53,-9004.57,-9130.89,10384.76,,10384.76
10421.0,2908308.36,1038445.57,-8250.45,-8627.19,-8850.63,-8917.01,-8966.53,-9004.57,-9130.88,10385.76,,10385.76
10422.0,2908308.36,1038445.59,-8251.45,-8627.19,-8850.63,-8917.01,-8966.53,-9004.56,-9130.88,10386.76,,10386.76
10423.0,2908308.37,1038445.61,-8252.45,-8627.19,-8850.63,-8917.01,-8966.52,-9004.56,-9130.88,10387.77,,10387.77
10424.0,2908308.38,1038445.62,-8253.45,-8627.18,-8850.62,-8917.0,-8966.52,-9004.56,-9130.87,10388.77,,10388.77
10425.0,2908308.39,1038445.64,-8254.45,-8627.18,-8850.62,-8917.0,-8966.52,-9004.55,-9130.87,10389.77,,10389.77
10426.0,2908308.39,1038445.66,-8255.45,-8627.18,-8850.62,-8917.0,-8966.52,-9004.55,-9130.87,10390.77,,10390.77
10427.0,2908308.4,1038445.68,-8256.45,-8627.18,-8850.62,-8917.0,-8966.51,-9004.55,-9130.87,10391.78,,10391.78
10428.0,2908308.41,1038445.7,-8257.45,-8627.17,-8850.61,-8916.99,-8966.51,-9004.55,-9130.86,10392.78,,10392.78
10429.0,2908308.41,1038445.72,-8258.45,-8627.17,-8850.61,-8916.99,-8966.51,-9004.54,-9130.86,10393.78,,10393.78
10430.0,2908308.42,1038445.74,-8259.45,-8627.17,-8850.61,-8916.99,-8966.5,-9004.54,-9130.86,10394.78,,10394.78
10431.0,2908308.43,1038445.76,-8260.45,-8627.16,-8850.6,-8916.98,-8966.5,-9004.54,-9130.85,10395.79,,10395.79
10432.0,2908308.43,1038445.78,-8261.45,-8627.16,-8850.6,-8916.98,-8966.5,-9004.53,-9130.85,10396.79,,10396.79
10433.0,2908308.44,1038445.8,-8262.45,-8627.16,-8850.6,-8916.98,-8966.5,-9004.53,-9130.85,10397.79,,10397.79
10434.0,2908308.45,1038445.82,-8263.45,-8627.16,-8850.6,-8916.98,-8966.49,-9004.53,-9130.85,10398.8,,10398.8
10435.0,2908308.45,1038445.84,-8264.45,-8627.15,-8850.59,-8916.97,-8966.49,-9004.52,-9130.84,10399.8,,10399.8
10436.0,2908308.46,1038445.85,-8265.45,-8627.15,-8850.59,-8916.97,-8966.49,-9004.52,-9130.84,10400.8,,10400.8
