MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
12006.0,3022021.13,1104837.17,-9734.32,-9899.9,-10059.45,-10133.09,-10262.89,-10307.41,-10430.53,11590.81,99.26876180065094,11590.81
12007.0,3022021.1,1104837.17,-9735.32,-9899.91,-10059.46,-10133.1,-10262.9,-10307.42,-10430.54,11591.8,97.60699398196164,11591.8
12008.0,3022021.07,1104837.18,-9736.32,-9899.92,-10059.47,-10133.11,-10262.91,-10307.43,-10430.55,11592.79,107.92744675066366,11592.79
12009.0,3022021.04,1104837.18,-9737.32,-9899.93,-10059.48,-10133.12,-10262.92,-10307.44,-10430.56,11593.78,93.27765150695528,11593.78
12010.0,3022021.01,1104837.19,-9738.32,-9899.94,-10059.49,-10133.13,-10262.93,-10307.45,-10430.57,11594.77,98.13176276681088,11594.77
12011.0,3022020.98,1104837.2,-9739.32,-9899.95,-10059.5,-10133.14,-10262.94,-10307.46,-10430.58,11595.76,96.2950720198385,11595.76
12012.0,3022020.95,1104837.2,-9740.32,-9899.96,-10059.51,-10133.15,-10262.95,-10307.47,-10430.59,11596.75,97.08222519711236,11596.75
12013.0,3022020.92,1104837.21,-9741.32,-9899.97,-10059.52,-10133.16,-10262.96,-10307.48,-10430.6,11597.740000000002,95.2018037180692,11597.740000000002
12014.0,3022020.89,1104837.22,-9742.31,-9899.98,-10059.53,-10133.17,-10262.97,-10307.49,-10430.61,11598.73,92.7966134541768,11598.73
12015.0,3022020.86,1104837.23,-9743.31,-9899.99,-10059.54,-10133.18,-10262.98,-10307.5,-10430.62,11599.72,98.70026228373092,11599.72
12016.0,3022020.83,1104837.24,-9744.31,-9900.0,-10059.55,-10133.19,-10262.99,-10307.51,-10430.63,11600.71,105.7409101471251,11600.71
12017.0,3022020.8,1104837.25,-9745.31,-9900.01,-10059.57,-10133.21,-10263.0,-10307.53,-10430.64,11601.69,103.29198915116191,11601.69
12018.0,3022020.77,1104837.26,-9746.31,-9900.02,-10059.58,-10133.22,-10263.01,-10307.54,-10430.65,11602.68,94.8956885935738,11602.68
12019.0,3022020.74,1104837.27,-9747.31,-9900.04,-10059.59,-10133.23,-10263.03,-10307.55,-10430.67,11603.66,102.50483597388802,11603.66
12020.0,3022020.71,1104837.28,-9748.31,-9900.05,-10059.61,-10133.25,-10263.04,-10307.57,-10430.68,11604.65,96.03268762741386,11604.65
