MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10597.0,2904336.64,1026905.39,-8553.16,-8884.44,-9107.88,-9174.26,-9223.78,-9261.82,-9388.13,10431.22,,10431.22
10598.0,2904336.62,1026905.4,-8554.16,-8884.46,-9107.9,-9174.28,-9223.8,-9261.83,-9388.15,10432.2,,10432.2
10599.0,2904336.6,1026905.4,-8555.16,-8884.48,-9107.92,-9174.3,-9223.82,-9261.85,-9388.17,10433.18,,10433.18
10600.0,2904336.58,1026905.41,-8556.16,-8884.5,-9107.94,-9174.32,-9223.83,-9261.87,-9388.19,10434.16,,10434.16
10601.0,2904336.56,1026905.42,-8557.16,-8884.52,-9107.96,-9174.34,-9223.85,-9261.89,-9388.21,10435.14,,10435.14
10602.0,2904336.54,1026905.43,-8558.16,-8884.53,-9107.97,-9174.35,-9223.87,-9261.9,-9388.22,10436.13,,10436.13
10603.0,2904336.52,1026905.44,-8559.16,-8884.55,-9107.99,-9174.37,-9223.89,-9261.92,-9388.24,10437.11,,10437.11
10604.0,2904336.5,1026905.45,-8560.16,-8884.57,-9108.01,-9174.39,-9223.9,-9261.94,-9388.26,10438.09,,10438.09
10605.0,2904336.48,1026905.46,-8561.16,-8884.58,-9108.02,-9174.4,-9223.92,-9261.96,-9388.27,10439.08,,10439.08
10606.0,2904336.46,1026905.47,-8562.16,-8884.6,-9108.04,-9174.42,-9223.94,-9261.97,-9388.29,10440.06,,10440.06
10607.0,2904336.45,1026905.48,-8563.16,-8884.62,-9108.06,-9174.44,-9223.96,-9261.99,-9388.31,10441.04,,10441.04
10608.0,2904336.43,1026905.49,-8564.16,-8884.64,-9108.08,-9174.46,-9223.97,-9262.01,-9388.33,10442.02,,10442.02
10609.0,2904336.41,1026905.5,-8565.16,-8884.65,-9108.09,-9174.47,-9223.99,-9262.03,-9388.34,10443.01,,10443.01
10610.0,2904336.39,1026905.51,-8566.16,-8884.67,-9108.11,-9174.49,-9224.01,-9262.04,-9388.36,10443.990000000002,,10443.990000000002
10611.0,2904336.37,1026905.52,-8567.16,-8884.69,-9108.13,-9174.51,-9224.02,-9262.06,-9388.38,10444.97,,10444.97
10612.0,2904336.34,1026905.53,-8568.16,-8884.71,-9108.15,-9174.53,-9224.04,-9262.08,-9388.4,10445.95,,10445.95
10613.0,2904336.32,1026905.54,-8569.16,-8884.72,-9108.16,-9174.54,-9224.06,-9262.1,-9388.41,10446.93,,10446.93
10614.0,2904336.3,1026905.55,-8570.16,-8884.74,-9108.18,-9174.56,-9224.08,-9262.11,-9388.43,10447.92,,10447.92
10615.0,2904336.28,1026905.56,-8571.16,-8884.76,-9108.2,-9174.58,-9224.09,-9262.13,-9388.45,10448.9,,10448.9
10616.0,2904336.26,1026905.57,-8572.16,-8884.78,-9108.22,-9174.6,-9224.11,-9262.15,-9388.47,10449.88,,10449.88
10617.0,2904336.24,1026905.58,-8573.16,-8884.79,-9108.23,-9174.61,-9224.13,-9262.17,-9388.48,10450.86,,10450.86
10618.0,2904336.22,1026905.59,-8574.16,-8884.81,-9108.25,-9174.63,-9224.15,-9262.18,-9388.5,10451.85,,10451.85
10619.0,2904336.2,1026905.6,-8575.16,-8884.83,-9108.27,-9174.65,-9224.16,-9262.2,-9388.52,10452.83,,10452.83
10620.0,2904336.18,1026905.61,-8576.16,-8884.85,-9108.29,-9174.67,-9224.18,-9262.22,-9388.54,10453.81,,10453.81
10621.0,2904336.16,1026905.62,-8577.16,-8884.86,-9108.3,-9174.68,-9224.2,-9262.24,-9388.55,10454.79,,10454.79
10622.0,2904336.14,1026905.63,-8578.15,-8884.88,-9108.32,-9174.7,-9224.22,-9262.26,-9388.57,10455.77,,10455.77
10623.0,2904336.12,1026905.64,-8579.15,-8884.9,-9108.34,-9174.72,-9224.24,-9262.27,-9388.59,10456.75,,10456.75
10624.0,2904336.1,1026905.65,-8580.15,-8884.92,-9108.36,-9174.74,-9224.26,-9262.29,-9388.61,10457.73,,10457.73
10625.0,2904336.08,1026905.66,-8581.15,-8884.94,-9108.38,-9174.76,-9224.28,-9262.31,-9388.63,10458.71,,10458.71
10626.0,2904336.06,1026905.67,-8582.15,-8884.96,-9108.4,-9174.78,-9224.3,-9262.33,-9388.65,10459.7,,10459.7
10627.0,2904336.04,1026905.68,-8583.15,-8884.98,-9108.42,-9174.8,-9224.31,-9262.35,-9388.67,10460.68,,10460.68
10628.0,2904336.02,1026905.69,-8584.15,-8885.0,-9108.44,-9174.82,-9224.33,-9262.37,-9388.69,10461.66,,10461.66
10629.0,2904336.0,1026905.7,-8585.15,-8885.01,-9108.45,-9174.83,-9224.35,-9262.39,-9388.7,10462.64,,10462.64
10630.0,2904335.97,1026905.71,-8586.15,-8885.03,-9108.47,-9174.85,-9224.37,-9262.41,-9388.72,10463.62,,10463.62
10631.0,2904335.95,1026905.72,-8587.15,-8885.05,-9108.49,-9174.87,-9224.39,-9262.43,-9388.74,10464.6,,10464.6
10632.0,2904335.93,1026905.73,-8588.15,-8885.07,-9108.51,-9174.89,-9224.41,-9262.45,-9388.76,10465.58,,10465.58
10633.0,2904335.91,1026905.74,-8589.15,-8885.09,-9108.53,-9174.91,-9224.43,-9262.47,-9388.78,10466.56,,10466.56
10634.0,2904335.89,1026905.75,-8590.15,-8885.11,-9108.55,-9174.93,-9224.45,-9262.49,-9388.8,10467.54,,10467.54
10635.0,2904335.87,1026905.76,-8591.15,-8885.13,-9108.57,-9174.95,-9224.47,-9262.51,-9388.82,10468.52,,10468.52
10636.0,2904335.85,1026905.78,-8592.15,-8885.15,-9108.59,-9174.97,-9224.49,-9262.53,-9388.84,10469.5,,10469.5
10637.0,2904335.83,1026905.79,-8593.15,-8885.17,-9108.61,-9174.99,-9224.51,-9262.55,-9388.86,10470.48,,10470.48
10638.0,2904335.81,1026905.8,-8594.15,-8885.19,-9108.63,-9175.01,-9224.53,-9262.57,-9388.88,10471.46,,10471.46
