TVT,GR,Geology
10384.02,120.60000000000001,OLMOS
10385.02,127.97,OLMOS
10386.02,149.69,OLMOS
10387.02,178.10999999999999,OLMOS
10388.02,151.13,OLMOS
10389.02,103.97,OLMOS
10390.02,90.13000000000001,OLMOS
10391.02,88.86,OLMOS
10392.02,93.12,OLMOS
10393.02,96.72,OLMOS
10394.02,97.11,OLMOS
10395.01,95.58,OLMOS
10396.01,93.72,OLMOS
10397.01,96.81,OLMOS
10398.01,102.06,OLMOS
10399.01,103.34,OLMOS
10400.01,100.36,OLMOS
10401.01,101.56,OLMOS
10402.01,101.48,OLMOS
10403.01,94.64,OLMOS
10404.01,91.7,OLMOS
10405.01,92.5,OLMOS
10406.01,93.02,OLMOS
10407.01,95.94,OLMOS
10408.01,96.61,OLMOS
10409.01,97.04,OLMOS
10410.01,94.16,OLMOS
10411.01,95.18,OLMOS
10412.01,97.36,OLMOS
10413.0,98.47,OLMOS
10414.0,97.62,OLMOS
10415.0,95.81,OLMOS
10416.0,95.63000000000001,OLMOS
10417.0,94.67,OLMOS
10418.0,94.47,OLMOS
10419.0,94.22,OLMOS
10420.0,93.68,OLMOS
10421.0,96.85000000000001,OLMOS
10422.0,98.43,OLMOS
10423.0,98.05,OLMOS
10424.0,96.33,OLMOS
10425.0,94.87,OLMOS
10426.0,92.91,OLMOS
10427.0,93.13000000000001,OLMOS
10428.0,94.68,OLMOS
10429.0,93.38000000000001,OLMOS
10430.0,93.68,OLMOS
10430.990000000002,93.88000000000001,OLMOS
10431.990000000002,93.31,OLMOS
10432.990000000002,94.15,OLMOS
10433.990000000002,92.43,OLMOS
10434.990000000002,92.82000000000001,OLMOS
10435.990000000002,95.11,OLMOS
10436.990000000002,94.14,OLMOS
10437.990000000002,94.28,OLMOS
10438.990000000002,94.99000000000001,OLMOS
10439.990000000002,96.11,OLMOS
10440.990000000002,92.89,OLMOS
10441.990000000002,90.52,OLMOS
10442.990000000002,92.66,OLMOS
10443.990000000002,91.04,OLMOS
10444.990000000002,94.09,OLMOS
10445.990000000002,99.2,OLMOS
10446.990000000002,98.21000000000001,OLMOS
10447.990000000002,96.18,OLMOS
10448.980000000001,96.36,OLMOS
10449.980000000001,98.53,OLMOS
10450.980000000001,95.72,OLMOS
10451.980000000001,90.48,OLMOS
10452.980000000001,94.73,OLMOS
10453.980000000001,100.72,OLMOS
10454.980000000001,98.96000000000001,OLMOS
10455.980000000001,96.08,OLMOS
10456.980000000001,94.94,OLMOS
10457.980000000001,94.60000000000001,OLMOS
10458.980000000001,100.02,OLMOS
10459.980000000001,116.58,OLMOS
10460.980000000001,142.95999999999998,OLMOS
10461.980000000001,132.64,OLMOS
10462.980000000001,115.34,OLMOS
10463.980000000001,103.44,OLMOS
10464.980000000001,98.68,OLMOS
10465.980000000001,103.68,OLMOS
10466.980000000001,97.17,OLMOS
10467.970000000001,95.68,OLMOS
10468.970000000001,101.74000000000001,OLMOS
10469.970000000001,105.4,OLMOS
10470.970000000001,102.57000000000001,OLMOS
10471.970000000001,102.3,OLMOS
10472.970000000001,99.24000000000001,OLMOS
10473.970000000001,96.0,OLMOS
10474.970000000001,96.82000000000001,OLMOS
10475.970000000001,90.69,OLMOS
10476.970000000001,87.8,OLMOS
10477.970000000001,90.94,OLMOS
10478.970000000001,93.4,OLMOS
10479.970000000001,95.46000000000001,OLMOS
10480.970000000001,101.39,OLMOS
10481.970000000001,131.78,OLMOS
10482.970000000001,133.01999999999998,OLMOS
10483.970000000001,102.94,OLMOS
10484.970000000001,102.35000000000001,OLMOS
10485.960000000001,103.55,OLMOS
10486.960000000001,101.42,OLMOS
10487.960000000001,90.84,OLMOS
10488.960000000001,85.22,OLMOS
10489.960000000001,84.88000000000001,OLMOS
10490.960000000001,88.68,OLMOS
10491.960000000001,85.8,OLMOS
10492.960000000001,80.35000000000001,OLMOS
10493.960000000001,82.7,OLMOS
10494.960000000001,82.81,OLMOS
10495.960000000001,84.16,OLMOS
10496.960000000001,87.47,OLMOS
10497.960000000001,86.83,OLMOS
10498.960000000001,96.65,OLMOS
10499.960000000001,106.85000000000001,OLMOS
10500.960000000001,99.63000000000001,OLMOS
10501.960000000001,97.16,OLMOS
10502.960000000001,89.54,ANCC
10503.95,77.55,ANCC
10504.95,76.16,ANCC
10505.95,78.28,ANCC
10506.95,74.17999999999999,ANCC
10507.95,68.0,ANCC
10508.95,60.95,ANCC
10509.95,58.599999999999994,ANCC
10510.95,60.72,ANCC
10511.95,72.62,ANCC
10512.95,88.95,ANCC
10513.95,85.86,ANCC
10514.95,77.91,ANCC
10515.95,76.36,ANCC
10516.95,78.74000000000001,ANCC
10517.95,72.95,ANCC
10518.95,70.79,ANCC
10519.95,69.58,ANCC
10520.95,68.23,ANCC
10521.94,71.72,ANCC
10522.94,78.78,ANCC
10523.94,77.72,ANCC
10524.94,69.02,ANCC
10525.94,61.010000000000005,ANCC
10526.94,57.42,ANCC
10527.94,58.959999999999994,ANCC
10528.94,61.39,ANCC
10529.94,57.97,ANCC
10530.94,58.86,ANCC
10531.94,61.61,ANCC
10532.94,63.2,ANCC
10533.94,66.79,ANCC
10534.94,71.58,ANCC
10535.94,66.81,ANCC
10536.94,63.78,ANCC
10537.94,67.91,ANCC
10538.94,65.73,ANCC
10539.93,71.72,ANCC
10540.93,82.93,ANCC
10541.93,86.55,ANCC
10542.93,69.61,ANCC
10543.93,54.58,ANCC
10544.93,52.900000000000006,ANCC
10545.93,55.760000000000005,ANCC
10546.93,59.61,ANCC
10547.93,56.64,ANCC
10548.93,47.81999999999999,ANCC
10549.93,48.290000000000006,ANCC
10550.93,52.31999999999999,ANCC
10551.93,50.3,ANCC
10552.93,53.58,ANCC
10553.93,61.2,ANCC
10554.93,62.709999999999994,ANCC
10555.93,73.21,ANCC
10556.93,79.67,ANCC
10557.92,62.55,ANCC
10558.92,51.92999999999999,ANCC
10559.92,49.44,ANCC
10560.92,47.989999999999995,ANCC
10561.92,45.959999999999994,ANCC
10562.92,45.56999999999999,ANCC
