MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10810.0,2998510.38,1115872.3,-8583.85,-8663.04,-8797.39,-8879.95,-9014.47,-9065.02,-9170.9,10854.83,136.7708321052615,10854.83
10811.0,2998510.45,1115872.19,-8584.84,-8663.02,-8797.37,-8879.93,-9014.46,-9065.0,-9170.88,10855.84,137.66303959076876,10855.84
10812.0,2998510.51,1115872.09,-8585.83,-8663.01,-8797.36,-8879.92,-9014.44,-9064.99,-9170.87,10856.85,140.4883632948751,10856.85
10813.0,2998510.58,1115871.98,-8586.83,-8662.99,-8797.34,-8879.9,-9014.42,-9064.97,-9170.85,10857.86,129.4158396285798,10857.86
10814.0,2998510.65,1115871.87,-8587.82,-8662.98,-8797.33,-8879.89,-9014.41,-9064.96,-9170.83,10858.86,120.50520333101365,10858.86
10815.0,2998510.72,1115871.77,-8588.81,-8662.96,-8797.31,-8879.87,-9014.39,-9064.94,-9170.82,10859.87,115.27778255054156,10859.87
10816.0,2998510.79,1115871.66,-8589.8,-8662.95,-8797.3,-8879.85,-9014.38,-9064.93,-9170.8,10860.88,117.26809155667314,10860.88
10817.0,2998510.86,1115871.55,-8590.79,-8662.93,-8797.28,-8879.84,-9014.36,-9064.91,-9170.79,10861.88,123.92533202545816,10861.88
10818.0,2998510.93,1115871.44,-8591.78,-8662.91,-8797.27,-8879.82,-9014.35,-9064.89,-9170.77,10862.89,132.3669874652577,10862.89
10819.0,2998511.0,1115871.33,-8592.78,-8662.9,-8797.25,-8879.81,-9014.33,-9064.88,-9170.76,10863.9,135.00929424925997,10863.9
10820.0,2998511.07,1115871.22,-8593.77,-8662.88,-8797.23,-8879.79,-9014.32,-9064.86,-9170.74,10864.91,133.23631783575195,10864.91
10821.0,2998511.14,1115871.11,-8594.76,-8662.87,-8797.22,-8879.78,-9014.3,-9064.85,-9170.72,10865.91,135.28381962941603,10865.91
10822.0,2998511.21,1115871.0,-8595.75,-8662.85,-8797.2,-8879.76,-9014.28,-9064.83,-9170.71,10866.92,148.62117768199906,10866.92
10823.0,2998511.29,1115870.89,-8596.74,-8662.83,-8797.18,-8879.74,-9014.27,-9064.81,-9170.69,10867.93,151.0919061034038,10867.93
10824.0,2998511.36,1115870.78,-8597.73,-8662.82,-8797.17,-8879.73,-9014.25,-9064.8,-9170.68,10868.94,142.7989519111888,10868.94
10825.0,2998511.43,1115870.67,-8598.72,-8662.8,-8797.15,-8879.71,-9014.23,-9064.78,-9170.66,10869.94,133.07617803066088,10869.94
10826.0,2998511.5,1115870.55,-8599.71,-8662.79,-8797.14,-8879.69,-9014.22,-9064.77,-9170.64,10870.95,127.1395666847856,10870.95
10827.0,2998511.57,1115870.44,-8600.71,-8662.77,-8797.12,-8879.68,-9014.2,-9064.75,-9170.63,10871.96,127.37977639242216,10871.96
10828.0,2998511.64,1115870.33,-8601.7,-8662.75,-8797.1,-8879.66,-9014.19,-9064.73,-9170.61,10872.97,127.71149456011078,10872.97
10829.0,2998511.71,1115870.21,-8602.69,-8662.74,-8797.09,-8879.65,-9014.17,-9064.72,-9170.59,10873.97,124.0854718305492,10873.97
10830.0,2998511.79,1115870.1,-8603.68,-8662.72,-8797.07,-8879.63,-9014.15,-9064.7,-9170.58,10874.98,118.54920999740152,10874.98
10831.0,2998511.86,1115869.98,-8604.67,-8662.7,-8797.05,-8879.61,-9014.14,-9064.68,-9170.56,10875.990000000002,120.56239611854616,10875.990000000002
10832.0,2998511.93,1115869.86,-8605.66,-8662.69,-8797.04,-8879.6,-9014.12,-9064.67,-9170.54,10877.0,123.399158380159,10877.0
10833.0,2998512.0,1115869.75,-8606.65,-8662.67,-8797.02,-8879.58,-9014.1,-9064.65,-9170.53,10878.0,125.0920648911215,10878.0
10834.0,2998512.07,1115869.63,-8607.64,-8662.65,-8797.0,-8879.56,-9014.08,-9064.63,-9170.51,10879.01,121.37453370150789,10879.01
10835.0,2998512.15,1115869.51,-8608.63,-8662.64,-8796.99,-8879.54,-9014.07,-9064.62,-9170.49,10880.02,119.4185403678958,10880.02
10836.0,2998512.22,1115869.39,-8609.62,-8662.62,-8796.97,-8879.53,-9014.05,-9064.6,-9170.48,10881.02,,10881.02
10837.0,2998512.29,1115869.27,-8610.61,-8662.6,-8796.95,-8879.51,-9014.03,-9064.58,-9170.46,10882.03,121.59186629413144,10882.03
