MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10427.0,2914117.55,1037110.65,-8369.78,-8746.04,-8958.11,-9012.25,-9064.23,-9110.07,-9236.04,10384.42,148.6215014055019,10384.42
10428.0,2914117.56,1037110.65,-8370.78,-8746.04,-8958.11,-9012.25,-9064.23,-9110.07,-9236.04,10385.42,,10385.42
10429.0,2914117.58,1037110.65,-8371.78,-8746.04,-8958.11,-9012.25,-9064.23,-9110.07,-9236.04,10386.42,153.3594351751404,10386.42
10430.0,2914117.59,1037110.65,-8372.78,-8746.04,-8958.11,-9012.25,-9064.23,-9110.07,-9236.04,10387.42,154.73094231898313,10387.42
10431.0,2914117.6,1037110.65,-8373.78,-8746.04,-8958.11,-9012.25,-9064.23,-9110.07,-9236.04,10388.42,155.2296721894714,10388.42
10432.0,2914117.61,1037110.65,-8374.78,-8746.04,-8958.11,-9012.25,-9064.23,-9110.07,-9236.04,10389.42,,10389.42
10433.0,2914117.63,1037110.65,-8375.78,-8746.04,-8958.11,-9012.25,-9064.24,-9110.07,-9236.04,10390.42,,10390.42
10434.0,2914117.64,1037110.65,-8376.78,-8746.04,-8958.11,-9012.25,-9064.24,-9110.07,-9236.04,10391.42,,10391.42
10435.0,2914117.65,1037110.64,-8377.78,-8746.04,-8958.11,-9012.25,-9064.24,-9110.07,-9236.04,10392.42,,10392.42
10436.0,2914117.67,1037110.64,-8378.78,-8746.04,-8958.11,-9012.25,-9064.24,-9110.07,-9236.04,10393.42,,10393.42
10437.0,2914117.68,1037110.64,-8379.78,-8746.04,-8958.11,-9012.25,-9064.24,-9110.07,-9236.04,10394.42,155.60371959233757,10394.42
10438.0,2914117.69,1037110.64,-8380.78,-8746.04,-8958.11,-9012.25,-9064.24,-9110.07,-9236.04,10395.42,155.97776699520378,10395.42
10439.0,2914117.71,1037110.63,-8381.78,-8746.04,-8958.11,-9012.25,-9064.24,-9110.07,-9236.04,10396.42,,10396.42
10440.0,2914117.72,1037110.63,-8382.78,-8746.04,-8958.11,-9012.26,-9064.24,-9110.07,-9236.04,10397.42,156.47649686569204,10397.42
10441.0,2914117.73,1037110.63,-8383.78,-8746.04,-8958.12,-9012.26,-9064.24,-9110.07,-9236.05,10398.42,160.09228842673193,10398.42
10442.0,2914117.75,1037110.63,-8384.78,-8746.04,-8958.12,-9012.26,-9064.24,-9110.07,-9236.05,10399.42,,10399.42
10443.0,2914117.76,1037110.62,-8385.78,-8746.05,-8958.12,-9012.26,-9064.24,-9110.07,-9236.05,10400.41,,10400.41
10444.0,2914117.77,1037110.62,-8386.78,-8746.05,-8958.12,-9012.26,-9064.24,-9110.07,-9236.05,10401.41,163.8327624553939,10401.41
10445.0,2914117.79,1037110.62,-8387.78,-8746.05,-8958.12,-9012.26,-9064.24,-9110.07,-9236.05,10402.41,164.45617479350423,10402.41
10446.0,2914117.8,1037110.62,-8388.78,-8746.05,-8958.12,-9012.26,-9064.24,-9110.08,-9236.05,10403.41,,10403.41
10447.0,2914117.81,1037110.61,-8389.78,-8746.05,-8958.12,-9012.26,-9064.24,-9110.08,-9236.05,10404.41,,10404.41
10448.0,2914117.83,1037110.61,-8390.78,-8746.05,-8958.12,-9012.26,-9064.24,-9110.08,-9236.05,10405.41,159.34419362099953,10405.41
10449.0,2914117.84,1037110.61,-8391.78,-8746.05,-8958.12,-9012.26,-9064.24,-9110.08,-9236.05,10406.41,154.1075299808728,10406.41
10450.0,2914117.85,1037110.61,-8392.78,-8746.05,-8958.12,-9012.26,-9064.24,-9110.08,-9236.05,10407.41,151.48919816080942,10407.41
10451.0,2914117.87,1037110.61,-8393.78,-8746.05,-8958.12,-9012.26,-9064.24,-9110.08,-9236.05,10408.41,,10408.41
10452.0,2914117.88,1037110.61,-8394.78,-8746.05,-8958.12,-9012.26,-9064.25,-9110.08,-9236.05,10409.41,,10409.41
10453.0,2914117.89,1037110.61,-8395.78,-8746.05,-8958.12,-9012.26,-9064.25,-9110.08,-9236.05,10410.41,,10410.41
10454.0,2914117.91,1037110.6,-8396.78,-8746.05,-8958.12,-9012.26,-9064.25,-9110.08,-9236.05,10411.41,,10411.41
10455.0,2914117.92,1037110.6,-8397.78,-8746.05,-8958.12,-9012.26,-9064.25,-9110.08,-9236.05,10412.41,,10412.41
10456.0,2914117.93,1037110.6,-8398.78,-8746.05,-8958.12,-9012.26,-9064.25,-9110.08,-9236.05,10413.41,,10413.41
10457.0,2914117.94,1037110.6,-8399.78,-8746.05,-8958.12,-9012.26,-9064.25,-9110.08,-9236.05,10414.41,167.57323648405583,10414.41
10458.0,2914117.96,1037110.6,-8400.78,-8746.05,-8958.12,-9012.26,-9064.25,-9110.08,-9236.05,10415.41,,10415.41
10459.0,2914117.97,1037110.6,-8401.78,-8746.05,-8958.12,-9012.26,-9064.25,-9110.08,-9236.05,10416.41,147.49935919690333,10416.41
10460.0,2914117.98,1037110.6,-8402.78,-8746.05,-8958.12,-9012.26,-9064.25,-9110.08,-9236.05,10417.41,147.74872413214746,10417.41
10461.0,2914118.0,1037110.6,-8403.78,-8746.05,-8958.12,-9012.26,-9064.25,-9110.08,-9236.05,10418.4,158.22205141240096,10418.4
10462.0,2914118.01,1037110.6,-8404.78,-8746.05,-8958.12,-9012.27,-9064.25,-9110.08,-9236.05,10419.4,164.08212739063802,10419.4
10463.0,2914118.02,1037110.6,-8405.78,-8746.05,-8958.12,-9012.27,-9064.25,-9110.08,-9236.05,10420.4,,10420.4
10464.0,2914118.03,1037110.6,-8406.78,-8746.05,-8958.12,-9012.27,-9064.25,-9110.08,-9236.06,10421.4,,10421.4
10465.0,2914118.05,1037110.6,-8407.78,-8746.05,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10422.4,167.57323648405583,10422.4
10466.0,2914118.06,1037110.6,-8408.78,-8746.05,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10423.4,,10423.4
10467.0,2914118.07,1037110.6,-8409.78,-8746.05,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10424.4,,10424.4
10468.0,2914118.08,1037110.6,-8410.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10425.4,,10425.4
10469.0,2914118.1,1037110.6,-8411.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10426.4,168.0719663545441,10426.4
10470.0,2914118.11,1037110.6,-8412.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10427.4,168.57069622503235,10427.4
10471.0,2914118.12,1037110.6,-8413.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10428.4,,10428.4
10472.0,2914118.13,1037110.6,-8414.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10429.4,,10429.4
10473.0,2914118.14,1037110.6,-8415.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10430.4,,10430.4
10474.0,2914118.16,1037110.6,-8416.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10431.4,,10431.4
10475.0,2914118.17,1037110.61,-8417.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10432.4,176.55037415284454,10432.4
10476.0,2914118.18,1037110.61,-8418.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10433.4,,10433.4
10477.0,2914118.19,1037110.61,-8419.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10434.4,,10434.4
10478.0,2914118.2,1037110.61,-8420.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10435.4,,10435.4
10479.0,2914118.22,1037110.61,-8421.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10436.4,,10436.4
10480.0,2914118.23,1037110.61,-8422.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10437.4,,10437.4
10481.0,2914118.24,1037110.62,-8423.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10438.4,167.0745066135676,10438.4
10482.0,2914118.25,1037110.62,-8424.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10439.4,164.45617479350423,10439.4
10483.0,2914118.26,1037110.62,-8425.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10440.4,,10440.4
10484.0,2914118.27,1037110.62,-8426.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10441.4,184.53005208065676,10441.4
10485.0,2914118.29,1037110.62,-8427.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10442.4,182.53513259870363,10442.4
10486.0,2914118.3,1037110.63,-8428.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10443.4,180.54021311675064,10443.4
10487.0,2914118.31,1037110.63,-8429.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10444.4,,10444.4
10488.0,2914118.32,1037110.63,-8430.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10445.4,,10445.4
10489.0,2914118.33,1037110.63,-8431.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10446.4,185.52751182163323,10446.4
10490.0,2914118.34,1037110.64,-8432.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10447.4,,10447.4
10491.0,2914118.35,1037110.64,-8433.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10448.4,,10448.4
10492.0,2914118.37,1037110.64,-8434.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10449.4,,10449.4
10493.0,2914118.38,1037110.65,-8435.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10450.4,163.45871505252768,10450.4
10494.0,2914118.39,1037110.65,-8436.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10451.4,,10451.4
10495.0,2914118.4,1037110.65,-8437.78,-8746.06,-8958.13,-9012.27,-9064.25,-9110.08,-9236.06,10452.4,166.45109427545725,10452.4
