MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11446.0,3005612.32,1110679.76,-9200.99,-9182.77,-9317.12,-9399.68,-9534.2,-9584.75,-9690.63,10952.23,87.68354529041679,10952.23
11447.0,3005612.32,1110680.24,-9201.86,-9182.7,-9317.05,-9399.61,-9534.13,-9584.68,-9690.55,10953.19,92.35191727822117,10953.19
11448.0,3005612.32,1110680.72,-9202.74,-9182.62,-9316.97,-9399.53,-9534.05,-9584.6,-9690.48,10954.14,91.04841081409396,10954.14
11449.0,3005612.31,1110681.2,-9203.62,-9182.54,-9316.89,-9399.45,-9533.97,-9584.52,-9690.4,10955.09,82.78781752398558,10955.09
11450.0,3005612.31,1110681.68,-9204.49,-9182.47,-9316.82,-9399.37,-9533.9,-9584.45,-9690.32,10956.04,78.24070195144884,10956.04
11451.0,3005612.31,1110682.17,-9205.37,-9182.39,-9316.74,-9399.3,-9533.82,-9584.37,-9690.25,10956.990000000002,71.31392922928453,10956.990000000002
11452.0,3005612.32,1110682.66,-9206.24,-9182.31,-9316.66,-9399.22,-9533.74,-9584.29,-9690.17,10957.94,68.38861821095257,10957.94
11453.0,3005612.32,1110683.14,-9207.11,-9182.23,-9316.58,-9399.14,-9533.67,-9584.21,-9690.09,10958.89,72.11725298043268,10958.89
11454.0,3005612.32,1110683.64,-9207.99,-9182.16,-9316.51,-9399.07,-9533.59,-9584.14,-9690.01,10959.84,75.28507682929995,10959.84
11455.0,3005612.32,1110684.13,-9208.86,-9182.08,-9316.43,-9398.99,-9533.51,-9584.06,-9689.94,10960.79,86.47098113774032,10960.79
11456.0,3005612.32,1110684.62,-9209.73,-9182.0,-9316.35,-9398.91,-9533.43,-9583.98,-9689.86,10961.740000000002,90.32087232248811,10961.740000000002
11457.0,3005612.32,1110685.12,-9210.59,-9181.93,-9316.28,-9398.83,-9533.36,-9583.91,-9689.78,10962.69,75.70947428273672,10962.69
11458.0,3005612.32,1110685.62,-9211.46,-9181.85,-9316.2,-9398.75,-9533.28,-9583.83,-9689.7,10963.64,69.7830669865305,10963.64
11459.0,3005612.33,1110686.11,-9212.33,-9181.77,-9316.12,-9398.67,-9533.2,-9583.75,-9689.62,10964.58,69.73759583080513,10964.58
