MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11485.0,3010274.69,1084199.15,-9323.54,-9859.96,-10004.64,-10036.73,-10152.49,-10188.88,-10326.47,11318.79,,11318.79
11486.0,3010274.7,1084199.17,-9324.54,-9859.72,-10004.4,-10036.49,-10152.25,-10188.64,-10326.23,11320.03,97.93896065855962,11320.03
11487.0,3010274.7,1084199.19,-9325.54,-9859.47,-10004.15,-10036.24,-10152.01,-10188.39,-10325.99,11321.27,98.2638976415921,11321.27
11488.0,3010274.71,1084199.22,-9326.54,-9859.23,-10003.91,-10036.0,-10151.77,-10188.15,-10325.75,11322.51,,11322.51
11489.0,3010274.71,1084199.24,-9327.54,-9858.99,-10003.67,-10035.76,-10151.53,-10187.91,-10325.51,11323.75,100.5532263856845,11323.75
11490.0,3010274.72,1084199.26,-9328.54,-9858.75,-10003.43,-10035.52,-10151.29,-10187.67,-10325.26,11324.990000000002,100.49414693422403,11324.990000000002
11491.0,3010274.73,1084199.28,-9329.54,-9858.51,-10003.19,-10035.28,-10151.05,-10187.43,-10325.03,11326.23,,11326.23
11492.0,3010274.73,1084199.31,-9330.54,-9858.28,-10002.96,-10035.05,-10150.82,-10187.2,-10324.8,11327.46,,11327.46
11493.0,3010274.74,1084199.33,-9331.54,-9858.05,-10002.73,-10034.82,-10150.58,-10186.97,-10324.56,11328.7,98.08665928721074,11328.7
11494.0,3010274.75,1084199.35,-9332.54,-9857.81,-10002.49,-10034.58,-10150.35,-10186.73,-10324.33,11329.93,97.93896065855962,11329.93
11495.0,3010274.75,1084199.37,-9333.54,-9857.58,-10002.26,-10034.35,-10150.11,-10186.5,-10324.09,11331.16,,11331.16
11496.0,3010274.76,1084199.39,-9334.54,-9857.34,-10002.02,-10034.11,-10149.88,-10186.26,-10323.86,11332.4,,11332.4
11497.0,3010274.76,1084199.42,-9335.54,-9857.11,-10001.79,-10033.88,-10149.64,-10186.03,-10323.62,11333.63,109.51853314480766,11333.63
11498.0,3010274.77,1084199.44,-9336.54,-9856.87,-10001.55,-10033.64,-10149.41,-10185.79,-10323.39,11334.87,,11334.87
11499.0,3010274.77,1084199.46,-9337.54,-9856.64,-10001.32,-10033.41,-10149.18,-10185.56,-10323.15,11336.1,,11336.1
11500.0,3010274.78,1084199.48,-9338.54,-9856.4,-10001.08,-10033.17,-10148.94,-10185.32,-10322.92,11337.34,,11337.34
11501.0,3010274.79,1084199.5,-9339.54,-9856.17,-10000.85,-10032.94,-10148.71,-10185.09,-10322.69,11338.570000000002,100.73046474006584,11338.570000000002
11502.0,3010274.79,1084199.52,-9340.54,-9855.94,-10000.62,-10032.71,-10148.48,-10184.86,-10322.46,11339.8,,11339.8
11503.0,3010274.8,1084199.55,-9341.54,-9855.71,-10000.39,-10032.48,-10148.25,-10184.63,-10322.23,11341.03,,11341.03
11504.0,3010274.8,1084199.57,-9342.54,-9855.49,-10000.17,-10032.26,-10148.02,-10184.41,-10322.0,11342.25,103.62535786162783,11342.25
11505.0,3010274.81,1084199.59,-9343.54,-9855.26,-9999.94,-10032.03,-10147.79,-10184.18,-10321.77,11343.48,,11343.48
11506.0,3010274.81,1084199.61,-9344.54,-9855.03,-9999.71,-10031.8,-10147.57,-10183.95,-10321.55,11344.71,,11344.71
11507.0,3010274.82,1084199.63,-9345.54,-9854.68,-9999.36,-10031.45,-10147.22,-10183.6,-10321.19,11346.06,,11346.06
11508.0,3010274.82,1084199.65,-9346.54,-9854.02,-9998.7,-10030.79,-10146.56,-10182.94,-10320.53,11347.72,95.57578260014164,11347.72
11509.0,3010274.83,1084199.67,-9347.54,-9853.36,-9998.04,-10030.13,-10145.9,-10182.28,-10319.87,11349.38,,11349.38
11510.0,3010274.83,1084199.69,-9348.54,-9852.7,-9997.38,-10029.47,-10145.24,-10181.62,-10319.22,11351.04,104.96941538235306,11351.04
