MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11356.0,3012880.98,1100048.37,-9266.61,-9679.64,-9835.86,-9908.8,-10043.36,-10087.4,-10207.49,11154.66,,11154.66
11357.0,3012880.99,1100048.41,-9267.61,-9679.63,-9835.85,-9908.8,-10043.35,-10087.39,-10207.48,11155.66,,11155.66
11358.0,3012880.99,1100048.44,-9268.61,-9679.62,-9835.85,-9908.79,-10043.35,-10087.38,-10207.47,11156.67,,11156.67
11359.0,3012881.0,1100048.47,-9269.61,-9679.62,-9835.84,-9908.78,-10043.34,-10087.38,-10207.47,11157.68,,11157.68
11360.0,3012881.0,1100048.51,-9270.61,-9679.61,-9835.83,-9908.78,-10043.33,-10087.37,-10207.46,11158.68,,11158.68
11361.0,3012881.0,1100048.54,-9271.61,-9679.61,-9835.83,-9908.77,-10043.33,-10087.36,-10207.45,11159.69,,11159.69
11362.0,3012881.01,1100048.57,-9272.61,-9679.6,-9835.82,-9908.76,-10043.32,-10087.36,-10207.45,11160.69,94.6392775355037,11160.69
11363.0,3012881.01,1100048.6,-9273.61,-9679.59,-9835.81,-9908.76,-10043.31,-10087.35,-10207.44,11161.7,104.661235433019,11161.7
11364.0,3012881.02,1100048.63,-9274.61,-9679.59,-9835.81,-9908.75,-10043.31,-10087.34,-10207.43,11162.71,,11162.71
11365.0,3012881.02,1100048.66,-9275.61,-9679.58,-9835.8,-9908.74,-10043.3,-10087.34,-10207.43,11163.71,,11163.71
11366.0,3012881.02,1100048.69,-9276.61,-9679.57,-9835.8,-9908.74,-10043.29,-10087.33,-10207.42,11164.72,106.43036978488084,11164.72
11367.0,3012881.03,1100048.72,-9277.61,-9679.57,-9835.79,-9908.73,-10043.29,-10087.32,-10207.41,11165.72,,11165.72
11368.0,3012881.03,1100048.75,-9278.61,-9679.56,-9835.78,-9908.73,-10043.28,-10087.32,-10207.41,11166.73,105.06587786456188,11166.73
11369.0,3012881.03,1100048.78,-9279.61,-9679.55,-9835.78,-9908.72,-10043.28,-10087.31,-10207.4,11167.740000000002,105.9504450404928,11167.740000000002
11370.0,3012881.03,1100048.81,-9280.61,-9679.55,-9835.77,-9908.71,-10043.27,-10087.31,-10207.4,11168.740000000002,101.52760916083815,11168.740000000002
11371.0,3012881.04,1100048.84,-9281.61,-9679.54,-9835.77,-9908.71,-10043.27,-10087.3,-10207.39,11169.75,,11169.75
11372.0,3012881.04,1100048.87,-9282.61,-9679.54,-9835.76,-9908.7,-10043.26,-10087.29,-10207.38,11170.75,,11170.75
11373.0,3012881.04,1100048.89,-9283.61,-9679.53,-9835.75,-9908.7,-10043.25,-10087.29,-10207.38,11171.76,90.9504442060896,11171.76
11374.0,3012881.04,1100048.92,-9284.61,-9679.53,-9835.75,-9908.69,-10043.25,-10087.28,-10207.37,11172.76,112.11418440469237,11172.76
11375.0,3012881.05,1100048.95,-9285.6,-9679.52,-9835.74,-9908.69,-10043.24,-10087.28,-10207.37,11173.77,,11173.77
11376.0,3012881.05,1100048.97,-9286.6,-9679.51,-9835.74,-9908.68,-10043.24,-10087.27,-10207.36,11174.77,,11174.77
11377.0,3012881.05,1100049.0,-9287.6,-9679.51,-9835.73,-9908.67,-10043.23,-10087.27,-10207.36,11175.78,101.52760916083815,11175.78
11378.0,3012881.05,1100049.02,-9288.6,-9679.5,-9835.73,-9908.67,-10043.23,-10087.26,-10207.35,11176.78,110.37328092014744,11176.78
