MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10378.0,2907746.15,1039359.82,-8264.65,-8597.91,-8821.35,-8887.73,-8937.22,-8975.28,-9101.6,10429.25,105.09172570544376,10429.25
10379.0,2907746.13,1039359.81,-8265.65,-8597.9,-8821.34,-8887.72,-8937.22,-8975.28,-9101.59,10430.25,,10430.25
10380.0,2907746.11,1039359.81,-8266.65,-8597.9,-8821.34,-8887.72,-8937.22,-8975.28,-9101.59,10431.25,,10431.25
10381.0,2907746.08,1039359.8,-8267.65,-8597.9,-8821.34,-8887.72,-8937.22,-8975.27,-9101.59,10432.25,,10432.25
10382.0,2907746.06,1039359.8,-8268.65,-8597.9,-8821.34,-8887.72,-8937.22,-8975.27,-9101.59,10433.25,,10433.25
10383.0,2907746.04,1039359.8,-8269.65,-8597.9,-8821.34,-8887.72,-8937.22,-8975.27,-9101.59,10434.25,,10434.25
10384.0,2907746.02,1039359.79,-8270.65,-8597.9,-8821.34,-8887.72,-8937.22,-8975.27,-9101.59,10435.25,,10435.25
10385.0,2907746.0,1039359.79,-8271.65,-8597.9,-8821.34,-8887.72,-8937.21,-8975.27,-9101.59,10436.25,,10436.25
10386.0,2907745.98,1039359.78,-8272.65,-8597.9,-8821.34,-8887.72,-8937.21,-8975.27,-9101.59,10437.25,,10437.25
10387.0,2907745.96,1039359.78,-8273.65,-8597.9,-8821.34,-8887.72,-8937.21,-8975.27,-9101.59,10438.25,,10438.25
10388.0,2907745.94,1039359.78,-8274.65,-8597.89,-8821.33,-8887.71,-8937.21,-8975.27,-9101.58,10439.25,,10439.25
10389.0,2907745.92,1039359.77,-8275.65,-8597.89,-8821.33,-8887.71,-8937.21,-8975.27,-9101.58,10440.25,,10440.25
10390.0,2907745.9,1039359.77,-8276.65,-8597.89,-8821.33,-8887.71,-8937.21,-8975.26,-9101.58,10441.26,,10441.26
10391.0,2907745.88,1039359.76,-8277.65,-8597.89,-8821.33,-8887.71,-8937.21,-8975.26,-9101.58,10442.26,,10442.26
10392.0,2907745.87,1039359.76,-8278.65,-8597.89,-8821.33,-8887.71,-8937.21,-8975.26,-9101.58,10443.26,,10443.26
10393.0,2907745.85,1039359.75,-8279.65,-8597.89,-8821.33,-8887.71,-8937.21,-8975.26,-9101.58,10444.26,,10444.26
10394.0,2907745.83,1039359.75,-8280.65,-8597.89,-8821.33,-8887.71,-8937.21,-8975.26,-9101.58,10445.26,,10445.26
10395.0,2907745.81,1039359.74,-8281.65,-8597.89,-8821.33,-8887.71,-8937.2,-8975.26,-9101.58,10446.26,,10446.26
10396.0,2907745.79,1039359.74,-8282.65,-8597.89,-8821.33,-8887.71,-8937.2,-8975.26,-9101.58,10447.26,,10447.26
10397.0,2907745.77,1039359.73,-8283.65,-8597.89,-8821.33,-8887.71,-8937.2,-8975.26,-9101.58,10448.26,,10448.26
10398.0,2907745.76,1039359.73,-8284.65,-8597.89,-8821.33,-8887.71,-8937.2,-8975.26,-9101.58,10449.26,,10449.26
10399.0,2907745.74,1039359.73,-8285.65,-8597.88,-8821.32,-8887.7,-8937.2,-8975.26,-9101.57,10450.26,,10450.26
10400.0,2907745.72,1039359.72,-8286.65,-8597.88,-8821.32,-8887.7,-8937.2,-8975.26,-9101.57,10451.26,,10451.26
10401.0,2907745.71,1039359.72,-8287.65,-8597.88,-8821.32,-8887.7,-8937.2,-8975.26,-9101.57,10452.26,,10452.26
10402.0,2907745.69,1039359.71,-8288.65,-8597.88,-8821.32,-8887.7,-8937.2,-8975.26,-9101.57,10453.26,,10453.26
10403.0,2907745.67,1039359.71,-8289.65,-8597.88,-8821.32,-8887.7,-8937.2,-8975.25,-9101.57,10454.26,,10454.26
