MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
12104.0,2948036.47,1015031.88,-9933.03,-10392.05,-10597.53,-10610.32,-10632.32,-10677.1,-10849.47,11965.5,,11965.5
12105.0,2948036.46,1015031.9,-9934.03,-10392.05,-10597.53,-10610.32,-10632.32,-10677.1,-10849.47,11966.5,126.5629972890425,11966.5
12106.0,2948036.45,1015031.93,-9935.03,-10392.05,-10597.53,-10610.32,-10632.32,-10677.1,-10849.47,11967.5,,11967.5
12107.0,2948036.44,1015031.95,-9936.03,-10392.05,-10597.53,-10610.32,-10632.32,-10677.1,-10849.47,11968.5,114.20145854363528,11968.5
12108.0,2948036.43,1015031.97,-9937.03,-10392.05,-10597.53,-10610.32,-10632.32,-10677.09,-10849.47,11969.51,101.84913107896236,11969.51
12109.0,2948036.42,1015032.0,-9938.03,-10392.05,-10597.53,-10610.32,-10632.32,-10677.09,-10849.47,11970.51,,11970.51
12110.0,2948036.42,1015032.02,-9939.03,-10392.05,-10597.53,-10610.32,-10632.32,-10677.09,-10849.47,11971.51,116.24636286664602,11971.51
12111.0,2948036.41,1015032.04,-9940.03,-10392.05,-10597.53,-10610.32,-10632.32,-10677.09,-10849.47,11972.51,113.84221859499829,11972.51
12112.0,2948036.4,1015032.06,-9941.03,-10392.04,-10597.52,-10610.31,-10632.31,-10677.09,-10849.46,11973.51,104.24406406987583,11973.51
12113.0,2948036.39,1015032.09,-9942.03,-10392.04,-10597.52,-10610.31,-10632.31,-10677.09,-10849.46,11974.51,106.97981444795776,11974.51
12114.0,2948036.38,1015032.11,-9943.03,-10392.04,-10597.52,-10610.31,-10632.31,-10677.09,-10849.46,11975.51,112.11970909768742,11975.51
12115.0,2948036.37,1015032.13,-9944.03,-10392.04,-10597.52,-10610.31,-10632.31,-10677.09,-10849.46,11976.51,,11976.51
12116.0,2948036.36,1015032.16,-9945.03,-10392.04,-10597.52,-10610.31,-10632.31,-10677.09,-10849.46,11977.51,105.92972844424952,11977.51
12117.0,2948036.36,1015032.18,-9946.03,-10392.04,-10597.52,-10610.31,-10632.31,-10677.09,-10849.46,11978.51,120.34538279340175,11978.51
12118.0,2948036.35,1015032.2,-9947.03,-10392.04,-10597.52,-10610.31,-10632.31,-10677.08,-10849.46,11979.51,134.77024842328825,11979.51
12119.0,2948036.34,1015032.22,-9948.03,-10392.04,-10597.52,-10610.31,-10632.31,-10677.08,-10849.46,11980.51,133.0569502067117,11980.51
12120.0,2948036.33,1015032.25,-9949.03,-10392.04,-10597.52,-10610.31,-10632.31,-10677.08,-10849.46,11981.51,134.43864231685407,11981.51
12121.0,2948036.32,1015032.27,-9950.03,-10392.04,-10597.52,-10610.31,-10632.31,-10677.08,-10849.46,11982.51,136.15194053343066,11982.51
12122.0,2948036.31,1015032.29,-9951.03,-10392.04,-10597.52,-10610.31,-10632.31,-10677.08,-10849.46,11983.51,124.14964173666046,11983.51
12123.0,2948036.3,1015032.31,-9952.03,-10392.03,-10597.51,-10610.3,-10632.3,-10677.08,-10849.45,11984.51,122.4363435200839,11984.51
12124.0,2948036.29,1015032.34,-9953.03,-10392.03,-10597.51,-10610.3,-10632.3,-10677.08,-10849.45,11985.52,118.3096897511253,11985.52
12125.0,2948036.29,1015032.36,-9954.03,-10392.03,-10597.51,-10610.3,-10632.3,-10677.08,-10849.45,11986.52,119.34135319336497,11986.52
12126.0,2948036.28,1015032.38,-9955.03,-10392.03,-10597.51,-10610.3,-10632.3,-10677.08,-10849.45,11987.52,123.46800696232354,11987.52
12127.0,2948036.27,1015032.4,-9956.03,-10392.03,-10597.51,-10610.3,-10632.3,-10677.08,-10849.45,11988.52,116.24636286664602,11988.52
12128.0,2948036.26,1015032.43,-9957.03,-10392.03,-10597.51,-10610.3,-10632.3,-10677.08,-10849.45,11989.52,107.99305532872884,11989.52
12129.0,2948036.25,1015032.45,-9958.03,-10392.03,-10597.51,-10610.3,-10632.3,-10677.07,-10849.45,11990.52,,11990.52
12130.0,2948036.24,1015032.47,-9959.03,-10392.03,-10597.51,-10610.3,-10632.3,-10677.07,-10849.45,11991.52,113.15137253992708,11991.52
12131.0,2948036.23,1015032.49,-9960.03,-10392.03,-10597.51,-10610.3,-10632.3,-10677.07,-10849.45,11992.52,119.68217058053342,11992.52
12132.0,2948036.22,1015032.52,-9961.03,-10392.03,-10597.51,-10610.3,-10632.3,-10677.07,-10849.45,11993.52,125.18130517890012,11993.52
12133.0,2948036.22,1015032.54,-9962.03,-10392.03,-10597.51,-10610.3,-10632.3,-10677.07,-10849.45,11994.52,126.5629972890425,11994.52
12134.0,2948036.21,1015032.56,-9963.03,-10392.02,-10597.5,-10610.29,-10632.29,-10677.07,-10849.44,11995.52,123.1179782944208,11995.52
12135.0,2948036.2,1015032.58,-9964.03,-10392.02,-10597.5,-10610.29,-10632.29,-10677.07,-10849.44,11996.52,109.36553615813696,11996.52
12136.0,2948036.19,1015032.6,-9965.03,-10392.02,-10597.5,-10610.29,-10632.29,-10677.07,-10849.44,11997.52,108.68390138380003,11997.52
12137.0,2948036.18,1015032.63,-9966.03,-10392.02,-10597.5,-10610.29,-10632.29,-10677.07,-10849.44,11998.52,119.68217058053342,11998.52
12138.0,2948036.17,1015032.65,-9967.02,-10392.02,-10597.5,-10610.29,-10632.29,-10677.07,-10849.44,11999.52,122.4363435200839,11999.52
