MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11578.0,2987123.18,1065138.72,-9396.76,-9586.75,-9754.75,-9777.75,-9855.75,-9890.75,-10032.75,11543.46,,11543.46
11579.0,2987123.17,1065138.72,-9397.76,-9586.75,-9754.75,-9777.75,-9855.75,-9890.75,-10032.75,11544.46,116.66973528287822,11544.46
11580.0,2987123.15,1065138.72,-9398.76,-9586.75,-9754.75,-9777.75,-9855.75,-9890.75,-10032.75,11545.46,125.089806894867,11545.46
11581.0,2987123.14,1065138.73,-9399.76,-9586.75,-9754.75,-9777.75,-9855.75,-9890.75,-10032.75,11546.46,137.95511184391134,11546.46
11582.0,2987123.12,1065138.73,-9400.76,-9586.75,-9754.75,-9777.75,-9855.75,-9890.75,-10032.75,11547.46,146.0576667889676,11547.46
11583.0,2987123.11,1065138.74,-9401.76,-9586.75,-9754.75,-9777.75,-9855.75,-9890.75,-10032.75,11548.46,127.24186430407644,11548.46
11584.0,2987123.09,1065138.74,-9402.76,-9586.75,-9754.75,-9777.75,-9855.75,-9890.75,-10032.75,11549.46,124.09021738785717,11549.46
11585.0,2987123.08,1065138.74,-9403.76,-9586.75,-9754.75,-9777.75,-9855.75,-9890.75,-10032.75,11550.46,119.91546121152194,11550.46
11586.0,2987123.06,1065138.75,-9404.76,-9586.75,-9754.75,-9777.75,-9855.75,-9890.75,-10032.75,11551.46,119.104029729361,11551.46
11587.0,2987123.05,1065138.75,-9405.76,-9586.75,-9754.75,-9777.75,-9855.75,-9890.75,-10032.75,11552.47,120.64457355781148,11552.47
11588.0,2987123.03,1065138.76,-9406.76,-9586.75,-9754.75,-9777.75,-9855.75,-9890.75,-10032.75,11553.47,122.53791368285364,11553.47
11589.0,2987123.02,1065138.76,-9407.76,-9586.74,-9754.74,-9777.74,-9855.74,-9890.74,-10032.74,11554.47,131.94581492529923,11554.47
11590.0,2987123.01,1065138.77,-9408.76,-9586.74,-9754.74,-9777.74,-9855.74,-9890.74,-10032.74,11555.47,160.16951865263593,11555.47
11591.0,2987122.99,1065138.78,-9409.76,-9586.74,-9754.74,-9777.74,-9855.74,-9890.74,-10032.74,11556.47,108.42606181918528,11556.47
11592.0,2987122.98,1065138.79,-9410.76,-9586.74,-9754.74,-9777.74,-9855.74,-9890.74,-10032.74,11557.47,,11557.47
11593.0,2987122.96,1065138.8,-9411.76,-9586.73,-9754.73,-9777.73,-9855.73,-9890.73,-10032.73,11558.48,,11558.48
11594.0,2987122.95,1065138.81,-9412.76,-9586.73,-9754.73,-9777.73,-9855.73,-9890.73,-10032.73,11559.48,,11559.48
11595.0,2987122.94,1065138.83,-9413.76,-9586.73,-9754.73,-9777.73,-9855.73,-9890.73,-10032.73,11560.48,,11560.48
11596.0,2987122.93,1065138.85,-9414.76,-9586.72,-9754.72,-9777.72,-9855.72,-9890.72,-10032.72,11561.48,103.72211119796248,11561.48
11597.0,2987122.91,1065138.87,-9415.76,-9586.72,-9754.72,-9777.72,-9855.72,-9890.72,-10032.72,11562.490000000002,117.83396306163084,11562.490000000002
11598.0,2987122.9,1065138.89,-9416.76,-9586.72,-9754.72,-9777.72,-9855.72,-9890.72,-10032.72,11563.490000000002,119.53914516182412,11563.490000000002
11599.0,2987122.89,1065138.91,-9417.76,-9586.71,-9754.71,-9777.71,-9855.71,-9890.71,-10032.71,11564.5,119.23338837144463,11564.5
11600.0,2987122.88,1065138.94,-9418.76,-9586.71,-9754.71,-9777.71,-9855.71,-9890.71,-10032.71,11565.5,113.13001244040808,11565.5
11601.0,2987122.87,1065138.97,-9419.76,-9586.7,-9754.7,-9777.7,-9855.7,-9890.7,-10032.7,11566.51,108.42606181918528,11566.51
11602.0,2987122.86,1065139.0,-9420.76,-9586.69,-9754.69,-9777.69,-9855.69,-9890.69,-10032.69,11567.51,110.64867848771306,11567.51
11603.0,2987122.85,1065139.03,-9421.76,-9586.68,-9754.68,-9777.68,-9855.68,-9890.68,-10032.68,11568.52,113.13001244040808,11568.52
11604.0,2987122.84,1065139.06,-9422.76,-9586.68,-9754.68,-9777.68,-9855.68,-9890.68,-10032.68,11569.53,123.37286491812068,11569.53
11605.0,2987122.83,1065139.1,-9423.76,-9586.67,-9754.67,-9777.67,-9855.67,-9890.67,-10032.67,11570.53,127.24186430407644,11570.53
11606.0,2987122.83,1065139.13,-9424.75,-9586.66,-9754.66,-9777.66,-9855.66,-9890.66,-10032.66,11571.54,,11571.54
11607.0,2987122.82,1065139.17,-9425.75,-9586.66,-9754.66,-9777.66,-9855.66,-9890.66,-10032.66,11572.55,,11572.55
11608.0,2987122.81,1065139.22,-9426.75,-9586.65,-9754.65,-9777.65,-9855.65,-9890.65,-10032.65,11573.55,108.23790379433638,11573.55
11609.0,2987122.8,1065139.26,-9427.75,-9586.64,-9754.64,-9777.64,-9855.64,-9890.64,-10032.64,11574.56,103.72211119796248,11574.56
11610.0,2987122.8,1065139.3,-9428.75,-9586.63,-9754.63,-9777.63,-9855.63,-9890.63,-10032.63,11575.570000000002,,11575.570000000002
11611.0,2987122.79,1065139.35,-9429.75,-9586.61,-9754.61,-9777.61,-9855.61,-9890.61,-10032.61,11576.58,,11576.58
11612.0,2987122.79,1065139.4,-9430.75,-9586.6,-9754.6,-9777.6,-9855.6,-9890.6,-10032.6,11577.59,,11577.59
11613.0,2987122.78,1065139.45,-9431.75,-9586.59,-9754.59,-9777.59,-9855.59,-9890.59,-10032.59,11578.61,99.0181605767397,11578.61
11614.0,2987122.78,1065139.51,-9432.75,-9586.58,-9754.58,-9777.58,-9855.58,-9890.58,-10032.58,11579.62,114.36479947847904,11579.62
11615.0,2987122.77,1065139.56,-9433.74,-9586.57,-9754.57,-9777.57,-9855.57,-9890.57,-10032.57,11580.63,141.3537161677448,11580.63
11616.0,2987122.77,1065139.62,-9434.74,-9586.56,-9754.56,-9777.56,-9855.56,-9890.56,-10032.56,11581.64,117.83396306163084,11581.64
11617.0,2987122.77,1065139.68,-9435.74,-9586.54,-9754.54,-9777.54,-9855.54,-9890.54,-10032.54,11582.65,99.0181605767397,11582.65
11618.0,2987122.76,1065139.74,-9436.74,-9586.53,-9754.53,-9777.53,-9855.53,-9890.53,-10032.53,11583.66,,11583.66
11619.0,2987122.76,1065139.81,-9437.74,-9586.52,-9754.52,-9777.52,-9855.52,-9890.52,-10032.52,11584.67,108.42606181918528,11584.67
11620.0,2987122.76,1065139.87,-9438.73,-9586.5,-9754.5,-9777.5,-9855.5,-9890.5,-10032.5,11585.68,,11585.68
11621.0,2987122.76,1065139.94,-9439.73,-9586.48,-9754.48,-9777.48,-9855.48,-9890.48,-10032.48,11586.7,103.72211119796248,11586.7
11622.0,2987122.75,1065140.01,-9440.73,-9586.47,-9754.47,-9777.47,-9855.47,-9890.47,-10032.47,11587.71,,11587.71
11623.0,2987122.75,1065140.08,-9441.73,-9586.45,-9754.45,-9777.45,-9855.45,-9890.45,-10032.45,11588.72,,11588.72
11624.0,2987122.75,1065140.15,-9442.72,-9586.43,-9754.43,-9777.43,-9855.43,-9890.43,-10032.43,11589.740000000002,110.77803712979669,11589.740000000002
11625.0,2987122.75,1065140.23,-9443.72,-9586.42,-9754.42,-9777.42,-9855.42,-9890.42,-10032.42,11590.75,117.83396306163084,11590.75
11626.0,2987122.75,1065140.31,-9444.72,-9586.4,-9754.4,-9777.4,-9855.4,-9890.4,-10032.4,11591.77,103.72211119796248,11591.77
11627.0,2987122.75,1065140.38,-9445.72,-9586.39,-9754.39,-9777.39,-9855.39,-9890.39,-10032.39,11592.78,112.9065747859,11592.78
11628.0,2987122.76,1065140.47,-9446.71,-9586.37,-9754.37,-9777.37,-9855.37,-9890.37,-10032.37,11593.79,131.94581492529923,11593.79
11629.0,2987122.76,1065140.55,-9447.71,-9586.35,-9754.35,-9777.35,-9855.35,-9890.35,-10032.35,11594.81,119.65674392735468,11594.81
