MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11390.0,2926065.5,1017159.79,-9304.04,-9705.27,-9931.84,-9970.74,-10046.13,-10092.98,-10252.2,11172.71,,11172.71
11391.0,2926065.49,1017159.83,-9305.04,-9705.43,-9932.0,-9970.9,-10046.29,-10093.14,-10252.37,11173.55,,11173.55
11392.0,2926065.48,1017159.87,-9306.04,-9705.6,-9932.17,-9971.07,-10046.46,-10093.31,-10252.53,11174.38,108.43170978269252,11174.38
11393.0,2926065.48,1017159.91,-9307.04,-9705.76,-9932.33,-9971.23,-10046.62,-10093.47,-10252.69,11175.22,,11175.22
11394.0,2926065.47,1017159.95,-9308.04,-9705.92,-9932.49,-9971.39,-10046.78,-10093.63,-10252.85,11176.06,,11176.06
11395.0,2926065.46,1017159.99,-9309.04,-9706.09,-9932.66,-9971.56,-10046.95,-10093.8,-10253.02,11176.89,103.00068385994985,11176.89
11396.0,2926065.45,1017160.03,-9310.04,-9706.25,-9932.82,-9971.72,-10047.11,-10093.96,-10253.18,11177.73,,11177.73
11397.0,2926065.45,1017160.07,-9311.04,-9706.41,-9932.98,-9971.88,-10047.27,-10094.12,-10253.34,11178.56,,11178.56
11398.0,2926065.44,1017160.11,-9312.04,-9706.58,-9933.15,-9972.05,-10047.44,-10094.29,-10253.51,11179.4,108.43170978269252,11179.4
11399.0,2926065.43,1017160.15,-9313.04,-9706.74,-9933.31,-9972.21,-10047.6,-10094.45,-10253.67,11180.23,,11180.23
11400.0,2926065.43,1017160.19,-9314.04,-9706.91,-9933.48,-9972.38,-10047.77,-10094.61,-10253.84,11181.070000000002,,11181.070000000002
11401.0,2926065.42,1017160.23,-9315.03,-9707.07,-9933.64,-9972.54,-10047.93,-10094.78,-10254.0,11181.9,105.71064362508116,11181.9
11402.0,2926065.41,1017160.27,-9316.03,-9707.23,-9933.8,-9972.7,-10048.09,-10094.94,-10254.16,11182.740000000002,,11182.740000000002
11403.0,2926065.4,1017160.31,-9317.03,-9707.4,-9933.97,-9972.87,-10048.26,-10095.11,-10254.33,11183.58,,11183.58
11404.0,2926065.4,1017160.35,-9318.03,-9707.56,-9934.13,-9973.03,-10048.42,-10095.27,-10254.49,11184.41,,11184.41
11405.0,2926065.39,1017160.38,-9319.03,-9707.73,-9934.3,-9973.2,-10048.59,-10095.43,-10254.66,11185.25,,11185.25
