MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10203.0,2999683.78,1127415.58,-8131.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10126.72,,10126.72
10204.0,2999683.77,1127415.58,-8132.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10127.72,,10127.72
10205.0,2999683.76,1127415.59,-8133.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10128.72,,10128.72
10206.0,2999683.76,1127415.59,-8134.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10129.72,,10129.72
10207.0,2999683.75,1127415.6,-8135.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10130.72,,10130.72
10208.0,2999683.74,1127415.61,-8136.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10131.72,,10131.72
10209.0,2999683.73,1127415.61,-8137.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10132.72,,10132.72
10210.0,2999683.72,1127415.62,-8138.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10133.72,,10133.72
10211.0,2999683.71,1127415.63,-8139.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10134.72,,10134.72
10212.0,2999683.7,1127415.63,-8140.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10135.72,,10135.72
10213.0,2999683.69,1127415.64,-8141.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10136.72,,10136.72
10214.0,2999683.68,1127415.64,-8142.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10137.72,,10137.72
10215.0,2999683.67,1127415.65,-8143.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10138.72,,10138.72
10216.0,2999683.66,1127415.66,-8144.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10139.72,,10139.72
10217.0,2999683.64,1127415.66,-8145.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10140.72,,10140.72
10218.0,2999683.63,1127415.67,-8146.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10141.72,,10141.72
10219.0,2999683.62,1127415.68,-8147.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10142.72,,10142.72
10220.0,2999683.61,1127415.68,-8148.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10143.72,,10143.72
10221.0,2999683.6,1127415.69,-8149.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10144.72,,10144.72
10222.0,2999683.59,1127415.69,-8150.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10145.72,,10145.72
10223.0,2999683.58,1127415.7,-8151.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10146.72,,10146.72
10224.0,2999683.57,1127415.71,-8152.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10147.72,,10147.72
10225.0,2999683.56,1127415.71,-8153.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10148.72,,10148.72
10226.0,2999683.55,1127415.72,-8154.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10149.72,,10149.72
10227.0,2999683.54,1127415.73,-8155.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10150.72,,10150.72
10228.0,2999683.53,1127415.73,-8156.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10151.72,,10151.72
10229.0,2999683.52,1127415.74,-8157.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10152.72,,10152.72
10230.0,2999683.51,1127415.75,-8158.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10153.72,,10153.72
10231.0,2999683.5,1127415.75,-8159.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10154.72,,10154.72
10232.0,2999683.49,1127415.76,-8160.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10155.72,,10155.72
10233.0,2999683.48,1127415.77,-8161.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10156.72,,10156.72
10234.0,2999683.47,1127415.77,-8162.34,-8374.97,-8489.75,-8582.21,-8754.27,-8806.28,-8901.68,10157.72,,10157.72
10235.0,2999683.45,1127415.78,-8163.34,-8374.97,-8489.75,-8582.21,-8754.26,-8806.28,-8901.68,10158.72,,10158.72
10236.0,2999683.44,1127415.79,-8164.34,-8374.97,-8489.75,-8582.21,-8754.26,-8806.28,-8901.68,10159.72,,10159.72
10237.0,2999683.43,1127415.79,-8165.34,-8374.97,-8489.75,-8582.21,-8754.26,-8806.28,-8901.68,10160.72,,10160.72
10238.0,2999683.42,1127415.8,-8166.34,-8374.97,-8489.75,-8582.21,-8754.26,-8806.28,-8901.68,10161.72,,10161.72
