MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10633.0,2976245.69,1091156.2,-8354.19,-8531.55,-8679.59,-8748.55,-8848.67,-8896.26,-9005.28,10759.05,118.98167249936608,10759.05
10634.0,2976245.67,1091156.2,-8355.19,-8532.05,-8680.09,-8749.05,-8849.18,-8896.76,-9005.78,10759.55,115.41446938146724,10759.55
10635.0,2976245.64,1091156.19,-8356.19,-8532.55,-8680.6,-8749.55,-8849.68,-8897.26,-9006.28,10760.04,,10760.04
10636.0,2976245.62,1091156.19,-8357.19,-8533.06,-8681.1,-8750.06,-8850.18,-8897.76,-9006.78,10760.54,119.65578962400836,10760.54
10637.0,2976245.6,1091156.19,-8358.19,-8533.56,-8681.6,-8750.56,-8850.68,-8898.26,-9007.29,10761.04,123.2229927419072,10761.04
10638.0,2976245.57,1091156.19,-8359.19,-8534.06,-8682.1,-8751.06,-8851.18,-8898.76,-9007.79,10761.54,122.2024543171015,10761.54
10639.0,2976245.55,1091156.19,-8360.19,-8534.56,-8682.6,-8751.56,-8851.68,-8899.27,-9008.29,10762.04,,10762.04
10640.0,2976245.53,1091156.18,-8361.19,-8535.06,-8683.1,-8752.06,-8852.18,-8899.77,-9008.79,10762.54,121.01338661113525,10762.54
10641.0,2976245.51,1091156.18,-8362.19,-8535.57,-8683.61,-8752.57,-8852.69,-8900.27,-9009.3,10763.03,121.5283371924592,10763.03
10642.0,2976245.48,1091156.18,-8363.19,-8536.08,-8684.12,-8753.08,-8853.2,-8900.78,-9009.81,10763.52,121.86539575478037,10763.52
10643.0,2976245.46,1091156.18,-8364.19,-8536.58,-8684.63,-8753.58,-8853.71,-8901.29,-9010.31,10764.01,,10764.01
10644.0,2976245.44,1091156.18,-8365.19,-8537.09,-8685.14,-8754.09,-8854.22,-8901.8,-9010.82,10764.5,123.2229927419072,10764.5
10645.0,2976245.41,1091156.18,-8366.19,-8537.6,-8685.64,-8754.6,-8854.72,-8902.31,-9011.33,10765.0,,10765.0
10646.0,2976245.39,1091156.17,-8367.18,-8538.11,-8686.15,-8755.11,-8855.23,-8902.81,-9011.84,10765.490000000002,121.86539575478037,10765.490000000002
