TVT,GR,Geology
11276.45,123.79,
11276.95,114.07000000000001,
11277.45,107.09,
11277.95,105.14,
11278.45,107.05,
11278.95,109.21000000000001,
11279.45,107.58,
11279.95,103.22,
11280.45,101.43,
11280.95,102.96000000000001,
11281.45,103.29,
11281.95,101.2,
11282.45,100.45,
11282.95,105.0,
11283.45,113.07000000000001,
11283.95,116.95,
11284.45,112.53,
11284.95,104.43,
11285.45,99.29,
11285.95,98.48,
11286.45,98.33,
11286.95,97.06,
11287.45,97.25,
11287.95,101.9,
11288.45,112.08,
11288.95,124.52,
11289.45,128.72,
11289.95,119.91,
11290.45,107.32000000000001,
11290.95,99.96000000000001,
11291.45,98.18,
11291.95,101.84,
11292.45,110.5,
11292.95,120.02,
11293.45,124.22,
11293.95,121.91,
11294.45,118.63000000000001,
11294.95,118.31,
11295.45,118.59,
11295.95,116.53,
11296.45,112.81,
11296.95,109.44,
11297.45,109.5,
11297.95,113.84,
11298.45,120.34,
11298.95,127.96000000000001,
11299.45,133.57999999999998,
11299.95,130.85,
11300.45,118.43,
11300.95,105.2,
11301.45,98.59,
11301.95,99.45,
11302.45,104.62,
11302.95,110.29,
11303.45,112.3,
11303.95,110.07000000000001,
11304.45,106.27,
11304.95,103.76,
11305.45,103.73,
11305.95,104.82000000000001,
11306.45,104.48,
11306.95,102.58,
11307.45,100.91,
11307.95,100.23,
11308.45,100.31,
11308.95,101.67,
11309.45,104.5,
11309.95,106.74000000000001,
11310.45,105.51,
11310.95,101.79,
11311.45,99.03,
11311.95,97.59,
11312.45,96.21000000000001,
11312.95,95.47,
11313.45,95.45,
11313.95,95.01,
11314.45,94.64,
11314.95,95.93,
11315.45,98.62,
11315.95,99.61,
11316.45,97.78,
11316.95,96.32000000000001,
11317.45,97.27,
11317.95,101.17,
11318.45,111.25,
11318.95,128.01999999999998,
11319.45,146.45,
11319.95,158.17999999999998,
11320.45,153.2,
11320.95,131.04999999999998,
11321.45,107.93,
11321.95,97.71000000000001,
11322.45,97.46000000000001,
11322.95,98.62,
11323.45,98.65,
11323.95,98.34,
11324.45,98.82000000000001,
11324.95,99.81,
11325.45,100.43,
11325.95,101.46000000000001,
11326.45,104.05,
11326.95,105.64,
11327.45,102.5,
11327.95,96.15,
11328.45,91.63000000000001,
11328.95,91.13000000000001,
11329.45,93.3,
11329.95,96.37,
11330.45,99.38000000000001,
11330.95,101.92,
11331.45,103.03,
11331.95,101.42,
11332.45,97.26,
11332.95,92.10000000000001,
11333.45,88.84,
11333.95,89.79,
11334.45,92.64,
11334.95,93.39,
11335.45,98.57000000000001,
11335.95,108.99000000000001,
11336.45,118.24000000000001,
11336.95,119.02,
11337.45,111.54,
11337.95,103.29,
11338.45,100.35000000000001,
11338.95,103.05,
11339.45,108.56,
11339.95,114.16,
11340.45,115.53,
11340.95,113.91,
11341.45,114.24000000000001,
11341.95,117.02,
11342.45,117.72,
11342.95,116.03,
11343.45,113.43,
11343.95,110.74000000000001,
11344.45,107.86,
11344.95,105.48,
11345.45,104.96000000000001,
11345.95,105.97,
11346.45,106.94,
11346.95,107.15,
11347.45,106.64,
11347.95,104.67,
11348.45,103.16,
11348.95,103.25,
11349.45,103.72,
11349.95,103.38000000000001,
11350.45,102.4,
11350.95,101.84,
11351.45,103.8,
11351.95,107.95,
11352.45,110.87,
11352.95,111.03,
11353.45,109.01,
11353.95,108.7,
11354.45,113.16,
11354.95,118.97,
11355.45,120.3,
11355.95,116.58,
11356.45,110.13000000000001,
11356.95,103.18,
11357.45,96.92,
11357.95,92.5,
11358.45,90.25,
11358.95,89.0,
11359.45,88.68,
11359.95,90.09,
11360.45,91.62,
11360.95,91.72,
11361.45,91.57000000000001,
11361.95,92.13000000000001,
11362.45,92.27,
11362.95,93.11,
11363.45,99.11,
11363.95,113.94,
11364.45,131.35999999999999,
11364.95,136.74,
11365.45,125.09,
11365.95,108.27,
11366.45,99.44,
11366.95,98.85000000000001,
11367.45,100.25,
11367.95,98.97,
11368.45,95.26,
11368.95,91.79,
11369.45,90.13000000000001,
11369.95,89.81,
11370.45,90.23,
11370.95,92.38000000000001,
11371.45,97.93,
11371.95,104.87,
11372.45,105.37,
