MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10551.0,2916966.99,1044883.92,-8514.9,-8603.25,-8815.32,-8869.46,-8921.44,-8967.28,-9093.25,10672.33,184.34871895355704,10672.33
10552.0,2916967.01,1044883.9,-8515.9,-8603.19,-8815.26,-8869.4,-8921.39,-8967.22,-9093.19,10673.38,188.0397945277105,10673.38
10553.0,2916967.04,1044883.87,-8516.9,-8603.13,-8815.2,-8869.34,-8921.32,-8967.16,-9093.13,10674.45,194.19158715129976,10674.45
10554.0,2916967.06,1044883.84,-8517.9,-8603.06,-8815.13,-8869.27,-8921.25,-8967.09,-9093.06,10675.52,191.1840440908784,10675.52
10555.0,2916967.09,1044883.8,-8518.9,-8602.98,-8815.05,-8869.19,-8921.18,-8967.01,-9092.98,10676.59,210.04954146988533,10676.59
10556.0,2916967.12,1044883.77,-8519.89,-8602.9,-8814.97,-8869.12,-8921.1,-8966.93,-9092.9,10677.67,202.87245007569788,10677.67
10557.0,2916967.15,1044883.73,-8520.89,-8602.82,-8814.89,-8869.03,-8921.01,-8966.85,-9092.82,10678.75,186.7410827516195,10678.75
10558.0,2916967.18,1044883.69,-8521.89,-8602.73,-8814.8,-8868.94,-8920.92,-8966.76,-9092.73,10679.84,186.39931649475344,10679.84
10559.0,2916967.21,1044883.64,-8522.89,-8602.63,-8814.7,-8868.84,-8920.83,-8966.66,-9092.63,10680.94,192.20934286147656,10680.94
10560.0,2916967.25,1044883.6,-8523.89,-8602.53,-8814.6,-8868.74,-8920.73,-8966.56,-9092.53,10682.03,206.9052919067175,10682.03
10561.0,2916967.29,1044883.55,-8524.89,-8602.43,-8814.5,-8868.64,-8920.62,-8966.45,-9092.43,10683.14,203.7610423435497,10683.14
10562.0,2916967.33,1044883.5,-8525.88,-8602.31,-8814.39,-8868.53,-8920.51,-8966.34,-9092.32,10684.25,192.68781562108907,10684.25
