MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10633.0,2989015.37,1089028.54,-8380.38,-9056.6,-9204.8,-9271.68,-9369.9,-9420.46,-9535.92,10336.13,,10336.13
10634.0,2989015.36,1089028.55,-8381.38,-9056.64,-9204.84,-9271.72,-9369.94,-9420.5,-9535.96,10337.08,,10337.08
10635.0,2989015.34,1089028.57,-8382.38,-9056.69,-9204.89,-9271.77,-9369.98,-9420.55,-9536.01,10338.04,,10338.04
10636.0,2989015.33,1089028.58,-8383.38,-9056.73,-9204.93,-9271.81,-9370.02,-9420.59,-9536.05,10339.0,,10339.0
10637.0,2989015.32,1089028.59,-8384.38,-9056.77,-9204.97,-9271.85,-9370.07,-9420.63,-9536.09,10339.95,103.1124107555036,10339.95
10638.0,2989015.3,1089028.61,-8385.38,-9056.82,-9205.02,-9271.9,-9370.11,-9420.68,-9536.14,10340.91,101.61251705264746,10340.91
10639.0,2989015.29,1089028.62,-8386.38,-9056.86,-9205.06,-9271.94,-9370.16,-9420.72,-9536.18,10341.87,,10341.87
10640.0,2989015.28,1089028.63,-8387.38,-9056.9,-9205.1,-9271.98,-9370.2,-9420.76,-9536.22,10342.820000000002,,10342.820000000002
10641.0,2989015.26,1089028.65,-8388.38,-9056.95,-9205.15,-9272.03,-9370.25,-9420.81,-9536.27,10343.78,,10343.78
10642.0,2989015.25,1089028.66,-8389.38,-9056.99,-9205.19,-9272.07,-9370.29,-9420.85,-9536.31,10344.73,,10344.73
10643.0,2989015.24,1089028.68,-8390.38,-9057.04,-9205.24,-9272.12,-9370.33,-9420.9,-9536.36,10345.69,96.4790780414638,10345.69
10644.0,2989015.22,1089028.69,-8391.38,-9057.08,-9205.28,-9272.16,-9370.38,-9420.94,-9536.4,10346.64,93.16241168444392,10346.64
10645.0,2989015.21,1089028.7,-8392.38,-9057.13,-9205.33,-9272.21,-9370.42,-9420.99,-9536.45,10347.6,,10347.6
10646.0,2989015.2,1089028.72,-8393.38,-9057.17,-9205.37,-9272.25,-9370.47,-9421.03,-9536.49,10348.56,,10348.56
10647.0,2989015.18,1089028.73,-8394.38,-9057.21,-9205.41,-9272.29,-9370.51,-9421.07,-9536.53,10349.51,,10349.51
10648.0,2989015.17,1089028.74,-8395.38,-9057.26,-9205.46,-9272.34,-9370.56,-9421.12,-9536.58,10350.46,,10350.46
10649.0,2989015.16,1089028.76,-8396.37,-9057.31,-9205.51,-9272.39,-9370.6,-9421.17,-9536.63,10351.42,,10351.42
10650.0,2989015.14,1089028.77,-8397.37,-9057.35,-9205.55,-9272.43,-9370.65,-9421.21,-9536.67,10352.37,,10352.37
10651.0,2989015.13,1089028.79,-8398.37,-9057.4,-9205.6,-9272.48,-9370.69,-9421.26,-9536.72,10353.33,,10353.33
10652.0,2989015.11,1089028.8,-8399.37,-9057.44,-9205.64,-9272.52,-9370.74,-9421.3,-9536.76,10354.28,,10354.28
10653.0,2989015.1,1089028.81,-8400.37,-9057.49,-9205.69,-9272.57,-9370.78,-9421.35,-9536.81,10355.240000000002,,10355.240000000002
