MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11125.0,2992920.27,1095948.9,-8888.86,-9009.3,-9154.34,-9243.29,-9366.0,-9417.7,-9527.41,10855.88,126.65432706029,10855.88
11126.0,2992920.26,1095948.89,-8889.86,-9009.32,-9154.37,-9243.32,-9366.02,-9417.73,-9527.43,10856.85,124.48766184265484,10856.85
11127.0,2992920.25,1095948.88,-8890.86,-9009.35,-9154.39,-9243.35,-9366.05,-9417.75,-9527.46,10857.83,124.8540831662255,10857.83
11128.0,2992920.24,1095948.87,-8891.86,-9009.37,-9154.42,-9243.37,-9366.07,-9417.78,-9527.48,10858.8,127.21192472659315,10858.8
11129.0,2992920.23,1095948.86,-8892.86,-9009.4,-9154.44,-9243.4,-9366.1,-9417.8,-9527.51,10859.78,126.22418028914184,10859.78
11130.0,2992920.22,1095948.84,-8893.86,-9009.43,-9154.47,-9243.42,-9366.12,-9417.83,-9527.53,10860.75,125.74623943231056,10860.75
11131.0,2992920.21,1095948.83,-8894.86,-9009.45,-9154.49,-9243.45,-9366.15,-9417.85,-9527.56,10861.73,127.0526111076494,10861.73
11132.0,2992920.21,1095948.81,-8895.86,-9009.48,-9154.52,-9243.47,-9366.18,-9417.88,-9527.59,10862.7,126.20824892724744,10862.7
11133.0,2992920.2,1095948.79,-8896.86,-9009.5,-9154.55,-9243.5,-9366.2,-9417.91,-9527.61,10863.67,123.26094697678788,10863.67
11134.0,2992920.2,1095948.77,-8897.86,-9009.53,-9154.57,-9243.53,-9366.23,-9417.93,-9527.64,10864.65,123.10163335784412,10864.65
11135.0,2992920.19,1095948.75,-8898.86,-9009.55,-9154.6,-9243.55,-9366.25,-9417.96,-9527.66,10865.62,122.89452565321724,10865.62
11136.0,2992920.19,1095948.73,-8899.86,-9009.61,-9154.65,-9243.61,-9366.31,-9418.01,-9527.72,10866.570000000002,121.74746759682216,10866.570000000002
11137.0,2992920.18,1095948.7,-8900.86,-9009.66,-9154.71,-9243.66,-9366.36,-9418.07,-9527.77,10867.51,126.36756254619124,10867.51
11138.0,2992920.18,1095948.68,-8901.86,-9009.72,-9154.76,-9243.71,-9366.42,-9418.12,-9527.83,10868.46,127.21192472659315,10868.46
11139.0,2992920.18,1095948.65,-8902.86,-9009.77,-9154.81,-9243.77,-9366.47,-9418.17,-9527.88,10869.4,124.16903460476732,10869.4
11140.0,2992920.18,1095948.62,-8903.86,-9009.82,-9154.87,-9243.82,-9366.52,-9418.23,-9527.93,10870.35,121.93864393955468,10870.35
11141.0,2992920.17,1095948.59,-8904.86,-9009.88,-9154.92,-9243.88,-9366.58,-9418.28,-9527.99,10871.3,121.12614448294148,10871.3
11142.0,2992920.17,1095948.56,-8905.86,-9009.93,-9154.98,-9243.93,-9366.63,-9418.33,-9528.04,10872.240000000002,,10872.240000000002
11143.0,2992920.17,1095948.53,-8906.86,-9009.99,-9155.03,-9243.98,-9366.69,-9418.39,-9528.1,10873.19,130.06363850568647,10873.19
11144.0,2992920.18,1095948.49,-8907.86,-9010.04,-9155.08,-9244.04,-9366.74,-9418.44,-9528.15,10874.13,130.4459911911515,10874.13
11145.0,2992920.18,1095948.46,-8908.86,-9010.09,-9155.14,-9244.09,-9366.79,-9418.5,-9528.2,10875.08,,10875.08
11146.0,2992920.18,1095948.42,-8909.86,-9010.18,-9155.22,-9244.17,-9366.88,-9418.58,-9528.29,10875.990000000002,135.35285065461937,10875.990000000002
11147.0,2992920.18,1095948.39,-8910.86,-9010.26,-9155.3,-9244.26,-9366.96,-9418.66,-9528.37,10876.91,134.03054761738613,10876.91
11148.0,2992920.18,1095948.35,-8911.85,-9010.34,-9155.38,-9244.34,-9367.04,-9418.74,-9528.45,10877.83,126.67025842218438,10877.83
11149.0,2992920.19,1095948.31,-8912.85,-9010.42,-9155.47,-9244.42,-9367.12,-9418.83,-9528.53,10878.75,113.81364937342283,10878.75
11150.0,2992920.19,1095948.26,-8913.85,-9010.5,-9155.55,-9244.5,-9367.2,-9418.91,-9528.61,10879.66,108.74747629101128,10879.66
11151.0,2992920.2,1095948.22,-8914.85,-9010.59,-9155.63,-9244.58,-9367.29,-9418.99,-9528.7,10880.58,108.2376727103912,10880.58
11152.0,2992920.2,1095948.18,-8915.85,-9010.67,-9155.71,-9244.67,-9367.37,-9419.07,-9528.78,10881.5,117.11144128555873,10881.5
11153.0,2992920.21,1095948.13,-8916.85,-9010.75,-9155.79,-9244.75,-9367.45,-9419.15,-9528.86,10882.41,137.40799633899385,10882.41
11154.0,2992920.22,1095948.08,-8917.85,-9010.83,-9155.88,-9244.83,-9367.53,-9419.24,-9528.94,10883.33,137.69476085309265,10883.33
11155.0,2992920.23,1095948.03,-8918.85,-9010.92,-9155.96,-9244.91,-9367.62,-9419.32,-9529.03,10884.25,126.1763862034587,10884.25
11156.0,2992920.23,1095947.98,-8919.85,-9011.03,-9156.07,-9245.02,-9367.73,-9419.43,-9529.14,10885.13,,10885.13
11157.0,2992920.24,1095947.93,-8920.84,-9011.14,-9156.18,-9245.13,-9367.84,-9419.54,-9529.25,10886.02,127.78545375479072,10886.02
11158.0,2992920.25,1095947.88,-8921.84,-9011.25,-9156.29,-9245.25,-9367.95,-9419.65,-9529.36,10886.91,127.64207149774133,10886.91
11159.0,2992920.26,1095947.82,-8922.84,-9011.36,-9156.4,-9245.36,-9368.06,-9419.76,-9529.47,10887.8,135.1138802262037,10887.8
11160.0,2992920.27,1095947.77,-8923.84,-9011.47,-9156.51,-9245.47,-9368.17,-9419.87,-9529.58,10888.69,145.00725596261125,10888.69
11161.0,2992920.29,1095947.71,-8924.84,-9011.58,-9156.62,-9245.58,-9368.28,-9419.98,-9529.69,10889.570000000002,146.68004896152075,10889.570000000002
11162.0,2992920.3,1095947.65,-8925.84,-9011.69,-9156.73,-9245.69,-9368.39,-9420.09,-9529.8,10890.46,135.01829205483745,10890.46
11163.0,2992920.31,1095947.59,-8926.83,-9011.8,-9156.84,-9245.8,-9368.5,-9420.2,-9529.91,10891.35,118.56119521794692,10891.35
11164.0,2992920.32,1095947.53,-8927.83,-9011.91,-9156.95,-9245.91,-9368.61,-9420.31,-9530.02,10892.240000000002,115.88472641969176,10892.240000000002
11165.0,2992920.34,1095947.47,-8928.83,-9012.02,-9157.06,-9246.02,-9368.72,-9420.42,-9530.13,10893.13,,10893.13
11166.0,2992920.35,1095947.4,-8929.83,-9012.16,-9157.2,-9246.16,-9368.86,-9420.56,-9530.27,10893.98,123.56364285278104,10893.98
11167.0,2992920.37,1095947.34,-8930.83,-9012.3,-9157.34,-9246.3,-9369.0,-9420.7,-9530.41,10894.84,119.93129234086328,10894.84
11168.0,2992920.39,1095947.27,-8931.82,-9012.44,-9157.48,-9246.43,-9369.14,-9420.84,-9530.55,10895.7,116.44232408599493,10895.7
11169.0,2992920.4,1095947.2,-8932.82,-9012.57,-9157.62,-9246.57,-9369.27,-9420.98,-9530.68,10896.56,115.32712875338858,10896.56
11170.0,2992920.42,1095947.14,-8933.82,-9012.71,-9157.76,-9246.71,-9369.41,-9421.12,-9530.82,10897.42,111.47173917494956,10897.42
11171.0,2992920.44,1095947.06,-8934.82,-9012.85,-9157.9,-9246.85,-9369.55,-9421.26,-9530.96,10898.28,110.3087497566601,10898.28
11172.0,2992920.46,1095946.99,-8935.81,-9012.99,-9158.03,-9246.99,-9369.69,-9421.39,-9531.1,10899.14,108.71561356722248,10899.14
11173.0,2992920.48,1095946.92,-8936.81,-9013.13,-9158.17,-9247.13,-9369.83,-9421.53,-9531.24,10900.0,110.16536749961074,10900.0
11174.0,2992920.5,1095946.84,-8937.81,-9013.27,-9158.31,-9247.27,-9369.97,-9421.67,-9531.38,10900.85,111.9178173079921,10900.85
11175.0,2992920.52,1095946.77,-8938.8,-9013.41,-9158.45,-9247.4,-9370.11,-9421.81,-9531.52,10901.71,117.7009016756506,10901.71
11176.0,2992920.54,1095946.69,-8939.8,-9013.57,-9158.62,-9247.57,-9370.27,-9421.98,-9531.68,10902.54,140.32343556566468,10902.54
11177.0,2992920.56,1095946.61,-8940.8,-9013.74,-9158.78,-9247.74,-9370.44,-9422.14,-9531.85,10903.37,134.5881452836893,10903.37
11178.0,2992920.58,1095946.53,-8941.79,-9013.91,-9158.95,-9247.9,-9370.61,-9422.31,-9532.02,10904.2,109.35286804299754,10904.2
11179.0,2992920.6,1095946.45,-8942.79,-9014.07,-9159.12,-9248.07,-9370.77,-9422.48,-9532.18,10905.03,106.21438974980546,10905.03
11180.0,2992920.63,1095946.37,-8943.79,-9014.24,-9159.28,-9248.24,-9370.94,-9422.64,-9532.35,10905.86,105.64086072160792,10905.86
11181.0,2992920.65,1095946.28,-8944.78,-9014.41,-9159.45,-9248.41,-9371.11,-9422.81,-9532.52,10906.69,,10906.69
11182.0,2992920.68,1095946.2,-8945.78,-9014.57,-9159.62,-9248.57,-9371.27,-9422.98,-9532.68,10907.52,117.78055848512248,10907.52
11183.0,2992920.7,1095946.11,-8946.78,-9014.74,-9159.78,-9248.74,-9371.44,-9423.14,-9532.85,10908.35,118.05139163732689,10908.35
11184.0,2992920.73,1095946.02,-8947.77,-9014.91,-9159.95,-9248.91,-9371.61,-9423.31,-9533.02,10909.18,122.5121729677522,10909.18
11185.0,2992920.76,1095945.93,-8948.77,-9015.07,-9160.12,-9249.07,-9371.77,-9423.48,-9533.18,10910.01,133.9349594460199,10910.01
11186.0,2992920.78,1095945.84,-8949.76,-9015.27,-9160.31,-9249.27,-9371.97,-9423.67,-9533.38,10910.81,134.42883166474553,10910.81
11187.0,2992920.81,1095945.75,-8950.76,-9015.46,-9160.51,-9249.46,-9372.16,-9423.87,-9533.57,10911.61,132.81976411341356,10911.61
11188.0,2992920.84,1095945.65,-8951.75,-9015.66,-9160.7,-9249.66,-9372.36,-9424.06,-9533.77,10912.41,123.77075055740792,10912.41
11189.0,2992920.87,1095945.56,-8952.75,-9015.85,-9160.9,-9249.85,-9372.55,-9424.26,-9533.96,10913.21,106.77198741610862,10913.21
11190.0,2992920.9,1095945.46,-8953.74,-9016.05,-9161.09,-9250.05,-9372.75,-9424.45,-9534.16,10914.01,111.85409186041458,10914.01
11191.0,2992920.93,1095945.36,-8954.74,-9016.24,-9161.29,-9250.24,-9372.94,-9424.65,-9534.35,10914.81,116.18742229568488,10914.81
11192.0,2992920.96,1095945.26,-8955.73,-9016.44,-9161.48,-9250.44,-9373.14,-9424.84,-9534.55,10915.61,113.65433575447908,10915.61
11193.0,2992920.99,1095945.16,-8956.73,-9016.63,-9161.68,-9250.63,-9373.33,-9425.04,-9534.74,10916.41,116.95212766661494,10916.41
11194.0,2992921.03,1095945.06,-8957.72,-9016.83,-9161.87,-9250.83,-9373.53,-9425.23,-9534.94,10917.21,118.08325436111564,10917.21
11195.0,2992921.06,1095944.96,-8958.71,-9017.02,-9162.07,-9251.02,-9373.72,-9425.43,-9535.13,10918.01,114.94477606792356,10918.01
11196.0,2992921.09,1095944.85,-8959.71,-9017.39,-9162.43,-9251.38,-9374.08,-9425.79,-9535.49,10918.64,114.22786478267663,10918.64
11197.0,2992921.13,1095944.74,-8960.7,-9017.87,-9162.92,-9251.87,-9374.57,-9426.28,-9535.98,10919.14,113.19232625954218,10919.14
11198.0,2992921.16,1095944.64,-8961.7,-9018.37,-9163.41,-9252.37,-9375.07,-9426.77,-9536.48,10919.64,110.54772018507576,10919.64
11199.0,2992921.2,1095944.53,-8962.69,-9018.87,-9163.91,-9252.87,-9375.57,-9427.27,-9536.98,10920.13,110.88227878485765,10920.13
11200.0,2992921.23,1095944.42,-8963.68,-9019.38,-9164.42,-9253.38,-9376.08,-9427.78,-9537.49,10920.62,111.5832587082102,10920.62
11201.0,2992921.27,1095944.31,-8964.67,-9019.89,-9164.94,-9253.89,-9376.59,-9428.3,-9538.0,10921.1,110.14943613771636,10921.1
11202.0,2992921.31,1095944.19,-8965.67,-9020.42,-9165.46,-9254.41,-9377.12,-9428.82,-9538.53,10921.570000000002,111.59919007010456,10921.570000000002
11203.0,2992921.35,1095944.08,-8966.66,-9020.94,-9165.99,-9254.94,-9377.64,-9429.35,-9539.05,10922.03,114.21193342078226,10922.03
