MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11899.0,3016355.47,1080573.85,-9589.9,-10134.15,-10300.01,-10344.77,-10409.77,-10440.77,-10603.77,11794.58,101.21653150288704,11794.58
11900.0,3016355.2,1080573.72,-9590.86,-10134.15,-10300.01,-10344.77,-10409.77,-10440.77,-10603.77,11795.54,100.23579203322996,11795.54
11901.0,3016354.93,1080573.59,-9591.81,-10134.15,-10300.01,-10344.77,-10409.77,-10440.77,-10603.77,11796.490000000002,95.21609324229703,11796.490000000002
11902.0,3016354.65,1080573.46,-9592.76,-10134.15,-10300.01,-10344.77,-10409.77,-10440.77,-10603.77,11797.44,90.81858400738312,11797.44
11903.0,3016354.38,1080573.33,-9593.71,-10134.15,-10300.01,-10344.77,-10409.77,-10440.77,-10603.77,11798.4,90.52330760791648,11798.4
11904.0,3016354.1,1080573.2,-9594.67,-10134.14,-10300.0,-10344.76,-10409.76,-10440.76,-10603.76,11799.35,93.28625106006864,11799.35
11905.0,3016353.82,1080573.07,-9595.62,-10134.14,-10300.0,-10344.76,-10409.76,-10440.76,-10603.76,11800.31,96.99829722479214,11800.31
11906.0,3016353.55,1080572.95,-9596.57,-10134.14,-10300.0,-10344.76,-10409.76,-10440.76,-10603.76,11801.26,95.81719162692556,11801.26
11907.0,3016353.27,1080572.83,-9597.53,-10134.14,-10300.0,-10344.76,-10409.76,-10440.76,-10603.76,11802.22,92.4004218616687,11802.22
11908.0,3016352.99,1080572.7,-9598.48,-10134.14,-10300.0,-10344.76,-10409.76,-10440.76,-10603.76,11803.17,90.29130472262126,11803.17
11909.0,3016352.71,1080572.58,-9599.43,-10134.14,-10300.0,-10344.76,-10409.76,-10440.76,-10603.76,11804.13,90.8396751787736,11804.13
11910.0,3016352.43,1080572.47,-9600.38,-10134.13,-10299.99,-10344.75,-10409.75,-10440.75,-10603.75,11805.08,93.79243917344002,11805.08
11911.0,3016352.15,1080572.35,-9601.34,-10134.13,-10299.99,-10344.75,-10409.75,-10440.75,-10603.75,11806.04,94.40408314376376,11806.04
11912.0,3016351.87,1080572.23,-9602.29,-10134.13,-10299.99,-10344.75,-10409.75,-10440.75,-10603.75,11806.990000000002,94.23535377263998,11806.990000000002
11913.0,3016351.59,1080572.12,-9603.24,-10134.13,-10299.99,-10344.75,-10409.75,-10440.75,-10603.75,11807.95,93.4760716025829,11807.95
11914.0,3016351.31,1080572.0,-9604.2,-10134.12,-10299.98,-10344.74,-10409.74,-10440.74,-10603.74,11808.9,92.80115411808772,11808.9
11915.0,3016351.03,1080571.89,-9605.15,-10134.12,-10299.98,-10344.74,-10409.74,-10440.74,-10603.74,11809.86,91.93641609107829,11809.86
11916.0,3016350.75,1080571.78,-9606.1,-10134.12,-10299.98,-10344.74,-10409.74,-10440.74,-10603.74,11810.81,92.68515267544012,11810.81
