MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11445.0,2923871.54,1015993.29,-9324.3,-9777.35,-10003.92,-10042.82,-10118.21,-10165.06,-10324.28,11120.89,120.45452837729232,11120.89
11446.0,2923871.53,1015993.29,-9325.3,-9777.35,-10003.92,-10042.82,-10118.21,-10165.06,-10324.28,11121.89,,11121.89
11447.0,2923871.52,1015993.28,-9326.3,-9777.35,-10003.92,-10042.82,-10118.21,-10165.06,-10324.28,11122.89,123.05218993175473,11122.89
11448.0,2923871.5,1015993.28,-9327.3,-9777.35,-10003.92,-10042.82,-10118.21,-10165.06,-10324.28,11123.89,,11123.89
11449.0,2923871.49,1015993.28,-9328.3,-9777.35,-10003.92,-10042.82,-10118.21,-10165.06,-10324.28,11124.89,,11124.89
11450.0,2923871.48,1015993.27,-9329.3,-9777.35,-10003.92,-10042.82,-10118.21,-10165.06,-10324.28,11125.9,119.58864119247154,11125.9
11451.0,2923871.47,1015993.27,-9330.3,-9777.35,-10003.92,-10042.82,-10118.21,-10165.06,-10324.28,11126.9,127.38162585585869,11126.9
11452.0,2923871.45,1015993.27,-9331.3,-9777.35,-10003.92,-10042.82,-10118.21,-10165.06,-10324.28,11127.9,128.3918275714829,11127.9
11453.0,2923871.44,1015993.27,-9332.3,-9777.35,-10003.92,-10042.82,-10118.21,-10165.06,-10324.28,11128.9,129.4982389743095,11128.9
11454.0,2923871.43,1015993.27,-9333.3,-9777.35,-10003.92,-10042.82,-10118.21,-10165.05,-10324.28,11129.9,130.84517459514183,11129.9
11455.0,2923871.42,1015993.27,-9334.3,-9777.34,-10003.91,-10042.81,-10118.2,-10165.05,-10324.28,11130.9,,11130.9
11456.0,2923871.41,1015993.27,-9335.3,-9777.34,-10003.91,-10042.81,-10118.2,-10165.05,-10324.28,11131.9,120.45452837729232,11131.9
11457.0,2923871.4,1015993.27,-9336.3,-9777.34,-10003.91,-10042.81,-10118.2,-10165.05,-10324.27,11132.9,,11132.9
11458.0,2923871.38,1015993.27,-9337.3,-9777.34,-10003.91,-10042.81,-10118.2,-10165.05,-10324.27,11133.9,127.04489195065057,11133.9
