MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11261.0,2999757.03,1089901.17,-9049.61,-9426.18,-9570.86,-9602.95,-9718.72,-9755.1,-9892.7,11478.63,,11478.63
11262.0,2999757.02,1089901.17,-9050.61,-9426.19,-9570.87,-9602.96,-9718.72,-9755.11,-9892.7,11479.63,104.85216515161608,11479.63
11263.0,2999757.01,1089901.17,-9051.61,-9426.19,-9570.87,-9602.96,-9718.72,-9755.11,-9892.7,11480.63,,11480.63
11264.0,2999757.01,1089901.18,-9052.61,-9426.19,-9570.87,-9602.96,-9718.73,-9755.11,-9892.7,11481.63,,11481.63
11265.0,2999757.0,1089901.18,-9053.61,-9426.19,-9570.87,-9602.96,-9718.73,-9755.11,-9892.71,11482.62,105.83593845796922,11482.62
11266.0,2999756.99,1089901.18,-9054.61,-9426.19,-9570.87,-9602.96,-9718.73,-9755.11,-9892.71,11483.62,107.15098236748209,11483.62
11267.0,2999756.99,1089901.18,-9055.61,-9426.2,-9570.88,-9602.97,-9718.73,-9755.12,-9892.71,11484.62,,11484.62
11268.0,2999756.98,1089901.18,-9056.61,-9426.2,-9570.88,-9602.97,-9718.74,-9755.12,-9892.71,11485.62,111.11619110227272,11485.62
11269.0,2999756.97,1089901.18,-9057.61,-9426.2,-9570.88,-9602.97,-9718.74,-9755.12,-9892.71,11486.62,,11486.62
11270.0,2999756.97,1089901.19,-9058.61,-9426.2,-9570.88,-9602.97,-9718.74,-9755.12,-9892.71,11487.62,,11487.62
11271.0,2999756.96,1089901.19,-9059.61,-9426.2,-9570.88,-9602.97,-9718.74,-9755.12,-9892.71,11488.62,,11488.62
11272.0,2999756.95,1089901.19,-9060.61,-9426.2,-9570.88,-9602.97,-9718.74,-9755.12,-9892.71,11489.62,,11489.62
11273.0,2999756.95,1089901.19,-9061.61,-9426.2,-9570.88,-9602.97,-9718.74,-9755.12,-9892.71,11490.62,,11490.62
11274.0,2999756.94,1089901.19,-9062.61,-9426.2,-9570.88,-9602.97,-9718.74,-9755.12,-9892.71,11491.62,112.44127351491164,11491.62
11275.0,2999756.93,1089901.19,-9063.61,-9426.2,-9570.88,-9602.97,-9718.74,-9755.12,-9892.71,11492.62,,11492.62
11276.0,2999756.93,1089901.19,-9064.61,-9426.2,-9570.88,-9602.97,-9718.74,-9755.12,-9892.71,11493.62,,11493.62
11277.0,2999756.92,1089901.19,-9065.61,-9426.2,-9570.88,-9602.97,-9718.74,-9755.12,-9892.71,11494.62,115.57328649023994,11494.62
11278.0,2999756.91,1089901.19,-9066.61,-9426.2,-9570.88,-9602.97,-9718.74,-9755.12,-9892.71,11495.62,,11495.62
11279.0,2999756.91,1089901.19,-9067.61,-9426.19,-9570.87,-9602.96,-9718.73,-9755.11,-9892.71,11496.62,,11496.62
11280.0,2999756.9,1089901.19,-9068.61,-9426.18,-9570.86,-9602.95,-9718.72,-9755.1,-9892.7,11497.63,,11497.63
11281.0,2999756.9,1089901.19,-9069.61,-9426.18,-9570.86,-9602.95,-9718.71,-9755.1,-9892.69,11498.64,114.29839659323127,11498.64
11282.0,2999756.89,1089901.19,-9070.61,-9426.17,-9570.85,-9602.94,-9718.71,-9755.09,-9892.68,11499.65,117.22963950603857,11499.65
11283.0,2999756.88,1089901.19,-9071.61,-9426.16,-9570.84,-9602.93,-9718.7,-9755.08,-9892.68,11500.65,118.7354149749464,11500.65
11284.0,2999756.88,1089901.18,-9072.61,-9426.15,-9570.83,-9602.92,-9718.69,-9755.07,-9892.67,11501.66,122.16858304405628,11501.66
11285.0,2999756.87,1089901.18,-9073.61,-9426.15,-9570.83,-9602.92,-9718.68,-9755.07,-9892.66,11502.67,126.48513938825876,11502.67
11286.0,2999756.87,1089901.18,-9074.61,-9426.14,-9570.82,-9602.91,-9718.68,-9755.06,-9892.65,11503.68,129.5268058354526,11503.68
11287.0,2999756.86,1089901.18,-9075.61,-9426.13,-9570.81,-9602.9,-9718.67,-9755.05,-9892.65,11504.68,131.86577706382278,11504.68
11288.0,2999756.86,1089901.17,-9076.61,-9426.12,-9570.8,-9602.89,-9718.66,-9755.04,-9892.64,11505.69,131.6951225106799,11505.69
11289.0,2999756.85,1089901.17,-9077.61,-9426.11,-9570.79,-9602.88,-9718.65,-9755.03,-9892.62,11506.71,130.61096417306624,11506.71
11290.0,2999756.85,1089901.16,-9078.61,-9426.09,-9570.77,-9602.86,-9718.63,-9755.01,-9892.61,11507.72,126.24421531323352,11507.72
11291.0,2999756.84,1089901.16,-9079.61,-9426.08,-9570.76,-9602.85,-9718.62,-9755.0,-9892.59,11508.740000000002,,11508.740000000002
11292.0,2999756.84,1089901.16,-9080.61,-9426.06,-9570.74,-9602.83,-9718.6,-9754.98,-9892.58,11509.75,128.7638795978726,11509.75
11293.0,2999756.83,1089901.15,-9081.61,-9426.05,-9570.73,-9602.82,-9718.59,-9754.97,-9892.56,11510.77,130.1391545261418,11510.77
11294.0,2999756.83,1089901.15,-9082.61,-9426.03,-9570.71,-9602.8,-9718.57,-9754.95,-9892.55,11511.78,121.58634986274524,11511.78
11295.0,2999756.82,1089901.14,-9083.61,-9426.02,-9570.7,-9602.79,-9718.56,-9754.94,-9892.53,11512.8,119.58868774066086,11512.8
11296.0,2999756.82,1089901.14,-9084.61,-9426.0,-9570.68,-9602.77,-9718.54,-9754.92,-9892.52,11513.81,121.4056568064763,11513.81
11297.0,2999756.81,1089901.13,-9085.61,-9425.99,-9570.67,-9602.76,-9718.53,-9754.91,-9892.5,11514.83,120.95392416580395,11514.83
11298.0,2999756.81,1089901.12,-9086.61,-9425.97,-9570.65,-9602.74,-9718.51,-9754.89,-9892.49,11515.84,114.38874312136576,11515.84
11299.0,2999756.8,1089901.12,-9087.61,-9425.95,-9570.63,-9602.72,-9718.49,-9754.87,-9892.47,11516.86,108.12471717070916,11516.86
11300.0,2999756.8,1089901.11,-9088.61,-9425.93,-9570.61,-9602.7,-9718.47,-9754.85,-9892.44,11517.89,108.58648831450756,11517.89
11301.0,2999756.8,1089901.1,-9089.61,-9425.91,-9570.59,-9602.68,-9718.44,-9754.83,-9892.42,11518.91,109.04825945830596,11518.91
11302.0,2999756.79,1089901.1,-9090.61,-9425.88,-9570.56,-9602.65,-9718.42,-9754.8,-9892.4,11519.93,115.46286295585335,11519.93
11303.0,2999756.79,1089901.09,-9091.61,-9425.86,-9570.54,-9602.63,-9718.4,-9754.78,-9892.38,11520.95,116.83813788412252,11520.95
11304.0,2999756.78,1089901.08,-9092.61,-9425.84,-9570.52,-9602.61,-9718.38,-9754.76,-9892.35,11521.98,116.15551967155098,11521.98
