MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10086.0,2925488.57,1055780.42,-8004.33,-8404.96,-8595.05,-8670.3,-8750.13,-8796.35,-8912.92,10160.0,,10160.0
10087.0,2925488.55,1055780.41,-8005.33,-8404.96,-8595.05,-8670.3,-8750.13,-8796.35,-8912.92,10161.0,,10161.0
10088.0,2925488.53,1055780.4,-8006.33,-8404.96,-8595.05,-8670.3,-8750.12,-8796.34,-8912.92,10162.0,,10162.0
10089.0,2925488.51,1055780.39,-8007.33,-8404.96,-8595.05,-8670.3,-8750.12,-8796.34,-8912.92,10163.0,,10163.0
10090.0,2925488.49,1055780.38,-8008.33,-8404.96,-8595.05,-8670.3,-8750.12,-8796.34,-8912.92,10164.0,,10164.0
10091.0,2925488.47,1055780.38,-8009.33,-8404.96,-8595.04,-8670.29,-8750.12,-8796.34,-8912.92,10165.0,,10165.0
10092.0,2925488.44,1055780.37,-8010.33,-8404.95,-8595.04,-8670.29,-8750.12,-8796.34,-8912.92,10166.0,98.285445316297,10166.0
10093.0,2925488.42,1055780.36,-8011.33,-8404.95,-8595.04,-8670.29,-8750.12,-8796.34,-8912.92,10167.0,,10167.0
10094.0,2925488.4,1055780.35,-8012.33,-8404.95,-8595.04,-8670.29,-8750.12,-8796.34,-8912.92,10168.0,,10168.0
10095.0,2925488.38,1055780.35,-8013.33,-8404.95,-8595.04,-8670.29,-8750.12,-8796.34,-8912.92,10169.0,104.63182087713976,10169.0
10096.0,2925488.36,1055780.34,-8014.33,-8404.95,-8595.04,-8670.29,-8750.12,-8796.34,-8912.92,10170.0,108.19246126135288,10170.0
10097.0,2925488.33,1055780.33,-8015.33,-8404.95,-8595.04,-8670.29,-8750.12,-8796.34,-8912.91,10171.0,106.13258665891551,10171.0
10098.0,2925488.31,1055780.33,-8016.33,-8404.95,-8595.04,-8670.29,-8750.12,-8796.34,-8912.91,10172.0,101.22812331977896,10172.0
10099.0,2925488.29,1055780.33,-8017.33,-8404.95,-8595.04,-8670.29,-8750.12,-8796.34,-8912.91,10173.0,93.38098197716045,10173.0
10100.0,2925488.27,1055780.32,-8018.33,-8404.95,-8595.04,-8670.29,-8750.12,-8796.34,-8912.91,10174.0,94.9602191723624,10174.0
10101.0,2925488.24,1055780.32,-8019.33,-8404.95,-8595.04,-8670.29,-8750.11,-8796.33,-8912.91,10175.01,94.66595137201422,10175.01
10102.0,2925488.22,1055780.31,-8020.33,-8404.95,-8595.03,-8670.28,-8750.11,-8796.33,-8912.91,10176.01,97.27512586843488,10176.01
10103.0,2925488.19,1055780.31,-8021.33,-8404.94,-8595.03,-8670.28,-8750.11,-8796.33,-8912.91,10177.01,98.285445316297,10177.01
10104.0,2925488.17,1055780.31,-8022.33,-8404.94,-8595.03,-8670.28,-8750.11,-8796.33,-8912.91,10178.01,93.38098197716045,10178.01
10105.0,2925488.14,1055780.31,-8023.33,-8404.94,-8595.03,-8670.28,-8750.11,-8796.33,-8912.9,10179.01,78.6675919597507,10179.01
10106.0,2925488.12,1055780.31,-8024.33,-8404.94,-8595.03,-8670.28,-8750.11,-8796.33,-8912.9,10180.01,97.65767400888753,10180.01
