MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10960.0,2990180.32,1089270.81,-8682.28,-9128.33,-9276.53,-9343.41,-9441.63,-9492.19,-9607.65,10566.3,,10566.3
10961.0,2990180.3,1089270.81,-8683.27,-9128.3,-9276.5,-9343.38,-9441.59,-9492.16,-9607.62,10567.33,,10567.33
10962.0,2990180.28,1089270.81,-8684.27,-9128.27,-9276.47,-9343.35,-9441.56,-9492.13,-9607.59,10568.36,,10568.36
10963.0,2990180.27,1089270.81,-8685.27,-9128.24,-9276.44,-9343.32,-9441.53,-9492.1,-9607.56,10569.39,,10569.39
10964.0,2990180.25,1089270.82,-8686.27,-9128.21,-9276.41,-9343.29,-9441.5,-9492.07,-9607.53,10570.42,102.59512081063286,10570.42
10965.0,2990180.23,1089270.82,-8687.27,-9128.18,-9276.38,-9343.26,-9441.47,-9492.04,-9607.5,10571.45,,10571.45
10966.0,2990180.21,1089270.82,-8688.27,-9128.15,-9276.35,-9343.23,-9441.44,-9492.01,-9607.47,10572.48,,10572.48
10967.0,2990180.19,1089270.82,-8689.27,-9128.12,-9276.32,-9343.2,-9441.41,-9491.98,-9607.44,10573.51,,10573.51
10968.0,2990180.17,1089270.82,-8690.27,-9128.08,-9276.28,-9343.16,-9441.38,-9491.94,-9607.4,10574.54,118.06770283543828,10574.54
10969.0,2990180.15,1089270.82,-8691.27,-9128.05,-9276.25,-9343.13,-9441.35,-9491.91,-9607.37,10575.570000000002,,10575.570000000002
10970.0,2990180.13,1089270.82,-8692.27,-9128.02,-9276.22,-9343.1,-9441.32,-9491.88,-9607.34,10576.6,,10576.6
10971.0,2990180.11,1089270.82,-8693.27,-9127.99,-9276.19,-9343.07,-9441.29,-9491.85,-9607.31,10577.63,107.35591527980375,10577.63
10972.0,2990180.09,1089270.82,-8694.27,-9127.96,-9276.16,-9343.04,-9441.26,-9491.82,-9607.28,10578.66,,10578.66
10973.0,2990180.07,1089270.82,-8695.27,-9127.93,-9276.13,-9343.01,-9441.23,-9491.79,-9607.25,10579.69,113.30690836626738,10579.69
10974.0,2990180.05,1089270.82,-8696.27,-9127.9,-9276.1,-9342.98,-9441.2,-9491.76,-9607.22,10580.72,,10580.72
10975.0,2990180.03,1089270.82,-8697.27,-9127.87,-9276.07,-9342.95,-9441.17,-9491.73,-9607.19,10581.75,,10581.75
10976.0,2990180.01,1089270.82,-8698.27,-9127.84,-9276.04,-9342.92,-9441.14,-9491.7,-9607.16,10582.78,,10582.78
10977.0,2990179.99,1089270.82,-8699.27,-9127.81,-9276.01,-9342.89,-9441.11,-9491.67,-9607.13,10583.81,102.59512081063286,10583.81
10978.0,2990179.97,1089270.82,-8700.27,-9127.78,-9275.98,-9342.86,-9441.08,-9491.64,-9607.1,10584.84,,10584.84
10979.0,2990179.95,1089270.82,-8701.27,-9127.75,-9275.95,-9342.83,-9441.05,-9491.61,-9607.07,10585.87,,10585.87
10980.0,2990179.93,1089270.83,-8702.27,-9127.72,-9275.92,-9342.8,-9441.01,-9491.58,-9607.04,10586.9,123.51881250263897,10586.9
10981.0,2990179.91,1089270.83,-8703.27,-9127.69,-9275.89,-9342.77,-9440.98,-9491.55,-9607.01,10587.93,137.11088071212188,10587.93
10982.0,2990179.89,1089270.83,-8704.27,-9127.66,-9275.86,-9342.74,-9440.95,-9491.52,-9606.98,10588.96,,10588.96
10983.0,2990179.87,1089270.83,-8705.27,-9127.63,-9275.83,-9342.71,-9440.92,-9491.49,-9606.95,10589.990000000002,,10589.990000000002
10984.0,2990179.85,1089270.83,-8706.27,-9127.6,-9275.8,-9342.68,-9440.89,-9491.46,-9606.92,10591.02,122.8284973046092,10591.02
10985.0,2990179.83,1089270.83,-8707.27,-9127.57,-9275.77,-9342.65,-9440.86,-9491.43,-9606.89,10592.05,,10592.05
10986.0,2990179.81,1089270.83,-8708.27,-9127.53,-9275.73,-9342.61,-9440.83,-9491.39,-9606.85,10593.09,,10593.09
10987.0,2990179.79,1089270.83,-8709.27,-9127.5,-9275.7,-9342.58,-9440.8,-9491.36,-9606.82,10594.12,120.01962856779836,10594.12
10988.0,2990179.77,1089270.83,-8710.27,-9127.47,-9275.67,-9342.55,-9440.77,-9491.33,-9606.79,10595.15,118.06770283543828,10595.15
10989.0,2990179.75,1089270.83,-8711.27,-9127.44,-9275.64,-9342.52,-9440.74,-9491.3,-9606.76,10596.18,,10596.18
10990.0,2990179.73,1089270.83,-8712.27,-9127.41,-9275.61,-9342.49,-9440.71,-9491.27,-9606.73,10597.21,,10597.21
10991.0,2990179.71,1089270.83,-8713.27,-9127.38,-9275.58,-9342.46,-9440.68,-9491.24,-9606.7,10598.240000000002,107.35591527980375,10598.240000000002
10992.0,2990179.69,1089270.83,-8714.27,-9127.35,-9275.55,-9342.43,-9440.65,-9491.21,-9606.67,10599.27,,10599.27
10993.0,2990179.67,1089270.83,-8715.27,-9127.32,-9275.52,-9342.4,-9440.62,-9491.18,-9606.64,10600.3,,10600.3
10994.0,2990179.64,1089270.83,-8716.27,-9127.29,-9275.49,-9342.37,-9440.59,-9491.15,-9606.61,10601.33,109.43876286006603,10601.33
10995.0,2990179.62,1089270.83,-8717.27,-9127.26,-9275.46,-9342.34,-9440.56,-9491.12,-9606.58,10602.36,113.30690836626738,10602.36
10996.0,2990179.6,1089270.83,-8718.27,-9127.23,-9275.43,-9342.31,-9440.53,-9491.09,-9606.55,10603.39,,10603.39
10997.0,2990179.58,1089270.83,-8719.27,-9127.2,-9275.4,-9342.28,-9440.49,-9491.06,-9606.52,10604.42,,10604.42
10998.0,2990179.56,1089270.83,-8720.27,-9127.17,-9275.37,-9342.25,-9440.46,-9491.03,-9606.49,10605.45,97.83432634146196,10605.45
10999.0,2990179.54,1089270.83,-8721.27,-9127.14,-9275.34,-9342.22,-9440.43,-9491.0,-9606.46,10606.48,,10606.48
11000.0,2990179.52,1089270.83,-8722.27,-9127.11,-9275.31,-9342.19,-9440.4,-9490.97,-9606.43,10607.51,113.30690836626738,10607.51
11001.0,2990179.5,1089270.83,-8723.27,-9127.08,-9275.28,-9342.16,-9440.37,-9490.94,-9606.4,10608.54,,10608.54
11002.0,2990179.48,1089270.83,-8724.27,-9127.05,-9275.25,-9342.13,-9440.34,-9490.91,-9606.37,10609.570000000002,,10609.570000000002
11003.0,2990179.46,1089270.83,-8725.27,-9127.01,-9275.21,-9342.09,-9440.31,-9490.87,-9606.33,10610.6,106.46326631683422,10610.6
