MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10413.0,2928499.02,1055640.45,-8302.12,-8468.87,-8658.96,-8734.21,-8814.04,-8860.26,-8976.84,10393.87,96.6715685026638,10393.87
10414.0,2928499.03,1055640.46,-8303.12,-8468.87,-8658.96,-8734.21,-8814.04,-8860.26,-8976.84,10394.87,96.13049629089517,10394.87
10415.0,2928499.04,1055640.48,-8304.12,-8468.88,-8658.96,-8734.22,-8814.04,-8860.26,-8976.84,10395.87,95.4631738963805,10395.87
10416.0,2928499.06,1055640.49,-8305.12,-8468.88,-8658.97,-8734.22,-8814.04,-8860.26,-8976.84,10396.87,94.867994463435,10396.87
10417.0,2928499.07,1055640.5,-8306.12,-8468.88,-8658.97,-8734.22,-8814.04,-8860.26,-8976.84,10397.87,97.31183728659002,10397.87
10418.0,2928499.09,1055640.5,-8307.12,-8468.88,-8658.97,-8734.22,-8814.04,-8860.26,-8976.84,10398.87,99.44907252307615,10398.87
10419.0,2928499.11,1055640.51,-8308.12,-8468.88,-8658.97,-8734.22,-8814.04,-8860.26,-8976.84,10399.87,,10399.87
10420.0,2928499.14,1055640.52,-8309.12,-8468.88,-8658.97,-8734.22,-8814.04,-8860.26,-8976.84,10400.87,94.36299373245092,10400.87
10421.0,2928499.16,1055640.52,-8310.12,-8468.88,-8658.97,-8734.22,-8814.05,-8860.27,-8976.84,10401.87,93.0644204242062,10401.87
10422.0,2928499.18,1055640.53,-8311.12,-8468.88,-8658.97,-8734.22,-8814.05,-8860.27,-8976.84,10402.87,90.359059365363,10402.87
10423.0,2928499.21,1055640.53,-8312.12,-8468.88,-8658.97,-8734.22,-8814.05,-8860.27,-8976.84,10403.87,99.376929561507,10403.87
10424.0,2928499.24,1055640.54,-8313.12,-8468.88,-8658.97,-8734.22,-8814.05,-8860.27,-8976.84,10404.86,95.58040620893038,10404.86
10425.0,2928499.27,1055640.54,-8314.12,-8468.88,-8658.97,-8734.22,-8814.05,-8860.27,-8976.84,10405.86,94.55236900656996,10405.86
10426.0,2928499.3,1055640.54,-8315.12,-8468.88,-8658.97,-8734.22,-8814.05,-8860.27,-8976.84,10406.86,95.76076361285324,10406.86
10427.0,2928499.33,1055640.54,-8316.12,-8468.88,-8658.97,-8734.22,-8814.05,-8860.27,-8976.84,10407.86,99.69255501837203,10407.86
10428.0,2928499.37,1055640.54,-8317.12,-8468.88,-8658.97,-8734.22,-8814.05,-8860.27,-8976.85,10408.86,93.0644204242062,10408.86
10429.0,2928499.4,1055640.53,-8318.12,-8468.88,-8658.97,-8734.22,-8814.05,-8860.27,-8976.85,10409.86,94.867994463435,10409.86
10430.0,2928499.44,1055640.53,-8319.11,-8468.88,-8658.97,-8734.22,-8814.05,-8860.27,-8976.85,10410.85,97.2847836760016,10410.85
10431.0,2928499.48,1055640.53,-8320.11,-8468.88,-8658.97,-8734.22,-8814.05,-8860.27,-8976.85,10411.85,99.376929561507,10411.85
10432.0,2928499.52,1055640.52,-8321.11,-8468.89,-8658.98,-8734.23,-8814.05,-8860.27,-8976.85,10412.85,,10412.85
10433.0,2928499.56,1055640.51,-8322.11,-8468.89,-8658.98,-8734.23,-8814.05,-8860.27,-8976.85,10413.85,,10413.85
10434.0,2928499.61,1055640.51,-8323.11,-8468.89,-8658.98,-8734.23,-8814.06,-8860.28,-8976.85,10414.85,,10414.85
10435.0,2928499.65,1055640.5,-8324.11,-8468.89,-8658.98,-8734.23,-8814.06,-8860.28,-8976.85,10415.84,,10415.84
10436.0,2928499.7,1055640.49,-8325.11,-8468.89,-8658.98,-8734.23,-8814.06,-8860.28,-8976.85,10416.84,94.867994463435,10416.84
10437.0,2928499.75,1055640.48,-8326.11,-8468.89,-8658.98,-8734.23,-8814.06,-8860.28,-8976.86,10417.84,102.9840776399646,10417.84
10438.0,2928499.8,1055640.47,-8327.11,-8468.89,-8658.98,-8734.23,-8814.06,-8860.28,-8976.86,10418.84,101.442021836424,10418.84
10439.0,2928499.85,1055640.46,-8328.1,-8468.9,-8658.98,-8734.24,-8814.06,-8860.28,-8976.86,10419.83,99.376929561507,10419.83
10440.0,2928499.9,1055640.44,-8329.1,-8468.9,-8658.99,-8734.24,-8814.07,-8860.28,-8976.86,10420.83,105.6894386988078,10420.83
10441.0,2928499.96,1055640.43,-8330.1,-8468.9,-8658.99,-8734.24,-8814.07,-8860.29,-8976.86,10421.83,106.71747590116824,10421.83
10442.0,2928500.01,1055640.41,-8331.1,-8468.9,-8658.99,-8734.24,-8814.07,-8860.29,-8976.86,10422.820000000002,105.6894386988078,10422.820000000002
10443.0,2928500.07,1055640.4,-8332.1,-8468.9,-8658.99,-8734.24,-8814.07,-8860.29,-8976.86,10423.820000000002,107.4930127380366,10423.820000000002
10444.0,2928500.13,1055640.38,-8333.1,-8468.9,-8658.99,-8734.24,-8814.07,-8860.29,-8976.87,10424.820000000002,106.7535473819528,10424.820000000002
10445.0,2928500.19,1055640.36,-8334.09,-8468.91,-8659.0,-8734.25,-8814.07,-8860.29,-8976.87,10425.81,105.6894386988078,10425.81
10446.0,2928500.25,1055640.34,-8335.09,-8468.91,-8659.0,-8734.25,-8814.08,-8860.3,-8976.87,10426.81,102.9840776399646,10426.81
10447.0,2928500.32,1055640.32,-8336.09,-8468.91,-8659.0,-8734.25,-8814.08,-8860.3,-8976.87,10427.8,107.4930127380366,10427.8
10448.0,2928500.39,1055640.3,-8337.09,-8468.91,-8659.0,-8734.25,-8814.08,-8860.3,-8976.88,10428.8,111.10016081649422,10428.8
10449.0,2928500.46,1055640.27,-8338.08,-8468.91,-8659.0,-8734.25,-8814.08,-8860.3,-8976.88,10429.79,107.4930127380366,10429.79
10450.0,2928500.53,1055640.24,-8339.08,-8468.92,-8659.01,-8734.26,-8814.08,-8860.3,-8976.88,10430.79,,10430.79
10451.0,2928500.6,1055640.22,-8340.08,-8468.92,-8659.01,-8734.26,-8814.09,-8860.31,-8976.88,10431.78,,10431.78
10452.0,2928500.68,1055640.19,-8341.07,-8468.92,-8659.01,-8734.26,-8814.09,-8860.31,-8976.88,10432.78,,10432.78
10453.0,2928500.76,1055640.15,-8342.07,-8468.92,-8659.01,-8734.26,-8814.09,-8860.31,-8976.89,10433.77,108.17837087294356,10433.77
10454.0,2928500.84,1055640.12,-8343.07,-8468.93,-8659.01,-8734.27,-8814.09,-8860.31,-8976.89,10434.77,109.29658677726542,10434.77
10455.0,2928500.92,1055640.09,-8344.06,-8468.93,-8659.02,-8734.27,-8814.1,-8860.32,-8976.89,10435.76,,10435.76
10456.0,2928501.0,1055640.05,-8345.06,-8468.93,-8659.02,-8734.27,-8814.1,-8860.32,-8976.89,10436.75,106.27560026155716,10436.75
10457.0,2928501.09,1055640.01,-8346.05,-8468.93,-8659.02,-8734.27,-8814.1,-8860.32,-8976.9,10437.740000000002,102.9840776399646,10437.740000000002
10458.0,2928501.18,1055639.97,-8347.05,-8468.94,-8659.03,-8734.28,-8814.11,-8860.33,-8976.9,10438.73,,10438.73
10459.0,2928501.27,1055639.93,-8348.05,-8468.94,-8659.03,-8734.28,-8814.11,-8860.33,-8976.9,10439.73,,10439.73
10460.0,2928501.36,1055639.89,-8349.04,-8468.94,-8659.03,-8734.28,-8814.11,-8860.33,-8976.91,10440.72,,10440.72
10461.0,2928501.45,1055639.85,-8350.03,-8468.95,-8659.04,-8734.29,-8814.11,-8860.33,-8976.91,10441.71,,10441.71
10462.0,2928501.55,1055639.8,-8351.03,-8468.95,-8659.04,-8734.29,-8814.12,-8860.34,-8976.91,10442.7,,10442.7
10463.0,2928501.65,1055639.75,-8352.02,-8468.95,-8659.04,-8734.29,-8814.12,-8860.34,-8976.92,10443.7,111.10016081649422,10443.7
10464.0,2928501.75,1055639.7,-8353.02,-8468.96,-8659.05,-8734.3,-8814.12,-8860.34,-8976.92,10444.68,107.4930127380366,10444.68
10465.0,2928501.85,1055639.65,-8354.01,-8468.96,-8659.05,-8734.3,-8814.13,-8860.35,-8976.92,10445.67,108.73747882510447,10445.67
10466.0,2928501.96,1055639.6,-8355.0,-8468.96,-8659.05,-8734.3,-8814.13,-8860.35,-8976.93,10446.66,109.29658677726542,10446.66
10467.0,2928502.07,1055639.55,-8356.0,-8468.97,-8659.06,-8734.31,-8814.13,-8860.35,-8976.93,10447.65,,10447.65
10468.0,2928502.17,1055639.49,-8356.99,-8468.97,-8659.06,-8734.31,-8814.14,-8860.36,-8976.93,10448.64,107.4930127380366,10448.64
10469.0,2928502.29,1055639.43,-8357.98,-8468.97,-8659.06,-8734.31,-8814.14,-8860.36,-8976.94,10449.63,112.14623375924693,10449.63
10470.0,2928502.4,1055639.37,-8358.97,-8468.98,-8659.07,-8734.32,-8814.15,-8860.37,-8976.94,10450.62,110.88373193178676,10450.62
