MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10432.0,2922588.29,1046947.04,-8273.85,-8635.0,-8836.51,-8901.47,-8978.12,-9025.32,-9148.57,10353.06,147.87251439019346,10353.06
10433.0,2922588.28,1046947.05,-8274.85,-8635.04,-8836.54,-8901.51,-8978.15,-9025.35,-9148.6,10354.03,152.2308200938455,10354.03
10434.0,2922588.28,1046947.07,-8275.85,-8635.07,-8836.57,-8901.54,-8978.18,-9025.38,-9148.64,10355.0,157.5787410834185,10355.0
10435.0,2922588.27,1046947.08,-8276.85,-8635.1,-8836.61,-8901.57,-8978.21,-9025.42,-9148.67,10355.96,143.68414262452788,10355.96
10436.0,2922588.26,1046947.1,-8277.85,-8635.14,-8836.64,-8901.61,-8978.25,-9025.45,-9148.7,10356.93,142.32467112063642,10356.93
10437.0,2922588.25,1046947.11,-8278.85,-8635.17,-8836.67,-8901.64,-8978.28,-9025.48,-9148.74,10357.89,159.7179094792477,10357.89
10438.0,2922588.24,1046947.13,-8279.85,-8635.2,-8836.71,-8901.67,-8978.31,-9025.52,-9148.77,10358.86,145.93326827434828,10358.86
10439.0,2922588.23,1046947.14,-8280.85,-8635.24,-8836.74,-8901.71,-8978.35,-9025.55,-9148.8,10359.83,140.85524236275376,10359.83
10440.0,2922588.22,1046947.16,-8281.85,-8635.27,-8836.77,-8901.74,-8978.38,-9025.58,-9148.84,10360.79,148.0024638721831,10360.79
10441.0,2922588.22,1046947.17,-8282.85,-8635.3,-8836.81,-8901.77,-8978.41,-9025.62,-9148.87,10361.76,151.39114651791252,10361.76
10442.0,2922588.21,1046947.19,-8283.85,-8635.34,-8836.84,-8901.81,-8978.45,-9025.65,-9148.9,10362.73,138.85601956291336,10362.73
10443.0,2922588.2,1046947.2,-8284.85,-8635.37,-8836.87,-8901.84,-8978.48,-9025.68,-9148.94,10363.69,144.78371516444008,10363.69
10444.0,2922588.19,1046947.22,-8285.85,-8635.4,-8836.91,-8901.87,-8978.51,-9025.72,-9148.97,10364.66,136.16706489712806,10364.66
10445.0,2922588.18,1046947.23,-8286.85,-8635.44,-8836.94,-8901.91,-8978.55,-9025.75,-9149.0,10365.63,142.17472941064838,10365.63
10446.0,2922588.17,1046947.25,-8287.85,-8635.47,-8836.97,-8901.94,-8978.58,-9025.78,-9149.04,10366.59,145.68336542436825,10366.59
10447.0,2922588.16,1046947.26,-8288.85,-8635.5,-8837.01,-8901.97,-8978.61,-9025.82,-9149.07,10367.56,153.64027216773297,10367.56
10448.0,2922588.16,1046947.28,-8289.85,-8635.54,-8837.04,-8902.01,-8978.65,-9025.85,-9149.1,10368.53,150.53148071398115,10368.53
10449.0,2922588.15,1046947.3,-8290.85,-8635.57,-8837.07,-8902.04,-8978.68,-9025.88,-9149.14,10369.490000000002,143.3042902925582,10369.490000000002
10450.0,2922588.14,1046947.31,-8291.85,-8635.6,-8837.11,-8902.07,-8978.72,-9025.92,-9149.17,10370.46,144.67375791044887,10370.46
10451.0,2922588.13,1046947.33,-8292.85,-8635.64,-8837.14,-8902.11,-8978.75,-9025.95,-9149.2,10371.43,151.9309366738694,10371.43
10452.0,2922588.12,1046947.34,-8293.85,-8635.67,-8837.17,-8902.14,-8978.78,-9025.99,-9149.24,10372.39,153.23043149376568,10372.39
