MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11654.0,3009944.31,1092543.34,-9383.82,-9736.55,-9881.23,-9913.32,-10029.08,-10065.47,-10203.06,11502.47,107.97661593750504,11502.47
11655.0,3009944.3,1092543.28,-9384.82,-9736.6,-9881.28,-9913.37,-10029.14,-10065.52,-10203.12,11503.41,116.78570475205775,11503.41
11656.0,3009944.29,1092543.23,-9385.82,-9736.66,-9881.34,-9913.43,-10029.2,-10065.58,-10203.18,11504.35,117.10178750203391,11504.35
11657.0,3009944.29,1092543.18,-9386.81,-9736.72,-9881.4,-9913.49,-10029.26,-10065.64,-10203.23,11505.3,108.10030049184353,11505.3
11658.0,3009944.28,1092543.12,-9387.81,-9736.78,-9881.46,-9913.55,-10029.31,-10065.7,-10203.29,11506.240000000002,106.47865855718328,11506.240000000002
11659.0,3009944.28,1092543.07,-9388.81,-9736.83,-9881.51,-9913.6,-10029.37,-10065.75,-10203.35,11507.18,105.1043857312,11507.18
11660.0,3009944.27,1092543.02,-9389.81,-9736.89,-9881.57,-9913.66,-10029.43,-10065.81,-10203.4,11508.12,102.53449554661132,11508.12
11661.0,3009944.26,1092542.96,-9390.81,-9736.94,-9881.62,-9913.71,-10029.48,-10065.86,-10203.46,11509.06,93.8216058298774,11509.06
11662.0,3009944.26,1092542.91,-9391.81,-9737.0,-9881.68,-9913.77,-10029.54,-10065.92,-10203.51,11510.01,100.26694538373891,11510.01
11663.0,3009944.25,1092542.86,-9392.81,-9737.05,-9881.73,-9913.82,-10029.59,-10065.97,-10203.57,11510.95,,11510.95
11664.0,3009944.25,1092542.81,-9393.8,-9737.11,-9881.79,-9913.88,-10029.65,-10066.03,-10203.63,11511.89,116.18102470862512,11511.89
11665.0,3009944.24,1092542.75,-9394.8,-9737.17,-9881.85,-9913.94,-10029.7,-10066.09,-10203.68,11512.84,121.63688782777868,11512.84
11666.0,3009944.23,1092542.7,-9395.8,-9737.22,-9881.9,-9913.99,-10029.76,-10066.14,-10203.74,11513.78,,11513.78
11667.0,3009944.23,1092542.65,-9396.8,-9737.28,-9881.96,-9914.05,-10029.81,-10066.2,-10203.79,11514.72,116.5933065564201,11514.72
11668.0,3009944.22,1092542.6,-9397.8,-9737.33,-9882.01,-9914.1,-10029.87,-10066.25,-10203.85,11515.67,116.93687476291592,11515.67
11669.0,3009944.21,1092542.55,-9398.8,-9737.39,-9882.07,-9914.16,-10029.92,-10066.31,-10203.9,11516.61,131.10562759880338,11516.61
11670.0,3009944.21,1092542.5,-9399.8,-9737.44,-9882.12,-9914.21,-10029.98,-10066.36,-10203.95,11517.56,118.20120576282052,11517.56
11671.0,3009944.2,1092542.45,-9400.79,-9737.49,-9882.17,-9914.26,-10030.03,-10066.41,-10204.01,11518.5,109.46083058956695,11518.5
11672.0,3009944.19,1092542.4,-9401.79,-9737.54,-9882.22,-9914.31,-10030.08,-10066.46,-10204.06,11519.45,106.35497400284478,11519.45
11673.0,3009944.19,1092542.35,-9402.79,-9737.59,-9882.27,-9914.36,-10030.13,-10066.51,-10204.11,11520.4,96.24032600360796,11520.4
11674.0,3009944.18,1092542.3,-9403.79,-9737.65,-9882.33,-9914.42,-10030.18,-10066.57,-10204.16,11521.35,91.883881145241,11521.35
11675.0,3009944.17,1092542.25,-9404.79,-9737.7,-9882.38,-9914.47,-10030.23,-10066.62,-10204.21,11522.29,98.65904617733852,11522.29
11676.0,3009944.16,1092542.21,-9405.79,-9737.75,-9882.43,-9914.52,-10030.29,-10066.67,-10204.26,11523.240000000002,110.80761795903057,11523.240000000002
11677.0,3009944.16,1092542.16,-9406.79,-9737.8,-9882.48,-9914.57,-10030.34,-10066.72,-10204.32,11524.19,107.99035866576486,11524.19
11678.0,3009944.15,1092542.11,-9407.79,-9737.85,-9882.53,-9914.62,-10030.39,-10066.77,-10204.37,11525.13,106.58860038326192,11525.13
11679.0,3009944.14,1092542.07,-9408.79,-9737.9,-9882.58,-9914.67,-10030.44,-10066.83,-10204.42,11526.08,100.32191629677826,11526.08
11680.0,3009944.13,1092542.02,-9409.78,-9737.95,-9882.63,-9914.72,-10030.49,-10066.87,-10204.47,11527.03,95.73184505799416,11527.03
11681.0,3009944.12,1092541.98,-9410.78,-9738.0,-9882.68,-9914.77,-10030.54,-10066.92,-10204.52,11527.98,93.76663491683809,11527.98
11682.0,3009944.12,1092541.93,-9411.78,-9738.05,-9882.73,-9914.82,-10030.59,-10066.97,-10204.56,11528.93,98.81021618819668,11528.93
11683.0,3009944.11,1092541.89,-9412.78,-9738.1,-9882.78,-9914.87,-10030.63,-10067.02,-10204.61,11529.89,103.11169013352428,11529.89
11684.0,3009944.1,1092541.84,-9413.78,-9738.14,-9882.82,-9914.91,-10030.68,-10067.06,-10204.66,11530.84,105.32426938335732,11530.84
11685.0,3009944.09,1092541.8,-9414.78,-9738.19,-9882.87,-9914.96,-10030.73,-10067.11,-10204.71,11531.79,102.83683556832764,11531.79
11686.0,3009944.08,1092541.76,-9415.78,-9738.24,-9882.92,-9915.01,-10030.78,-10067.16,-10204.76,11532.740000000002,100.89911088369122,11532.740000000002
11687.0,3009944.07,1092541.72,-9416.78,-9738.29,-9882.97,-9915.06,-10030.82,-10067.21,-10204.8,11533.69,101.79238822058034,11533.69
11688.0,3009944.06,1092541.67,-9417.78,-9738.34,-9883.02,-9915.11,-10030.87,-10067.26,-10204.85,11534.64,108.34766960052052,11534.64
11689.0,3009944.05,1092541.63,-9418.78,-9738.38,-9883.06,-9915.15,-10030.92,-10067.3,-10204.9,11535.59,110.29913701341675,11535.59
11690.0,3009944.04,1092541.59,-9419.77,-9738.43,-9883.11,-9915.2,-10030.96,-10067.35,-10204.94,11536.55,105.29678392683768,11536.55
11691.0,3009944.03,1092541.55,-9420.77,-9738.47,-9883.15,-9915.24,-10031.01,-10067.39,-10204.99,11537.5,101.35262091626568,11537.5
11692.0,3009944.02,1092541.51,-9421.77,-9738.51,-9883.19,-9915.28,-10031.05,-10067.44,-10205.03,11538.46,104.10116656823224,11538.46
11693.0,3009944.01,1092541.47,-9422.77,-9738.56,-9883.24,-9915.33,-10031.1,-10067.48,-10205.07,11539.41,108.48509688311884,11539.41
11694.0,3009944.0,1092541.43,-9423.77,-9738.6,-9883.28,-9915.37,-10031.14,-10067.52,-10205.12,11540.37,105.599123948554,11540.37
11695.0,3009943.99,1092541.39,-9424.77,-9738.65,-9883.33,-9915.42,-10031.18,-10067.57,-10205.16,11541.320000000002,103.68888472043726,11541.320000000002
11696.0,3009943.98,1092541.36,-9425.77,-9738.69,-9883.37,-9915.46,-10031.23,-10067.61,-10205.21,11542.28,103.9637392856339,11542.28
11697.0,3009943.97,1092541.32,-9426.77,-9738.73,-9883.41,-9915.5,-10031.27,-10067.65,-10205.25,11543.240000000002,112.62165808932846,11543.240000000002
11698.0,3009943.96,1092541.28,-9427.77,-9738.78,-9883.46,-9915.55,-10031.31,-10067.7,-10205.29,11544.19,111.590953469841,11544.19
11699.0,3009943.95,1092541.24,-9428.77,-9738.82,-9883.5,-9915.59,-10031.36,-10067.74,-10205.34,11545.15,105.03567208990086,11545.15
11700.0,3009943.94,1092541.21,-9429.77,-9738.86,-9883.54,-9915.63,-10031.4,-10067.78,-10205.38,11546.11,101.58624729668286,11546.11
11701.0,3009943.93,1092541.17,-9430.77,-9738.9,-9883.58,-9915.67,-10031.44,-10067.82,-10205.42,11547.070000000002,99.40115350336946,11547.070000000002
11702.0,3009943.92,1092541.14,-9431.77,-9738.94,-9883.62,-9915.71,-10031.48,-10067.86,-10205.46,11548.02,99.4148962316293,11548.02
11703.0,3009943.9,1092541.1,-9432.76,-9738.98,-9883.66,-9915.75,-10031.52,-10067.9,-10205.5,11548.98,102.149699155336,11548.98
11704.0,3009943.89,1092541.07,-9433.76,-9739.02,-9883.7,-9915.79,-10031.56,-10067.94,-10205.54,11549.94,110.8213606872904,11549.94
11705.0,3009943.88,1092541.03,-9434.76,-9739.06,-9883.74,-9915.83,-10031.6,-10067.98,-10205.58,11550.9,110.0655106329996,11550.9
11706.0,3009943.87,1092541.0,-9435.76,-9739.1,-9883.78,-9915.87,-10031.64,-10068.02,-10205.61,11551.86,101.1464799923682,11551.86
11707.0,3009943.86,1092540.97,-9436.76,-9739.14,-9883.82,-9915.91,-10031.68,-10068.06,-10205.65,11552.820000000002,102.56198100313097,11552.820000000002
11708.0,3009943.84,1092540.93,-9437.76,-9739.18,-9883.86,-9915.95,-10031.72,-10068.1,-10205.69,11553.78,102.067242785777,11553.78
11709.0,3009943.83,1092540.9,-9438.76,-9739.22,-9883.9,-9915.99,-10031.76,-10068.14,-10205.73,11554.740000000002,94.00026129725524,11554.740000000002
11710.0,3009943.82,1092540.87,-9439.76,-9739.25,-9883.93,-9916.02,-10031.79,-10068.18,-10205.77,11555.71,95.9654714384113,11555.71
11711.0,3009943.81,1092540.84,-9440.76,-9739.29,-9883.97,-9916.06,-10031.83,-10068.21,-10205.81,11556.67,92.36487663433516,11556.67
11712.0,3009943.79,1092540.81,-9441.76,-9739.33,-9884.01,-9916.1,-10031.86,-10068.25,-10205.84,11557.63,99.52483805770795,11557.63
11713.0,3009943.78,1092540.78,-9442.76,-9739.36,-9884.04,-9916.13,-10031.9,-10068.28,-10205.88,11558.6,98.50787616648032,11558.6
11714.0,3009943.77,1092540.75,-9443.76,-9739.4,-9884.08,-9916.17,-10031.93,-10068.32,-10205.91,11559.56,101.5175336553837,11559.56
11715.0,3009943.75,1092540.72,-9444.76,-9739.43,-9884.11,-9916.2,-10031.97,-10068.35,-10205.95,11560.52,105.186842100759,11560.52
11716.0,3009943.74,1092540.69,-9445.76,-9739.47,-9884.15,-9916.24,-10032.01,-10068.39,-10205.98,11561.490000000002,105.07690027468036,11561.490000000002
11717.0,3009943.73,1092540.66,-9446.76,-9739.5,-9884.18,-9916.27,-10032.04,-10068.43,-10206.02,11562.45,101.03653816628956,11562.45
11718.0,3009943.71,1092540.63,-9447.76,-9739.54,-9884.22,-9916.31,-10032.08,-10068.46,-10206.06,11563.42,99.78594989464476,11563.42
11719.0,3009943.7,1092540.61,-9448.76,-9739.58,-9884.26,-9916.35,-10032.11,-10068.5,-10206.09,11564.38,99.99209081854228,11564.38
11720.0,3009943.69,1092540.58,-9449.76,-9739.61,-9884.29,-9916.38,-10032.15,-10068.53,-10206.12,11565.35,97.95816703608703,11565.35
11721.0,3009943.67,1092540.55,-9450.75,-9739.64,-9884.32,-9916.41,-10032.18,-10068.56,-10206.15,11566.320000000002,95.085936829782,11566.320000000002
11722.0,3009943.66,1092540.53,-9451.75,-9739.67,-9884.35,-9916.44,-10032.21,-10068.59,-10206.19,11567.28,,11567.28
11723.0,3009943.64,1092540.5,-9452.75,-9739.7,-9884.38,-9916.47,-10032.24,-10068.62,-10206.22,11568.25,99.85466353594394,11568.25
11724.0,3009943.63,1092540.48,-9453.75,-9739.73,-9884.41,-9916.5,-10032.27,-10068.66,-10206.25,11569.22,104.12865202475189,11569.22
11725.0,3009943.61,1092540.45,-9454.75,-9739.77,-9884.45,-9916.54,-10032.3,-10068.69,-10206.28,11570.19,110.4503070242749,11570.19
11726.0,3009943.6,1092540.43,-9455.75,-9739.8,-9884.48,-9916.57,-10032.34,-10068.72,-10206.31,11571.15,102.56198100313097,11571.15
11727.0,3009943.58,1092540.4,-9456.75,-9739.83,-9884.51,-9916.6,-10032.37,-10068.75,-10206.35,11572.12,,11572.12
11728.0,3009943.57,1092540.38,-9457.75,-9739.86,-9884.54,-9916.63,-10032.4,-10068.78,-10206.38,11573.09,109.17223329611046,11573.09
11729.0,3009943.55,1092540.36,-9458.75,-9739.89,-9884.57,-9916.66,-10032.43,-10068.81,-10206.41,11574.06,111.81083712199832,11574.06
11730.0,3009943.54,1092540.34,-9459.75,-9739.92,-9884.6,-9916.69,-10032.46,-10068.84,-10206.44,11575.03,111.86580803503767,11575.03
11731.0,3009943.52,1092540.31,-9460.75,-9739.95,-9884.63,-9916.72,-10032.49,-10068.87,-10206.46,11576.0,105.87397851375064,11576.0
11732.0,3009943.51,1092540.29,-9461.75,-9739.98,-9884.66,-9916.75,-10032.51,-10068.9,-10206.49,11576.97,95.56693231887616,11576.97
11733.0,3009943.49,1092540.27,-9462.75,-9740.0,-9884.68,-9916.77,-10032.54,-10068.92,-10206.52,11577.95,93.58797944946024,11577.95
11734.0,3009943.47,1092540.25,-9463.75,-9740.03,-9884.71,-9916.8,-10032.57,-10068.95,-10206.55,11578.92,97.29851607961508,11578.92
11735.0,3009943.46,1092540.23,-9464.75,-9740.06,-9884.74,-9916.83,-10032.6,-10068.98,-10206.57,11579.89,95.64938868843517,11579.89
11736.0,3009943.44,1092540.21,-9465.75,-9740.09,-9884.77,-9916.86,-10032.62,-10069.01,-10206.6,11580.86,96.99617605789877,11580.86
11737.0,3009943.42,1092540.19,-9466.75,-9740.11,-9884.79,-9916.88,-10032.65,-10069.03,-10206.63,11581.83,98.57658980777953,11581.83
11738.0,3009943.41,1092540.17,-9467.75,-9740.14,-9884.82,-9916.91,-10032.68,-10069.06,-10206.66,11582.81,102.13595642707617,11582.81
11739.0,3009943.39,1092540.16,-9468.75,-9740.17,-9884.85,-9916.94,-10032.71,-10069.09,-10206.68,11583.78,101.5587618401632,11583.78
11740.0,3009943.37,1092540.14,-9469.75,-9740.19,-9884.87,-9916.96,-10032.73,-10069.11,-10206.71,11584.75,100.01957627506194,11584.75
11741.0,3009943.36,1092540.12,-9470.75,-9740.22,-9884.9,-9916.99,-10032.75,-10069.14,-10206.73,11585.73,,11585.73
11742.0,3009943.34,1092540.1,-9471.75,-9740.24,-9884.92,-9917.01,-10032.78,-10069.16,-10206.76,11586.71,92.30990572129582,11586.71
11743.0,3009943.32,1092540.09,-9472.75,-9740.26,-9884.94,-9917.03,-10032.8,-10069.18,-10206.78,11587.68,92.85961485168912,11587.68
11744.0,3009943.3,1092540.07,-9473.75,-9740.29,-9884.97,-9917.06,-10032.82,-10069.21,-10206.8,11588.66,,11588.66
11745.0,3009943.29,1092540.06,-9474.75,-9740.31,-9884.99,-9917.08,-10032.85,-10069.23,-10206.83,11589.64,98.60407526429915,11589.64
11746.0,3009943.27,1092540.04,-9475.75,-9740.33,-9885.01,-9917.1,-10032.87,-10069.26,-10206.85,11590.61,111.0000161546682,11590.61
11747.0,3009943.25,1092540.03,-9476.75,-9740.36,-9885.04,-9917.13,-10032.9,-10069.28,-10206.87,11591.59,118.35237577367867,11591.59
11748.0,3009943.23,1092540.01,-9477.75,-9740.38,-9885.06,-9917.15,-10032.92,-10069.3,-10206.9,11592.56,109.3921169482678,11592.56
11749.0,3009943.21,1092540.0,-9478.75,-9740.41,-9885.09,-9917.18,-10032.94,-10069.33,-10206.92,11593.54,107.75673228534772,11593.54
11750.0,3009943.19,1092539.99,-9479.74,-9740.43,-9885.11,-9917.2,-10032.96,-10069.35,-10206.94,11594.52,,11594.52
11751.0,3009943.18,1092539.97,-9480.74,-9740.44,-9885.12,-9917.21,-10032.98,-10069.37,-10206.96,11595.5,99.23624076425146,11595.5
11752.0,3009943.16,1092539.96,-9481.74,-9740.46,-9885.14,-9917.23,-10033.0,-10069.38,-10206.98,11596.48,102.38332553575314,11596.48
11753.0,3009943.14,1092539.95,-9482.74,-9740.48,-9885.16,-9917.25,-10033.02,-10069.4,-10207.0,11597.46,102.67192282920962,11597.46
11754.0,3009943.12,1092539.94,-9483.74,-9740.5,-9885.18,-9917.27,-10033.04,-10069.42,-10207.02,11598.44,,11598.44
11755.0,3009943.1,1092539.93,-9484.74,-9740.52,-9885.2,-9917.29,-10033.06,-10069.44,-10207.04,11599.42,,11599.42
11756.0,3009943.08,1092539.92,-9485.74,-9740.54,-9885.22,-9917.31,-10033.08,-10069.46,-10207.06,11600.4,99.16752712295232,11600.4
11757.0,3009943.06,1092539.91,-9486.74,-9740.56,-9885.24,-9917.33,-10033.1,-10069.48,-10207.08,11601.38,96.8450060470406,11601.38
11758.0,3009943.04,1092539.9,-9487.74,-9740.58,-9885.26,-9917.35,-10033.12,-10069.5,-10207.1,11602.36,114.80675188264186,11602.36
11759.0,3009943.02,1092539.89,-9488.74,-9740.6,-9885.28,-9917.37,-10033.14,-10069.52,-10207.12,11603.34,117.92635119762386,11603.34
11760.0,3009943.0,1092539.88,-9489.74,-9740.62,-9885.3,-9917.39,-10033.16,-10069.54,-10207.13,11604.320000000002,114.42195549136656,11604.320000000002
11761.0,3009942.98,1092539.88,-9490.74,-9740.63,-9885.31,-9917.4,-10033.17,-10069.56,-10207.15,11605.31,,11605.31
11762.0,3009942.96,1092539.87,-9491.74,-9740.65,-9885.33,-9917.42,-10033.19,-10069.57,-10207.17,11606.29,,11606.29
11763.0,3009942.94,1092539.86,-9492.74,-9740.67,-9885.35,-9917.44,-10033.21,-10069.59,-10207.18,11607.27,,11607.27
11764.0,3009942.92,1092539.85,-9493.74,-9740.68,-9885.36,-9917.45,-10033.22,-10069.6,-10207.2,11608.26,104.7195893399247,11608.26
11765.0,3009942.9,1092539.85,-9494.74,-9740.7,-9885.38,-9917.47,-10033.24,-10069.62,-10207.22,11609.240000000002,,11609.240000000002
11766.0,3009942.88,1092539.84,-9495.74,-9740.72,-9885.4,-9917.49,-10033.26,-10069.64,-10207.23,11610.22,,11610.22
11767.0,3009942.86,1092539.83,-9496.74,-9740.73,-9885.41,-9917.5,-10033.27,-10069.65,-10207.25,11611.21,,11611.21
11768.0,3009942.84,1092539.82,-9497.74,-9740.75,-9885.43,-9917.52,-10033.29,-10069.67,-10207.27,11612.19,,11612.19
11769.0,3009942.82,1092539.82,-9498.74,-9740.77,-9885.45,-9917.54,-10033.3,-10069.69,-10207.28,11613.17,103.85379745955522,11613.17
11770.0,3009942.79,1092539.81,-9499.74,-9740.78,-9885.46,-9917.55,-10033.32,-10069.7,-10207.3,11614.16,,11614.16
11771.0,3009942.77,1092539.8,-9500.74,-9740.8,-9885.48,-9917.57,-10033.34,-10069.72,-10207.32,11615.14,,11615.14
11772.0,3009942.75,1092539.8,-9501.74,-9740.82,-9885.5,-9917.59,-10033.35,-10069.74,-10207.33,11616.12,,11616.12
11773.0,3009942.73,1092539.79,-9502.74,-9740.83,-9885.51,-9917.6,-10033.37,-10069.75,-10207.35,11617.11,,11617.11
11774.0,3009942.71,1092539.78,-9503.74,-9740.85,-9885.53,-9917.62,-10033.38,-10069.77,-10207.36,11618.09,,11618.09
11775.0,3009942.69,1092539.78,-9504.74,-9740.86,-9885.54,-9917.63,-10033.4,-10069.78,-10207.38,11619.08,,11619.08
11776.0,3009942.67,1092539.77,-9505.74,-9740.88,-9885.56,-9917.65,-10033.42,-10069.8,-10207.39,11620.06,,11620.06
11777.0,3009942.64,1092539.77,-9506.74,-9740.9,-9885.58,-9917.67,-10033.43,-10069.82,-10207.41,11621.04,,11621.04
11778.0,3009942.62,1092539.76,-9507.74,-9740.91,-9885.59,-9917.68,-10033.45,-10069.83,-10207.43,11622.03,95.77307324277363,11622.03
11779.0,3009942.6,1092539.75,-9508.74,-9740.93,-9885.61,-9917.7,-10033.46,-10069.85,-10207.44,11623.01,97.42220063395357,11623.01
11780.0,3009942.58,1092539.75,-9509.74,-9740.94,-9885.62,-9917.71,-10033.48,-10069.86,-10207.46,11623.990000000002,105.28304119857783,11623.990000000002
11781.0,3009942.56,1092539.74,-9510.74,-9740.96,-9885.64,-9917.73,-10033.5,-10069.88,-10207.47,11624.98,107.46813499189123,11624.98
11782.0,3009942.54,1092539.74,-9511.74,-9740.97,-9885.65,-9917.74,-10033.51,-10069.89,-10207.49,11625.96,,11625.96
11783.0,3009942.51,1092539.73,-9512.74,-9740.99,-9885.67,-9917.76,-10033.53,-10069.91,-10207.51,11626.95,108.30644141574102,11626.95
11784.0,3009942.49,1092539.73,-9513.74,-9741.01,-9885.69,-9917.78,-10033.54,-10069.93,-10207.52,11627.93,110.36785065471592,11627.93
11785.0,3009942.47,1092539.72,-9514.74,-9741.02,-9885.7,-9917.79,-10033.56,-10069.94,-10207.54,11628.92,123.76701070805274,11628.92
11786.0,3009942.45,1092539.72,-9515.74,-9741.04,-9885.72,-9917.81,-10033.57,-10069.96,-10207.55,11629.9,155.56768390130546,11629.9
11787.0,3009942.42,1092539.71,-9516.74,-9741.05,-9885.73,-9917.82,-10033.59,-10069.97,-10207.57,11630.88,142.29220840230712,11630.88
11788.0,3009942.4,1092539.71,-9517.74,-9740.68,-9885.36,-9917.45,-10033.22,-10069.6,-10207.2,11632.25,90.97686108009206,11632.25
11789.0,3009942.38,1092539.7,-9518.74,-9740.28,-9884.96,-9917.05,-10032.81,-10069.2,-10206.79,11633.66,92.10376479739833,11633.66
11790.0,3009942.36,1092539.7,-9519.73,-9739.86,-9884.54,-9916.63,-10032.4,-10068.78,-10206.38,11635.070000000002,96.98243332963892,11635.070000000002
11791.0,3009942.33,1092539.69,-9520.73,-9739.45,-9884.13,-9916.22,-10031.98,-10068.37,-10205.96,11636.490000000002,99.23624076425146,11636.490000000002
11792.0,3009942.31,1092539.69,-9521.73,-9739.03,-9883.71,-9915.8,-10031.57,-10067.95,-10205.54,11637.9,96.47395238402513,11637.9
11793.0,3009942.29,1092539.68,-9522.73,-9738.61,-9883.29,-9915.38,-10031.15,-10067.53,-10205.13,11639.320000000002,95.2508495689,11639.320000000002
11794.0,3009942.26,1092539.68,-9523.73,-9738.2,-9882.88,-9914.97,-10030.74,-10067.12,-10204.71,11640.740000000002,98.37044888388202,11640.740000000002
11795.0,3009942.24,1092539.67,-9524.73,-9737.78,-9882.46,-9914.55,-10030.32,-10066.7,-10204.3,11642.15,104.7195893399247,11642.15
11796.0,3009942.22,1092539.67,-9525.73,-9737.37,-9882.05,-9914.14,-10029.9,-10066.29,-10203.88,11643.570000000002,107.42690680711172,11643.570000000002
11797.0,3009942.19,1092539.66,-9526.73,-9736.95,-9881.63,-9913.72,-10029.49,-10065.87,-10203.47,11644.98,108.1690141331427,11644.98
11798.0,3009942.17,1092539.66,-9527.73,-9736.54,-9881.22,-9913.31,-10029.07,-10065.46,-10203.05,11646.4,114.00967364357156,11646.4
11799.0,3009942.15,1092539.66,-9528.73,-9736.12,-9880.8,-9912.89,-10028.66,-10065.04,-10202.64,11647.81,124.86642896883934,11647.81
11800.0,3009942.12,1092539.65,-9529.73,-9735.69,-9880.37,-9912.46,-10028.23,-10064.61,-10202.21,11649.240000000002,121.95297057775484,11649.240000000002
11801.0,3009942.1,1092539.65,-9530.73,-9735.26,-9879.94,-9912.03,-10027.8,-10064.18,-10201.78,11650.67,111.81083712199832,11650.67
11802.0,3009942.08,1092539.64,-9531.73,-9734.83,-9879.51,-9911.6,-10027.37,-10063.75,-10201.35,11652.1,116.8131902085774,11652.1
11803.0,3009942.05,1092539.64,-9532.73,-9734.4,-9879.08,-9911.17,-10026.94,-10063.32,-10200.92,11653.53,126.22695906656278,11653.53
11804.0,3009942.03,1092539.64,-9533.73,-9733.97,-9878.65,-9910.74,-10026.51,-10062.89,-10200.49,11654.96,130.7345739357879,11654.96
11805.0,3009942.0,1092539.63,-9534.73,-9733.54,-9878.22,-9910.31,-10026.08,-10062.46,-10200.06,11656.39,125.95210450136612,11656.39
11806.0,3009941.98,1092539.63,-9535.73,-9733.11,-9877.79,-9909.88,-10025.65,-10062.03,-10199.63,11657.820000000002,112.6766290023678,11657.820000000002
