MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11968.0,3022261.73,1105388.24,-9844.44,-9884.83,-10044.39,-10118.02,-10247.82,-10292.34,-10415.46,11716.0,86.85296487389928,11716.0
11969.0,3022261.65,1105388.57,-9845.38,-9884.83,-10044.38,-10118.02,-10247.82,-10292.34,-10415.46,11716.94,90.65699007961658,11716.94
11970.0,3022261.57,1105388.9,-9846.32,-9884.83,-10044.38,-10118.02,-10247.82,-10292.34,-10415.46,11717.88,84.80788052657782,11717.88
11971.0,3022261.49,1105389.23,-9847.26,-9884.82,-10044.38,-10118.02,-10247.82,-10292.34,-10415.45,11718.820000000002,78.51272377021381,11718.820000000002
11972.0,3022261.41,1105389.56,-9848.2,-9884.82,-10044.38,-10118.02,-10247.81,-10292.34,-10415.45,11719.76,89.63023991347164,11719.76
11973.0,3022261.32,1105389.89,-9849.14,-9884.82,-10044.38,-10118.02,-10247.81,-10292.34,-10415.45,11720.7,96.9521468359806,11720.7
11974.0,3022261.24,1105390.23,-9850.08,-9884.82,-10044.38,-10118.02,-10247.81,-10292.34,-10415.45,11721.64,,11721.64
11975.0,3022261.16,1105390.57,-9851.01,-9884.82,-10044.38,-10118.02,-10247.81,-10292.34,-10415.45,11722.58,,11722.58
11976.0,3022261.08,1105390.91,-9851.95,-9884.82,-10044.38,-10118.01,-10247.81,-10292.33,-10415.45,11723.52,,11723.52
11977.0,3022261.0,1105391.25,-9852.89,-9884.82,-10044.37,-10118.01,-10247.81,-10292.33,-10415.45,11724.46,106.2097303012218,11724.46
11978.0,3022260.92,1105391.59,-9853.82,-9884.82,-10044.37,-10118.01,-10247.81,-10292.33,-10415.45,11725.4,,11725.4
11979.0,3022260.84,1105391.93,-9854.76,-9884.81,-10044.37,-10118.01,-10247.8,-10292.33,-10415.44,11726.33,113.69154093813036,11726.33
11980.0,3022260.76,1105392.28,-9855.69,-9884.81,-10044.37,-10118.01,-10247.8,-10292.33,-10415.44,11727.26,109.99692353700227,11727.26
11981.0,3022260.68,1105392.63,-9856.63,-9884.81,-10044.37,-10118.01,-10247.8,-10292.33,-10415.44,11728.2,106.2097303012218,11728.2
11982.0,3022260.6,1105392.98,-9857.56,-9884.81,-10044.37,-10118.01,-10247.8,-10292.33,-10415.44,11729.13,102.53194487003051,11729.13
11983.0,3022260.52,1105393.33,-9858.49,-9884.81,-10044.37,-10118.01,-10247.8,-10292.33,-10415.44,11730.06,99.60318210102696,11730.06
11984.0,3022260.44,1105393.69,-9859.43,-9884.81,-10044.37,-10118.0,-10247.8,-10292.32,-10415.44,11731.0,96.9521468359806,11731.0
11985.0,3022260.36,1105394.04,-9860.36,-9884.81,-10044.36,-10118.0,-10247.8,-10292.32,-10415.44,11731.93,99.63684604090056,11731.93
11986.0,3022260.28,1105394.4,-9861.29,-9884.8,-10044.36,-10118.0,-10247.8,-10292.32,-10415.43,11732.86,,11732.86
11987.0,3022260.2,1105394.76,-9862.22,-9884.8,-10044.36,-10118.0,-10247.79,-10292.32,-10415.43,11733.8,,11733.8
11988.0,3022260.12,1105395.12,-9863.15,-9884.8,-10044.36,-10118.0,-10247.79,-10292.32,-10415.43,11734.73,98.86257542380764,11734.73
11989.0,3022260.04,1105395.49,-9864.07,-9884.8,-10044.36,-10118.0,-10247.79,-10292.32,-10415.43,11735.66,96.9521468359806,11735.66
11990.0,3022259.96,1105395.85,-9865.0,-9884.8,-10044.36,-10118.0,-10247.79,-10292.32,-10415.43,11736.58,,11736.58
11991.0,3022259.88,1105396.22,-9865.93,-9884.8,-10044.36,-10117.99,-10247.79,-10292.31,-10415.43,11737.51,,11737.51
11992.0,3022259.8,1105396.59,-9866.85,-9884.8,-10044.35,-10117.99,-10247.79,-10292.31,-10415.43,11738.44,,11738.44
11993.0,3022259.72,1105396.96,-9867.78,-9884.79,-10044.35,-10117.99,-10247.79,-10292.31,-10415.43,11739.36,98.87099140877604,11739.36
11994.0,3022259.64,1105397.33,-9868.7,-9884.79,-10044.35,-10117.99,-10247.78,-10292.31,-10415.42,11740.29,101.16013932018114,11740.29
11995.0,3022259.56,1105397.71,-9869.63,-9884.79,-10044.35,-10117.99,-10247.78,-10292.31,-10415.42,11741.21,,11741.21
11996.0,3022259.48,1105398.08,-9870.55,-9884.79,-10044.35,-10117.99,-10247.78,-10292.31,-10415.42,11742.14,,11742.14
11997.0,3022259.4,1105398.46,-9871.47,-9884.79,-10044.35,-10117.99,-10247.78,-10292.31,-10415.42,11743.070000000002,,11743.070000000002
11998.0,3022259.32,1105398.84,-9872.39,-9884.79,-10044.35,-10117.99,-10247.78,-10292.3,-10415.42,11743.990000000002,104.96416452589844,11743.990000000002
11999.0,3022259.24,1105399.23,-9873.31,-9884.79,-10044.34,-10117.98,-10247.78,-10292.3,-10415.42,11744.91,,11744.91
12000.0,3022259.16,1105399.61,-9874.23,-9884.79,-10044.34,-10117.98,-10247.78,-10292.3,-10415.42,11745.83,,11745.83
12001.0,3022259.08,1105400.0,-9875.15,-9884.78,-10044.34,-10117.98,-10247.77,-10292.3,-10415.41,11746.75,,11746.75
12002.0,3022259.01,1105400.38,-9876.07,-9884.78,-10044.34,-10117.98,-10247.77,-10292.3,-10415.41,11747.67,,11747.67
12003.0,3022258.93,1105400.77,-9876.99,-9884.78,-10044.34,-10117.98,-10247.77,-10292.3,-10415.41,11748.59,,11748.59
12004.0,3022258.85,1105401.17,-9877.9,-9884.78,-10044.34,-10117.98,-10247.77,-10292.3,-10415.41,11749.5,,11749.5
12005.0,3022258.77,1105401.56,-9878.82,-9884.78,-10044.34,-10117.97,-10247.77,-10292.29,-10415.41,11750.42,,11750.42
12006.0,3022258.69,1105401.95,-9879.74,-9884.78,-10044.33,-10117.97,-10247.77,-10292.29,-10415.41,11751.34,82.64497238969874,11751.34
