MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10419.0,2991484.34,1120062.5,-8209.56,-8316.83,-8428.24,-8518.46,-8679.3,-8731.08,-8826.36,10333.81,173.2835505016458,10333.81
10420.0,2991484.34,1120062.48,-8210.56,-8316.84,-8428.25,-8518.48,-8679.32,-8731.1,-8826.38,10334.79,122.1776133885382,10334.79
10421.0,2991484.34,1120062.45,-8211.56,-8316.86,-8428.27,-8518.5,-8679.34,-8731.12,-8826.4,10335.77,112.05175310250068,10335.77
10422.0,2991484.34,1120062.42,-8212.56,-8316.88,-8428.29,-8518.52,-8679.35,-8731.13,-8826.41,10336.76,109.4037770862775,10336.76
10423.0,2991484.33,1120062.4,-8213.56,-8316.89,-8428.31,-8518.53,-8679.37,-8731.15,-8826.43,10337.740000000002,114.67854531059407,10337.740000000002
10424.0,2991484.33,1120062.37,-8214.56,-8316.91,-8428.32,-8518.55,-8679.39,-8731.17,-8826.45,10338.72,113.35455730248248,10338.72
10425.0,2991484.33,1120062.34,-8215.56,-8316.93,-8428.34,-8518.57,-8679.41,-8731.19,-8826.46,10339.7,,10339.7
10426.0,2991484.33,1120062.31,-8216.56,-8316.95,-8428.36,-8518.58,-8679.42,-8731.2,-8826.48,10340.69,118.65050933492888,10340.69
10427.0,2991484.34,1120062.28,-8217.56,-8316.96,-8428.37,-8518.6,-8679.44,-8731.22,-8826.5,10341.67,123.94646136737526,10341.67
10428.0,2991484.34,1120062.25,-8218.56,-8316.98,-8428.39,-8518.62,-8679.46,-8731.24,-8826.52,10342.65,113.35455730248248,10342.65
10429.0,2991484.34,1120062.22,-8219.56,-8317.0,-8428.41,-8518.64,-8679.48,-8731.25,-8826.53,10343.63,110.7065812862593,10343.63
10430.0,2991484.34,1120062.19,-8220.56,-8317.02,-8428.43,-8518.66,-8679.5,-8731.28,-8826.55,10344.61,118.65050933492888,10344.61
10431.0,2991484.34,1120062.15,-8221.56,-8317.04,-8428.45,-8518.68,-8679.52,-8731.3,-8826.58,10345.59,127.91842539171006,10345.59
10432.0,2991484.34,1120062.12,-8222.56,-8317.06,-8428.47,-8518.7,-8679.54,-8731.32,-8826.6,10346.570000000002,,10346.570000000002
10433.0,2991484.34,1120062.09,-8223.56,-8317.08,-8428.5,-8518.72,-8679.56,-8731.34,-8826.62,10347.54,131.45612134938426,10347.54
10434.0,2991484.35,1120062.05,-8224.55,-8317.11,-8428.52,-8518.74,-8679.58,-8731.36,-8826.64,10348.52,125.27044937548686,10348.52
10435.0,2991484.35,1120062.01,-8225.55,-8317.13,-8428.54,-8518.77,-8679.61,-8731.39,-8826.66,10349.5,117.77138129754276,10349.5
10436.0,2991484.35,1120061.98,-8226.55,-8317.15,-8428.56,-8518.79,-8679.63,-8731.41,-8826.69,10350.48,116.8816613560918,10350.48
10437.0,2991484.36,1120061.94,-8227.55,-8317.17,-8428.58,-8518.81,-8679.65,-8731.43,-8826.71,10351.45,126.59443738359846,10351.45
10438.0,2991484.36,1120061.9,-8228.55,-8317.19,-8428.6,-8518.83,-8679.67,-8731.45,-8826.73,10352.43,,10352.43
