MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10423.0,2945047.59,1074311.96,-8233.15,-8231.89,-8364.86,-8453.98,-8548.91,-8594.44,-8690.91,10125.76,67.01464493213454,10125.76
10424.0,2945047.81,1074311.65,-8234.08,-8231.55,-8364.51,-8453.64,-8548.57,-8594.1,-8690.57,10127.03,65.95338098214167,10127.03
10425.0,2945048.03,1074311.33,-8235.0,-8231.21,-8364.17,-8453.29,-8548.22,-8593.75,-8690.22,10128.3,64.62978212316179,10128.3
10426.0,2945048.25,1074311.01,-8235.92,-8231.15,-8364.11,-8453.24,-8548.16,-8593.7,-8690.17,10129.28,61.05248790970265,10129.28
10427.0,2945048.47,1074310.69,-8236.84,-8231.21,-8364.17,-8453.3,-8548.23,-8593.76,-8690.23,10130.14,77.74652757251197,10130.14
10428.0,2945048.69,1074310.38,-8237.77,-8231.27,-8364.24,-8453.36,-8548.29,-8593.82,-8690.29,10131.0,70.03149638548508,10131.0
10429.0,2945048.91,1074310.06,-8238.69,-8231.34,-8364.3,-8453.43,-8548.35,-8593.88,-8690.36,10131.86,58.667625100729886,10131.86
10430.0,2945049.14,1074309.74,-8239.61,-8231.4,-8364.36,-8453.49,-8548.42,-8593.95,-8690.42,10132.71,56.28276229175713,10132.71
10431.0,2945049.36,1074309.42,-8240.53,-8231.46,-8364.43,-8453.55,-8548.48,-8594.01,-8690.48,10133.570000000002,55.06648225918101,10133.570000000002
10432.0,2945049.59,1074309.1,-8241.45,-8231.53,-8364.49,-8453.62,-8548.54,-8594.07,-8690.55,10134.43,54.58950969738647,10134.43
10433.0,2945049.81,1074308.77,-8242.37,-8231.59,-8364.55,-8453.68,-8548.61,-8594.14,-8690.61,10135.28,50.32060526932523,10135.28
10434.0,2945050.04,1074308.45,-8243.29,-8231.66,-8364.62,-8453.74,-8548.67,-8594.2,-8690.67,10136.14,56.28276229175713,10136.14
10435.0,2945050.27,1074308.13,-8244.21,-8231.72,-8364.68,-8453.81,-8548.73,-8594.27,-8690.74,10136.990000000002,,10136.990000000002
10436.0,2945050.5,1074307.8,-8245.12,-8231.78,-8364.75,-8453.87,-8548.8,-8594.33,-8690.8,10137.84,45.55087965137971,10137.84
10437.0,2945050.73,1074307.48,-8246.04,-8231.85,-8364.81,-8453.94,-8548.86,-8594.4,-8690.87,10138.7,51.763447268753744,10138.7
10438.0,2945050.96,1074307.15,-8246.96,-8231.91,-8364.87,-8454.0,-8548.93,-8594.46,-8690.93,10139.55,64.60593349507205,10139.55
10439.0,2945051.19,1074306.83,-8247.88,-8231.98,-8364.94,-8454.07,-8548.99,-8594.53,-8691.0,10140.4,70.89004699671528,10140.4
10440.0,2945051.42,1074306.5,-8248.79,-8231.82,-8364.79,-8453.91,-8548.84,-8594.37,-8690.84,10141.47,72.97680195456644,10141.47
10441.0,2945051.65,1074306.17,-8249.71,-8230.85,-8363.81,-8452.94,-8547.86,-8593.4,-8689.87,10143.36,67.46776886583936,10143.36
10442.0,2945051.89,1074305.85,-8250.62,-8229.87,-8362.83,-8451.96,-8546.89,-8592.42,-8688.89,10145.26,69.3995077411073,10145.26
10443.0,2945052.12,1074305.52,-8251.54,-8228.89,-8361.85,-8450.98,-8545.91,-8591.44,-8687.91,10147.15,,10147.15
10444.0,2945052.36,1074305.19,-8252.45,-8228.67,-8361.64,-8450.76,-8545.69,-8591.22,-8687.69,10148.28,83.70868459494386,10148.28
10445.0,2945052.59,1074304.86,-8253.37,-8229.0,-8361.96,-8451.08,-8546.01,-8591.54,-8688.01,10148.87,92.05570442634853,10148.87
10446.0,2945052.83,1074304.53,-8254.28,-8229.32,-8362.28,-8451.41,-8546.33,-8591.87,-8688.34,10149.46,111.1346068981306,10149.46
