MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10732.0,2906951.58,1032888.3,-8676.44,-8817.97,-9041.41,-9107.79,-9157.3,-9195.34,-9321.66,10620.98,116.98668786148994,10620.98
10733.0,2906951.59,1032888.31,-8677.44,-8818.69,-9042.13,-9108.51,-9158.02,-9196.06,-9322.38,10621.26,116.4749834696144,10621.26
10734.0,2906951.6,1032888.32,-8678.44,-8819.42,-9042.86,-9109.24,-9158.76,-9196.79,-9323.11,10621.52,119.44840088186412,10621.52
10735.0,2906951.61,1032888.33,-8679.44,-8820.16,-9043.6,-9109.98,-9159.5,-9197.54,-9323.85,10621.78,120.90053496691633,10621.78
10736.0,2906951.63,1032888.34,-8680.44,-8820.92,-9044.36,-9110.74,-9160.26,-9198.29,-9324.61,10622.02,123.6250151074428,10622.02
10737.0,2906951.64,1032888.35,-8681.44,-8821.69,-9045.13,-9111.51,-9161.03,-9199.06,-9325.38,10622.25,121.88245420538018,10622.25
10738.0,2906951.66,1032888.36,-8682.44,-8822.47,-9045.91,-9112.29,-9161.81,-9199.85,-9326.16,10622.47,121.0803229964942,10622.47
10739.0,2906951.67,1032888.36,-8683.44,-8823.27,-9046.71,-9113.09,-9162.61,-9200.64,-9326.96,10622.67,116.90370877091551,10622.67
10740.0,2906951.69,1032888.37,-8684.44,-8824.08,-9047.52,-9113.9,-9163.41,-9201.45,-9327.77,10622.87,116.69626104447951,10622.87
10741.0,2906951.71,1032888.37,-8685.44,-8824.9,-9048.34,-9114.72,-9164.24,-9202.27,-9328.59,10623.04,120.7760663310547,10623.04
10742.0,2906951.72,1032888.38,-8686.44,-8825.73,-9049.17,-9115.55,-9165.07,-9203.1,-9329.42,10623.21,123.0994808671382,10623.21
10743.0,2906951.74,1032888.38,-8687.44,-8826.58,-9050.02,-9116.4,-9165.91,-9203.95,-9330.27,10623.36,123.79097328859162,10623.36
10744.0,2906951.76,1032888.39,-8688.44,-8827.44,-9050.88,-9117.26,-9166.77,-9204.81,-9331.13,10623.51,123.84629268230788,10623.51
10745.0,2906951.78,1032888.39,-8689.44,-8828.31,-9051.75,-9118.13,-9167.65,-9205.68,-9332.0,10623.63,119.51755012400947,10623.63
10746.0,2906951.8,1032888.39,-8690.44,-8829.19,-9052.63,-9119.01,-9168.53,-9206.57,-9332.88,10623.75,,10623.75
