MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11566.0,2924898.3,1016103.77,-9510.38,-9805.53,-10032.1,-10071.0,-10146.39,-10193.24,-10352.46,11278.79,,11278.79
11567.0,2924898.29,1016103.8,-9511.38,-9805.5,-10032.07,-10070.97,-10146.36,-10193.2,-10352.43,11279.820000000002,122.60137784173058,11279.820000000002
11568.0,2924898.27,1016103.83,-9512.38,-9805.46,-10032.03,-10070.93,-10146.32,-10193.17,-10352.39,11280.86,120.17129282471208,11280.86
11569.0,2924898.26,1016103.86,-9513.38,-9805.42,-10031.99,-10070.89,-10146.28,-10193.13,-10352.35,11281.9,116.97219356180166,11281.9
11570.0,2924898.24,1016103.89,-9514.38,-9805.39,-10031.96,-10070.86,-10146.25,-10193.09,-10352.32,11282.93,112.99382652972076,11282.93
11571.0,2924898.22,1016103.93,-9515.38,-9805.35,-10031.92,-10070.82,-10146.21,-10193.06,-10352.28,11283.97,120.33534919716902,11283.97
11572.0,2924898.21,1016103.96,-9516.38,-9805.31,-10031.88,-10070.78,-10146.17,-10193.02,-10352.24,11285.0,123.49343436696522,11285.0
11573.0,2924898.19,1016103.99,-9517.38,-9805.28,-10031.85,-10070.75,-10146.14,-10192.99,-10352.21,11286.04,122.2219974804239,11286.04
11574.0,2924898.18,1016104.02,-9518.38,-9805.24,-10031.81,-10070.71,-10146.1,-10192.95,-10352.17,11287.08,124.03687110072885,11287.08
11575.0,2924898.16,1016104.05,-9519.37,-9805.2,-10031.77,-10070.67,-10146.06,-10192.91,-10352.13,11288.11,126.32340679184752,11288.11
11576.0,2924898.15,1016104.08,-9520.37,-9805.17,-10031.74,-10070.64,-10146.03,-10192.88,-10352.1,11289.15,,11289.15
11577.0,2924898.13,1016104.11,-9521.37,-9805.13,-10031.7,-10070.6,-10145.99,-10192.84,-10352.06,11290.18,128.44588611050924,11290.18
11578.0,2924898.11,1016104.14,-9522.37,-9805.09,-10031.66,-10070.56,-10145.95,-10192.8,-10352.02,11291.22,131.45016843112705,11291.22
11579.0,2924898.1,1016104.17,-9523.37,-9805.06,-10031.63,-10070.53,-10145.92,-10192.77,-10351.99,11292.26,122.2219974804239,11292.26
11580.0,2924898.08,1016104.21,-9524.37,-9805.02,-10031.59,-10070.49,-10145.88,-10192.73,-10351.95,11293.29,,11293.29
