MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11237.0,3006400.36,1097635.87,-9117.61,-9551.4,-9689.96,-9764.9,-9893.86,-9935.59,-10052.31,11016.75,135.15919296699835,11016.75
11238.0,3006400.35,1097635.87,-9118.61,-9551.41,-9689.97,-9764.91,-9893.87,-9935.6,-10052.32,11017.740000000002,136.2793315435942,11017.740000000002
11239.0,3006400.34,1097635.87,-9119.61,-9551.42,-9689.98,-9764.92,-9893.88,-9935.61,-10052.33,11018.73,137.5253283872233,11018.73
11240.0,3006400.33,1097635.87,-9120.61,-9551.44,-9689.99,-9764.93,-9893.89,-9935.62,-10052.34,11019.71,135.92692839590114,11019.71
11241.0,3006400.32,1097635.87,-9121.61,-9551.45,-9690.0,-9764.95,-9893.9,-9935.63,-10052.36,11020.7,134.26559927106234,11020.7
11242.0,3006400.31,1097635.87,-9122.61,-9551.46,-9690.02,-9764.96,-9893.92,-9935.65,-10052.37,11021.69,138.63288113711585,11021.69
11243.0,3006400.3,1097635.87,-9123.61,-9551.47,-9690.03,-9764.97,-9893.93,-9935.66,-10052.38,11022.68,135.184364620405,11022.68
11244.0,3006400.29,1097635.87,-9124.61,-9551.48,-9690.04,-9764.98,-9893.94,-9935.67,-10052.39,11023.67,132.07566542468393,11023.67
11245.0,3006400.28,1097635.87,-9125.61,-9551.5,-9690.05,-9764.99,-9893.95,-9935.68,-10052.4,11024.65,138.73356775074242,11024.65
11246.0,3006400.27,1097635.87,-9126.61,-9551.51,-9690.06,-9765.0,-9893.96,-9935.69,-10052.42,11025.64,133.1454606944665,11025.64
11247.0,3006400.26,1097635.87,-9127.61,-9551.52,-9690.07,-9765.02,-9893.97,-9935.71,-10052.43,11026.63,137.13516775942026,11026.63
11248.0,3006400.25,1097635.87,-9128.61,-9551.53,-9690.09,-9765.03,-9893.99,-9935.72,-10052.44,11027.62,138.5573661768959,11027.62
11249.0,3006400.24,1097635.87,-9129.61,-9551.54,-9690.1,-9765.04,-9894.0,-9935.73,-10052.45,11028.61,135.5493535948014,11028.61
11250.0,3006400.23,1097635.88,-9130.61,-9551.55,-9690.11,-9765.05,-9894.01,-9935.74,-10052.46,11029.6,146.7884968408699,11029.6
11251.0,3006400.22,1097635.88,-9131.61,-9551.57,-9690.12,-9765.06,-9894.02,-9935.75,-10052.48,11030.58,147.43037400273943,11030.58
11252.0,3006400.21,1097635.88,-9132.61,-9551.58,-9690.13,-9765.08,-9894.03,-9935.77,-10052.49,11031.570000000002,135.29763706073493,11031.570000000002
11253.0,3006400.2,1097635.88,-9133.61,-9551.59,-9690.15,-9765.09,-9894.05,-9935.78,-10052.5,11032.56,133.04477408083991,11032.56
11254.0,3006400.19,1097635.88,-9134.61,-9551.6,-9690.16,-9765.1,-9894.06,-9935.79,-10052.51,11033.55,142.77361812250948,11033.55
11255.0,3006400.18,1097635.88,-9135.61,-9551.62,-9690.17,-9765.11,-9894.07,-9935.8,-10052.52,11034.53,144.25874567350175,11034.53
11256.0,3006400.17,1097635.88,-9136.61,-9551.63,-9690.18,-9765.13,-9894.08,-9935.81,-10052.54,11035.52,135.8639992623845,11035.52
11257.0,3006400.16,1097635.89,-9137.61,-9551.64,-9690.2,-9765.14,-9894.1,-9935.83,-10052.55,11036.51,135.47383863458143,11036.51
11258.0,3006400.15,1097635.89,-9138.61,-9551.65,-9690.21,-9765.15,-9894.11,-9935.84,-10052.56,11037.5,139.41320239272193,11037.5
11259.0,3006400.14,1097635.89,-9139.61,-9551.66,-9690.22,-9765.16,-9894.12,-9935.85,-10052.57,11038.490000000002,138.74615357744577,11038.490000000002
11260.0,3006400.13,1097635.89,-9140.61,-9551.68,-9690.23,-9765.17,-9894.13,-9935.86,-10052.58,11039.47,128.8285221352263,11039.47
11261.0,3006400.12,1097635.89,-9141.61,-9551.68,-9690.23,-9765.17,-9894.13,-9935.86,-10052.59,11040.47,127.7335552120371,11040.47
11262.0,3006400.11,1097635.89,-9142.61,-9551.68,-9690.23,-9765.18,-9894.13,-9935.87,-10052.59,11041.47,135.78848430216456,11041.47
11263.0,3006400.1,1097635.9,-9143.61,-9551.68,-9690.24,-9765.18,-9894.14,-9935.87,-10052.59,11042.47,130.56536622028506,11042.47
11264.0,3006400.09,1097635.9,-9144.61,-9551.68,-9690.24,-9765.18,-9894.14,-9935.87,-10052.59,11043.47,126.26101348774816,11043.47
11265.0,3006400.08,1097635.9,-9145.61,-9551.68,-9690.24,-9765.18,-9894.14,-9935.87,-10052.59,11044.47,124.23469538851298,11044.47
11266.0,3006400.07,1097635.9,-9146.61,-9551.68,-9690.24,-9765.18,-9894.14,-9935.87,-10052.59,11045.46,127.46925285126729,11045.46
11267.0,3006400.06,1097635.9,-9147.61,-9551.69,-9690.24,-9765.18,-9894.14,-9935.87,-10052.59,11046.46,133.8754386432593,11046.46
11268.0,3006400.05,1097635.91,-9148.61,-9551.69,-9690.24,-9765.18,-9894.14,-9935.87,-10052.6,11047.46,129.15575362951273,11047.46
11269.0,3006400.04,1097635.91,-9149.61,-9551.69,-9690.24,-9765.19,-9894.14,-9935.88,-10052.6,11048.46,127.3182229308274,11048.46
11270.0,3006400.03,1097635.91,-9150.61,-9551.69,-9690.25,-9765.19,-9894.15,-9935.88,-10052.6,11049.46,135.13402131359172,11049.46
11271.0,3006400.01,1097635.91,-9151.61,-9551.69,-9690.24,-9765.18,-9894.14,-9935.87,-10052.6,11050.46,137.87773153491636,11050.46
11272.0,3006400.0,1097635.92,-9152.61,-9551.68,-9690.24,-9765.18,-9894.14,-9935.87,-10052.59,11051.46,129.11799614940276,11051.46
11273.0,3006399.99,1097635.92,-9153.61,-9551.68,-9690.24,-9765.18,-9894.14,-9935.87,-10052.59,11052.47,123.4669599596102,11052.47
11274.0,3006399.98,1097635.92,-9154.61,-9551.68,-9690.23,-9765.18,-9894.13,-9935.87,-10052.59,11053.47,132.61685597292688,11053.47
11275.0,3006399.97,1097635.93,-9155.61,-9551.68,-9690.23,-9765.17,-9894.13,-9935.86,-10052.58,11054.47,129.34454103006257,11054.47
11276.0,3006399.96,1097635.93,-9156.61,-9551.67,-9690.23,-9765.17,-9894.13,-9935.86,-10052.58,11055.48,127.884585132477,11055.48
