TVT,GR,Geology
11491.7,105.77,
11491.95,104.61,
11492.2,104.07000000000001,
11492.45,104.19,
11492.7,104.75,
11492.95,105.99000000000001,
11493.2,106.45,
11493.45,105.54,
11493.7,102.5,
11493.95,99.67,
11494.2,97.34,
11494.45,97.01,
11494.7,98.60000000000001,
11494.95,99.75,
11495.2,100.89,
11495.45,101.43,
11495.7,100.91,
11495.95,100.85000000000001,
11496.2,100.71000000000001,
11496.45,100.08,
11496.7,100.17,
11496.95,100.26,
11497.2,100.66,
11497.45,99.18,
11497.7,97.4,
11497.95,96.71000000000001,
11498.2,97.39,
11498.45,100.36,
11498.7,102.97,
11498.95,103.79,
11499.2,103.23,
11499.45,102.63000000000001,
11499.7,102.82000000000001,
11499.95,103.78,
11500.2,104.3,
11500.45,102.46000000000001,
11500.7,101.34,
11500.95,99.81,
11501.2,99.48,
11501.45,100.23,
11501.7,99.38000000000001,
11501.95,98.99000000000001,
11502.2,97.99000000000001,
11502.45,97.7,
11502.7,97.73,
11502.95,97.17,
11503.2,97.19,
11503.45,97.72,
11503.7,98.85000000000001,
11503.95,101.63000000000001,
11504.2,104.51,
11504.45,107.38000000000001,
11504.7,109.68,
11504.95,110.31,
11505.2,111.61,
11505.45,111.65,
11505.7,111.16,
11505.95,112.31,
11506.2,114.01,
11506.45,119.53,
11506.7,127.33,
11506.95,136.07999999999998,
11507.2,143.95999999999998,
11507.45,148.7,
11507.7,147.61999999999998,
11507.95,140.01999999999998,
11508.2,128.54,
11508.45,113.84,
11508.7,103.10000000000001,
11508.95,95.42,
11509.2,91.24000000000001,
11509.45,90.24000000000001,
11509.7,90.10000000000001,
11509.95,90.67,
11510.2,91.21000000000001,
11510.45,91.2,
11510.7,90.25,
11510.95,89.26,
11511.2,88.52,
11511.45,89.10000000000001,
11511.7,91.26,
11511.95,93.89,
11512.2,96.34,
11512.45,97.61,
11512.7,97.87,
11512.95,98.38000000000001,
11513.2,98.33,
11513.45,98.62,
11513.7,99.29,
11513.95,99.4,
11514.2,100.36,
11514.45,101.3,
11514.7,100.71000000000001,
11514.95,99.08,
11515.2,97.26,
11515.45,95.52,
11515.7,95.87,
11515.95,97.41,
11516.2,98.21000000000001,
11516.45,99.03,
11516.7,98.21000000000001,
11516.95,97.31,
11517.2,96.8,
11517.45,96.01,
11517.7,95.60000000000001,
11517.95,96.0,
11518.2,96.01,
11518.45,96.86,
11518.7,97.17,
11518.95,96.61,
11519.2,96.37,
11519.45,97.13000000000001,
11519.7,99.26,
11519.95,101.61,
11520.2,103.61,
11520.45,104.23,
11520.7,104.48,
11520.95,105.01,
11521.2,105.91,
11521.45,106.77,
11521.7,107.54,
11521.95,107.62,
11522.2,106.31,
11522.45,104.79,
11522.7,102.82000000000001,
11522.95,101.78,
11523.2,101.72,
11523.45,102.41,
11523.7,103.06,
11523.95,103.33,
11524.2,103.24000000000001,
11524.45,102.3,
11524.7,102.10000000000001,
11524.95,102.44,
11525.2,103.49000000000001,
