MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11477.0,2922137.02,1013673.41,-9463.11,-9804.85,-10031.42,-10070.32,-10145.71,-10192.56,-10351.78,11232.21,,11232.21
11478.0,2922137.0,1013673.43,-9464.11,-9805.64,-10032.21,-10071.11,-10146.5,-10193.35,-10352.57,11232.41,108.49729585048767,11232.41
11479.0,2922136.98,1013673.46,-9465.11,-9806.44,-10033.01,-10071.91,-10147.3,-10194.15,-10353.37,11232.61,107.95829701078624,11232.61
11480.0,2922136.96,1013673.48,-9466.11,-9807.23,-10033.8,-10072.7,-10148.09,-10194.94,-10354.16,11232.820000000002,,11232.820000000002
11481.0,2922136.94,1013673.5,-9467.11,-9808.03,-10034.6,-10073.5,-10148.89,-10195.74,-10354.96,11233.02,,11233.02
11482.0,2922136.92,1013673.53,-9468.11,-9808.82,-10035.39,-10074.29,-10149.68,-10196.53,-10355.75,11233.23,,11233.23
11483.0,2922136.89,1013673.55,-9469.11,-9809.62,-10036.19,-10075.09,-10150.48,-10197.33,-10356.55,11233.43,114.29945983080304,11233.43
11484.0,2922136.87,1013673.57,-9470.11,-9810.41,-10036.98,-10075.88,-10151.27,-10198.12,-10357.34,11233.64,,11233.64
11485.0,2922136.85,1013673.6,-9471.11,-9811.21,-10037.78,-10076.68,-10152.07,-10198.92,-10358.14,11233.84,,11233.84
11486.0,2922136.83,1013673.62,-9472.11,-9812.0,-10038.57,-10077.47,-10152.86,-10199.71,-10358.93,11234.05,,11234.05
11487.0,2922136.81,1013673.64,-9473.11,-9812.81,-10039.38,-10078.28,-10153.67,-10200.52,-10359.74,11234.240000000002,,11234.240000000002
11488.0,2922136.78,1013673.67,-9474.11,-9813.61,-10040.18,-10079.08,-10154.47,-10201.32,-10360.55,11234.43,,11234.43
11489.0,2922136.76,1013673.69,-9475.11,-9814.42,-10040.99,-10079.89,-10155.28,-10202.13,-10361.35,11234.62,,11234.62
11490.0,2922136.74,1013673.71,-9476.11,-9815.23,-10041.8,-10080.7,-10156.09,-10202.94,-10362.17,11234.81,107.95829701078624,11234.81
11491.0,2922136.72,1013673.74,-9477.11,-9815.33,-10041.9,-10080.8,-10156.19,-10203.04,-10362.26,11235.72,,11235.72
11492.0,2922136.69,1013673.76,-9478.1,-9815.34,-10041.91,-10080.81,-10156.2,-10203.05,-10362.27,11236.7,,11236.7
11493.0,2922136.67,1013673.78,-9479.1,-9815.35,-10041.92,-10080.82,-10156.21,-10203.06,-10362.28,11237.69,107.53026852043511,11237.69
11494.0,2922136.65,1013673.8,-9480.1,-9815.36,-10041.93,-10080.83,-10156.22,-10203.07,-10362.29,11238.68,105.58036095327994,11238.68
11495.0,2922136.63,1013673.83,-9481.1,-9815.37,-10041.94,-10080.84,-10156.23,-10203.08,-10362.31,11239.67,,11239.67
11496.0,2922136.6,1013673.85,-9482.1,-9815.39,-10041.96,-10080.86,-10156.25,-10203.1,-10362.32,11240.66,,11240.66
11497.0,2922136.58,1013673.88,-9483.1,-9815.4,-10041.97,-10080.87,-10156.26,-10203.11,-10362.33,11241.64,,11241.64
11498.0,2922136.56,1013673.9,-9484.1,-9815.41,-10041.98,-10080.88,-10156.27,-10203.12,-10362.34,11242.63,110.74048219806863,11242.63
11499.0,2922136.54,1013673.92,-9485.1,-9815.42,-10041.99,-10080.89,-10156.28,-10203.13,-10362.35,11243.62,,11243.62
11500.0,2922136.51,1013673.95,-9486.1,-9815.43,-10042.0,-10080.9,-10156.29,-10203.14,-10362.36,11244.61,,11244.61
