TVT,GR,Geology
10829.95,119.84,
10830.45,118.55,
10830.95,112.66,
10831.45,109.55,
10831.95,110.68,
10832.45,111.23,
10832.95,109.98,
10833.45,110.49000000000001,
10833.95,114.71000000000001,
10834.45,118.75,
10834.95,118.83,
10835.45,114.96000000000001,
10835.95,110.02,
10836.45,107.55,
10836.95,108.65,
10837.45,110.60000000000001,
10837.95,111.14,
10838.45,110.91,
10838.95,111.03,
10839.45,111.23,
10839.95,111.22,
10840.45,110.78,
10840.95,110.55,
10841.45,111.55,
10841.95,112.88000000000001,
10842.45,112.16,
10842.95,110.93,
10843.45,110.78,
10843.95,109.84,
10844.45,108.38000000000001,
10844.95,109.08,
10845.45,110.92,
10845.95,111.38000000000001,
10846.45,110.56,
10846.95,109.85000000000001,
10847.45,109.85000000000001,
10847.95,110.0,
10848.45,109.04,
10848.95,108.66,
10849.45,110.75,
10849.95,114.38000000000001,
10850.45,118.17,
10850.95,122.09,
10851.45,125.01,
10851.95,126.33,
10852.45,125.73,
10852.95,123.68,
10853.45,121.63000000000001,
10853.95,120.3,
10854.45,118.59,
10854.95,117.33,
10855.45,116.58,
10855.95,115.72,
10856.45,115.22,
10856.95,116.01,
10857.45,116.87,
10857.95,116.75,
10858.45,115.69,
10858.95,115.68,
10859.45,116.56,
10859.95,117.35000000000001,
10860.45,118.24000000000001,
10860.95,119.57000000000001,
10861.45,120.49000000000001,
10861.95,120.82000000000001,
10862.45,120.10000000000001,
10862.95,118.94,
10863.45,118.48,
10863.95,118.2,
10864.45,117.86,
10864.95,117.89,
10865.45,118.15,
10865.95,118.75,
10866.45,118.98,
10866.95,117.98,
10867.45,116.12,
10867.95,115.29,
10868.45,115.59,
10868.95,115.89,
10869.45,115.85000000000001,
10869.95,115.42,
10870.45,113.43,
10870.95,110.82000000000001,
10871.45,110.55,
10871.95,113.2,
10872.45,116.34,
10872.95,117.62,
10873.45,117.19,
10873.95,117.10000000000001,
10874.45,117.24000000000001,
10874.95,116.22,
10875.45,113.97,
10875.95,112.02,
10876.45,112.55,
10876.95,115.19,
10877.45,115.46000000000001,
10877.95,111.89,
10878.45,109.37,
10878.95,110.24000000000001,
10879.45,111.05,
10879.95,111.8,
10880.45,114.79,
10880.95,117.36,
10881.45,115.97,
10881.95,112.61,
10882.45,111.27,
10882.95,111.60000000000001,
10883.45,110.34,
10883.95,107.58,
10884.45,107.24000000000001,
10884.95,109.35000000000001,
10885.45,110.01,
10885.95,108.60000000000001,
10886.45,108.26,
10886.95,110.5,
10887.45,113.93,
10887.95,116.34,
10888.45,117.27,
10888.95,117.11,
10889.45,116.38000000000001,
10889.95,115.12,
10890.45,114.09,
10890.95,113.73,
10891.45,113.83,
10891.95,113.59,
10892.45,112.33,
10892.95,110.4,
10893.45,109.0,
10893.95,108.5,
10894.45,108.16,
10894.95,107.34,
10895.45,107.17,
10895.95,108.76,
10896.45,111.03,
10896.95,112.01,
10897.45,112.85000000000001,
10897.95,113.77,
10898.45,113.82000000000001,
10898.95,114.11,
10899.45,114.98,
10899.95,114.44,
10900.45,112.02,
10900.95,109.02,
10901.45,107.53,
10901.95,109.72,
10902.45,113.76,
10902.95,115.51,
10903.45,113.94,
10903.95,111.44,
10904.45,109.79,
10904.95,108.86,
10905.45,108.45,
10905.95,109.64,
10906.45,111.98,
10906.95,114.04,
10907.45,115.68,
10907.95,117.31,
10908.45,117.89,
10908.95,117.51,
10909.45,117.74000000000001,
10909.95,118.52,
10910.45,118.01,
10910.95,116.76,
10911.45,116.85000000000001,
10911.95,118.85000000000001,
10912.45,120.34,
10912.95,120.10000000000001,
10913.45,119.88000000000001,
10913.95,119.82000000000001,
10914.45,118.84,
10914.95,118.0,
10915.45,117.96000000000001,
10915.95,116.88000000000001,
10916.45,114.59,
10916.95,113.3,
10917.45,113.75,
10917.95,114.48,
10918.45,114.95,
10918.95,115.97,
10919.45,116.7,
10919.95,116.3,
10920.45,116.56,
10920.95,118.63000000000001,
10921.45,120.12,
10921.95,118.06,
10922.45,114.79,
10922.95,113.77,
10923.45,114.57000000000001,
10923.95,116.52,
10924.45,118.91,
10924.95,120.36,
10925.45,120.53,
10925.95,120.94,
10926.45,121.76,
10926.95,122.53,
10927.45,122.94,
10927.95,121.82000000000001,
10928.45,118.44,
10928.95,115.53,
10929.45,116.33,
10929.95,118.88000000000001,
10930.45,120.21000000000001,
10930.95,121.22,
10931.45,123.38000000000001,
10931.95,127.09,
10932.45,131.44,
10932.95,132.93,
10933.45,129.72,
10933.95,123.78,
10934.45,118.97,
10934.95,117.57000000000001,
10935.45,117.67,
10935.95,117.32000000000001,
10936.45,117.05,
10936.95,117.4,
10937.45,117.27,
10937.95,117.06,
10938.45,117.15,
