MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10901.0,2984086.4,1085978.22,-8624.86,-8943.99,-9092.19,-9159.07,-9257.28,-9307.85,-9423.31,10693.22,113.80064708154708,10693.22
10902.0,2984086.41,1085978.23,-8625.86,-8943.99,-9092.19,-9159.07,-9257.28,-9307.85,-9423.31,10694.22,118.61361885324936,10694.22
10903.0,2984086.42,1085978.25,-8626.86,-8943.99,-9092.19,-9159.07,-9257.28,-9307.85,-9423.31,10695.22,118.7561751398583,10695.22
10904.0,2984086.44,1085978.26,-8627.86,-8943.99,-9092.19,-9159.07,-9257.28,-9307.85,-9423.31,10696.22,118.47785096124085,10696.22
10905.0,2984086.45,1085978.27,-8628.86,-8943.99,-9092.19,-9159.07,-9257.29,-9307.85,-9423.31,10697.22,108.60752521222092,10697.22
10906.0,2984086.46,1085978.29,-8629.86,-8943.99,-9092.19,-9159.07,-9257.29,-9307.85,-9423.31,10698.22,113.27115230271382,10698.22
10907.0,2984086.47,1085978.3,-8630.86,-8943.99,-9092.19,-9159.07,-9257.29,-9307.85,-9423.31,10699.22,89.9122864826468,10699.22
10908.0,2984086.49,1085978.32,-8631.86,-8943.99,-9092.19,-9159.07,-9257.29,-9307.85,-9423.31,10700.22,64.54405586085359,10700.22
10909.0,2984086.5,1085978.33,-8632.86,-8943.99,-9092.19,-9159.07,-9257.29,-9307.85,-9423.31,10701.22,43.85981751335455,10701.22
10910.0,2984086.51,1085978.35,-8633.86,-8943.99,-9092.19,-9159.07,-9257.29,-9307.85,-9423.31,10702.22,97.2301758619064,10702.22
10911.0,2984086.52,1085978.36,-8634.86,-8943.99,-9092.19,-9159.07,-9257.29,-9307.85,-9423.31,10703.21,105.72924590164016,10703.21
10912.0,2984086.54,1085978.38,-8635.86,-8943.99,-9092.19,-9159.07,-9257.29,-9307.85,-9423.31,10704.21,118.69507958845446,10704.21
10913.0,2984086.55,1085978.39,-8636.86,-8943.99,-9092.19,-9159.07,-9257.29,-9307.85,-9423.31,10705.21,113.04034688629932,10705.21
10914.0,2984086.56,1085978.41,-8637.86,-8943.99,-9092.19,-9159.07,-9257.29,-9307.85,-9423.31,10706.21,105.2472698850099,10706.21
10915.0,2984086.57,1085978.42,-8638.86,-8943.99,-9092.19,-9159.07,-9257.29,-9307.85,-9423.31,10707.21,121.72949197484505,10707.21
10916.0,2984086.58,1085978.44,-8639.86,-8944.0,-9092.2,-9159.08,-9257.29,-9307.86,-9423.32,10708.21,104.6566795547728,10708.21
10917.0,2984086.6,1085978.45,-8640.86,-8944.0,-9092.2,-9159.08,-9257.29,-9307.86,-9423.32,10709.21,107.57568923295614,10709.21
