MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10469.0,2943312.1,1065913.58,-8323.37,-8416.65,-8572.61,-8649.36,-8738.94,-8783.64,-8888.7,10269.13,106.21187370582356,10269.13
10470.0,2943312.45,1065913.39,-8324.29,-8416.56,-8572.52,-8649.27,-8738.85,-8783.55,-8888.61,10270.14,106.20196588178382,10270.14
10471.0,2943312.8,1065913.2,-8325.2,-8416.47,-8572.43,-8649.17,-8738.76,-8783.46,-8888.52,10271.14,114.13813293760144,10271.14
10472.0,2943313.15,1065913.01,-8326.12,-8416.38,-8572.34,-8649.08,-8738.67,-8783.37,-8888.43,10272.15,110.63076322753972,10272.15
10473.0,2943313.51,1065912.82,-8327.03,-8416.29,-8572.25,-8648.99,-8738.57,-8783.28,-8888.34,10273.16,111.2450483180025,10273.16
10474.0,2943313.86,1065912.62,-8327.95,-8416.19,-8572.16,-8648.9,-8738.48,-8783.19,-8888.25,10274.16,105.4786947268841,10274.16
10475.0,2943314.21,1065912.43,-8328.87,-8416.1,-8572.07,-8648.81,-8738.39,-8783.1,-8888.16,10275.17,108.26279328204608,10275.17
10476.0,2943314.56,1065912.24,-8329.78,-8416.01,-8571.97,-8648.72,-8738.3,-8783.01,-8888.06,10276.18,103.269249966026,10276.18
10477.0,2943314.91,1065912.04,-8330.7,-8415.92,-8571.88,-8648.63,-8738.21,-8782.92,-8887.97,10277.18,105.37961648648688,10277.18
10478.0,2943315.27,1065911.84,-8331.61,-8415.83,-8571.79,-8648.54,-8738.12,-8782.82,-8887.88,10278.19,,10278.19
10479.0,2943315.62,1065911.64,-8332.53,-8415.74,-8571.7,-8648.45,-8738.03,-8782.73,-8887.79,10279.2,112.93928622879504,10279.2
10480.0,2943315.97,1065911.45,-8333.44,-8415.65,-8571.61,-8648.36,-8737.94,-8782.64,-8887.7,10280.2,106.15242676158522,10280.2
10481.0,2943316.33,1065911.25,-8334.35,-8415.56,-8571.52,-8648.26,-8737.85,-8782.55,-8887.61,10281.21,103.35842038238351,10281.21
10482.0,2943316.68,1065911.05,-8335.27,-8415.46,-8571.43,-8648.17,-8737.75,-8782.46,-8887.52,10282.21,104.33929496231605,10282.21
