MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10480.0,2972461.75,1095660.61,-8201.64,-8405.51,-8537.04,-8621.18,-8738.72,-8783.24,-8893.42,10519.92,,10519.92
10481.0,2972461.74,1095660.6,-8202.64,-8405.52,-8537.04,-8621.19,-8738.72,-8783.24,-8893.42,10520.91,182.54247580944784,10520.91
10482.0,2972461.73,1095660.6,-8203.64,-8405.53,-8537.05,-8621.19,-8738.73,-8783.25,-8893.43,10521.9,179.485796556019,10521.9
10483.0,2972461.72,1095660.59,-8204.64,-8405.53,-8537.05,-8621.2,-8738.73,-8783.25,-8893.43,10522.9,,10522.9
10484.0,2972461.71,1095660.59,-8205.64,-8405.54,-8537.06,-8621.2,-8738.74,-8783.26,-8893.44,10523.89,,10523.89
10485.0,2972461.7,1095660.58,-8206.64,-8405.54,-8537.06,-8621.21,-8738.74,-8783.27,-8893.45,10524.89,189.9658397106322,10524.89
10486.0,2972461.68,1095660.58,-8207.64,-8405.55,-8537.07,-8621.22,-8738.75,-8783.27,-8893.45,10525.88,203.57784978501485,10525.88
10487.0,2972461.67,1095660.57,-8208.64,-8405.55,-8537.08,-8621.22,-8738.76,-8783.28,-8893.46,10526.88,,10526.88
10488.0,2972461.66,1095660.57,-8209.64,-8405.56,-8537.08,-8621.23,-8738.76,-8783.28,-8893.46,10527.87,195.44678182022872,10527.87
10489.0,2972461.65,1095660.57,-8210.64,-8405.57,-8537.09,-8621.23,-8738.77,-8783.29,-8893.47,10528.86,185.91536326150728,10528.86
10490.0,2972461.63,1095660.56,-8211.64,-8405.57,-8537.09,-8621.24,-8738.77,-8783.3,-8893.48,10529.86,181.74442654623735,10529.86
10491.0,2972461.62,1095660.56,-8212.64,-8405.58,-8537.1,-8621.25,-8738.78,-8783.3,-8893.49,10530.85,190.0260698437047,10530.85
10492.0,2972461.6,1095660.55,-8213.64,-8405.59,-8537.11,-8621.26,-8738.79,-8783.31,-8893.49,10531.84,,10531.84
10493.0,2972461.59,1095660.55,-8214.64,-8405.6,-8537.12,-8621.27,-8738.8,-8783.32,-8893.5,10532.83,,10532.83
10494.0,2972461.57,1095660.55,-8215.64,-8405.61,-8537.13,-8621.28,-8738.81,-8783.33,-8893.51,10533.820000000002,178.34142402764172,10533.820000000002
10495.0,2972461.55,1095660.54,-8216.64,-8405.62,-8537.14,-8621.29,-8738.82,-8783.34,-8893.52,10534.81,176.47428990239453,10534.81
10496.0,2972461.54,1095660.54,-8217.64,-8405.63,-8537.15,-8621.3,-8738.83,-8783.35,-8893.53,10535.8,,10535.8
10497.0,2972461.52,1095660.54,-8218.64,-8405.64,-8537.16,-8621.31,-8738.84,-8783.36,-8893.54,10536.79,,10536.79
10498.0,2972461.5,1095660.54,-8219.64,-8405.65,-8537.17,-8621.32,-8738.85,-8783.37,-8893.55,10537.78,177.57348983096747,10537.78
10499.0,2972461.48,1095660.53,-8220.64,-8405.66,-8537.18,-8621.33,-8738.86,-8783.38,-8893.56,10538.77,195.0552859552576,10538.77
10500.0,2972461.46,1095660.53,-8221.64,-8405.67,-8537.19,-8621.34,-8738.87,-8783.39,-8893.57,10539.76,168.8551780687246,10539.76
10501.0,2972461.44,1095660.53,-8222.64,-8405.68,-8537.2,-8621.35,-8738.88,-8783.41,-8893.59,10540.740000000002,171.95702992195783,10540.740000000002
10502.0,2972461.42,1095660.53,-8223.64,-8405.7,-8537.22,-8621.36,-8738.9,-8783.42,-8893.6,10541.73,,10541.73
10503.0,2972461.4,1095660.52,-8224.64,-8405.71,-8537.23,-8621.38,-8738.91,-8783.43,-8893.61,10542.72,175.78164337206093,10542.72
10504.0,2972461.38,1095660.52,-8225.64,-8405.72,-8537.25,-8621.39,-8738.93,-8783.45,-8893.63,10543.7,181.9100594121867,10543.7
10505.0,2972461.36,1095660.52,-8226.63,-8405.74,-8537.26,-8621.4,-8738.94,-8783.46,-8893.64,10544.69,193.71516549439468,10544.69
10506.0,2972461.34,1095660.52,-8227.63,-8405.75,-8537.27,-8621.42,-8738.95,-8783.47,-8893.65,10545.68,188.76123704918243,10545.68
10507.0,2972461.31,1095660.52,-8228.63,-8405.76,-8537.29,-8621.43,-8738.97,-8783.49,-8893.67,10546.66,206.58935643863933,10546.66
