MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10432.0,2937490.0,1056605.79,-8292.08,-8624.96,-8812.71,-8883.29,-8972.59,-9021.77,-9142.82,10403.5,,10403.5
10433.0,2937489.97,1056605.77,-8293.08,-8624.96,-8812.71,-8883.29,-8972.59,-9021.77,-9142.82,10404.5,,10404.5
10434.0,2937489.95,1056605.76,-8294.08,-8624.96,-8812.71,-8883.29,-8972.59,-9021.77,-9142.82,10405.5,,10405.5
10435.0,2937489.92,1056605.74,-8295.08,-8624.96,-8812.71,-8883.29,-8972.59,-9021.77,-9142.82,10406.5,,10406.5
10436.0,2937489.89,1056605.73,-8296.08,-8624.96,-8812.71,-8883.29,-8972.59,-9021.77,-9142.82,10407.5,,10407.5
10437.0,2937489.87,1056605.71,-8297.08,-8624.96,-8812.71,-8883.29,-8972.59,-9021.77,-9142.82,10408.490000000002,,10408.490000000002
10438.0,2937489.84,1056605.7,-8298.07,-8624.96,-8812.71,-8883.29,-8972.59,-9021.77,-9142.82,10409.490000000002,154.63809682856376,10409.490000000002
10439.0,2937489.81,1056605.68,-8299.07,-8624.96,-8812.71,-8883.29,-8972.59,-9021.77,-9142.82,10410.490000000002,,10410.490000000002
10440.0,2937489.78,1056605.67,-8300.07,-8624.97,-8812.71,-8883.29,-8972.59,-9021.77,-9142.82,10411.490000000002,,10411.490000000002
10441.0,2937489.76,1056605.65,-8301.07,-8624.97,-8812.71,-8883.29,-8972.59,-9021.77,-9142.82,10412.490000000002,,10412.490000000002
10442.0,2937489.73,1056605.64,-8302.07,-8624.97,-8812.71,-8883.29,-8972.6,-9021.77,-9142.82,10413.490000000002,153.26940744695173,10413.490000000002
10443.0,2937489.7,1056605.62,-8303.07,-8624.97,-8812.71,-8883.29,-8972.6,-9021.77,-9142.82,10414.490000000002,,10414.490000000002
10444.0,2937489.67,1056605.61,-8304.07,-8624.97,-8812.71,-8883.29,-8972.6,-9021.77,-9142.82,10415.490000000002,156.8041965455497,10415.490000000002
10445.0,2937489.64,1056605.59,-8305.07,-8624.97,-8812.71,-8883.29,-8972.6,-9021.77,-9142.82,10416.490000000002,162.27895407199773,10416.490000000002
10446.0,2937489.62,1056605.58,-8306.07,-8624.97,-8812.71,-8883.29,-8972.6,-9021.77,-9142.82,10417.490000000002,,10417.490000000002
10447.0,2937489.59,1056605.56,-8307.07,-8624.97,-8812.71,-8883.29,-8972.6,-9021.78,-9142.82,10418.490000000002,,10418.490000000002
