MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10832.0,2899425.27,1011535.4,-8804.33,-9044.46,-9304.46,-9365.48,-9383.46,-9414.46,-9555.46,10800.33,119.07757300643785,10800.33
10833.0,2899425.29,1011535.4,-8805.33,-9044.46,-9304.46,-9365.48,-9383.46,-9414.46,-9555.46,10801.33,120.30318182936436,10801.33
10834.0,2899425.32,1011535.41,-8806.33,-9044.45,-9304.45,-9365.48,-9383.45,-9414.45,-9555.45,10802.33,,10802.33
10835.0,2899425.34,1011535.41,-8807.33,-9044.45,-9304.45,-9365.48,-9383.45,-9414.45,-9555.45,10803.33,116.2715738592114,10803.33
10836.0,2899425.36,1011535.41,-8808.33,-9044.45,-9304.45,-9365.47,-9383.45,-9414.45,-9555.45,10804.33,,10804.33
10837.0,2899425.39,1011535.42,-8809.33,-9044.45,-9304.45,-9365.47,-9383.45,-9414.45,-9555.45,10805.33,,10805.33
10838.0,2899425.42,1011535.42,-8810.33,-9044.45,-9304.45,-9365.47,-9383.45,-9414.45,-9555.45,10806.33,118.93243511951236,10806.33
10839.0,2899425.45,1011535.42,-8811.33,-9044.45,-9304.45,-9365.47,-9383.45,-9414.45,-9555.45,10807.33,119.9725899758118,10807.33
10840.0,2899425.48,1011535.42,-8812.33,-9044.45,-9304.45,-9365.47,-9383.45,-9414.45,-9555.45,10808.33,116.2715738592114,10808.33
10841.0,2899425.51,1011535.41,-8813.33,-9044.45,-9304.45,-9365.47,-9383.45,-9414.45,-9555.45,10809.33,,10809.33
10842.0,2899425.54,1011535.41,-8814.33,-9044.45,-9304.45,-9365.47,-9383.45,-9414.45,-9555.45,10810.33,,10810.33
10843.0,2899425.57,1011535.41,-8815.33,-9044.45,-9304.45,-9365.47,-9383.45,-9414.45,-9555.45,10811.33,120.30318182936436,10811.33
10844.0,2899425.61,1011535.4,-8816.33,-9044.45,-9304.45,-9365.47,-9383.45,-9414.45,-9555.45,10812.33,118.44057894715368,10812.33
10845.0,2899425.64,1011535.4,-8817.33,-9044.45,-9304.45,-9365.47,-9383.45,-9414.45,-9555.45,10813.33,116.2715738592114,10813.33
10846.0,2899425.68,1011535.39,-8818.33,-9044.44,-9304.44,-9365.47,-9383.44,-9414.44,-9555.44,10814.33,112.23996588905842,10814.33
10847.0,2899425.72,1011535.38,-8819.33,-9044.44,-9304.44,-9365.46,-9383.44,-9414.44,-9555.44,10815.33,120.30318182936436,10815.33
10848.0,2899425.76,1011535.38,-8820.33,-9044.44,-9304.44,-9365.46,-9383.44,-9414.44,-9555.44,10816.33,121.23045166249952,10816.33
10849.0,2899425.8,1011535.37,-8821.33,-9044.44,-9304.44,-9365.46,-9383.44,-9414.44,-9555.44,10817.34,122.72214661145613,10817.34
10850.0,2899425.84,1011535.36,-8822.33,-9044.44,-9304.44,-9365.46,-9383.44,-9414.44,-9555.44,10818.34,,10818.34
10851.0,2899425.89,1011535.34,-8823.32,-9044.44,-9304.44,-9365.46,-9383.44,-9414.44,-9555.44,10819.34,120.30318182936436,10819.34
10852.0,2899425.93,1011535.33,-8824.32,-9044.44,-9304.44,-9365.46,-9383.44,-9414.44,-9555.44,10820.34,116.2715738592114,10820.34
10853.0,2899425.98,1011535.32,-8825.32,-9044.43,-9304.43,-9365.46,-9383.43,-9414.43,-9555.43,10821.34,115.57007407240476,10821.34
