TVT,GR,Geology
10373.060000000001,107.57000000000001,
10373.560000000001,107.31,
10374.060000000001,108.10000000000001,
10374.560000000001,108.13000000000001,
10375.060000000001,107.02,
10375.560000000001,105.89,
10376.060000000001,106.02,
10376.560000000001,107.88000000000001,
10377.060000000001,110.48,
10377.560000000001,112.76,
10378.060000000001,114.4,
10378.560000000001,117.35000000000001,
10379.060000000001,122.21000000000001,
10379.560000000001,123.5,
10380.060000000001,116.69,
10380.560000000001,106.88000000000001,
10381.060000000001,101.32000000000001,
10381.560000000001,99.94,
10382.060000000001,99.03,
10382.560000000001,98.96000000000001,
10383.060000000001,101.06,
10383.560000000001,104.09,
10384.060000000001,106.05,
10384.560000000001,105.4,
10385.060000000001,101.92,
10385.560000000001,98.43,
10386.050000000001,98.01,
10386.550000000001,100.59,
10387.050000000001,103.89,
10387.550000000001,105.54,
10388.050000000001,105.09,
10388.550000000001,104.3,
10389.050000000001,104.7,
10389.550000000001,105.86,
10390.050000000001,106.95,
10390.550000000001,107.46000000000001,
10391.050000000001,106.78,
10391.550000000001,104.91,
10392.050000000001,102.94,
10392.550000000001,102.75,
10393.050000000001,104.2,
10393.550000000001,105.58,
10394.050000000001,105.74000000000001,
10394.550000000001,105.34,
10395.050000000001,105.36,
10395.550000000001,106.15,
10396.050000000001,107.17,
10396.550000000001,107.23,
10397.050000000001,106.2,
10397.550000000001,104.08,
10398.050000000001,102.85000000000001,
10398.550000000001,103.65,
10399.050000000001,104.69,
10399.550000000001,104.86,
10400.04,105.66,
10400.54,106.87,
10401.04,106.84,
10401.54,104.61,
10402.04,102.47,
10402.54,103.26,
10403.04,106.05,
10403.54,108.01,
10404.04,108.25,
10404.54,107.74000000000001,
10405.04,108.31,
10405.54,109.97,
10406.04,109.33,
10406.54,106.43,
10407.04,105.67,
10407.54,107.03,
10408.04,106.57000000000001,
10408.54,105.38000000000001,
10409.04,106.76,
10409.54,109.22,
10410.04,109.21000000000001,
10410.54,106.94,
10411.04,105.31,
10411.54,104.91,
10412.04,104.95,
10412.54,105.06,
10413.04,105.89,
10413.54,106.79,
10414.03,107.89,
10414.53,109.89,
10415.03,112.29,
10415.53,113.98,
10416.03,113.63000000000001,
10416.53,110.44,
10417.03,105.96000000000001,
10417.53,103.94,
10418.03,104.61,
10418.53,105.94,
10419.03,107.61,
10419.53,109.43,
10420.03,111.24000000000001,
10420.53,113.25,
10421.03,115.8,
10421.53,118.7,
10422.03,120.82000000000001,
10422.53,119.47,
10423.03,114.5,
10423.53,109.35000000000001,
10424.03,106.47,
10424.53,105.94,
10425.03,107.01,
10425.53,107.83,
10426.03,108.23,
10426.53,109.91,
10427.03,112.17,
10427.52,112.67,
10428.02,111.12,
10428.52,109.67,
10429.02,109.13000000000001,
10429.52,108.39,
10430.02,107.54,
10430.52,107.0,
10431.02,106.63000000000001,
10431.52,106.08,
10432.02,105.4,
10432.52,104.72,
10433.02,105.25,
10433.52,108.63000000000001,
10434.02,114.68,
10434.52,120.11,
10435.02,120.87,
10435.52,116.11,
10436.02,108.68,
10436.52,103.37,
10437.02,101.75,
10437.52,101.98,
10438.02,102.09,
10438.52,102.35000000000001,
10439.02,102.84,
10439.52,102.98,
10440.02,104.25,
10440.52,107.9,
10441.01,111.07000000000001,
10441.51,110.77,
10442.01,108.53,
10442.51,105.85000000000001,
10443.01,101.99000000000001,
10443.51,97.54,
10444.01,94.88000000000001,
10444.51,94.55,
10445.01,95.9,
10445.51,100.49000000000001,
10446.01,109.01,
10446.51,117.47,
10447.01,121.61,
10447.51,121.41,
10448.01,120.27,
10448.51,119.28,
10449.01,118.02,
10449.51,116.94,
10450.01,117.08,
10450.51,117.54,
10451.01,118.34,
10451.51,119.44,
10452.01,118.8,
10452.51,116.38000000000001,
10453.01,114.79,
10453.51,115.63000000000001,
10454.0,117.32000000000001,
10454.5,117.76,
10455.0,116.79,
10455.5,115.98,
10456.0,115.54,
10456.5,114.31,
10457.0,112.35000000000001,
10457.5,111.15,
10458.0,110.56,
10458.5,109.44,
10459.0,107.10000000000001,
10459.5,105.13000000000001,
10460.0,106.32000000000001,
10460.5,109.54,
10461.0,111.62,
10461.5,112.01,
10462.0,113.04,
10462.5,114.60000000000001,
10463.0,115.57000000000001,
10463.5,116.55,
10464.0,117.72,
10464.5,117.28,
10465.0,116.18,
10465.5,118.07000000000001,
10466.0,123.57000000000001,
10466.5,129.13,
10466.990000000002,128.89,
10467.490000000002,121.22,
10467.990000000002,111.53,
10468.490000000002,105.63000000000001,
10468.990000000002,103.68,
10469.490000000002,103.82000000000001,
10469.990000000002,105.11,
10470.490000000002,108.67,
10470.990000000002,115.16,
10471.490000000002,119.9,
10471.990000000002,115.79,
10472.490000000002,105.48,
10472.990000000002,97.52,
10473.490000000002,95.49000000000001,
10473.990000000002,97.71000000000001,
10474.490000000002,100.23,
10474.990000000002,98.91,
10475.490000000002,94.58,
10475.990000000002,91.85000000000001,
10476.490000000002,91.98,
10476.990000000002,93.56,
10477.490000000002,95.04,
10477.990000000002,96.23,
10478.490000000002,96.75,
10478.990000000002,95.94,
10479.490000000002,95.34,
10479.980000000001,96.62,
10480.480000000001,97.98,
10480.980000000001,97.44,
10481.480000000001,96.79,
10481.980000000001,98.41,
10482.480000000001,100.66,
10482.980000000001,101.14,
10483.480000000001,100.87,
10483.980000000001,101.48,
10484.480000000001,102.05,
10484.980000000001,101.2,
10485.480000000001,99.3,
10485.980000000001,96.69,
10486.480000000001,94.37,
10486.980000000001,94.19,
10487.480000000001,96.17,
10487.980000000001,98.8,
10488.480000000001,101.45,
10488.980000000001,104.10000000000001,
10489.480000000001,105.08,
10489.980000000001,104.57000000000001,
10490.480000000001,103.58,
10490.980000000001,102.48,
10491.480000000001,100.61,
