MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
12260.0,3020596.45,1105366.85,-10055.83,-9827.85,-9987.41,-10061.04,-10190.84,-10235.36,-10358.48,11984.38,73.6126296096285,11984.38
12261.0,3020596.0,1105367.41,-10056.53,-9827.66,-9987.21,-10060.85,-10190.65,-10235.17,-10358.29,11985.27,68.56381480076249,11985.27
12262.0,3020595.56,1105367.97,-10057.23,-9827.46,-9987.02,-10060.66,-10190.46,-10234.98,-10358.09,11986.16,60.79500786964252,11986.16
12263.0,3020595.11,1105368.52,-10057.93,-9827.27,-9986.83,-10060.47,-10190.26,-10234.79,-10357.9,11987.05,55.97361715126596,11987.05
12264.0,3020594.66,1105369.08,-10058.63,-9827.08,-9986.64,-10060.28,-10190.07,-10234.6,-10357.71,11987.94,75.70493124213154,11987.94
12265.0,3020594.22,1105369.64,-10059.33,-9826.89,-9986.45,-10060.09,-10189.88,-10234.41,-10357.52,11988.83,74.42225937177098,11988.83
12266.0,3020593.77,1105370.2,-10060.03,-9826.7,-9986.26,-10059.89,-10189.69,-10234.21,-10357.33,11989.72,58.18417931082351,11989.72
12267.0,3020593.32,1105370.76,-10060.72,-9826.51,-9986.06,-10059.7,-10189.5,-10234.02,-10357.14,11990.61,54.70913920814456,11990.61
12268.0,3020592.87,1105371.32,-10061.42,-9826.31,-9985.87,-10059.51,-10189.31,-10233.83,-10356.94,11991.5,61.39540746853469,11991.5
12269.0,3020592.43,1105371.88,-10062.12,-9826.12,-9985.68,-10059.32,-10189.11,-10233.64,-10356.75,11992.39,78.52498996420086,11992.39
12270.0,3020591.98,1105372.44,-10062.82,-9825.93,-9985.49,-10059.13,-10188.92,-10233.45,-10356.56,11993.28,68.57291176438206,11993.28
12271.0,3020591.53,1105372.99,-10063.52,-9825.74,-9985.3,-10058.94,-10188.73,-10233.26,-10356.37,11994.17,72.41183041184416,11994.17
12272.0,3020591.08,1105373.55,-10064.22,-9825.55,-9985.11,-10058.74,-10188.54,-10233.06,-10356.18,11995.06,91.360805631426,11995.06
12273.0,3020590.63,1105374.11,-10064.91,-9825.36,-9984.91,-10058.55,-10188.35,-10232.87,-10355.99,11995.94,114.3124448436223,11995.94
12274.0,3020590.18,1105374.67,-10065.61,-9825.29,-9984.85,-10058.49,-10188.28,-10232.81,-10355.92,11996.7,87.11252362108287,11996.7
12275.0,3020589.73,1105375.24,-10066.3,-9825.25,-9984.8,-10058.44,-10188.24,-10232.76,-10355.88,11997.44,68.47284516456669,11997.44
12276.0,3020589.28,1105375.8,-10066.99,-9825.2,-9984.76,-10058.4,-10188.19,-10232.72,-10355.83,11998.18,65.48904109734498,11998.18
12277.0,3020588.83,1105376.36,-10067.68,-9825.15,-9984.71,-10058.35,-10188.15,-10232.67,-10355.78,11998.92,63.369448573983206,11998.92
12278.0,3020588.38,1105376.93,-10068.38,-9825.11,-9984.67,-10058.31,-10188.1,-10232.63,-10355.74,11999.65,75.30466484287008,11999.65
12279.0,3020587.93,1105377.5,-10069.06,-9825.06,-9984.62,-10058.26,-10188.05,-10232.58,-10355.69,12000.39,,12000.39
12280.0,3020587.48,1105378.06,-10069.75,-9825.02,-9984.57,-10058.21,-10188.01,-10232.53,-10355.65,12001.12,58.9483242548681,12001.12
12281.0,3020587.02,1105378.63,-10070.44,-9824.97,-9984.53,-10058.17,-10187.96,-10232.49,-10355.6,12001.85,58.81186980057444,12001.85
12282.0,3020586.57,1105379.2,-10071.13,-9824.92,-9984.48,-10058.12,-10187.91,-10232.44,-10355.55,12002.58,61.55005585006752,12002.58
12283.0,3020586.12,1105379.77,-10071.81,-9824.88,-9984.44,-10058.07,-10187.87,-10232.39,-10355.51,12003.31,58.775481946096114,12003.31
12284.0,3020585.66,1105380.34,-10072.49,-9824.83,-9984.39,-10058.03,-10187.82,-10232.35,-10355.46,12004.04,56.83782869512592,12004.04
12285.0,3020585.21,1105380.91,-10073.18,-9824.78,-9984.34,-10057.98,-10187.78,-10232.3,-10355.42,12004.76,58.53896089198707,12004.76
12286.0,3020584.75,1105381.49,-10073.86,-9824.74,-9984.3,-10057.94,-10187.73,-10232.26,-10355.37,12005.490000000002,61.68651030436121,12005.490000000002
12287.0,3020584.3,1105382.06,-10074.54,-9824.69,-9984.25,-10057.89,-10187.68,-10232.21,-10355.32,12006.22,62.56891577546031,12006.22
12288.0,3020583.84,1105382.64,-10075.21,-9824.65,-9984.2,-10057.84,-10187.64,-10232.16,-10355.28,12006.95,59.61240259909733,12006.95
12289.0,3020583.38,1105383.21,-10075.89,-9824.6,-9984.16,-10057.8,-10187.59,-10232.12,-10355.23,12007.68,,12007.68
12290.0,3020582.92,1105383.79,-10076.57,-9824.55,-9984.11,-10057.75,-10187.54,-10232.07,-10355.18,12008.4,51.57978372300959,12008.4
