TVT,GR,Geology
10170.45,132.0,
10171.45,132.0,
10172.45,129.0,
10173.45,125.0,
10174.45,121.15,
10175.45,117.85000000000001,
10176.45,114.5,
10177.45,112.0,
10178.45,112.0,
10179.45,112.0,
10180.45,115.0,
10181.45,119.0,
10182.45,121.5,
10183.45,119.5,
10184.45,117.5,
10185.45,114.0,
10186.45,110.0,
10187.45,106.15,
10188.45,102.85000000000001,
10189.45,101.10000000000001,
10190.45,99.8,
10191.45,98.60000000000001,
10192.45,97.35000000000001,
10193.45,99.5,
10194.45,104.5,
10195.45,97.0,
10196.45,102.0,
10197.45,114.5,
10198.45,113.25,
10199.45,115.75,
10200.45,117.0,
10201.45,102.85000000000001,
10202.45,106.15,
10203.45,129.5,
10204.45,140.64999999999998,
10205.45,115.75,
10206.45,99.5,
10207.45,92.05,
10208.45,92.0,
10209.45,104.5,
10210.45,94.5,
10211.45,99.5,
10212.45,109.5,
10213.45,112.4,
10214.45,124.05,
10215.45,108.25,
10216.45,107.0,
10217.45,110.75,
10218.45,105.75,
10219.45,102.0,
10220.45,102.0,
10221.45,102.0,
10222.45,102.0,
10223.45,102.0,
10224.45,102.0,
10225.45,102.0,
10226.45,102.0,
10227.45,102.0,
10228.45,102.0,
10229.45,102.0,
10230.45,95.8,
10231.45,93.25,
10232.45,112.0,
10233.45,102.0,
10234.45,90.75,
10235.45,84.55,
10236.45,87.05,
10237.45,92.0,
10238.45,97.0,
10239.45,92.0,
10240.45,93.25,
10241.45,97.0,
10242.45,93.25,
10243.45,89.5,
10244.45,92.0,
10245.45,88.9,
10246.45,91.4,
10247.45,92.0,
10248.45,91.60000000000001,
10249.45,89.95,
10250.45,88.3,
10251.45,88.7,
10252.45,95.35000000000001,
10253.45,97.0,
10254.45,97.0,
10255.45,97.0,
10256.45,97.0,
10257.45,97.0,
10258.45,97.0,
10259.45,97.65,
10260.45,100.15,
10261.45,106.15,
10262.45,122.85000000000001,
10263.45,115.75,
10264.45,100.75,
10265.45,95.8,
10266.45,94.10000000000001,
10267.45,92.45,
10268.45,92.85000000000001,
10269.45,94.0,
10270.45,95.10000000000001,
10271.45,96.2,
10272.45,97.85000000000001,
10273.45,101.2,
10274.45,94.5,
10275.45,94.55,
10276.45,97.0,
10277.45,97.0,
10278.45,99.55,
10279.45,107.0,
10280.45,127.0,
10281.45,112.0,
10282.45,93.7,
10283.45,100.35000000000001,
10284.45,114.5,
10285.45,121.35000000000001,
10286.45,98.9,
10287.45,83.75,
10288.45,90.35000000000001,
10289.45,97.05,
10290.45,98.25,
10291.45,88.9,
10292.45,96.4,
10293.45,102.0,
10294.45,102.0,
10295.45,102.0,
10296.45,101.2,
10297.45,97.85000000000001,
10298.45,97.0,
10299.45,97.0,
10300.45,97.0,
10301.45,96.2,
10302.45,92.85000000000001,
10303.45,97.05,
10304.45,102.0,
10305.45,102.0,
10306.45,104.5,
10307.45,107.0,
10308.45,107.0,
10309.45,106.15,
10310.45,102.85000000000001,
10311.45,107.0,
10312.45,111.15,
10313.45,107.85000000000001,
10314.45,110.75,
10315.45,112.35000000000001,
10316.45,112.8,
10317.45,113.25,
10318.45,113.7,
10319.45,114.15,
10320.45,114.60000000000001,
10321.45,115.05,
10322.45,115.5,
10323.45,116.0,
10324.45,116.4,
10325.45,116.9,
10326.45,117.0,
10327.45,117.85000000000001,
10328.45,121.15,
10329.45,129.5,
10330.45,140.7,
10331.45,155.64999999999998,
10332.45,153.6,
10333.45,100.35000000000001,
10334.45,92.05,
10335.45,95.35000000000001,
10336.45,88.7,
10337.45,87.0,
10338.45,88.7,
10339.45,95.35000000000001,
10340.45,99.55,
10341.45,102.85000000000001,
10342.45,106.15,
10343.45,99.5,
10344.45,92.0,
10345.45,92.0,
10346.45,94.55,
10347.45,96.2,
10348.45,92.85000000000001,
10349.45,94.55,
10350.45,96.2,
10351.45,92.85000000000001,
10352.45,97.05,
10353.45,100.35000000000001,
10354.45,93.7,
10355.45,94.55,
10356.45,97.0,
10357.45,94.5,
10358.45,92.0,
10359.45,99.5,
10360.45,92.0,
10361.45,93.25,
10362.45,99.5,
10363.45,88.25,
10364.45,93.25,
10365.45,94.5,
10366.45,92.0,
10367.45,95.75,
10368.45,94.5,
10369.45,95.75,
10370.45,92.05,
10371.45,88.7,
10372.45,95.35000000000001,
10373.45,97.0,
10374.45,97.0,
10375.45,92.0,
10376.45,92.0,
10377.45,104.5,
10378.45,97.0,
10379.45,100.75,
10380.45,98.25,
10381.45,97.0,
10382.45,101.2,
10383.45,97.85000000000001,
10384.45,97.0,
10385.45,95.75,
10386.45,92.0,
10387.45,92.0,
10388.45,107.0,
10389.45,100.75,
10390.45,93.25,
10391.45,94.5,
10392.45,104.5,
10393.45,109.5,
10394.45,97.0,
10395.45,97.0,
10396.45,102.05,
10397.45,102.0,
10398.45,97.0,
10399.45,90.75,
10400.45,89.5,
10401.45,92.0,
10402.45,102.0,
10403.45,102.0,
10404.45,98.25,
10405.45,101.2,
10406.45,97.85000000000001,
10407.45,104.5,
10408.45,95.75,
10409.45,123.25,
10410.45,176.25,
10411.45,159.39999999999998,
10412.45,122.0,
10413.45,99.5,
10414.45,104.5,
10415.45,99.5,
10416.45,92.05,
10417.45,92.0,
10418.45,99.5,
10419.45,94.55,
10420.45,97.0,
10421.45,90.75,
10422.45,89.5,
10423.45,92.0,
10424.45,96.2,
10425.45,92.85000000000001,
10426.45,97.0,
10427.45,135.7,
10428.45,97.0,
10429.45,107.0,
10430.45,105.15,
10431.45,102.0,
10432.45,87.0,
10433.45,84.55,
10434.45,92.0,
10435.45,82.10000000000001,
10436.45,79.55,
10437.45,87.05,
10438.45,85.8,
10439.45,87.0,
10440.45,94.5,
10441.45,112.0,
10442.45,104.5,
10443.45,100.75,
10444.45,97.05,
10445.45,82.10000000000001,ANCC
10446.45,82.10000000000001,ANCC
10447.45,74.6,ANCC
10448.45,64.6,ANCC
10449.45,62.099999999999994,ANCC
10450.45,74.6,ANCC
10451.45,84.55,ANCC
10452.45,82.05,ANCC
10453.45,82.05,ANCC
10454.45,68.35,ANCC
10455.45,73.35,ANCC
10456.45,72.1,ANCC
10457.45,67.1,ANCC
10458.45,74.6,ANCC
10459.45,84.55,ANCC
10460.45,73.35,ANCC
10461.45,62.099999999999994,ANCC
10462.45,59.599999999999994,ANCC
10463.45,62.099999999999994,ANCC
10464.45,69.6,ANCC
10465.45,64.6,ANCC
10466.45,62.92999999999999,ANCC
10467.45,69.6,ANCC
10468.45,72.1,ANCC
10469.45,72.1,ANCC
10470.45,74.6,ANCC
10471.45,79.60000000000001,ANCC
10472.45,87.05,ANCC
10473.45,69.6,ANCC
10474.45,59.599999999999994,ANCC
10475.45,54.599999999999994,ANCC
10476.45,62.099999999999994,ANCC
10477.45,64.6,ANCC
10478.45,57.099999999999994,ANCC
10479.45,52.099999999999994,ANCC
10480.45,54.599999999999994,ANCC
10481.45,49.599999999999994,ANCC
10482.45,54.599999999999994,ANCC
10483.45,59.599999999999994,ANCC
10484.45,72.1,ANCC
10485.45,64.6,ANCC
10486.45,79.55,ANCC
10487.45,80.85000000000001,ANCC
10488.45,59.599999999999994,ANCC
10489.45,55.849999999999994,ANCC
10490.45,52.099999999999994,ANCC
10491.45,47.099999999999994,ANCC
10492.45,49.599999999999994,ANCC
10493.45,52.099999999999994,ANCC
10494.45,52.099999999999994,ANCC
10495.45,59.599999999999994,ANCC
10496.45,74.6,ANCC
10497.45,83.3,ANCC
10498.45,71.25,ANCC
10499.45,67.67,ANCC
10500.45,69.6,ANCC
10501.45,67.1,ANCC
10502.45,68.35,ANCC
10503.45,70.85,ANCC
10504.45,74.55,ANCC
10505.45,79.60000000000001,ANCC
10506.45,89.5,ANCC
10507.45,103.25,ANCC
10508.45,115.75,ANCC
10509.45,92.0,ANCC
10510.45,82.10000000000001,ANCC
10511.45,78.75,ANCC
10512.45,85.35000000000001,ANCC
10513.45,72.1,ANCC
10514.45,65.85,ANCC
10515.45,76.25,ANCC
10516.45,72.9,ANCC
