MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10452.0,2918488.01,1045923.03,-8382.08,-8593.63,-8805.7,-8859.84,-8911.83,-8957.66,-9083.63,10549.13,,10549.13
10453.0,2918488.0,1045923.03,-8383.08,-8593.69,-8805.76,-8859.9,-8911.89,-8957.72,-9083.69,10550.070000000002,,10550.070000000002
10454.0,2918488.0,1045923.04,-8384.08,-8593.75,-8805.82,-8859.96,-8911.94,-8957.78,-9083.75,10551.01,,10551.01
10455.0,2918487.99,1045923.05,-8385.08,-8593.81,-8805.88,-8860.02,-8912.0,-8957.84,-9083.81,10551.95,181.8066228105793,10551.95
10456.0,2918487.98,1045923.06,-8386.08,-8593.87,-8805.94,-8860.08,-8912.06,-8957.89,-9083.87,10552.89,,10552.89
10457.0,2918487.98,1045923.07,-8387.08,-8593.93,-8806.0,-8860.14,-8912.12,-8957.96,-9083.93,10553.83,,10553.83
10458.0,2918487.97,1045923.08,-8388.08,-8593.99,-8806.06,-8860.2,-8912.19,-8958.02,-9083.99,10554.77,,10554.77
10459.0,2918487.97,1045923.09,-8389.08,-8594.05,-8806.12,-8860.26,-8912.25,-8958.08,-9084.05,10555.71,,10555.71
10460.0,2918487.96,1045923.1,-8390.08,-8594.11,-8806.18,-8860.33,-8912.31,-8958.14,-9084.11,10556.65,201.39785371689172,10556.65
10461.0,2918487.95,1045923.11,-8391.08,-8594.18,-8806.25,-8860.39,-8912.37,-8958.2,-9084.18,10557.58,,10557.58
10462.0,2918487.95,1045923.11,-8392.08,-8594.24,-8806.31,-8860.45,-8912.43,-8958.27,-9084.24,10558.52,,10558.52
10463.0,2918487.94,1045923.12,-8393.08,-8594.3,-8806.37,-8860.51,-8912.49,-8958.33,-9084.3,10559.46,,10559.46
10464.0,2918487.93,1045923.13,-8394.08,-8594.36,-8806.43,-8860.57,-8912.56,-8958.39,-9084.36,10560.4,,10560.4
10465.0,2918487.93,1045923.14,-8395.08,-8594.42,-8806.49,-8860.63,-8912.62,-8958.45,-9084.42,10561.34,188.33703311268343,10561.34
10466.0,2918487.92,1045923.15,-8396.08,-8594.48,-8806.56,-8860.7,-8912.68,-8958.51,-9084.49,10562.28,,10562.28
10467.0,2918487.91,1045923.16,-8397.08,-8594.55,-8806.62,-8860.76,-8912.74,-8958.58,-9084.55,10563.21,,10563.21
10468.0,2918487.91,1045923.17,-8398.08,-8594.61,-8806.68,-8860.83,-8912.81,-8958.64,-9084.62,10564.15,,10564.15
10469.0,2918487.9,1045923.18,-8399.08,-8594.68,-8806.75,-8860.89,-8912.87,-8958.71,-9084.68,10565.08,191.31490021044291,10565.08
10470.0,2918487.9,1045923.19,-8400.08,-8594.74,-8806.81,-8860.96,-8912.94,-8958.77,-9084.74,10566.02,194.8674434147876,10566.02
10471.0,2918487.89,1045923.2,-8401.08,-8594.81,-8806.88,-8861.02,-8913.0,-8958.84,-9084.81,10566.95,,10566.95
10472.0,2918487.88,1045923.21,-8402.08,-8594.87,-8806.94,-8861.09,-8913.07,-8958.9,-9084.87,10567.89,,10567.89
10473.0,2918487.88,1045923.22,-8403.08,-8594.94,-8807.01,-8861.15,-8913.13,-8958.97,-9084.94,10568.820000000002,,10568.820000000002
10474.0,2918487.87,1045923.23,-8404.08,-8595.0,-8807.07,-8861.21,-8913.2,-8959.03,-9085.0,10569.76,,10569.76
10475.0,2918487.86,1045923.24,-8405.08,-8595.07,-8807.14,-8861.28,-8913.26,-8959.1,-9085.07,10570.69,,10570.69
10476.0,2918487.86,1045923.25,-8406.08,-8595.13,-8807.2,-8861.34,-8913.33,-8959.16,-9085.13,10571.63,,10571.63
10477.0,2918487.85,1045923.26,-8407.08,-8595.2,-8807.27,-8861.41,-8913.4,-8959.23,-9085.2,10572.56,,10572.56
10478.0,2918487.84,1045923.27,-8408.08,-8595.27,-8807.34,-8861.48,-8913.46,-8959.3,-9085.27,10573.490000000002,189.8651491233758,10573.490000000002
10479.0,2918487.84,1045923.28,-8409.08,-8595.34,-8807.41,-8861.55,-8913.53,-8959.36,-9085.34,10574.42,181.8066228105793,10574.42
10480.0,2918487.83,1045923.29,-8410.08,-8595.4,-8807.47,-8861.62,-8913.6,-8959.43,-9085.41,10575.35,,10575.35
10481.0,2918487.82,1045923.3,-8411.08,-8595.47,-8807.54,-8861.68,-8913.67,-8959.5,-9085.47,10576.29,,10576.29
10482.0,2918487.82,1045923.31,-8412.08,-8595.54,-8807.61,-8861.75,-8913.74,-8959.57,-9085.54,10577.22,,10577.22
10483.0,2918487.81,1045923.32,-8413.08,-8595.61,-8807.68,-8861.82,-8913.8,-8959.64,-9085.61,10578.15,,10578.15
10484.0,2918487.81,1045923.33,-8414.08,-8595.68,-8807.75,-8861.89,-8913.87,-8959.7,-9085.68,10579.08,214.45867432110003,10579.08
10485.0,2918487.8,1045923.34,-8415.08,-8595.74,-8807.81,-8861.95,-8913.94,-8959.77,-9085.74,10580.01,,10580.01
10486.0,2918487.79,1045923.35,-8416.08,-8595.81,-8807.88,-8862.02,-8914.01,-8959.84,-9085.81,10580.95,,10580.95
10487.0,2918487.79,1045923.36,-8417.08,-8595.88,-8807.95,-8862.09,-8914.08,-8959.91,-9085.88,10581.88,,10581.88
10488.0,2918487.78,1045923.38,-8418.08,-8595.95,-8808.02,-8862.16,-8914.15,-8959.98,-9085.95,10582.81,188.33703311268343,10582.81
10489.0,2918487.77,1045923.39,-8419.08,-8596.02,-8808.09,-8862.24,-8914.22,-8960.05,-9086.03,10583.73,,10583.73
10490.0,2918487.77,1045923.4,-8420.08,-8596.09,-8808.17,-8862.31,-8914.29,-8960.12,-9086.1,10584.66,,10584.66
10491.0,2918487.76,1045923.41,-8421.08,-8596.17,-8808.24,-8862.38,-8914.36,-8960.19,-9086.17,10585.59,,10585.59
10492.0,2918487.75,1045923.42,-8422.08,-8596.24,-8808.31,-8862.45,-8914.43,-8960.26,-9086.24,10586.52,,10586.52
10493.0,2918487.75,1045923.43,-8423.08,-8596.31,-8808.38,-8862.52,-8914.5,-8960.34,-9086.31,10587.45,,10587.45
10494.0,2918487.74,1045923.44,-8424.08,-8596.38,-8808.45,-8862.59,-8914.57,-8960.41,-9086.38,10588.38,,10588.38
10495.0,2918487.73,1045923.45,-8425.08,-8596.45,-8808.52,-8862.66,-8914.64,-8960.48,-9086.45,10589.31,,10589.31
10496.0,2918487.73,1045923.46,-8426.08,-8596.52,-8808.59,-8862.73,-8914.72,-8960.55,-9086.52,10590.240000000002,,10590.240000000002
10497.0,2918487.72,1045923.48,-8427.08,-8596.59,-8808.66,-8862.81,-8914.79,-8960.62,-9086.6,10591.16,,10591.16
10498.0,2918487.72,1045923.49,-8428.08,-8596.67,-8808.74,-8862.88,-8914.86,-8960.7,-9086.67,10592.09,,10592.09
10499.0,2918487.71,1045923.5,-8429.08,-8596.74,-8808.81,-8862.95,-8914.94,-8960.77,-9086.74,10593.02,,10593.02
10500.0,2918487.7,1045923.51,-8430.08,-8596.82,-8808.89,-8863.03,-8915.01,-8960.84,-9086.82,10593.94,,10593.94
10501.0,2918487.7,1045923.52,-8431.08,-8596.89,-8808.96,-8863.1,-8915.08,-8960.92,-9086.89,10594.87,,10594.87
10502.0,2918487.69,1045923.53,-8432.08,-8596.96,-8809.03,-8863.18,-8915.16,-8960.99,-9086.96,10595.79,,10595.79
10503.0,2918487.68,1045923.55,-8433.08,-8597.04,-8809.11,-8863.25,-8915.23,-8961.07,-9087.04,10596.72,,10596.72
10504.0,2918487.68,1045923.56,-8434.08,-8597.11,-8809.18,-8863.32,-8915.31,-8961.14,-9087.11,10597.65,,10597.65
10505.0,2918487.67,1045923.57,-8435.08,-8597.19,-8809.26,-8863.4,-8915.38,-8961.21,-9087.19,10598.570000000002,,10598.570000000002
10506.0,2918487.66,1045923.58,-8436.08,-8597.26,-8809.33,-8863.47,-8915.45,-8961.29,-9087.26,10599.5,175.27621250847517,10599.5
10507.0,2918487.66,1045923.59,-8437.08,-8597.34,-8809.41,-8863.55,-8915.53,-8961.36,-9087.34,10600.42,187.4227756703889,10600.42
10508.0,2918487.65,1045923.6,-8438.08,-8597.41,-8809.48,-8863.62,-8915.61,-8961.44,-9087.41,10601.34,194.8674434147876,10601.34
10509.0,2918487.64,1045923.62,-8439.08,-8597.49,-8809.56,-8863.7,-8915.69,-8961.52,-9087.49,10602.27,,10602.27
10510.0,2918487.64,1045923.63,-8440.08,-8597.57,-8809.64,-8863.78,-8915.76,-8961.6,-9087.57,10603.19,,10603.19
10511.0,2918487.63,1045923.64,-8441.08,-8597.64,-8809.71,-8863.86,-8915.84,-8961.67,-9087.65,10604.11,,10604.11
10512.0,2918487.63,1045923.65,-8442.08,-8597.72,-8809.79,-8863.93,-8915.92,-8961.75,-9087.72,10605.04,,10605.04
10513.0,2918487.62,1045923.67,-8443.08,-8597.8,-8809.87,-8864.01,-8915.99,-8961.83,-9087.8,10605.96,187.4358364909931,10605.96
10514.0,2918487.61,1045923.68,-8444.08,-8597.87,-8809.95,-8864.09,-8916.07,-8961.9,-9087.88,10606.88,181.8066228105793,10606.88
10515.0,2918487.61,1045923.69,-8445.08,-8597.95,-8810.02,-8864.16,-8916.15,-8961.98,-9087.95,10607.8,,10607.8
10516.0,2918487.6,1045923.7,-8446.08,-8598.03,-8810.1,-8864.24,-8916.22,-8962.06,-9088.03,10608.73,,10608.73
10517.0,2918487.59,1045923.72,-8447.08,-8598.11,-8810.18,-8864.32,-8916.3,-8962.14,-9088.11,10609.65,,10609.65
10518.0,2918487.59,1045923.73,-8448.08,-8598.19,-8810.26,-8864.4,-8916.38,-8962.22,-9088.19,10610.570000000002,,10610.570000000002
10519.0,2918487.58,1045923.74,-8449.08,-8598.27,-8810.34,-8864.48,-8916.46,-8962.3,-9088.27,10611.490000000002,179.2467019721545,10611.490000000002
10520.0,2918487.57,1045923.75,-8450.08,-8598.35,-8810.42,-8864.56,-8916.54,-8962.38,-9088.35,10612.41,,10612.41
10521.0,2918487.57,1045923.77,-8451.08,-8598.43,-8810.5,-8864.64,-8916.62,-8962.46,-9088.43,10613.33,,10613.33
10522.0,2918487.56,1045923.78,-8452.08,-8598.51,-8810.58,-8864.72,-8916.7,-8962.54,-9088.51,10614.25,,10614.25
10523.0,2918487.55,1045923.79,-8453.08,-8598.59,-8810.66,-8864.8,-8916.78,-8962.62,-9088.59,10615.17,,10615.17
10524.0,2918487.55,1045923.81,-8454.08,-8598.67,-8810.74,-8864.88,-8916.86,-8962.7,-9088.67,10616.09,,10616.09
10525.0,2918487.54,1045923.82,-8455.08,-8598.75,-8810.82,-8864.96,-8916.94,-8962.78,-9088.75,10617.01,,10617.01
10526.0,2918487.53,1045923.83,-8456.08,-8598.83,-8810.9,-8865.04,-8917.02,-8962.86,-9088.83,10617.93,,10617.93
10527.0,2918487.53,1045923.85,-8457.08,-8598.91,-8810.98,-8865.12,-8917.11,-8962.94,-9088.91,10618.84,,10618.84
10528.0,2918487.52,1045923.86,-8458.08,-8598.99,-8811.07,-8865.21,-8917.19,-8963.02,-9089.0,10619.76,,10619.76
10529.0,2918487.51,1045923.87,-8459.08,-8599.08,-8811.15,-8865.29,-8917.27,-8963.11,-9089.08,10620.68,,10620.68
10530.0,2918487.51,1045923.89,-8460.08,-8599.16,-8811.23,-8865.37,-8917.36,-8963.19,-9089.16,10621.59,175.27621250847517,10621.59
10531.0,2918487.5,1045923.9,-8461.08,-8599.24,-8811.31,-8865.45,-8917.44,-8963.27,-9089.24,10622.51,,10622.51
10532.0,2918487.5,1045923.91,-8462.08,-8599.33,-8811.4,-8865.54,-8917.52,-8963.35,-9089.33,10623.43,,10623.43
10533.0,2918487.49,1045923.93,-8463.08,-8599.41,-8811.48,-8865.62,-8917.6,-8963.44,-9089.41,10624.34,,10624.34
10534.0,2918487.48,1045923.94,-8464.08,-8599.49,-8811.56,-8865.7,-8917.69,-8963.52,-9089.49,10625.26,,10625.26
10535.0,2918487.48,1045923.95,-8465.08,-8599.58,-8811.65,-8865.79,-8917.77,-8963.6,-9089.58,10626.18,,10626.18
10536.0,2918487.47,1045923.97,-8466.08,-8599.66,-8811.73,-8865.87,-8917.85,-8963.69,-9089.66,10627.1,,10627.1
10537.0,2918487.46,1045923.98,-8467.08,-8599.74,-8811.82,-8865.96,-8917.94,-8963.77,-9089.75,10628.01,,10628.01
10538.0,2918487.46,1045924.0,-8468.08,-8599.83,-8811.9,-8866.04,-8918.03,-8963.86,-9089.83,10628.92,,10628.92
10539.0,2918487.45,1045924.01,-8469.08,-8599.92,-8811.99,-8866.13,-8918.11,-8963.94,-9089.92,10629.84,,10629.84
10540.0,2918487.44,1045924.02,-8470.08,-8600.0,-8812.07,-8866.21,-8918.2,-8964.03,-9090.0,10630.75,,10630.75
10541.0,2918487.44,1045924.04,-8471.08,-8600.09,-8812.16,-8866.3,-8918.28,-8964.12,-9090.09,10631.66,,10631.66
10542.0,2918487.43,1045924.05,-8472.07,-8600.17,-8812.25,-8866.39,-8918.37,-8964.2,-9090.18,10632.58,,10632.58
10543.0,2918487.42,1045924.07,-8473.07,-8600.26,-8812.33,-8866.47,-8918.46,-8964.29,-9090.26,10633.490000000002,194.8674434147876,10633.490000000002
10544.0,2918487.42,1045924.08,-8474.07,-8600.35,-8812.42,-8866.56,-8918.54,-8964.37,-9090.35,10634.41,167.4397201459502,10634.41
10545.0,2918487.41,1045924.09,-8475.07,-8600.43,-8812.5,-8866.64,-8918.63,-8964.46,-9090.43,10635.320000000002,,10635.320000000002
10546.0,2918487.4,1045924.11,-8476.07,-8600.52,-8812.59,-8866.73,-8918.71,-8964.55,-9090.52,10636.23,,10636.23
10547.0,2918487.4,1045924.12,-8477.07,-8600.61,-8812.68,-8866.82,-8918.8,-8964.64,-9090.61,10637.14,174.4795024516185,10637.14
10548.0,2918487.39,1045924.14,-8478.07,-8600.7,-8812.77,-8866.91,-8918.89,-8964.73,-9090.7,10638.06,179.02466802188297,10638.06
10549.0,2918487.38,1045924.15,-8479.07,-8600.79,-8812.86,-8867.0,-8918.98,-8964.81,-9090.79,10638.97,175.27621250847517,10638.97
10550.0,2918487.38,1045924.17,-8480.07,-8600.88,-8812.95,-8867.09,-8919.07,-8964.9,-9090.88,10639.88,,10639.88
10551.0,2918487.37,1045924.18,-8481.07,-8600.96,-8813.03,-8867.18,-8919.16,-8964.99,-9090.97,10640.79,,10640.79
10552.0,2918487.36,1045924.2,-8482.07,-8601.05,-8813.12,-8867.26,-8919.25,-8965.08,-9091.05,10641.7,,10641.7
10553.0,2918487.36,1045924.21,-8483.07,-8601.14,-8813.21,-8867.35,-8919.34,-8965.17,-9091.14,10642.61,180.81400044465948,10642.61
10554.0,2918487.35,1045924.23,-8484.07,-8601.23,-8813.3,-8867.44,-8919.43,-8965.26,-9091.23,10643.52,188.33703311268343,10643.52
10555.0,2918487.34,1045924.24,-8485.07,-8601.32,-8813.39,-8867.53,-8919.52,-8965.35,-9091.32,10644.43,,10644.43
10556.0,2918487.34,1045924.26,-8486.07,-8601.41,-8813.48,-8867.62,-8919.6,-8965.44,-9091.41,10645.34,,10645.34
10557.0,2918487.33,1045924.27,-8487.07,-8601.5,-8813.57,-8867.71,-8919.7,-8965.53,-9091.5,10646.25,,10646.25
10558.0,2918487.32,1045924.29,-8488.07,-8601.59,-8813.66,-8867.81,-8919.79,-8965.62,-9091.59,10647.16,,10647.16
10559.0,2918487.32,1045924.3,-8489.07,-8601.69,-8813.76,-8867.9,-8919.88,-8965.71,-9091.69,10648.06,,10648.06
10560.0,2918487.31,1045924.32,-8490.07,-8601.78,-8813.85,-8867.99,-8919.97,-8965.81,-9091.78,10648.97,,10648.97
10561.0,2918487.3,1045924.33,-8491.07,-8601.87,-8813.94,-8868.08,-8920.07,-8965.9,-9091.87,10649.88,,10649.88
10562.0,2918487.3,1045924.35,-8492.07,-8601.96,-8814.03,-8868.17,-8920.16,-8965.99,-9091.96,10650.79,194.8674434147876,10650.79
10563.0,2918487.29,1045924.36,-8493.07,-8602.05,-8814.13,-8868.27,-8920.25,-8966.08,-9092.06,10651.7,,10651.7
10564.0,2918487.28,1045924.38,-8494.07,-8602.15,-8814.22,-8868.36,-8920.34,-8966.17,-9092.15,10652.6,,10652.6
10565.0,2918487.27,1045924.39,-8495.07,-8602.24,-8814.31,-8868.45,-8920.43,-8966.27,-9092.24,10653.51,201.39785371689172,10653.51
10566.0,2918487.27,1045924.41,-8496.07,-8602.33,-8814.4,-8868.54,-8920.53,-8966.36,-9092.33,10654.42,,10654.42
10567.0,2918487.26,1045924.42,-8497.07,-8602.43,-8814.5,-8868.64,-8920.62,-8966.45,-9092.43,10655.320000000002,,10655.320000000002
10568.0,2918487.25,1045924.44,-8498.07,-8602.52,-8814.59,-8868.73,-8920.72,-8966.55,-9092.52,10656.23,193.84869940765932,10656.23
10569.0,2918487.25,1045924.46,-8499.07,-8602.62,-8814.69,-8868.83,-8920.81,-8966.64,-9092.62,10657.13,181.8066228105793,10657.13
