MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10645.0,2906424.06,1037169.13,-8594.48,-8655.64,-8879.08,-8945.46,-8994.98,-9033.01,-9159.33,10701.34,84.9617605484128,10701.34
10646.0,2906424.07,1037169.11,-8595.48,-8655.82,-8879.26,-8945.64,-8995.16,-9033.19,-9159.51,10702.16,85.86546340033789,10702.16
10647.0,2906424.09,1037169.1,-8596.48,-8656.02,-8879.46,-8945.84,-8995.36,-9033.39,-9159.71,10702.96,86.49531690319479,10702.96
10648.0,2906424.1,1037169.08,-8597.48,-8656.23,-8879.67,-8946.05,-8995.57,-9033.6,-9159.92,10703.75,85.45468937673557,10703.75
10649.0,2906424.11,1037169.06,-8598.48,-8656.46,-8879.9,-8946.28,-8995.79,-9033.83,-9160.15,10704.52,85.89284833524472,10704.52
10650.0,2906424.13,1037169.04,-8599.48,-8656.7,-8880.14,-8946.52,-8996.03,-9034.07,-9160.39,10705.28,,10705.28
10651.0,2906424.14,1037169.02,-8600.48,-8656.95,-8880.39,-8946.77,-8996.29,-9034.33,-9160.64,10706.02,88.72718909810071,10706.02
10652.0,2906424.16,1037169.0,-8601.48,-8657.23,-8880.67,-8947.05,-8996.56,-9034.6,-9160.92,10706.75,89.2475028613303,10706.75
10653.0,2906424.17,1037168.98,-8602.48,-8657.51,-8880.95,-8947.33,-8996.85,-9034.88,-9161.2,10707.47,93.12247115064552,10707.47
10654.0,2906424.19,1037168.95,-8603.48,-8657.81,-8881.25,-8947.63,-8997.15,-9035.19,-9161.5,10708.16,94.91618438704228,10708.16
10655.0,2906424.21,1037168.93,-8604.48,-8658.13,-8881.57,-8947.95,-8997.47,-9035.5,-9161.82,10708.85,95.25849607337756,10708.85
10656.0,2906424.23,1037168.9,-8605.48,-8658.46,-8881.9,-8948.28,-8997.8,-9035.83,-9162.15,10709.52,96.55928048145158,10709.52
10657.0,2906424.25,1037168.87,-8606.48,-8658.81,-8882.25,-8948.63,-8998.14,-9036.18,-9162.5,10710.17,94.94356932194913,10710.17
10658.0,2906424.27,1037168.84,-8607.48,-8659.17,-8882.61,-8948.99,-8998.5,-9036.54,-9162.86,10710.81,,10710.81
10659.0,2906424.29,1037168.81,-8608.47,-8659.54,-8882.98,-8949.36,-8998.88,-9036.92,-9163.23,10711.43,96.6962051559857,10711.43
10660.0,2906424.31,1037168.78,-8609.47,-8659.93,-8883.37,-8949.75,-8999.27,-9037.31,-9163.62,10712.04,100.92717759908956,10712.04
10661.0,2906424.33,1037168.75,-8610.47,-8660.34,-8883.78,-8950.16,-8999.68,-9037.71,-9164.03,10712.63,103.74782589449214,10712.63
10662.0,2906424.36,1037168.71,-8611.47,-8660.76,-8884.2,-8950.58,-9000.1,-9038.13,-9164.45,10713.21,101.89934278828171,10713.21
10663.0,2906424.38,1037168.68,-8612.47,-8661.2,-8884.64,-8951.02,-9000.53,-9038.57,-9164.89,10713.77,103.2959744685296,10713.77
10664.0,2906424.41,1037168.64,-8613.47,-8661.65,-8885.09,-8951.47,-9000.99,-9039.02,-9165.34,10714.320000000002,128.0793405592028,10714.320000000002
10665.0,2906424.43,1037168.6,-8614.47,-8662.11,-8885.55,-8951.93,-9001.45,-9039.49,-9165.8,10714.86,131.78999923907708,10714.86
10666.0,2906424.46,1037168.56,-8615.47,-8662.59,-8886.03,-8952.41,-9001.93,-9039.97,-9166.28,10715.37,98.5309957947427,10715.37
10667.0,2906424.49,1037168.52,-8616.47,-8663.09,-8886.53,-8952.91,-9002.43,-9040.46,-9166.78,10715.88,86.5227018381016,10715.88
10668.0,2906424.52,1037168.48,-8617.47,-8663.6,-8887.04,-8953.42,-9002.94,-9040.97,-9167.29,10716.36,82.59296367897275,10716.36
10669.0,2906424.55,1037168.43,-8618.46,-8664.13,-8887.57,-8953.95,-9003.46,-9041.5,-9167.82,10716.84,83.51035899835126,10716.84
10670.0,2906424.58,1037168.39,-8619.46,-8664.67,-8888.11,-8954.49,-9004.0,-9042.04,-9168.36,10717.3,86.75547378480958,10717.3
10671.0,2906424.61,1037168.34,-8620.46,-8665.22,-8888.66,-8955.04,-9004.56,-9042.59,-9168.91,10717.740000000002,88.04256572543018,10717.740000000002
10672.0,2906424.64,1037168.3,-8621.46,-8665.79,-8889.23,-8955.61,-9005.13,-9043.16,-9169.48,10718.17,86.38577716356751,10718.17
10673.0,2906424.67,1037168.25,-8622.46,-8666.38,-8889.82,-8956.2,-9005.71,-9043.75,-9170.07,10718.58,85.64638392108333,10718.58
10674.0,2906424.7,1037168.2,-8623.46,-8666.98,-8890.42,-8956.8,-9006.31,-9044.35,-9170.67,10718.98,85.18084002766736,10718.98
10675.0,2906424.74,1037168.15,-8624.45,-8667.59,-8891.03,-8957.41,-9006.93,-9044.96,-9171.28,10719.36,86.11192781449928,10719.36
10676.0,2906424.77,1037168.1,-8625.45,-8668.22,-8891.66,-8958.04,-9007.56,-9045.59,-9171.91,10719.73,85.04391535313326,10719.73
10677.0,2906424.81,1037168.04,-8626.45,-8668.87,-8892.31,-8958.69,-9008.2,-9046.24,-9172.56,10720.08,83.08589250729554,10720.08
10678.0,2906424.84,1037167.99,-8627.45,-8669.53,-8892.97,-8959.35,-9008.86,-9046.9,-9173.22,10720.42,83.56512886816492,10720.42
10679.0,2906424.88,1037167.93,-8628.45,-8669.89,-8893.33,-8959.71,-9009.23,-9047.27,-9173.58,10721.05,83.60620627052515,10721.05
10680.0,2906424.92,1037167.88,-8629.44,-8669.81,-8893.25,-8959.63,-9009.14,-9047.18,-9173.5,10722.14,81.73033822940789,10722.14
10681.0,2906424.96,1037167.82,-8630.44,-8669.72,-8893.16,-8959.54,-9009.05,-9047.09,-9173.41,10723.23,83.7979008148729,10723.23
10682.0,2906425.0,1037167.76,-8631.44,-8669.62,-8893.06,-8959.44,-9008.96,-9046.99,-9173.31,10724.320000000002,95.58711529225944,10724.320000000002
10683.0,2906425.04,1037167.7,-8632.44,-8669.53,-8892.97,-8959.35,-9008.86,-9046.9,-9173.22,10725.41,120.64433073200082,10725.41
10684.0,2906425.08,1037167.64,-8633.43,-8669.43,-8892.87,-8959.25,-9008.77,-9046.8,-9173.12,10726.5,133.8849467594489,10726.5
10685.0,2906425.12,1037167.57,-8634.43,-8669.33,-8892.77,-8959.15,-9008.67,-9046.71,-9173.02,10727.6,109.7314341716326,10727.6
10686.0,2906425.16,1037167.51,-8635.43,-8669.22,-8892.66,-8959.04,-9008.56,-9046.6,-9172.91,10728.7,98.48991839238246,10728.7
10687.0,2906425.21,1037167.44,-8636.42,-8669.11,-8892.55,-8958.93,-9008.45,-9046.49,-9172.8,10729.81,95.3132659431912,10729.81
10688.0,2906425.25,1037167.38,-8637.42,-8669.01,-8892.45,-8958.83,-9008.34,-9046.38,-9172.7,10730.91,101.8719578533749,10730.91
10689.0,2906425.3,1037167.31,-8638.42,-8668.9,-8892.34,-8958.72,-9008.23,-9046.27,-9172.59,10732.02,102.72089083548634,10732.02
10690.0,2906425.34,1037167.24,-8639.41,-8668.79,-8892.23,-8958.61,-9008.12,-9046.16,-9172.48,10733.12,89.64458441747922,10733.12
10691.0,2906425.39,1037167.17,-8640.41,-8668.68,-8892.12,-8958.5,-9008.02,-9046.05,-9172.37,10734.23,88.12472053015064,10734.23
10692.0,2906425.44,1037167.09,-8641.41,-8668.57,-8892.01,-8958.39,-9007.91,-9045.94,-9172.26,10735.34,91.64368466567716,10735.34
