MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10461.0,2996118.79,1114709.61,-8274.8,-8629.75,-8764.11,-8846.66,-8981.19,-9031.73,-9137.61,10579.070000000002,141.1064078940078,10579.070000000002
10462.0,2996118.78,1114709.63,-8275.8,-8629.78,-8764.13,-8846.69,-8981.21,-9031.76,-9137.63,10580.05,,10580.05
10463.0,2996118.78,1114709.64,-8276.8,-8629.8,-8764.15,-8846.71,-8981.23,-9031.78,-9137.66,10581.03,,10581.03
10464.0,2996118.77,1114709.66,-8277.8,-8629.82,-8764.17,-8846.73,-8981.25,-9031.8,-9137.68,10582.01,159.0757225721991,10582.01
10465.0,2996118.76,1114709.67,-8278.8,-8629.84,-8764.19,-8846.75,-8981.28,-9031.82,-9137.7,10582.98,,10582.98
10466.0,2996118.75,1114709.69,-8279.8,-8629.87,-8764.22,-8846.77,-8981.3,-9031.84,-9137.72,10583.96,128.81161364050843,10583.96
10467.0,2996118.75,1114709.7,-8280.8,-8629.89,-8764.24,-8846.8,-8981.32,-9031.87,-9137.74,10584.94,,10584.94
10468.0,2996118.74,1114709.72,-8281.8,-8629.91,-8764.26,-8846.82,-8981.34,-9031.89,-9137.77,10585.92,,10585.92
10469.0,2996118.73,1114709.73,-8282.8,-8629.93,-8764.28,-8846.84,-8981.36,-9031.91,-9137.79,10586.89,,10586.89
10470.0,2996118.73,1114709.74,-8283.8,-8629.95,-8764.3,-8846.86,-8981.39,-9031.93,-9137.81,10587.87,,10587.87
10471.0,2996118.72,1114709.76,-8284.8,-8629.98,-8764.33,-8846.88,-8981.41,-9031.96,-9137.83,10588.85,130.37210675729875,10588.85
10472.0,2996118.71,1114709.77,-8285.8,-8630.0,-8764.35,-8846.91,-8981.43,-9031.98,-9137.86,10589.83,131.64887385285445,10589.83
10473.0,2996118.7,1114709.79,-8286.8,-8630.02,-8764.37,-8846.93,-8981.45,-9032.0,-9137.88,10590.81,,10590.81
