MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10283.0,2996059.03,1121960.69,-8159.709999999999,-8445.21,-8556.63,-8646.85,-8807.69,-8859.47,-8954.75,10155.56,,10155.56
10284.0,2996059.05,1121960.66,-8160.709999999999,-8445.13,-8556.54,-8646.77,-8807.61,-8859.39,-8954.67,10156.65,122.89148118807556,10156.65
10285.0,2996059.06,1121960.63,-8161.700000000001,-8445.05,-8556.46,-8646.69,-8807.53,-8859.31,-8954.59,10157.73,115.60023754508396,10157.73
10286.0,2996059.08,1121960.59,-8162.700000000001,-8444.97,-8556.38,-8646.61,-8807.45,-8859.23,-8954.51,10158.81,,10158.81
10287.0,2996059.09,1121960.56,-8163.700000000001,-8444.89,-8556.3,-8646.53,-8807.37,-8859.15,-8954.43,10159.89,,10159.89
10288.0,2996059.11,1121960.53,-8164.700000000001,-8444.81,-8556.22,-8646.45,-8807.29,-8859.07,-8954.34,10160.97,128.36477474941455,10160.97
10289.0,2996059.12,1121960.49,-8165.700000000001,-8444.73,-8556.14,-8646.37,-8807.21,-8858.99,-8954.26,10162.05,,10162.05
10290.0,2996059.13,1121960.46,-8166.700000000001,-8444.65,-8556.06,-8646.28,-8807.12,-8858.9,-8954.18,10163.13,,10163.13
10291.0,2996059.15,1121960.42,-8167.700000000001,-8444.56,-8555.97,-8646.2,-8807.04,-8858.82,-8954.1,10164.21,,10164.21
10292.0,2996059.16,1121960.39,-8168.700000000001,-8444.48,-8555.89,-8646.11,-8806.95,-8858.73,-8954.01,10165.3,,10165.3
10293.0,2996059.17,1121960.35,-8169.700000000001,-8444.39,-8555.8,-8646.03,-8806.87,-8858.65,-8953.92,10166.38,119.24585936657977,10166.38
10294.0,2996059.19,1121960.32,-8170.700000000001,-8444.3,-8555.71,-8645.94,-8806.78,-8858.56,-8953.84,10167.47,,10167.47
10295.0,2996059.2,1121960.28,-8171.700000000001,-8444.22,-8555.63,-8645.86,-8806.7,-8858.47,-8953.75,10168.55,135.61713175964354,10168.55
10296.0,2996059.21,1121960.24,-8172.700000000001,-8444.13,-8555.54,-8645.77,-8806.61,-8858.39,-8953.67,10169.64,,10169.64
10297.0,2996059.22,1121960.21,-8173.700000000001,-8444.05,-8555.46,-8645.68,-8806.52,-8858.3,-8953.58,10170.72,,10170.72
10298.0,2996059.24,1121960.17,-8174.700000000001,-8443.96,-8555.37,-8645.6,-8806.44,-8858.22,-8953.5,10171.81,119.24585936657977,10171.81
10299.0,2996059.25,1121960.14,-8175.69,-8443.87,-8555.28,-8645.51,-8806.35,-8858.13,-8953.41,10172.89,,10172.89
10300.0,2996059.26,1121960.1,-8176.69,-8443.79,-8555.2,-8645.43,-8806.27,-8858.05,-8953.32,10173.98,130.18272483106713,10173.98
10301.0,2996059.28,1121960.06,-8177.69,-8443.7,-8555.11,-8645.34,-8806.18,-8857.96,-8953.24,10175.070000000002,,10175.070000000002
10302.0,2996059.29,1121960.03,-8178.69,-8443.61,-8555.02,-8645.25,-8806.09,-8857.87,-8953.15,10176.15,,10176.15
10303.0,2996059.3,1121959.99,-8179.69,-8443.53,-8554.94,-8645.16,-8806.0,-8857.78,-8953.06,10177.240000000002,119.24585936657977,10177.240000000002
10304.0,2996059.32,1121959.95,-8180.69,-8443.44,-8554.85,-8645.08,-8805.92,-8857.7,-8952.97,10178.33,,10178.33
10305.0,2996059.33,1121959.92,-8181.69,-8443.35,-8554.76,-8644.99,-8805.83,-8857.61,-8952.89,10179.41,,10179.41
10306.0,2996059.34,1121959.88,-8182.69,-8443.26,-8554.68,-8644.9,-8805.74,-8857.52,-8952.8,10180.5,,10180.5
10307.0,2996059.35,1121959.84,-8183.69,-8443.18,-8554.59,-8644.82,-8805.66,-8857.43,-8952.71,10181.58,,10181.58
10308.0,2996059.37,1121959.81,-8184.69,-8443.09,-8554.5,-8644.73,-8805.57,-8857.35,-8952.63,10182.67,,10182.67
10309.0,2996059.38,1121959.77,-8185.69,-8443.0,-8554.41,-8644.64,-8805.48,-8857.26,-8952.54,10183.76,,10183.76
10310.0,2996059.39,1121959.73,-8186.69,-8442.92,-8554.33,-8644.55,-8805.39,-8857.17,-8952.45,10184.84,126.53710300957134,10184.84
10311.0,2996059.4,1121959.69,-8187.69,-8442.83,-8554.24,-8644.47,-8805.31,-8857.09,-8952.36,10185.93,128.36477474941455,10185.93
