MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11425.0,3005130.42,1090013.45,-9139.65,-9635.5,-9780.18,-9812.27,-9928.03,-9964.42,-10102.01,11359.35,,11359.35
11426.0,3005130.42,1090013.45,-9140.65,-9635.48,-9780.16,-9812.25,-9928.02,-9964.41,-10102.0,11360.36,,11360.36
11427.0,3005130.41,1090013.45,-9141.65,-9635.47,-9780.15,-9812.24,-9928.01,-9964.39,-10101.99,11361.38,,11361.38
11428.0,3005130.41,1090013.45,-9142.65,-9635.46,-9780.14,-9812.23,-9928.0,-9964.38,-10101.98,11362.39,,11362.39
11429.0,3005130.41,1090013.45,-9143.65,-9635.45,-9780.13,-9812.22,-9927.99,-9964.37,-10101.97,11363.4,,11363.4
11430.0,3005130.41,1090013.46,-9144.65,-9635.44,-9780.12,-9812.21,-9927.98,-9964.36,-10101.96,11364.41,,11364.41
11431.0,3005130.4,1090013.46,-9145.65,-9635.43,-9780.11,-9812.2,-9927.97,-9964.35,-10101.95,11365.42,,11365.42
11432.0,3005130.4,1090013.46,-9146.65,-9635.42,-9780.1,-9812.19,-9927.96,-9964.34,-10101.94,11366.43,,11366.43
11433.0,3005130.4,1090013.46,-9147.65,-9635.41,-9780.09,-9812.18,-9927.95,-9964.33,-10101.93,11367.44,,11367.44
11434.0,3005130.39,1090013.46,-9148.65,-9635.4,-9780.08,-9812.17,-9927.94,-9964.32,-10101.92,11368.45,99.56452643637124,11368.45
11435.0,3005130.39,1090013.46,-9149.65,-9635.39,-9780.07,-9812.16,-9927.93,-9964.31,-10101.91,11369.46,,11369.46
11436.0,3005130.39,1090013.46,-9150.65,-9635.38,-9780.06,-9812.15,-9927.92,-9964.3,-10101.89,11370.47,,11370.47
11437.0,3005130.38,1090013.46,-9151.65,-9635.37,-9780.05,-9812.14,-9927.91,-9964.29,-10101.88,11371.48,,11371.48
11438.0,3005130.38,1090013.46,-9152.65,-9635.36,-9780.04,-9812.13,-9927.9,-9964.28,-10101.87,11372.490000000002,,11372.490000000002
11439.0,3005130.38,1090013.47,-9153.65,-9635.35,-9780.03,-9812.12,-9927.88,-9964.27,-10101.86,11373.5,,11373.5
11440.0,3005130.37,1090013.47,-9154.65,-9635.34,-9780.02,-9812.11,-9927.87,-9964.26,-10101.85,11374.51,108.52037455121624,11374.51
11441.0,3005130.37,1090013.47,-9155.65,-9635.33,-9780.01,-9812.1,-9927.86,-9964.25,-10101.84,11375.52,,11375.52
11442.0,3005130.37,1090013.47,-9156.65,-9635.31,-9779.99,-9812.08,-9927.85,-9964.23,-10101.83,11376.54,101.36347529765932,11376.54
11443.0,3005130.36,1090013.47,-9157.65,-9635.3,-9779.98,-9812.07,-9927.84,-9964.22,-10101.82,11377.55,,11377.55
11444.0,3005130.36,1090013.47,-9158.65,-9635.29,-9779.97,-9812.06,-9927.83,-9964.21,-10101.81,11378.56,,11378.56
11445.0,3005130.36,1090013.47,-9159.65,-9635.28,-9779.96,-9812.05,-9927.82,-9964.2,-10101.8,11379.570000000002,,11379.570000000002
11446.0,3005130.35,1090013.47,-9160.65,-9635.27,-9779.95,-9812.04,-9927.81,-9964.19,-10101.78,11380.58,,11380.58
11447.0,3005130.35,1090013.47,-9161.65,-9635.26,-9779.94,-9812.03,-9927.8,-9964.18,-10101.77,11381.59,108.53982264701396,11381.59
11448.0,3005130.35,1090013.48,-9162.65,-9635.25,-9779.93,-9812.02,-9927.78,-9964.17,-10101.76,11382.6,,11382.6
11449.0,3005130.34,1090013.48,-9163.65,-9635.24,-9779.92,-9812.01,-9927.77,-9964.16,-10101.75,11383.61,97.775301622982,11383.61
11450.0,3005130.34,1090013.48,-9164.65,-9635.22,-9779.9,-9811.99,-9927.76,-9964.14,-10101.74,11384.63,,11384.63
11451.0,3005130.34,1090013.48,-9165.65,-9635.21,-9779.89,-9811.98,-9927.75,-9964.13,-10101.73,11385.64,,11385.64
11452.0,3005130.33,1090013.48,-9166.65,-9635.2,-9779.88,-9811.97,-9927.74,-9964.12,-10101.72,11386.65,,11386.65
11453.0,3005130.33,1090013.48,-9167.65,-9635.19,-9779.87,-9811.96,-9927.73,-9964.11,-10101.7,11387.66,104.95164897233664,11387.66
11454.0,3005130.33,1090013.48,-9168.65,-9635.18,-9779.86,-9811.95,-9927.71,-9964.1,-10101.69,11388.67,112.1182722737924,11388.67
11455.0,3005130.32,1090013.48,-9169.65,-9635.17,-9779.85,-9811.94,-9927.7,-9964.09,-10101.68,11389.68,,11389.68
11456.0,3005130.32,1090013.49,-9170.65,-9635.15,-9779.83,-9811.92,-9927.69,-9964.07,-10101.67,11390.7,,11390.7
11457.0,3005130.32,1090013.49,-9171.65,-9635.14,-9779.82,-9811.91,-9927.68,-9964.06,-10101.66,11391.71,,11391.71
11458.0,3005130.31,1090013.49,-9172.65,-9635.13,-9779.81,-9811.9,-9927.67,-9964.05,-10101.65,11392.72,95.97635276169392,11392.72
11459.0,3005130.31,1090013.49,-9173.65,-9635.12,-9779.8,-9811.89,-9927.66,-9964.04,-10101.63,11393.73,,11393.73
11460.0,3005130.31,1090013.49,-9174.65,-9635.11,-9779.79,-9811.88,-9927.64,-9964.03,-10101.62,11394.740000000002,,11394.740000000002
11461.0,3005130.3,1090013.49,-9175.65,-9635.1,-9779.78,-9811.87,-9927.63,-9964.02,-10101.61,11395.75,108.53982264701396,11395.75
11462.0,3005130.3,1090013.49,-9176.65,-9635.08,-9779.76,-9811.85,-9927.62,-9964.0,-10101.6,11396.77,,11396.77
11463.0,3005130.3,1090013.5,-9177.65,-9635.07,-9779.75,-9811.84,-9927.61,-9963.99,-10101.59,11397.78,,11397.78
11464.0,3005130.29,1090013.5,-9178.65,-9635.06,-9779.74,-9811.83,-9927.6,-9963.98,-10101.57,11398.79,,11398.79
11465.0,3005130.29,1090013.5,-9179.65,-9635.05,-9779.73,-9811.82,-9927.58,-9963.97,-10101.56,11399.8,106.74087378572588,11399.8
11466.0,3005130.29,1090013.5,-9180.65,-9635.03,-9779.71,-9811.8,-9927.57,-9963.95,-10101.55,11400.820000000002,99.56452643637124,11400.820000000002
11467.0,3005130.28,1090013.5,-9181.65,-9635.02,-9779.7,-9811.79,-9927.56,-9963.94,-10101.54,11401.83,,11401.83
11468.0,3005130.28,1090013.5,-9182.65,-9635.01,-9779.69,-9811.78,-9927.55,-9963.93,-10101.52,11402.84,,11402.84
11469.0,3005130.28,1090013.5,-9183.65,-9635.0,-9779.68,-9811.77,-9927.53,-9963.92,-10101.51,11403.85,,11403.85
11470.0,3005130.27,1090013.5,-9184.65,-9634.98,-9779.66,-9811.75,-9927.52,-9963.91,-10101.5,11404.86,,11404.86
11471.0,3005130.27,1090013.51,-9185.65,-9634.97,-9779.65,-9811.74,-9927.51,-9963.89,-10101.49,11405.88,,11405.88
11472.0,3005130.26,1090013.51,-9186.65,-9634.96,-9779.64,-9811.73,-9927.5,-9963.88,-10101.48,11406.89,,11406.89
11473.0,3005130.26,1090013.51,-9187.65,-9634.95,-9779.63,-9811.72,-9927.48,-9963.87,-10101.46,11407.9,,11407.9
11474.0,3005130.26,1090013.51,-9188.65,-9634.93,-9779.61,-9811.7,-9927.47,-9963.86,-10101.45,11408.91,,11408.91
11475.0,3005130.25,1090013.51,-9189.65,-9634.92,-9779.6,-9811.69,-9927.46,-9963.84,-10101.44,11409.93,,11409.93
11476.0,3005130.25,1090013.51,-9190.65,-9634.91,-9779.59,-9811.68,-9927.45,-9963.83,-10101.42,11410.94,,11410.94
11477.0,3005130.25,1090013.51,-9191.65,-9634.9,-9779.58,-9811.67,-9927.43,-9963.82,-10101.41,11411.95,,11411.95
11478.0,3005130.24,1090013.52,-9192.65,-9634.88,-9779.56,-9811.65,-9927.42,-9963.8,-10101.4,11412.97,106.74087378572588,11412.97
11479.0,3005130.24,1090013.52,-9193.65,-9634.87,-9779.55,-9811.64,-9927.41,-9963.79,-10101.39,11413.98,,11413.98
11480.0,3005130.24,1090013.52,-9194.65,-9634.86,-9779.54,-9811.63,-9927.4,-9963.78,-10101.37,11414.990000000002,,11414.990000000002
11481.0,3005130.23,1090013.52,-9195.65,-9634.85,-9779.53,-9811.62,-9927.38,-9963.77,-10101.36,11416.0,,11416.0
11482.0,3005130.23,1090013.52,-9196.65,-9634.83,-9779.51,-9811.6,-9927.37,-9963.75,-10101.35,11417.02,106.74087378572588,11417.02
11483.0,3005130.22,1090013.52,-9197.65,-9634.82,-9779.5,-9811.59,-9927.36,-9963.74,-10101.33,11418.03,,11418.03
11484.0,3005130.22,1090013.53,-9198.65,-9634.81,-9779.49,-9811.58,-9927.34,-9963.73,-10101.32,11419.04,104.95164897233664,11419.04
11485.0,3005130.22,1090013.53,-9199.65,-9634.79,-9779.47,-9811.56,-9927.33,-9963.71,-10101.31,11420.06,,11420.06
11486.0,3005130.21,1090013.53,-9200.65,-9634.78,-9779.46,-9811.55,-9927.32,-9963.7,-10101.29,11421.070000000002,,11421.070000000002
11487.0,3005130.21,1090013.53,-9201.65,-9634.77,-9779.45,-9811.54,-9927.3,-9963.69,-10101.28,11422.08,99.56452643637124,11422.08
11488.0,3005130.21,1090013.53,-9202.65,-9634.75,-9779.43,-9811.52,-9927.29,-9963.67,-10101.27,11423.1,,11423.1
11489.0,3005130.2,1090013.53,-9203.65,-9634.74,-9779.42,-9811.51,-9927.28,-9963.66,-10101.25,11424.11,,11424.11
11490.0,3005130.2,1090013.53,-9204.65,-9634.73,-9779.41,-9811.5,-9927.26,-9963.65,-10101.24,11425.12,97.775301622982,11425.12
11491.0,3005130.19,1090013.54,-9205.65,-9634.71,-9779.39,-9811.48,-9927.25,-9963.63,-10101.23,11426.14,,11426.14
11492.0,3005130.19,1090013.54,-9206.65,-9634.7,-9779.38,-9811.47,-9927.24,-9963.62,-10101.22,11427.15,,11427.15
11493.0,3005130.19,1090013.54,-9207.65,-9634.69,-9779.37,-9811.46,-9927.22,-9963.61,-10101.2,11428.16,112.1182722737924,11428.16
11494.0,3005130.18,1090013.54,-9208.65,-9634.67,-9779.35,-9811.44,-9927.21,-9963.59,-10101.19,11429.18,,11429.18
11495.0,3005130.18,1090013.54,-9209.65,-9634.66,-9779.34,-9811.43,-9927.2,-9963.58,-10101.17,11430.19,108.53982264701396,11430.19
11496.0,3005130.17,1090013.54,-9210.65,-9634.64,-9779.32,-9811.41,-9927.18,-9963.57,-10101.16,11431.2,,11431.2
11497.0,3005130.17,1090013.55,-9211.65,-9634.63,-9779.31,-9811.4,-9927.17,-9963.55,-10101.15,11432.22,,11432.22
11498.0,3005130.17,1090013.55,-9212.65,-9634.62,-9779.3,-9811.39,-9927.15,-9963.54,-10101.13,11433.23,,11433.23
11499.0,3005130.16,1090013.55,-9213.65,-9634.6,-9779.28,-9811.37,-9927.14,-9963.52,-10101.12,11434.25,,11434.25
11500.0,3005130.16,1090013.55,-9214.65,-9634.59,-9779.27,-9811.36,-9927.13,-9963.51,-10101.11,11435.26,,11435.26
11501.0,3005130.16,1090013.55,-9215.65,-9634.58,-9779.26,-9811.35,-9927.11,-9963.5,-10101.09,11436.27,,11436.27
11502.0,3005130.15,1090013.55,-9216.65,-9634.56,-9779.24,-9811.33,-9927.1,-9963.48,-10101.08,11437.29,,11437.29
11503.0,3005130.15,1090013.56,-9217.65,-9634.55,-9779.23,-9811.32,-9927.09,-9963.47,-10101.06,11438.3,,11438.3
11504.0,3005130.14,1090013.56,-9218.65,-9634.53,-9779.21,-9811.3,-9927.07,-9963.45,-10101.05,11439.31,,11439.31
11505.0,3005130.14,1090013.56,-9219.65,-9634.52,-9779.2,-9811.29,-9927.06,-9963.44,-10101.04,11440.33,,11440.33
11506.0,3005130.14,1090013.56,-9220.65,-9634.51,-9779.19,-9811.28,-9927.04,-9963.43,-10101.02,11441.34,103.16242415894742,11441.34
11507.0,3005130.13,1090013.56,-9221.65,-9634.49,-9779.17,-9811.26,-9927.03,-9963.41,-10101.01,11442.36,,11442.36
11508.0,3005130.13,1090013.56,-9222.65,-9634.48,-9779.16,-9811.25,-9927.02,-9963.4,-10100.99,11443.37,,11443.37
11509.0,3005130.12,1090013.57,-9223.65,-9634.46,-9779.14,-9811.23,-9927.0,-9963.39,-10100.98,11444.38,103.15270011104856,11444.38
11510.0,3005130.12,1090013.57,-9224.65,-9634.45,-9779.13,-9811.22,-9926.99,-9963.37,-10100.97,11445.4,,11445.4
11511.0,3005130.12,1090013.57,-9225.65,-9634.44,-9779.12,-9811.21,-9926.97,-9963.36,-10100.95,11446.41,,11446.41
11512.0,3005130.11,1090013.57,-9226.65,-9634.42,-9779.1,-9811.19,-9926.96,-9963.34,-10100.94,11447.43,,11447.43
11513.0,3005130.11,1090013.57,-9227.65,-9634.41,-9779.09,-9811.18,-9926.95,-9963.33,-10100.92,11448.44,110.3290474604032,11448.44
11514.0,3005130.1,1090013.58,-9228.65,-9634.4,-9779.08,-9811.17,-9926.93,-9963.32,-10100.91,11449.45,106.74087378572588,11449.45
11515.0,3005130.1,1090013.58,-9229.65,-9634.38,-9779.06,-9811.15,-9926.92,-9963.3,-10100.9,11450.47,,11450.47
11516.0,3005130.1,1090013.58,-9230.65,-9634.37,-9779.05,-9811.14,-9926.91,-9963.29,-10100.88,11451.48,105.48647160677363,11451.48
11517.0,3005130.09,1090013.58,-9231.65,-9634.36,-9779.04,-9811.13,-9926.89,-9963.28,-10100.87,11452.490000000002,,11452.490000000002
11518.0,3005130.09,1090013.58,-9232.65,-9634.34,-9779.02,-9811.11,-9926.88,-9963.26,-10100.86,11453.51,,11453.51
11519.0,3005130.09,1090013.59,-9233.65,-9634.33,-9779.01,-9811.1,-9926.87,-9963.25,-10100.84,11454.52,,11454.52
11520.0,3005130.08,1090013.59,-9234.65,-9634.32,-9779.0,-9811.09,-9926.85,-9963.24,-10100.83,11455.53,94.1871279483047,11455.53
11521.0,3005130.08,1090013.59,-9235.65,-9634.3,-9778.98,-9811.07,-9926.84,-9963.22,-10100.82,11456.55,,11456.55
11522.0,3005130.08,1090013.59,-9236.65,-9634.29,-9778.97,-9811.06,-9926.83,-9963.21,-10100.81,11457.56,99.56452643637124,11457.56
11523.0,3005130.07,1090013.6,-9237.65,-9634.28,-9778.96,-9811.05,-9926.81,-9963.2,-10100.79,11458.570000000002,,11458.570000000002
11524.0,3005130.07,1090013.6,-9238.65,-9634.26,-9778.94,-9811.03,-9926.8,-9963.18,-10100.78,11459.58,,11459.58
11525.0,3005130.07,1090013.6,-9239.65,-9634.25,-9778.93,-9811.02,-9926.79,-9963.17,-10100.77,11460.6,,11460.6
11526.0,3005130.06,1090013.6,-9240.65,-9634.24,-9778.92,-9811.01,-9926.78,-9963.16,-10100.75,11461.61,106.74087378572588,11461.61
11527.0,3005130.06,1090013.6,-9241.65,-9634.23,-9778.91,-9811.0,-9926.76,-9963.15,-10100.74,11462.62,,11462.62
11528.0,3005130.06,1090013.61,-9242.65,-9634.21,-9778.89,-9810.98,-9926.75,-9963.13,-10100.73,11463.63,110.3290474604032,11463.63
11529.0,3005130.05,1090013.61,-9243.65,-9634.2,-9778.88,-9810.97,-9926.74,-9963.12,-10100.72,11464.65,,11464.65
11530.0,3005130.05,1090013.61,-9244.65,-9634.19,-9778.87,-9810.96,-9926.73,-9963.11,-10100.7,11465.66,101.35375124976048,11465.66
11531.0,3005130.05,1090013.61,-9245.65,-9634.18,-9778.86,-9810.95,-9926.71,-9963.1,-10100.69,11466.67,,11466.67
11532.0,3005130.05,1090013.62,-9246.65,-9634.16,-9778.84,-9810.93,-9926.7,-9963.08,-10100.68,11467.69,,11467.69
11533.0,3005130.04,1090013.62,-9247.65,-9634.15,-9778.83,-9810.92,-9926.69,-9963.07,-10100.67,11468.7,103.15270011104856,11468.7
11534.0,3005130.04,1090013.62,-9248.65,-9634.14,-9778.82,-9810.91,-9926.68,-9963.06,-10100.66,11469.71,97.775301622982,11469.71
11535.0,3005130.04,1090013.63,-9249.65,-9634.13,-9778.81,-9810.9,-9926.67,-9963.05,-10100.64,11470.72,,11470.72
11536.0,3005130.03,1090013.63,-9250.65,-9634.12,-9778.8,-9810.89,-9926.65,-9963.04,-10100.63,11471.73,,11471.73
11537.0,3005130.03,1090013.63,-9251.65,-9634.1,-9778.78,-9810.87,-9926.64,-9963.02,-10100.62,11472.740000000002,,11472.740000000002
11538.0,3005130.03,1090013.63,-9252.65,-9634.09,-9778.77,-9810.86,-9926.63,-9963.01,-10100.61,11473.76,113.88804899138393,11473.76
11539.0,3005130.03,1090013.64,-9253.65,-9634.08,-9778.76,-9810.85,-9926.62,-9963.0,-10100.6,11474.77,,11474.77
11540.0,3005130.02,1090013.64,-9254.65,-9634.07,-9778.75,-9810.84,-9926.61,-9962.99,-10100.58,11475.78,,11475.78
11541.0,3005130.02,1090013.64,-9255.65,-9634.06,-9778.74,-9810.83,-9926.59,-9962.98,-10100.57,11476.79,,11476.79
11542.0,3005130.02,1090013.64,-9256.65,-9634.04,-9778.72,-9810.81,-9926.58,-9962.96,-10100.56,11477.8,106.74087378572588,11477.8
11543.0,3005130.01,1090013.65,-9257.65,-9634.03,-9778.71,-9810.8,-9926.57,-9962.95,-10100.55,11478.820000000002,,11478.820000000002
11544.0,3005130.01,1090013.65,-9258.65,-9634.02,-9778.7,-9810.79,-9926.56,-9962.94,-10100.54,11479.83,101.35375124976048,11479.83
11545.0,3005130.01,1090013.65,-9259.65,-9634.01,-9778.69,-9810.78,-9926.55,-9962.93,-10100.53,11480.84,,11480.84
11546.0,3005130.01,1090013.66,-9260.65,-9634.0,-9778.68,-9810.77,-9926.54,-9962.92,-10100.51,11481.85,,11481.85
11547.0,3005130.01,1090013.66,-9261.65,-9633.99,-9778.67,-9810.76,-9926.52,-9962.91,-10100.5,11482.86,,11482.86
11548.0,3005130.0,1090013.66,-9262.65,-9633.98,-9778.66,-9810.75,-9926.51,-9962.9,-10100.49,11483.87,106.74087378572588,11483.87
11549.0,3005130.0,1090013.66,-9263.65,-9633.97,-9778.65,-9810.74,-9926.5,-9962.89,-10100.48,11484.88,,11484.88
11550.0,3005130.0,1090013.67,-9264.65,-9633.95,-9778.63,-9810.72,-9926.49,-9962.87,-10100.47,11485.89,124.63312191961812,11485.89
11551.0,3005130.0,1090013.67,-9265.65,-9633.89,-9778.57,-9810.66,-9926.43,-9962.81,-10100.4,11486.96,,11486.96
11552.0,3005129.99,1090013.67,-9266.65,-9633.81,-9778.49,-9810.58,-9926.35,-9962.73,-10100.33,11488.04,,11488.04
11553.0,3005129.99,1090013.68,-9267.65,-9633.73,-9778.41,-9810.5,-9926.27,-9962.65,-10100.25,11489.11,122.84389710622892,11489.11
11554.0,3005129.99,1090013.68,-9268.65,-9633.66,-9778.34,-9810.43,-9926.19,-9962.58,-10100.17,11490.19,121.05467229283973,11490.19
11555.0,3005129.99,1090013.68,-9269.65,-9633.58,-9778.26,-9810.35,-9926.11,-9962.5,-10100.09,11491.27,,11491.27
11556.0,3005129.99,1090013.69,-9270.65,-9633.5,-9778.18,-9810.27,-9926.04,-9962.42,-10100.01,11492.35,,11492.35
11557.0,3005129.98,1090013.69,-9271.65,-9633.42,-9778.1,-9810.19,-9925.96,-9962.34,-10099.94,11493.43,,11493.43
11558.0,3005129.98,1090013.69,-9272.65,-9633.34,-9778.02,-9810.11,-9925.88,-9962.26,-10099.86,11494.51,135.35874675205466,11494.51
11559.0,3005129.98,1090013.7,-9273.65,-9633.26,-9777.94,-9810.03,-9925.8,-9962.18,-10099.78,11495.58,,11495.58
11560.0,3005129.98,1090013.7,-9274.65,-9633.19,-9777.87,-9809.96,-9925.72,-9962.11,-10099.7,11496.66,,11496.66
11561.0,3005129.98,1090013.7,-9275.65,-9633.11,-9777.79,-9809.88,-9925.64,-9962.03,-10099.62,11497.740000000002,115.66754975687432,11497.740000000002
11562.0,3005129.97,1090013.71,-9276.65,-9633.03,-9777.71,-9809.8,-9925.57,-9961.95,-10099.54,11498.820000000002,,11498.820000000002
11563.0,3005129.97,1090013.71,-9277.65,-9632.95,-9777.63,-9809.72,-9925.48,-9961.87,-10099.46,11499.9,,11499.9
11564.0,3005129.97,1090013.71,-9278.65,-9632.87,-9777.55,-9809.64,-9925.4,-9961.79,-10099.38,11500.98,119.25572343155162,11500.98
11565.0,3005129.97,1090013.72,-9279.65,-9632.78,-9777.46,-9809.55,-9925.32,-9961.71,-10099.3,11502.06,,11502.06
11566.0,3005129.97,1090013.72,-9280.65,-9632.7,-9777.38,-9809.47,-9925.24,-9961.62,-10099.22,11503.15,124.63312191961812,11503.15
11567.0,3005129.97,1090013.72,-9281.65,-9632.62,-9777.3,-9809.39,-9925.16,-9961.54,-10099.14,11504.23,,11504.23
11568.0,3005129.96,1090013.73,-9282.65,-9632.54,-9777.22,-9809.31,-9925.08,-9961.46,-10099.06,11505.31,,11505.31
11569.0,3005129.96,1090013.73,-9283.65,-9632.46,-9777.14,-9809.23,-9925.0,-9961.38,-10098.97,11506.39,,11506.39
11570.0,3005129.96,1090013.74,-9284.65,-9632.38,-9777.06,-9809.15,-9924.91,-9961.3,-10098.89,11507.47,117.46649861816238,11507.47
