MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10568.0,2908027.9,1039593.46,-8473.42,-8610.87,-8834.31,-8900.69,-8950.19,-8988.24,-9114.56,10625.05,,10625.05
10569.0,2908027.94,1039593.45,-8474.42,-8610.71,-8834.15,-8900.53,-8950.02,-8988.08,-9114.4,10626.21,,10626.21
10570.0,2908027.98,1039593.45,-8475.42,-8610.55,-8833.99,-8900.37,-8949.86,-8987.92,-9114.24,10627.38,,10627.38
10571.0,2908028.01,1039593.44,-8476.42,-8610.38,-8833.82,-8900.2,-8949.7,-8987.76,-9114.07,10628.54,,10628.54
10572.0,2908028.05,1039593.43,-8477.42,-8610.22,-8833.66,-8900.04,-8949.54,-8987.59,-9113.91,10629.7,87.37519570086727,10629.7
10573.0,2908028.09,1039593.42,-8478.42,-8610.06,-8833.5,-8899.88,-8949.38,-8987.43,-9113.75,10630.86,,10630.86
10574.0,2908028.13,1039593.42,-8479.42,-8609.9,-8833.34,-8899.72,-8949.21,-8987.27,-9113.59,10632.02,94.0196972750777,10632.02
10575.0,2908028.17,1039593.41,-8480.42,-8609.74,-8833.18,-8899.56,-8949.05,-8987.11,-9113.43,10633.18,,10633.18
10576.0,2908028.21,1039593.4,-8481.42,-8609.57,-8833.01,-8899.39,-8948.89,-8986.95,-9113.26,10634.34,,10634.34
10577.0,2908028.25,1039593.39,-8482.42,-8609.41,-8832.85,-8899.23,-8948.73,-8986.78,-9113.1,10635.51,,10635.51
10578.0,2908028.29,1039593.38,-8483.42,-8609.25,-8832.69,-8899.07,-8948.57,-8986.62,-9112.94,10636.67,96.51138536540662,10636.67
10579.0,2908028.33,1039593.37,-8484.41,-8609.07,-8832.51,-8898.89,-8948.38,-8986.44,-9112.76,10637.85,,10637.85
10580.0,2908028.37,1039593.36,-8485.41,-8608.88,-8832.32,-8898.7,-8948.2,-8986.26,-9112.57,10639.03,94.0196972750777,10639.03
10581.0,2908028.41,1039593.35,-8486.41,-8608.7,-8832.14,-8898.52,-8948.02,-8986.07,-9112.39,10640.21,92.5579069287514,10640.21
10582.0,2908028.45,1039593.34,-8487.41,-8608.52,-8831.96,-8898.34,-8947.84,-8985.89,-9112.21,10641.39,89.86688379119619,10641.39
10583.0,2908028.49,1039593.33,-8488.41,-8608.34,-8831.78,-8898.16,-8947.65,-8985.71,-9112.03,10642.570000000002,88.32203717519225,10642.570000000002
10584.0,2908028.53,1039593.31,-8489.41,-8608.16,-8831.6,-8897.98,-8947.47,-8985.53,-9111.85,10643.75,87.37519570086727,10643.75
10585.0,2908028.58,1039593.3,-8490.41,-8607.97,-8831.41,-8897.79,-8947.29,-8985.35,-9111.66,10644.94,83.22238221698574,10644.94
10586.0,2908028.62,1039593.29,-8491.41,-8607.79,-8831.23,-8897.61,-8947.11,-8985.16,-9111.48,10646.12,,10646.12
10587.0,2908028.66,1039593.28,-8492.41,-8607.61,-8831.05,-8897.43,-8946.92,-8984.98,-9111.3,10647.3,85.10775953866795,10647.3
10588.0,2908028.71,1039593.27,-8493.41,-8607.43,-8830.87,-8897.25,-8946.74,-8984.8,-9111.12,10648.48,79.06956873310422,10648.48
10589.0,2908028.75,1039593.25,-8494.41,-8607.22,-8830.66,-8897.04,-8946.54,-8984.6,-9110.91,10649.68,,10649.68
10590.0,2908028.8,1039593.24,-8495.4,-8607.02,-8830.46,-8896.84,-8946.34,-8984.39,-9110.71,10650.88,,10650.88
10591.0,2908028.84,1039593.23,-8496.4,-8606.82,-8830.26,-8896.64,-8946.14,-8984.19,-9110.51,10652.08,85.71407030731466,10652.08
10592.0,2908028.89,1039593.21,-8497.4,-8606.62,-8830.06,-8896.44,-8945.93,-8983.99,-9110.31,10653.28,83.22238221698574,10653.28
10593.0,2908028.94,1039593.2,-8498.4,-8606.42,-8829.86,-8896.24,-8945.73,-8983.79,-9110.11,10654.48,92.3585718815251,10654.48
10594.0,2908028.98,1039593.19,-8499.4,-8606.21,-8829.65,-8896.03,-8945.53,-8983.59,-9109.9,10655.69,,10655.69
10595.0,2908029.03,1039593.17,-8500.4,-8606.01,-8829.45,-8895.83,-8945.33,-8983.38,-9109.7,10656.89,,10656.89
10596.0,2908029.08,1039593.16,-8501.4,-8605.81,-8829.25,-8895.63,-8945.13,-8983.18,-9109.5,10658.09,,10658.09
10597.0,2908029.12,1039593.14,-8502.4,-8605.61,-8829.05,-8895.43,-8944.92,-8982.98,-9109.3,10659.29,94.21072669533626,10659.29
10598.0,2908029.17,1039593.13,-8503.39,-8605.41,-8828.85,-8895.23,-8944.72,-8982.78,-9109.1,10660.490000000002,96.51138536540662,10660.490000000002
10599.0,2908029.22,1039593.11,-8504.39,-8605.18,-8828.62,-8895.0,-8944.5,-8982.56,-9108.87,10661.71,91.02136593971524,10661.71
10600.0,2908029.27,1039593.09,-8505.39,-8604.96,-8828.4,-8894.78,-8944.28,-8982.34,-9108.65,10662.93,94.0196972750777,10662.93
10601.0,2908029.32,1039593.08,-8506.39,-8604.74,-8828.18,-8894.56,-8944.06,-8982.11,-9108.43,10664.15,89.86688379119619,10664.15
10602.0,2908029.37,1039593.06,-8507.39,-8604.52,-8827.96,-8894.34,-8943.84,-8981.89,-9108.21,10665.37,,10665.37
10603.0,2908029.42,1039593.04,-8508.39,-8604.3,-8827.74,-8894.12,-8943.62,-8981.67,-9107.99,10666.59,87.37519570086727,10666.59
10604.0,2908029.47,1039593.03,-8509.39,-8604.08,-8827.52,-8893.9,-8943.39,-8981.45,-9107.77,10667.81,91.08781095545734,10667.81
10605.0,2908029.52,1039593.01,-8510.38,-8603.86,-8827.3,-8893.68,-8943.17,-8981.23,-9107.55,10669.03,94.0196972750777,10669.03
10606.0,2908029.57,1039592.99,-8511.38,-8603.63,-8827.07,-8893.45,-8942.95,-8981.01,-9107.32,10670.25,91.660899216233,10670.25
10607.0,2908029.62,1039592.97,-8512.38,-8603.41,-8826.85,-8893.23,-8942.73,-8980.78,-9107.1,10671.47,89.86688379119619,10671.47
10608.0,2908029.67,1039592.96,-8513.38,-8603.19,-8826.63,-8893.01,-8942.51,-8980.56,-9106.88,10672.69,92.3585718815251,10672.69
10609.0,2908029.73,1039592.94,-8514.38,-8602.95,-8826.39,-8892.77,-8942.27,-8980.32,-9106.64,10673.93,89.86688379119619,10673.93
10610.0,2908029.78,1039592.92,-8515.38,-8602.71,-8826.15,-8892.53,-8942.02,-8980.08,-9106.4,10675.17,86.58616113892977,10675.17
10611.0,2908029.83,1039592.9,-8516.38,-8602.47,-8825.91,-8892.29,-8941.78,-8979.84,-9106.16,10676.41,92.3585718815251,10676.41
10612.0,2908029.89,1039592.88,-8517.37,-8602.23,-8825.67,-8892.05,-8941.54,-8979.6,-9105.92,10677.65,110.63095121060378,10677.65
10613.0,2908029.94,1039592.86,-8518.37,-8601.98,-8825.42,-8891.8,-8941.3,-8979.36,-9105.67,10678.89,144.68402177843228,10678.89
10614.0,2908030.0,1039592.84,-8519.37,-8601.74,-8825.18,-8891.56,-8941.06,-8979.12,-9105.43,10680.13,91.76887236681392,10680.13
10615.0,2908030.05,1039592.82,-8520.37,-8601.5,-8824.94,-8891.32,-8940.82,-8978.87,-9105.19,10681.37,85.71407030731466,10681.37
10616.0,2908030.11,1039592.8,-8521.37,-8601.26,-8824.7,-8891.08,-8940.58,-8978.63,-9104.95,10682.61,91.92667927920142,10682.61
10617.0,2908030.16,1039592.78,-8522.37,-8601.02,-8824.46,-8890.84,-8940.34,-8978.39,-9104.71,10683.85,96.51138536540662,10683.85
10618.0,2908030.22,1039592.76,-8523.36,-8600.78,-8824.22,-8890.6,-8940.1,-8978.15,-9104.47,10685.08,89.86688379119619,10685.08
10619.0,2908030.27,1039592.74,-8524.36,-8600.52,-8823.96,-8890.34,-8939.83,-8977.89,-9104.21,10686.34,90.57286208345604,10686.34
10620.0,2908030.33,1039592.72,-8525.36,-8600.26,-8823.7,-8890.08,-8939.57,-8977.63,-9103.95,10687.6,91.71903860500734,10687.6
10621.0,2908030.39,1039592.69,-8526.36,-8600.0,-8823.44,-8889.82,-8939.31,-8977.37,-9103.69,10688.86,84.36855873853703,10688.86
10622.0,2908030.45,1039592.67,-8527.36,-8599.74,-8823.18,-8889.56,-8939.05,-8977.11,-9103.43,10690.12,83.5463016687285,10690.12
10623.0,2908030.5,1039592.65,-8528.35,-8599.47,-8822.91,-8889.29,-8938.79,-8976.85,-9103.16,10691.38,85.71407030731466,10691.38
10624.0,2908030.56,1039592.63,-8529.35,-8599.21,-8822.65,-8889.03,-8938.53,-8976.59,-9102.9,10692.64,,10692.64
10625.0,2908030.62,1039592.6,-8530.35,-8598.95,-8822.39,-8888.77,-8938.27,-8976.33,-9102.64,10693.9,,10693.9
10626.0,2908030.68,1039592.58,-8531.35,-8598.69,-8822.13,-8888.51,-8938.01,-8976.06,-9102.38,10695.16,96.51138536540662,10695.16
10627.0,2908030.74,1039592.56,-8532.35,-8598.43,-8821.87,-8888.25,-8937.75,-8975.8,-9102.12,10696.41,104.81701233316969,10696.41
10628.0,2908030.8,1039592.53,-8533.34,-8598.17,-8821.61,-8887.99,-8937.49,-8975.54,-9101.86,10697.67,93.4798315221731,10697.67
