MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10609.0,2919369.19,1046743.23,-8528.92,-8602.58,-8814.65,-8868.79,-8920.77,-8966.61,-9092.58,10687.02,124.05238636714128,10687.02
10610.0,2919369.25,1046743.13,-8529.91,-8602.61,-8814.68,-8868.82,-8920.8,-8966.64,-9092.61,10687.98,113.63017760409868,10687.98
10611.0,2919369.32,1046743.04,-8530.91,-8602.64,-8814.71,-8868.85,-8920.84,-8966.67,-9092.64,10688.94,131.8354426180887,10688.94
10612.0,2919369.39,1046742.94,-8531.9,-8602.67,-8814.75,-8868.89,-8920.87,-8966.7,-9092.68,10689.9,140.92585682641658,10689.9
10613.0,2919369.46,1046742.84,-8532.89,-8602.71,-8814.78,-8868.92,-8920.9,-8966.74,-9092.71,10690.86,170.81181536616123,10690.86
10614.0,2919369.53,1046742.74,-8533.89,-8602.74,-8814.81,-8868.95,-8920.93,-8966.77,-9092.74,10691.820000000002,172.10695502487462,10691.820000000002
10615.0,2919369.6,1046742.64,-8534.88,-8602.77,-8814.84,-8868.98,-8920.97,-8966.8,-9092.77,10692.78,118.84739113495354,10692.78
10616.0,2919369.68,1046742.53,-8535.87,-8602.8,-8814.88,-8869.02,-8921.0,-8966.83,-9092.81,10693.740000000002,127.96224194061566,10693.740000000002
10617.0,2919369.75,1046742.43,-8536.86,-8602.84,-8814.91,-8869.05,-8921.03,-8966.87,-9092.84,10694.7,137.01600125294223,10694.7
10618.0,2919369.83,1046742.32,-8537.85,-8602.87,-8814.94,-8869.08,-8921.07,-8966.9,-9092.87,10695.66,126.65488398323517,10695.66
10619.0,2919369.91,1046742.21,-8538.84,-8602.9,-8814.97,-8869.11,-8921.1,-8966.93,-9092.9,10696.62,139.6184988690361,10696.62
10620.0,2919369.98,1046742.09,-8539.83,-8602.94,-8815.01,-8869.15,-8921.14,-8966.97,-9092.94,10697.570000000002,,10697.570000000002
10621.0,2919370.06,1046741.98,-8540.82,-8602.98,-8815.05,-8869.19,-8921.18,-8967.01,-9092.98,10698.52,131.85987921542292,10698.52
10622.0,2919370.15,1046741.86,-8541.81,-8603.02,-8815.09,-8869.23,-8921.21,-8967.05,-9093.02,10699.47,135.72086159422884,10699.47
10623.0,2919370.23,1046741.74,-8542.8,-8603.06,-8815.13,-8869.27,-8921.25,-8967.09,-9093.06,10700.42,126.65488398323517,10700.42
10624.0,2919370.31,1046741.62,-8543.79,-8603.1,-8815.17,-8869.31,-8921.29,-8967.12,-9093.1,10701.37,143.54057274117758,10701.37
10625.0,2919370.4,1046741.5,-8544.78,-8603.14,-8815.21,-8869.35,-8921.33,-8967.16,-9093.14,10702.320000000002,134.41350363684836,10702.320000000002
10626.0,2919370.49,1046741.38,-8545.77,-8603.17,-8815.24,-8869.39,-8921.37,-8967.2,-9093.17,10703.27,129.25738159932905,10703.27
10627.0,2919370.57,1046741.25,-8546.76,-8603.21,-8815.28,-8869.42,-8921.41,-8967.24,-9093.21,10704.22,129.25738159932905,10704.22
10628.0,2919370.66,1046741.12,-8547.74,-8603.25,-8815.32,-8869.46,-8921.45,-8967.28,-9093.25,10705.17,134.41350363684836,10705.17
10629.0,2919370.75,1046740.99,-8548.73,-8603.29,-8815.36,-8869.5,-8921.49,-8967.32,-9093.29,10706.12,139.6184988690361,10706.12
10630.0,2919370.85,1046740.86,-8549.72,-8603.33,-8815.41,-8869.55,-8921.53,-8967.36,-9093.34,10707.06,138.7632179623386,10707.06
10631.0,2919370.94,1046740.72,-8550.71,-8603.38,-8815.45,-8869.59,-8921.57,-8967.41,-9093.38,10708.0,139.6184988690361,10708.0
10632.0,2919371.03,1046740.59,-8551.69,-8603.42,-8815.5,-8869.64,-8921.62,-8967.45,-9093.43,10708.94,,10708.94
