MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10055.0,2991901.69,1121551.31,-7906.41,-8351.83,-8463.24,-8553.47,-8714.31,-8766.09,-8861.36,9995.66,128.4139111593661,9995.66
10056.0,2991901.68,1121551.3,-7907.41,-8351.96,-8463.37,-8553.59,-8714.43,-8766.21,-8861.49,9996.53,,9996.53
10057.0,2991901.67,1121551.29,-7908.41,-8352.08,-8463.49,-8553.72,-8714.56,-8766.34,-8861.62,9997.41,,9997.41
10058.0,2991901.66,1121551.28,-7909.41,-8352.21,-8463.62,-8553.85,-8714.69,-8766.47,-8861.74,9998.28,,9998.28
10059.0,2991901.65,1121551.27,-7910.41,-8352.34,-8463.75,-8553.97,-8714.81,-8766.59,-8861.87,9999.15,126.93908299820224,9999.15
10060.0,2991901.64,1121551.26,-7911.41,-8352.46,-8463.87,-8554.1,-8714.94,-8766.72,-8862.0,10000.03,121.06054258116885,10000.03
10061.0,2991901.63,1121551.25,-7912.41,-8352.59,-8464.0,-8554.23,-8715.07,-8766.85,-8862.12,10000.9,,10000.9
10062.0,2991901.62,1121551.24,-7913.41,-8352.72,-8464.13,-8554.35,-8715.19,-8766.97,-8862.25,10001.77,117.60196668210146,10001.77
10063.0,2991901.61,1121551.23,-7914.41,-8352.85,-8464.26,-8554.48,-8715.32,-8767.1,-8862.38,10002.64,,10002.64
10064.0,2991901.59,1121551.22,-7915.41,-8352.98,-8464.39,-8554.61,-8715.45,-8767.23,-8862.51,10003.51,103.778049199643,10003.51
10065.0,2991901.58,1121551.21,-7916.41,-8353.11,-8464.52,-8554.74,-8715.58,-8767.36,-8862.64,10004.38,,10004.38
10066.0,2991901.57,1121551.2,-7917.41,-8353.23,-8464.65,-8554.87,-8715.71,-8767.49,-8862.77,10005.25,,10005.25
10067.0,2991901.56,1121551.19,-7918.41,-8353.36,-8464.78,-8555.0,-8715.84,-8767.62,-8862.9,10006.12,,10006.12
10068.0,2991901.55,1121551.18,-7919.41,-8353.49,-8464.91,-8555.13,-8715.97,-8767.75,-8863.03,10006.990000000002,105.26326347461789,10006.990000000002
10069.0,2991901.54,1121551.17,-7920.41,-8353.62,-8465.04,-8555.26,-8716.1,-8767.88,-8863.16,10007.86,,10007.86
10070.0,2991901.53,1121551.16,-7921.41,-8353.75,-8465.17,-8555.39,-8716.23,-8768.01,-8863.29,10008.73,111.18334834689536,10008.73
10071.0,2991901.51,1121551.15,-7922.41,-8353.88,-8465.3,-8555.52,-8716.36,-8768.14,-8863.42,10009.6,112.1700291589416,10009.6
10072.0,2991901.5,1121551.15,-7923.41,-8354.01,-8465.43,-8555.65,-8716.49,-8768.27,-8863.55,10010.47,116.1271385209376,10010.47
10073.0,2991901.49,1121551.14,-7924.41,-8354.15,-8465.56,-8555.78,-8716.62,-8768.4,-8863.68,10011.34,,10011.34
10074.0,2991901.48,1121551.13,-7925.41,-8353.99,-8465.4,-8555.63,-8716.47,-8768.25,-8863.53,10012.490000000002,122.53537074233267,10012.490000000002
10075.0,2991901.46,1121551.12,-7926.41,-8353.8,-8465.21,-8555.44,-8716.28,-8768.06,-8863.34,10013.68,128.93321684991676,10013.68
10076.0,2991901.45,1121551.11,-7927.41,-8353.61,-8465.02,-8555.25,-8716.09,-8767.87,-8863.15,10014.87,121.28903708501112,10014.87
10077.0,2991901.44,1121551.1,-7928.41,-8353.42,-8464.83,-8555.06,-8715.9,-8767.68,-8862.96,10016.06,,10016.06
10078.0,2991901.42,1121551.09,-7929.41,-8353.23,-8464.64,-8554.87,-8715.71,-8767.49,-8862.76,10017.26,131.87248705843348,10017.26
10079.0,2991901.41,1121551.08,-7930.41,-8353.04,-8464.45,-8554.67,-8715.51,-8767.29,-8862.57,10018.45,135.56994357515416,10018.45
10080.0,2991901.4,1121551.07,-7931.41,-8352.84,-8464.25,-8554.48,-8715.32,-8767.1,-8862.38,10019.64,,10019.64
10081.0,2991901.38,1121551.07,-7932.41,-8352.65,-8464.06,-8554.28,-8715.12,-8766.9,-8862.18,10020.84,150.57787803206807,10020.84
10082.0,2991901.37,1121551.06,-7933.41,-8352.45,-8463.86,-8554.09,-8714.93,-8766.71,-8861.99,10022.03,143.6918845753664,10022.03
10083.0,2991901.36,1121551.05,-7934.41,-8352.25,-8463.66,-8553.89,-8714.73,-8766.51,-8861.78,10023.240000000002,,10023.240000000002
10084.0,2991901.34,1121551.04,-7935.41,-8352.05,-8463.46,-8553.69,-8714.53,-8766.3,-8861.58,10024.44,149.60158333383285,10024.44
10085.0,2991901.33,1121551.03,-7936.41,-8351.85,-8463.26,-8553.48,-8714.32,-8766.1,-8861.38,10025.64,130.8754201325762,10025.64
10086.0,2991901.32,1121551.02,-7937.41,-8351.65,-8463.06,-8553.28,-8714.12,-8765.9,-8861.18,10026.84,121.0293842397358,10026.84
10087.0,2991901.3,1121551.01,-7938.41,-8351.44,-8462.85,-8553.08,-8713.92,-8765.7,-8860.98,10028.04,106.49921101812843,10028.04
10088.0,2991901.29,1121551.01,-7939.41,-8351.24,-8462.65,-8552.88,-8713.72,-8765.5,-8860.78,10029.240000000002,115.61821894419796,10029.240000000002
10089.0,2991901.27,1121551.0,-7940.41,-8351.04,-8462.45,-8552.68,-8713.52,-8765.3,-8860.58,10030.44,120.06347565531158,10030.44
10090.0,2991901.26,1121550.99,-7941.41,-8350.84,-8462.25,-8552.48,-8713.32,-8765.1,-8860.38,10031.64,131.6439925545912,10031.64
10091.0,2991901.24,1121550.98,-7942.41,-8350.64,-8462.05,-8552.28,-8713.12,-8764.9,-8860.17,10032.84,143.2141233400598,10032.84
10092.0,2991901.23,1121550.97,-7943.41,-8350.44,-8461.85,-8552.08,-8712.92,-8764.7,-8859.97,10034.05,,10034.05
10093.0,2991901.21,1121550.97,-7944.41,-8350.23,-8461.64,-8551.87,-8712.71,-8764.48,-8859.76,10035.26,125.942016072345,10035.26
10094.0,2991901.2,1121550.96,-7945.41,-8350.02,-8461.43,-8551.66,-8712.49,-8764.27,-8859.55,10036.47,127.91537769643747,10036.47
10095.0,2991901.18,1121550.95,-7946.41,-8349.81,-8461.22,-8551.44,-8712.28,-8764.06,-8859.34,10037.68,,10037.68
10096.0,2991901.16,1121550.94,-7947.41,-8349.6,-8461.01,-8551.23,-8712.07,-8763.85,-8859.13,10038.89,135.81921030661843,10038.89
10097.0,2991901.15,1121550.93,-7948.41,-8349.39,-8460.8,-8551.02,-8711.86,-8763.64,-8858.92,10040.1,,10040.1
10098.0,2991901.13,1121550.93,-7949.41,-8349.18,-8460.59,-8550.81,-8711.65,-8763.43,-8858.71,10041.31,,10041.31
10099.0,2991901.12,1121550.92,-7950.41,-8348.96,-8460.38,-8550.6,-8711.44,-8763.22,-8858.5,10042.52,,10042.52
10100.0,2991901.1,1121550.91,-7951.41,-8348.75,-8460.17,-8550.39,-8711.23,-8763.01,-8858.29,10043.73,137.29403846778231,10043.73
10101.0,2991901.08,1121550.9,-7952.41,-8348.54,-8459.95,-8550.18,-8711.02,-8762.8,-8858.08,10044.94,,10044.94
10102.0,2991901.07,1121550.89,-7953.41,-8348.33,-8459.74,-8549.97,-8710.81,-8762.59,-8857.87,10046.15,143.2141233400598,10046.15
10103.0,2991901.05,1121550.89,-7954.41,-8348.11,-8459.52,-8549.75,-8710.59,-8762.37,-8857.65,10047.37,140.75261436684966,10047.37
10104.0,2991901.03,1121550.88,-7955.41,-8347.89,-8459.3,-8549.53,-8710.37,-8762.15,-8857.43,10048.59,,10048.59
10105.0,2991901.02,1121550.87,-7956.41,-8347.67,-8459.09,-8549.31,-8710.15,-8761.93,-8857.21,10049.81,130.8754201325762,10049.81
10106.0,2991901.0,1121550.86,-7957.41,-8347.45,-8458.87,-8549.09,-8709.93,-8761.71,-8856.99,10051.03,,10051.03
10107.0,2991900.98,1121550.86,-7958.41,-8347.23,-8458.65,-8548.87,-8709.71,-8761.49,-8856.77,10052.25,,10052.25
10108.0,2991900.97,1121550.85,-7959.41,-8347.01,-8458.43,-8548.65,-8709.49,-8761.27,-8856.55,10053.47,123.98942667587453,10053.47
10109.0,2991900.95,1121550.84,-7960.41,-8346.8,-8458.21,-8548.43,-8709.27,-8761.05,-8856.33,10054.69,,10054.69
10110.0,2991900.93,1121550.83,-7961.41,-8346.58,-8457.99,-8548.21,-8709.05,-8760.83,-8856.11,10055.91,,10055.91
10111.0,2991900.91,1121550.83,-7962.41,-8346.36,-8457.77,-8547.99,-8708.83,-8760.61,-8855.89,10057.12,96.42468062144572,10057.12
10112.0,2991900.89,1121550.82,-7963.41,-8346.14,-8457.55,-8547.77,-8708.61,-8760.39,-8855.67,10058.34,,10058.34
10113.0,2991900.88,1121550.81,-7964.41,-8345.91,-8457.32,-8547.55,-8708.38,-8760.16,-8855.44,10059.570000000002,153.0393870052782,10059.570000000002
10114.0,2991900.86,1121550.8,-7965.41,-8345.68,-8457.09,-8547.32,-8708.16,-8759.94,-8855.21,10060.8,,10060.8
