MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10702.0,2903308.28,1030619.81,-8653.73,-8742.56,-8966.0,-9032.38,-9081.9,-9119.93,-9246.25,10673.67,82.97744249961539,10673.67
10703.0,2903308.36,1030619.76,-8654.73,-8742.59,-8966.03,-9032.41,-9081.93,-9119.97,-9246.28,10674.63,,10674.63
10704.0,2903308.44,1030619.72,-8655.72,-8742.63,-8966.07,-9032.45,-9081.97,-9120.0,-9246.32,10675.59,92.47486061704126,10675.59
10705.0,2903308.52,1030619.67,-8656.72,-8742.66,-8966.1,-9032.48,-9082.0,-9120.03,-9246.35,10676.55,85.40051259915491,10676.55
10706.0,2903308.6,1030619.63,-8657.71,-8742.7,-8966.14,-9032.52,-9082.03,-9120.07,-9246.39,10677.51,79.10561370419737,10677.51
10707.0,2903308.69,1030619.58,-8658.71,-8742.73,-8966.17,-9032.55,-9082.07,-9120.1,-9246.42,10678.48,88.02691725250195,10678.48
10708.0,2903308.77,1030619.53,-8659.7,-8742.77,-8966.21,-9032.59,-9082.1,-9120.14,-9246.46,10679.44,93.0848642784638,10679.44
10709.0,2903308.86,1030619.47,-8660.7,-8742.8,-8966.24,-9032.62,-9082.14,-9120.17,-9246.49,10680.4,84.01105981480357,10680.4
10710.0,2903308.95,1030619.42,-8661.69,-8742.83,-8966.27,-9032.65,-9082.17,-9120.21,-9246.52,10681.36,83.19772159957354,10681.36
10711.0,2903309.05,1030619.36,-8662.69,-8742.87,-8966.31,-9032.69,-9082.21,-9120.24,-9246.56,10682.320000000002,85.95121034905026,10682.320000000002
10712.0,2903309.14,1030619.31,-8663.68,-8742.9,-8966.34,-9032.72,-9082.24,-9120.28,-9246.59,10683.28,87.06107812191625,10683.28
10713.0,2903309.24,1030619.25,-8664.68,-8742.95,-8966.39,-9032.77,-9082.28,-9120.32,-9246.64,10684.23,89.36553639840139,10684.23
10714.0,2903309.34,1030619.19,-8665.67,-8742.99,-8966.43,-9032.81,-9082.33,-9120.36,-9246.68,10685.18,90.82276736735524,10685.18
10715.0,2903309.45,1030619.13,-8666.66,-8743.03,-8966.47,-9032.85,-9082.37,-9120.41,-9246.72,10686.12,92.82222381312909,10686.12
10716.0,2903309.55,1030619.06,-8667.65,-8743.08,-8966.52,-9032.9,-9082.41,-9120.45,-9246.77,10687.070000000002,95.72821347796145,10687.070000000002
10717.0,2903309.66,1030619.0,-8668.65,-8743.12,-8966.56,-9032.94,-9082.46,-9120.49,-9246.81,10688.02,111.63914231339922,10688.02
10718.0,2903309.77,1030618.93,-8669.64,-8743.16,-8966.6,-9032.98,-9082.5,-9120.54,-9246.85,10688.97,118.23904303906804,10688.97
10719.0,2903309.88,1030618.87,-8670.63,-8743.21,-8966.65,-9033.03,-9082.55,-9120.58,-9246.9,10689.92,85.56148578758587,10689.92
10720.0,2903309.99,1030618.8,-8671.62,-8743.25,-8966.69,-9033.07,-9082.59,-9120.62,-9246.94,10690.87,108.02148171024058,10690.87
10721.0,2903310.11,1030618.73,-8672.61,-8743.3,-8966.74,-9033.12,-9082.63,-9120.67,-9246.99,10691.81,139.11472389663925,10691.81
10722.0,2903310.23,1030618.65,-8673.6,-8743.34,-8966.78,-9033.16,-9082.68,-9120.71,-9247.03,10692.76,98.27836767363064,10692.76
10723.0,2903310.35,1030618.58,-8674.59,-8743.39,-8966.83,-9033.21,-9082.73,-9120.76,-9247.08,10693.7,84.99384349153989,10693.7
10724.0,2903310.47,1030618.51,-8675.58,-8743.44,-8966.88,-9033.26,-9082.78,-9120.82,-9247.13,10694.63,90.44998735204146,10694.63
