MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10254.0,3008769.24,1135030.04,-8170.44,-8454.76,-8563.74,-8661.63,-8823.61,-8874.0,-8979.59,10274.87,156.1464408070809,10274.87
10255.0,3008769.25,1135030.06,-8171.44,-8454.73,-8563.71,-8661.6,-8823.58,-8873.97,-8979.56,10275.89,155.38598736159184,10275.89
10256.0,3008769.26,1135030.08,-8172.44,-8454.71,-8563.69,-8661.58,-8823.56,-8873.95,-8979.54,10276.92,159.96820684082064,10276.92
10257.0,3008769.27,1135030.1,-8173.44,-8454.68,-8563.66,-8661.55,-8823.53,-8873.92,-8979.51,10277.94,160.12419729117735,10277.94
10258.0,3008769.28,1135030.12,-8174.44,-8454.66,-8563.64,-8661.53,-8823.51,-8873.9,-8979.49,10278.96,158.9737677197965,10278.96
10259.0,3008769.29,1135030.14,-8175.44,-8454.63,-8563.61,-8661.5,-8823.48,-8873.87,-8979.46,10279.990000000002,161.39161970032572,10279.990000000002
10260.0,3008769.3,1135030.16,-8176.44,-8454.61,-8563.59,-8661.48,-8823.46,-8873.85,-8979.44,10281.01,165.95434037325992,10281.01
10261.0,3008769.3,1135030.18,-8177.44,-8454.59,-8563.57,-8661.46,-8823.44,-8873.83,-8979.42,10282.04,,10282.04
10262.0,3008769.31,1135030.2,-8178.44,-8454.56,-8563.54,-8661.43,-8823.41,-8873.8,-8979.39,10283.06,153.12412583141935,10283.06
10263.0,3008769.32,1135030.22,-8179.44,-8454.54,-8563.52,-8661.41,-8823.39,-8873.78,-8979.37,10284.09,160.14369609747197,10284.09
10264.0,3008769.33,1135030.25,-8180.44,-8454.51,-8563.49,-8661.38,-8823.36,-8873.75,-8979.34,10285.11,167.22176278240832,10285.11
10265.0,3008769.34,1135030.27,-8181.44,-8454.49,-8563.47,-8661.36,-8823.34,-8873.73,-8979.32,10286.14,162.65904210947411,10286.14
10266.0,3008769.34,1135030.29,-8182.44,-8454.46,-8563.44,-8661.33,-8823.31,-8873.7,-8979.29,10287.16,161.39161970032572,10287.16
10267.0,3008769.35,1135030.31,-8183.44,-8454.43,-8563.41,-8661.3,-8823.28,-8873.67,-8979.26,10288.19,164.43343348228186,10288.19
10268.0,3008769.36,1135030.33,-8184.44,-8454.41,-8563.39,-8661.28,-8823.26,-8873.65,-8979.24,10289.21,156.78990141480236,10289.21
10269.0,3008769.37,1135030.35,-8185.44,-8454.38,-8563.36,-8661.25,-8823.23,-8873.62,-8979.21,10290.240000000002,148.0544361948258,10290.240000000002
10270.0,3008769.37,1135030.37,-8186.44,-8454.36,-8563.34,-8661.23,-8823.21,-8873.6,-8979.19,10291.26,152.81214493070593,10291.26
10271.0,3008769.38,1135030.39,-8187.44,-8454.33,-8563.31,-8661.2,-8823.18,-8873.57,-8979.16,10292.29,161.6841017947446,10292.29
10272.0,3008769.39,1135030.42,-8188.44,-8454.31,-8563.29,-8661.18,-8823.16,-8873.55,-8979.14,10293.31,164.37493706339808,10293.31
10273.0,3008769.4,1135030.44,-8189.44,-8454.28,-8563.26,-8661.15,-8823.13,-8873.52,-8979.11,10294.34,155.11300407346758,10294.34
10274.0,3008769.4,1135030.46,-8190.44,-8454.25,-8563.23,-8661.12,-8823.1,-8873.49,-8979.08,10295.36,155.87345751895663,10295.36
10275.0,3008769.41,1135030.48,-8191.44,-8454.23,-8563.21,-8661.1,-8823.08,-8873.47,-8979.06,10296.39,,10296.39
10276.0,3008769.42,1135030.5,-8192.44,-8454.2,-8563.18,-8661.07,-8823.05,-8873.44,-8979.03,10297.42,,10297.42
10277.0,3008769.42,1135030.52,-8193.44,-8454.17,-8563.15,-8661.04,-8823.02,-8873.41,-8979.0,10298.45,164.51142870746023,10298.45
10278.0,3008769.43,1135030.55,-8194.44,-8454.15,-8563.13,-8661.02,-8823.0,-8873.39,-8978.98,10299.47,157.97932859877238,10299.47
10279.0,3008769.43,1135030.57,-8195.44,-8454.12,-8563.1,-8660.99,-8822.97,-8873.36,-8978.95,10300.5,152.285677160752,10300.5
10280.0,3008769.44,1135030.59,-8196.44,-8454.09,-8563.07,-8660.96,-8822.94,-8873.33,-8978.92,10301.53,153.35811150695446,10301.53
10281.0,3008769.45,1135030.61,-8197.44,-8454.07,-8563.05,-8660.94,-8822.92,-8873.31,-8978.9,10302.55,156.88739544627535,10302.55
10282.0,3008769.45,1135030.63,-8198.44,-8454.04,-8563.02,-8660.91,-8822.89,-8873.28,-8978.87,10303.58,163.26350510460642,10303.58
10283.0,3008769.46,1135030.66,-8199.44,-8454.01,-8562.99,-8660.88,-8822.86,-8873.25,-8978.84,10304.61,163.20500868572267,10304.61
10284.0,3008769.46,1135030.68,-8200.44,-8453.98,-8562.96,-8660.85,-8822.83,-8873.22,-8978.81,10305.63,152.2661783544574,10305.63
10285.0,3008769.47,1135030.7,-8201.44,-8453.96,-8562.94,-8660.83,-8822.81,-8873.2,-8978.79,10306.66,145.7925746646533,10306.66
10286.0,3008769.48,1135030.72,-8202.44,-8453.93,-8562.91,-8660.8,-8822.78,-8873.17,-8978.76,10307.69,,10307.69
10287.0,3008769.48,1135030.75,-8203.44,-8453.9,-8562.88,-8660.77,-8822.75,-8873.14,-8978.73,10308.72,154.78152436645956,10308.72
10288.0,3008769.49,1135030.77,-8204.44,-8453.87,-8562.85,-8660.74,-8822.72,-8873.11,-8978.7,10309.740000000002,156.5559157392673,10309.740000000002
10289.0,3008769.49,1135030.79,-8205.44,-8453.84,-8562.82,-8660.71,-8822.69,-8873.08,-8978.67,10310.77,154.58653630351364,10310.77
10290.0,3008769.5,1135030.82,-8206.44,-8453.82,-8562.8,-8660.69,-8822.67,-8873.06,-8978.65,10311.8,153.8650804706138,10311.8
10291.0,3008769.5,1135030.84,-8207.43,-8453.79,-8562.77,-8660.66,-8822.64,-8873.03,-8978.62,10312.83,157.3553667973455,10312.83
