TVT,GR,Geology
12429.070000000002,112.04,
12429.570000000002,113.84,
12430.070000000002,108.62,
12430.570000000002,98.18,
12431.070000000002,89.32000000000001,
12431.570000000002,89.18,
12432.070000000002,91.84,
12432.570000000002,94.04,
12433.070000000002,91.94,
12433.570000000002,91.28,
12434.070000000002,90.22,
12434.570000000002,92.28,
12435.070000000002,92.22,
12435.570000000002,94.8,
12436.070000000002,93.14,
12436.570000000002,92.63000000000001,
12437.070000000002,93.73,
12437.570000000002,98.04,
12438.070000000002,100.06,
12438.570000000002,98.06,
12439.070000000002,96.39,
12439.570000000002,99.02,
12440.070000000002,102.7,
12440.570000000002,106.95,
12441.070000000002,106.62,
12441.570000000002,105.65,
12442.070000000002,102.98,
12442.570000000002,101.44,
12443.070000000002,101.49000000000001,
12443.570000000002,101.89,
12444.070000000002,102.73,
12444.570000000002,101.11,
12445.070000000002,100.76,
12445.570000000002,99.98,
12446.070000000002,103.60000000000001,
12446.570000000002,102.78,
12447.070000000002,106.79,
12447.570000000002,106.39,
12448.070000000002,116.64,
12448.570000000002,117.91,
12449.070000000002,118.46000000000001,
12449.570000000002,110.35000000000001,
12450.070000000002,103.51,
12450.570000000002,102.37,
12451.070000000002,101.96000000000001,
12451.570000000002,104.98,
12452.070000000002,105.60000000000001,
12452.570000000002,104.15,
12453.070000000002,101.93,
12453.570000000002,100.58,
12454.070000000002,102.8,
12454.570000000002,105.11,
12455.070000000002,104.69,
12455.570000000002,104.69,
12456.060000000001,102.29,
12456.560000000001,100.96000000000001,
12457.060000000001,99.67,
12457.560000000001,99.99000000000001,
12458.060000000001,98.52,
12458.560000000001,97.44,
12459.060000000001,95.37,
12459.560000000001,98.37,
12460.060000000001,97.49000000000001,
12460.560000000001,100.41,
12461.060000000001,97.7,
12461.560000000001,96.77,
12462.060000000001,94.17,
12462.560000000001,98.02,
12463.060000000001,101.99000000000001,
12463.560000000001,107.18,
12464.060000000001,103.23,
12464.560000000001,98.7,
12465.060000000001,94.87,
12465.560000000001,97.58,
12466.060000000001,98.94,
12466.560000000001,106.56,
12467.060000000001,113.31,
12467.560000000001,119.76,
12468.060000000001,117.64,
12468.560000000001,110.16,
12469.060000000001,98.93,ANCC
12469.560000000001,83.14,ANCC
12470.060000000001,75.78,ANCC
12470.560000000001,73.39,ANCC
12471.060000000001,74.96,ANCC
12471.560000000001,72.56,ANCC
12472.060000000001,72.65,ANCC
12472.560000000001,74.98,ANCC
12473.060000000001,79.02,ANCC
12473.560000000001,83.66,ANCC
12474.060000000001,86.63000000000001,ANCC
12474.560000000001,93.39,ANCC
12475.060000000001,100.36,ANCC
12475.560000000001,100.58,ANCC
12476.060000000001,97.25,ANCC
12476.560000000001,87.51,ANCC
12477.060000000001,80.8,ANCC
12477.560000000001,69.8,ANCC
12478.060000000001,64.91,ANCC
12478.560000000001,61.790000000000006,ANCC
12479.060000000001,63.870000000000005,ANCC
12479.560000000001,68.34,ANCC
12480.060000000001,67.89,ANCC
12480.560000000001,64.54,ANCC
12481.060000000001,57.06,ANCC
12481.560000000001,57.05,ANCC
12482.060000000001,62.900000000000006,ANCC
12482.560000000001,70.63,ANCC
12483.060000000001,72.71,ANCC
12483.560000000001,68.14,ANCC
12484.060000000001,58.989999999999995,ANCC
12484.560000000001,56.61,ANCC
12485.060000000001,58.89,ANCC
12485.560000000001,65.8,ANCC
12486.060000000001,70.06,ANCC
12486.560000000001,66.42,ANCC
12487.060000000001,60.480000000000004,ANCC
12487.560000000001,53.2,ANCC
12488.060000000001,54.47,ANCC
12488.560000000001,52.84,ANCC
12489.060000000001,54.709999999999994,ANCC
12489.560000000001,52.81999999999999,ANCC
