MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10552.0,2910246.93,1040782.71,-8416.22,-8615.75,-8839.19,-8905.57,-8955.06,-8993.12,-9119.44,10562.97,119.73329855744434,10562.97
10553.0,2910246.94,1040782.71,-8417.22,-8615.75,-8839.19,-8905.57,-8955.07,-8993.13,-9119.44,10563.97,131.2895603195199,10563.97
10554.0,2910246.95,1040782.71,-8418.22,-8615.76,-8839.2,-8905.58,-8955.08,-8993.13,-9119.45,10564.96,135.37335207002778,10564.96
10555.0,2910246.95,1040782.71,-8419.22,-8615.77,-8839.21,-8905.59,-8955.08,-8993.14,-9119.46,10565.95,129.20421985117542,10565.95
10556.0,2910246.96,1040782.71,-8420.22,-8615.77,-8839.21,-8905.59,-8955.09,-8993.15,-9119.46,10566.94,129.16077525808493,10566.94
10557.0,2910246.97,1040782.71,-8421.22,-8615.78,-8839.22,-8905.6,-8955.1,-8993.15,-9119.47,10567.94,130.11655630607615,10567.94
10558.0,2910246.98,1040782.71,-8422.22,-8615.79,-8839.23,-8905.61,-8955.11,-8993.16,-9119.48,10568.93,130.24689008534764,10568.93
10559.0,2910246.98,1040782.71,-8423.22,-8615.8,-8839.24,-8905.62,-8955.11,-8993.17,-9119.49,10569.92,126.51065507956385,10569.92
10560.0,2910246.99,1040782.71,-8424.22,-8615.8,-8839.24,-8905.62,-8955.12,-8993.17,-9119.49,10570.92,118.42996076472906,10570.92
10561.0,2910247.0,1040782.71,-8425.22,-8615.81,-8839.25,-8905.63,-8955.13,-8993.18,-9119.5,10571.91,123.1219768185041,10571.91
10562.0,2910247.01,1040782.71,-8426.22,-8615.82,-8839.26,-8905.64,-8955.13,-8993.19,-9119.51,10572.9,124.16464705267632,10572.9
10563.0,2910247.02,1040782.7,-8427.22,-8615.83,-8839.27,-8905.65,-8955.14,-8993.2,-9119.52,10573.89,123.81709030795226,10573.89
10564.0,2910247.03,1040782.7,-8428.22,-8615.84,-8839.28,-8905.66,-8955.16,-8993.21,-9119.53,10574.88,132.2887859606016,10574.88
10565.0,2910247.04,1040782.7,-8429.22,-8615.85,-8839.29,-8905.67,-8955.17,-8993.22,-9119.54,10575.87,133.28801160168334,10575.87
10566.0,2910247.05,1040782.69,-8430.22,-8615.86,-8839.3,-8905.68,-8955.18,-8993.23,-9119.55,10576.86,132.5928981122352,10576.86
10567.0,2910247.06,1040782.69,-8431.22,-8615.87,-8839.31,-8905.69,-8955.19,-8993.25,-9119.56,10577.85,126.03276455556824,10577.85
10568.0,2910247.07,1040782.68,-8432.22,-8615.88,-8839.32,-8905.7,-8955.2,-8993.26,-9119.57,10578.83,118.42996076472906,10578.83
10569.0,2910247.08,1040782.68,-8433.22,-8615.9,-8839.34,-8905.72,-8955.21,-8993.27,-9119.59,10579.820000000002,125.20731728684856,10579.820000000002
10570.0,2910247.09,1040782.68,-8434.22,-8615.91,-8839.35,-8905.73,-8955.22,-8993.28,-9119.6,10580.81,125.81554159011569,10580.81
10571.0,2910247.1,1040782.67,-8435.22,-8615.92,-8839.36,-8905.74,-8955.24,-8993.29,-9119.61,10581.8,124.16464705267632,10581.8
10572.0,2910247.12,1040782.66,-8436.22,-8615.93,-8839.37,-8905.75,-8955.25,-8993.3,-9119.62,10582.79,137.37180335219125,10582.79
10573.0,2910247.13,1040782.66,-8437.22,-8615.95,-8839.39,-8905.77,-8955.26,-8993.32,-9119.64,10583.77,125.20731728684856,10583.77
10574.0,2910247.14,1040782.65,-8438.22,-8615.96,-8839.4,-8905.78,-8955.28,-8993.33,-9119.65,10584.76,127.64021449991708,10584.76
10575.0,2910247.15,1040782.65,-8439.22,-8615.98,-8839.42,-8905.8,-8955.29,-8993.35,-9119.67,10585.740000000002,129.9427779337141,10585.740000000002
10576.0,2910247.17,1040782.64,-8440.22,-8615.99,-8839.43,-8905.81,-8955.31,-8993.37,-9119.68,10586.72,,10586.72
10577.0,2910247.18,1040782.63,-8441.22,-8616.01,-8839.45,-8905.83,-8955.33,-8993.38,-9119.7,10587.71,124.16464705267632,10587.71
10578.0,2910247.2,1040782.62,-8442.22,-8616.03,-8839.47,-8905.85,-8955.34,-8993.4,-9119.72,10588.69,141.45559510269914,10588.69
10579.0,2910247.21,1040782.62,-8443.22,-8616.04,-8839.48,-8905.86,-8955.36,-8993.41,-9119.73,10589.68,122.51375251523696,10589.68
10580.0,2910247.22,1040782.61,-8444.22,-8616.06,-8839.5,-8905.88,-8955.37,-8993.43,-9119.75,10590.66,124.85976054212448,10590.66
10581.0,2910247.24,1040782.6,-8445.22,-8616.07,-8839.51,-8905.89,-8955.39,-8993.45,-9119.76,10591.64,124.29498083194784,10591.64
10582.0,2910247.25,1040782.59,-8446.22,-8616.09,-8839.53,-8905.91,-8955.41,-8993.46,-9119.78,10592.63,127.81399287227912,10592.63
10583.0,2910247.27,1040782.58,-8447.22,-8616.11,-8839.55,-8905.93,-8955.43,-8993.48,-9119.8,10593.61,129.42144281662797,10593.61
10584.0,2910247.29,1040782.57,-8448.22,-8616.13,-8839.57,-8905.95,-8955.45,-8993.5,-9119.82,10594.59,126.03276455556824,10594.59
10585.0,2910247.3,1040782.56,-8449.22,-8616.15,-8839.59,-8905.97,-8955.47,-8993.52,-9119.84,10595.570000000002,124.0343132734048,10595.570000000002
10586.0,2910247.32,1040782.55,-8450.22,-8616.17,-8839.61,-8905.99,-8955.49,-8993.54,-9119.86,10596.54,123.07853222541358,10596.54
10587.0,2910247.34,1040782.54,-8451.22,-8616.19,-8839.63,-8906.01,-8955.51,-8993.56,-9119.88,10597.52,123.73020112177122,10597.52
10588.0,2910247.35,1040782.53,-8452.22,-8616.21,-8839.65,-8906.03,-8955.53,-8993.58,-9119.9,10598.5,126.7278780450164,10598.5
10589.0,2910247.37,1040782.52,-8453.22,-8616.23,-8839.67,-8906.05,-8955.55,-8993.61,-9119.92,10599.48,123.29575519086612,10599.48
10590.0,2910247.39,1040782.51,-8454.22,-8616.25,-8839.69,-8906.07,-8955.57,-8993.63,-9119.94,10600.46,118.29962698545756,10600.46
10591.0,2910247.41,1040782.5,-8455.22,-8616.27,-8839.71,-8906.09,-8955.59,-8993.65,-9119.96,10601.44,138.32758440018245,10601.44
10592.0,2910247.43,1040782.48,-8456.22,-8616.29,-8839.73,-8906.11,-8955.61,-8993.67,-9119.98,10602.42,137.45869253837225,10602.42
10593.0,2910247.44,1040782.47,-8457.21,-8616.32,-8839.76,-8906.14,-8955.64,-8993.69,-9120.01,10603.4,130.4641130508002,10603.4
10594.0,2910247.46,1040782.46,-8458.21,-8616.34,-8839.78,-8906.16,-8955.66,-8993.72,-9120.03,10604.37,122.77442007378002,10604.37
10595.0,2910247.48,1040782.45,-8459.21,-8616.37,-8839.81,-8906.19,-8955.69,-8993.74,-9120.06,10605.35,127.20576856901198,10605.35
10596.0,2910247.5,1040782.43,-8460.21,-8616.39,-8839.83,-8906.21,-8955.71,-8993.77,-9120.08,10606.320000000002,126.42376589338284,10606.320000000002
10597.0,2910247.52,1040782.42,-8461.21,-8616.42,-8839.86,-8906.24,-8955.74,-8993.79,-9120.11,10607.29,124.5990929835814,10607.29
10598.0,2910247.54,1040782.4,-8462.21,-8616.44,-8839.88,-8906.26,-8955.76,-8993.82,-9120.13,10608.27,126.20654292793029,10608.27
10599.0,2910247.56,1040782.39,-8463.21,-8616.47,-8839.91,-8906.29,-8955.79,-8993.84,-9120.16,10609.240000000002,130.29033467843817,10609.240000000002
10600.0,2910247.59,1040782.38,-8464.21,-8616.49,-8839.93,-8906.31,-8955.81,-8993.87,-9120.18,10610.22,131.55022787806294,10610.22
10601.0,2910247.61,1040782.36,-8465.21,-8616.52,-8839.96,-8906.34,-8955.84,-8993.89,-9120.21,10611.19,132.3322305536921,10611.19
10602.0,2910247.63,1040782.34,-8466.21,-8616.54,-8839.98,-8906.36,-8955.86,-8993.92,-9120.23,10612.17,123.73020112177122,10612.17
10603.0,2910247.65,1040782.33,-8467.21,-8616.57,-8840.01,-8906.39,-8955.89,-8993.95,-9120.26,10613.14,132.02811840205857,10613.14
10604.0,2910247.67,1040782.31,-8468.21,-8616.6,-8840.04,-8906.42,-8955.92,-8993.97,-9120.29,10614.11,135.28646288384678,10614.11
