MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10717.0,2902061.81,1025981.51,-8693.76,-8803.08,-9040.22,-9077.28,-9127.75,-9156.33,-9290.74,10773.47,115.17001138987273,10773.47
10718.0,2902061.65,1025981.65,-8694.74,-8803.17,-9040.31,-9077.37,-9127.84,-9156.42,-9290.83,10774.35,120.83312685773602,10774.35
10719.0,2902061.5,1025981.78,-8695.72,-8803.26,-9040.4,-9077.46,-9127.93,-9156.51,-9290.92,10775.240000000002,115.3019907757763,10775.240000000002
10720.0,2902061.34,1025981.92,-8696.7,-8803.35,-9040.49,-9077.55,-9128.02,-9156.6,-9291.01,10776.13,104.04774859599708,10776.13
10721.0,2902061.19,1025982.06,-8697.67,-8803.44,-9040.58,-9077.64,-9128.11,-9156.69,-9291.1,10777.01,98.84056191580076,10777.01
10722.0,2902061.03,1025982.21,-8698.65,-8803.53,-9040.67,-9077.73,-9128.2,-9156.78,-9291.19,10777.9,97.61675306469468,10777.9
10723.0,2902060.86,1025982.35,-8699.63,-8803.62,-9040.76,-9077.82,-9128.29,-9156.87,-9291.29,10778.79,,10778.79
10724.0,2902060.7,1025982.49,-8700.6,-8803.71,-9040.85,-9077.91,-9128.38,-9156.96,-9291.38,10779.67,98.51661251403736,10779.67
10725.0,2902060.54,1025982.64,-8701.58,-8803.8,-9040.94,-9078.0,-9128.47,-9157.05,-9291.47,10780.56,101.34817024796902,10780.56
10726.0,2902060.37,1025982.79,-8702.55,-8803.89,-9041.03,-9078.09,-9128.56,-9157.14,-9291.56,10781.45,101.15620023210926,10781.45
10727.0,2902060.2,1025982.94,-8703.53,-8803.99,-9041.12,-9078.18,-9128.65,-9157.23,-9291.65,10782.33,,10782.33
10728.0,2902060.03,1025983.09,-8704.5,-8804.08,-9041.22,-9078.28,-9128.75,-9157.33,-9291.75,10783.2,95.99700605587785,10783.2
10729.0,2902059.86,1025983.24,-8705.48,-8804.18,-9041.32,-9078.38,-9128.85,-9157.43,-9291.84,10784.08,92.55354389639317,10784.08
10730.0,2902059.68,1025983.39,-8706.45,-8804.28,-9041.42,-9078.48,-9128.95,-9157.53,-9291.94,10784.95,90.18991307611972,10784.95
10731.0,2902059.51,1025983.54,-8707.42,-8804.38,-9041.52,-9078.58,-9129.05,-9157.63,-9292.04,10785.820000000002,92.1936001166561,10785.820000000002
10732.0,2902059.33,1025983.7,-8708.39,-8804.48,-9041.62,-9078.68,-9129.15,-9157.73,-9292.14,10786.69,,10786.69
10733.0,2902059.15,1025983.86,-8709.36,-8804.58,-9041.72,-9078.78,-9129.25,-9157.83,-9292.24,10787.56,107.1072707237622,10787.56
10734.0,2902058.97,1025984.01,-8710.33,-8804.68,-9041.81,-9078.88,-9129.35,-9157.93,-9292.34,10788.44,111.522581088537,10788.44
10735.0,2902058.79,1025984.17,-8711.3,-8804.78,-9041.91,-9078.98,-9129.45,-9158.03,-9292.44,10789.31,112.15848176607253,10789.31
10736.0,2902058.6,1025984.33,-8712.27,-8804.88,-9042.01,-9079.08,-9129.55,-9158.13,-9292.54,10790.18,110.22678348148354,10790.18
10737.0,2902058.41,1025984.5,-8713.24,-8804.98,-9042.11,-9079.18,-9129.65,-9158.22,-9292.64,10791.05,110.09480409557996,10791.05
10738.0,2902058.23,1025984.66,-8714.21,-8805.09,-9042.22,-9079.28,-9129.76,-9158.33,-9292.75,10791.91,110.39475724536084,10791.91
10739.0,2902058.04,1025984.82,-8715.18,-8805.2,-9042.33,-9079.39,-9129.87,-9158.44,-9292.86,10792.77,,10792.77
10740.0,2902057.84,1025984.99,-8716.15,-8805.31,-9042.44,-9079.5,-9129.97,-9158.55,-9292.97,10793.62,98.60059939597603,10793.62
10741.0,2902057.65,1025985.16,-8717.11,-8805.41,-9042.55,-9079.61,-9130.08,-9158.66,-9293.07,10794.48,95.09714660653516,10794.48
10742.0,2902057.46,1025985.32,-8718.08,-8805.52,-9042.66,-9079.72,-9130.19,-9158.77,-9293.18,10795.34,96.48892922151852,10795.34
10743.0,2902057.26,1025985.49,-8719.05,-8805.63,-9042.76,-9079.83,-9130.3,-9158.88,-9293.29,10796.2,,10796.2
10744.0,2902057.06,1025985.66,-8720.01,-8805.74,-9042.87,-9079.94,-9130.41,-9158.98,-9293.4,10797.05,105.11558180921708,10797.05
10745.0,2902056.86,1025985.84,-8720.97,-8805.85,-9042.98,-9080.04,-9130.52,-9159.09,-9293.51,10797.91,102.72795473696117,10797.91
10746.0,2902056.66,1025986.01,-8721.94,-8805.96,-9043.09,-9080.15,-9130.63,-9159.2,-9293.62,10798.77,94.04131151930642,10798.77
10747.0,2902056.45,1025986.19,-8722.9,-8806.07,-9043.2,-9080.26,-9130.73,-9159.31,-9293.73,10799.63,91.60569194308556,10799.63
10748.0,2902056.25,1025986.36,-8723.86,-8806.18,-9043.32,-9080.38,-9130.85,-9159.43,-9293.84,10800.47,91.53370318713812,10800.47
10749.0,2902056.04,1025986.54,-8724.83,-8806.3,-9043.43,-9080.5,-9130.97,-9159.55,-9293.96,10801.31,93.28542958185857,10801.31
10750.0,2902055.83,1025986.72,-8725.79,-8806.42,-9043.55,-9080.62,-9131.09,-9159.66,-9294.08,10802.15,102.06805780744318,10802.15
10751.0,2902055.62,1025986.9,-8726.75,-8806.54,-9043.67,-9080.73,-9131.21,-9159.78,-9294.2,10802.990000000002,103.03990601273328,10802.990000000002
10752.0,2902055.41,1025987.08,-8727.71,-8806.65,-9043.79,-9080.85,-9131.32,-9159.9,-9294.32,10803.84,101.90008404356588,10803.84
10753.0,2902055.19,1025987.26,-8728.67,-8806.77,-9043.91,-9080.97,-9131.44,-9160.02,-9294.43,10804.68,101.36016837396026,10804.68
10754.0,2902054.97,1025987.45,-8729.63,-8806.89,-9044.02,-9081.09,-9131.56,-9160.13,-9294.55,10805.52,106.81931569997256,10805.52
10755.0,2902054.76,1025987.63,-8730.58,-8807.01,-9044.14,-9081.2,-9131.68,-9160.25,-9294.67,10806.36,107.4312201255256,10806.36
10756.0,2902054.54,1025987.82,-8731.54,-8807.13,-9044.26,-9081.32,-9131.79,-9160.37,-9294.79,10807.2,103.99975609203214,10807.2
10757.0,2902054.31,1025988.01,-8732.5,-8807.24,-9044.38,-9081.44,-9131.91,-9160.49,-9294.9,10808.05,100.77226020038972,10808.05
10758.0,2902054.09,1025988.19,-8733.46,-8807.37,-9044.5,-9081.57,-9132.04,-9160.61,-9295.03,10808.87,100.31633141272276,10808.87
10759.0,2902053.87,1025988.39,-8734.41,-8807.49,-9044.63,-9081.69,-9132.16,-9160.74,-9295.16,10809.7,100.18435202681916,10809.7
10760.0,2902053.64,1025988.58,-8735.37,-8807.62,-9044.75,-9081.82,-9132.29,-9160.87,-9295.28,10810.53,102.16404281537308,10810.53
10761.0,2902053.42,1025988.77,-8736.32,-8807.75,-9044.88,-9081.94,-9132.42,-9160.99,-9295.41,10811.36,104.92361179335732,10811.36
10762.0,2902053.19,1025988.97,-8737.27,-8807.87,-9045.01,-9082.07,-9132.54,-9161.12,-9295.53,10812.18,104.59966239159394,10812.18
10763.0,2902052.96,1025989.17,-8738.23,-8808.0,-9045.13,-9082.2,-9132.67,-9161.24,-9295.66,10813.01,99.04453005765174,10813.01
10764.0,2902052.73,1025989.37,-8739.18,-8808.13,-9045.26,-9082.32,-9132.79,-9161.37,-9295.79,10813.84,97.0168467651329,10813.84
10765.0,2902052.5,1025989.57,-8740.13,-8808.25,-9045.38,-9082.45,-9132.92,-9161.5,-9295.91,10814.67,98.64859189994095,10814.67
10766.0,2902052.27,1025989.77,-8741.09,-8808.38,-9045.51,-9082.57,-9133.05,-9161.62,-9296.04,10815.5,103.73579732022496,10815.5
10767.0,2902052.04,1025989.97,-8742.04,-8808.5,-9045.64,-9082.7,-9133.17,-9161.75,-9296.16,10816.320000000002,108.53504771671928,10816.320000000002
10768.0,2902051.81,1025990.18,-8742.99,-8808.64,-9045.77,-9082.83,-9133.31,-9161.88,-9296.3,10817.14,109.35092028412332,10817.14
10769.0,2902051.58,1025990.39,-8743.94,-8808.77,-9045.9,-9082.97,-9133.44,-9162.02,-9296.43,10817.95,106.7593250700164,10817.95
10770.0,2902051.34,1025990.59,-8744.89,-8808.9,-9046.04,-9083.1,-9133.57,-9162.15,-9296.57,10818.77,111.46259045858083,10818.77
10771.0,2902051.11,1025990.81,-8745.84,-8809.04,-9046.17,-9083.23,-9133.71,-9162.28,-9296.7,10819.58,118.67346417931356,10819.58
10772.0,2902050.87,1025991.02,-8746.78,-8809.17,-9046.3,-9083.37,-9133.84,-9162.42,-9296.83,10820.39,120.07724492028817,10820.39
10773.0,2902050.64,1025991.23,-8747.73,-8809.3,-9046.44,-9083.5,-9133.97,-9162.55,-9296.97,10821.21,114.27015194053,10821.21
10774.0,2902050.4,1025991.45,-8748.68,-8809.44,-9046.57,-9083.63,-9134.11,-9162.68,-9297.1,10822.02,96.44093671755358,10822.02
10775.0,2902050.16,1025991.66,-8749.63,-8809.57,-9046.71,-9083.77,-9134.24,-9162.82,-9297.23,10822.84,91.98963197480508,10822.84
10776.0,2902049.92,1025991.88,-8750.57,-8809.71,-9046.84,-9083.9,-9134.37,-9162.95,-9297.37,10823.65,92.07361885674374,10823.65
10777.0,2902049.68,1025992.1,-8751.52,-8809.84,-9046.97,-9084.04,-9134.51,-9163.08,-9297.5,10824.47,95.00116159860528,10824.47
10778.0,2902049.44,1025992.33,-8752.46,-8809.98,-9047.11,-9084.18,-9134.65,-9163.23,-9297.64,10825.27,98.6245956479585,10825.27
10779.0,2902049.2,1025992.55,-8753.41,-8810.12,-9047.25,-9084.32,-9134.79,-9163.37,-9297.78,10826.070000000002,101.32417399598656,10826.070000000002
10780.0,2902048.96,1025992.77,-8754.35,-8810.26,-9047.4,-9084.46,-9134.93,-9163.51,-9297.92,10826.87,101.0002245942232,10826.87
10781.0,2902048.71,1025993.0,-8755.29,-8810.4,-9047.54,-9084.6,-9135.07,-9163.65,-9298.06,10827.67,98.74457690787084,10827.67
10782.0,2902048.47,1025993.23,-8756.23,-8810.54,-9047.68,-9084.74,-9135.21,-9163.79,-9298.21,10828.47,98.31264437218636,10828.47
10783.0,2902048.22,1025993.46,-8757.18,-8810.69,-9047.82,-9084.88,-9135.35,-9163.93,-9298.35,10829.27,,10829.27
10784.0,2902047.97,1025993.69,-8758.12,-8810.83,-9047.96,-9085.02,-9135.5,-9164.07,-9298.49,10830.070000000002,94.40125529904348,10830.070000000002
10785.0,2902047.73,1025993.93,-8759.06,-8810.97,-9048.1,-9085.16,-9135.64,-9164.21,-9298.63,10830.87,93.72936024353427,10830.87
10786.0,2902047.48,1025994.16,-8760.0,-8811.11,-9048.24,-9085.31,-9135.78,-9164.35,-9298.77,10831.67,97.784726828572,10831.67
10787.0,2902047.23,1025994.4,-8760.94,-8811.25,-9048.38,-9085.45,-9135.92,-9164.5,-9298.91,10832.48,,10832.48
10788.0,2902046.98,1025994.64,-8761.88,-8811.4,-9048.53,-9085.6,-9136.07,-9164.64,-9299.06,10833.26,92.1936001166561,10833.26
10789.0,2902046.73,1025994.88,-8762.81,-8811.55,-9048.68,-9085.74,-9136.22,-9164.79,-9299.21,10834.05,93.98132088935024,10834.05
10790.0,2902046.48,1025995.12,-8763.75,-8811.7,-9048.83,-9085.89,-9136.36,-9164.94,-9299.36,10834.84,102.83593787088228,10834.84
10791.0,2902046.22,1025995.36,-8764.69,-8811.84,-9048.98,-9086.04,-9136.51,-9165.09,-9299.51,10835.62,104.73164177749752,10835.62
10792.0,2902045.97,1025995.61,-8765.62,-8811.99,-9049.13,-9086.19,-9136.66,-9165.24,-9299.65,10836.41,105.88346187265616,10836.41
10793.0,2902045.72,1025995.85,-8766.56,-8812.14,-9049.27,-9086.34,-9136.81,-9165.39,-9299.8,10837.2,109.96282470967635,10837.2
10794.0,2902045.46,1025996.1,-8767.49,-8812.29,-9049.42,-9086.49,-9136.96,-9165.54,-9299.95,10837.98,121.34904627535914,10837.98
10795.0,2902045.21,1025996.35,-8768.43,-8812.44,-9049.57,-9086.64,-9137.11,-9165.68,-9300.1,10838.77,,10838.77
10796.0,2902044.95,1025996.6,-8769.36,-8812.59,-9049.72,-9086.78,-9137.26,-9165.83,-9300.25,10839.56,111.87052674228283,10839.56
10797.0,2902044.69,1025996.85,-8770.29,-8812.74,-9049.87,-9086.93,-9137.4,-9165.98,-9300.4,10840.35,119.29736673085785,10840.35
10798.0,2902044.43,1025997.11,-8771.22,-8812.89,-9050.02,-9087.09,-9137.56,-9166.14,-9300.55,10841.12,127.74404742868784,10841.12
10799.0,2902044.17,1025997.36,-8772.15,-8813.05,-9050.18,-9087.24,-9137.72,-9166.29,-9300.71,10841.89,114.00619316872282,10841.89
10800.0,2902043.91,1025997.62,-8773.09,-8813.2,-9050.34,-9087.4,-9137.87,-9166.45,-9300.86,10842.66,103.42384604445284,10842.66
10801.0,2902043.65,1025997.88,-8774.01,-8813.36,-9050.49,-9087.56,-9138.03,-9166.6,-9301.02,10843.44,100.30433328673152,10843.44
10802.0,2902043.39,1025998.14,-8774.94,-8813.52,-9050.65,-9087.71,-9138.18,-9166.76,-9301.18,10844.21,107.707177023324,10844.21
10803.0,2902043.12,1025998.4,-8775.87,-8813.67,-9050.8,-9087.87,-9138.34,-9166.92,-9301.33,10844.98,108.76301211055276,10844.98
10804.0,2902042.86,1025998.67,-8776.8,-8813.83,-9050.96,-9088.02,-9138.5,-9167.07,-9301.49,10845.75,106.81931569997256,10845.75
10805.0,2902042.6,1025998.93,-8777.73,-8813.98,-9051.12,-9088.18,-9138.65,-9167.23,-9301.64,10846.53,104.57566613961146,10846.53
10806.0,2902042.33,1025999.2,-8778.65,-8814.14,-9051.27,-9088.34,-9138.81,-9167.38,-9301.8,10847.3,107.15526322772716,10847.3
10807.0,2902042.06,1025999.47,-8779.58,-8814.29,-9051.43,-9088.49,-9138.96,-9167.54,-9301.96,10848.070000000002,111.53457921452824,10848.070000000002
10808.0,2902041.8,1025999.74,-8780.5,-8814.46,-9051.59,-9088.65,-9139.13,-9167.7,-9302.12,10848.83,115.6019439255572,10848.83
10809.0,2902041.53,1026000.01,-8781.43,-8814.62,-9051.75,-9088.82,-9139.29,-9167.87,-9302.28,10849.59,116.29783523304889,10849.59
10810.0,2902041.26,1026000.29,-8782.35,-8814.78,-9051.92,-9088.98,-9139.45,-9168.03,-9302.45,10850.35,114.64209384625832,10850.35
10811.0,2902040.99,1026000.56,-8783.27,-8814.95,-9052.08,-9089.14,-9139.62,-9168.19,-9302.61,10851.11,119.42934611676142,10851.11
10812.0,2902040.72,1026000.84,-8784.2,-8815.11,-9052.24,-9089.31,-9139.78,-9168.36,-9302.77,10851.86,,10851.86
10813.0,2902040.45,1026001.12,-8785.12,-8815.27,-9052.41,-9089.47,-9139.94,-9168.52,-9302.94,10852.62,147.68493282612178,10852.62
10814.0,2902040.17,1026001.4,-8786.04,-8815.44,-9052.57,-9089.63,-9140.11,-9168.68,-9303.1,10853.38,146.7490789988054,10853.38
10815.0,2902039.9,1026001.68,-8786.96,-8815.6,-9052.73,-9089.8,-9140.27,-9168.85,-9303.26,10854.14,115.85390457137314,10854.14
10816.0,2902039.63,1026001.96,-8787.88,-8815.76,-9052.9,-9089.96,-9140.43,-9169.01,-9303.42,10854.9,99.41647196338006,10854.9
10817.0,2902039.35,1026002.25,-8788.79,-8815.93,-9053.06,-9090.12,-9140.6,-9169.17,-9303.59,10855.66,90.81381562766396,10855.66
10818.0,2902039.07,1026002.53,-8789.71,-8816.1,-9053.23,-9090.29,-9140.77,-9169.34,-9303.76,10856.4,95.75704353605312,10856.4
10819.0,2902038.8,1026002.82,-8790.63,-8816.27,-9053.4,-9090.46,-9140.94,-9169.51,-9303.93,10857.14,109.85484157575524,10857.14
10820.0,2902038.52,1026003.11,-8791.54,-8816.44,-9053.57,-9090.64,-9141.11,-9169.68,-9304.1,10857.89,124.52854966303664,10857.89
