MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11042.0,3008754.33,1116485.16,-8924.14,-9036.91,-9171.26,-9253.82,-9388.34,-9438.89,-9544.76,10821.26,,10821.26
11043.0,3008754.33,1116485.13,-8925.14,-9036.91,-9171.26,-9253.81,-9388.34,-9438.89,-9544.76,10822.26,,10822.26
11044.0,3008754.33,1116485.1,-8926.14,-9036.91,-9171.26,-9253.81,-9388.34,-9438.88,-9544.76,10823.26,,10823.26
11045.0,3008754.32,1116485.07,-8927.14,-9036.9,-9171.25,-9253.81,-9388.34,-9438.88,-9544.76,10824.26,116.56896453405663,10824.26
11046.0,3008754.32,1116485.05,-8928.14,-9036.9,-9171.25,-9253.81,-9388.33,-9438.88,-9544.76,10825.26,119.52962351108074,10825.26
11047.0,3008754.31,1116485.02,-8929.14,-9036.9,-9171.25,-9253.81,-9388.33,-9438.88,-9544.76,10826.26,127.69936644296322,10826.26
11048.0,3008754.31,1116485.0,-8930.14,-9036.9,-9171.25,-9253.81,-9388.33,-9438.88,-9544.76,10827.26,132.44759310422828,10827.26
11049.0,3008754.31,1116484.97,-8931.14,-9036.9,-9171.25,-9253.81,-9388.33,-9438.88,-9544.76,10828.26,,10828.26
11050.0,3008754.3,1116484.95,-8932.14,-9036.9,-9171.25,-9253.81,-9388.33,-9438.88,-9544.75,10829.26,135.39428670871922,10829.26
11051.0,3008754.3,1116484.93,-8933.14,-9036.9,-9171.25,-9253.8,-9388.33,-9438.88,-9544.75,10830.27,140.10061725238486,10830.27
11052.0,3008754.29,1116484.91,-8934.14,-9036.89,-9171.24,-9253.8,-9388.33,-9438.87,-9544.75,10831.27,143.03334548434268,10831.27
11053.0,3008754.29,1116484.89,-8935.14,-9036.89,-9171.24,-9253.8,-9388.33,-9438.87,-9544.75,10832.27,141.5390506232975,10832.27
11054.0,3008754.28,1116484.87,-8936.14,-9036.89,-9171.24,-9253.8,-9388.33,-9438.87,-9544.75,10833.27,134.70998345459572,10833.27
11055.0,3008754.28,1116484.86,-8937.14,-9036.89,-9171.24,-9253.8,-9388.32,-9438.87,-9544.75,10834.27,131.28846718397827,10834.27
11056.0,3008754.28,1116484.84,-8938.14,-9036.89,-9171.24,-9253.8,-9388.32,-9438.87,-9544.75,10835.27,125.99559099392106,10835.27
11057.0,3008754.27,1116484.82,-8939.14,-9036.89,-9171.24,-9253.8,-9388.32,-9438.87,-9544.75,10836.27,119.97651543214096,10836.27
11058.0,3008754.27,1116484.81,-8940.14,-9036.89,-9171.24,-9253.8,-9388.32,-9438.87,-9544.75,10837.27,118.20291312043317,10837.27
