MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10446.0,2886927.71,1023108.87,-8308.63,-8416.61,-8660.42,-8720.98,-8770.78,-8793.98,-8918.38,10403.95,149.272953909354,10403.95
10447.0,2886927.78,1023108.79,-8309.62,-8416.63,-8660.44,-8721.0,-8770.8,-8794.0,-8918.4,10404.92,,10404.92
10448.0,2886927.86,1023108.71,-8310.62,-8416.65,-8660.46,-8721.02,-8770.82,-8794.02,-8918.41,10405.89,,10405.89
10449.0,2886927.93,1023108.63,-8311.61,-8416.67,-8660.48,-8721.04,-8770.83,-8794.03,-8918.43,10406.87,,10406.87
10450.0,2886928.01,1023108.54,-8312.6,-8416.69,-8660.49,-8721.05,-8770.85,-8794.05,-8918.45,10407.84,,10407.84
10451.0,2886928.09,1023108.46,-8313.6,-8416.71,-8660.51,-8721.07,-8770.87,-8794.07,-8918.47,10408.820000000002,,10408.820000000002
10452.0,2886928.17,1023108.37,-8314.59,-8416.73,-8660.53,-8721.09,-8770.89,-8794.09,-8918.49,10409.79,114.53523192246976,10409.79
10453.0,2886928.24,1023108.28,-8315.58,-8416.75,-8660.55,-8721.11,-8770.91,-8794.11,-8918.51,10410.76,135.3778651146003,10410.76
10454.0,2886928.32,1023108.19,-8316.58,-8416.77,-8660.57,-8721.13,-8770.93,-8794.13,-8918.53,10411.740000000002,,10411.740000000002
10455.0,2886928.41,1023108.1,-8317.57,-8416.78,-8660.59,-8721.15,-8770.95,-8794.15,-8918.55,10412.71,142.32540951197714,10412.71
10456.0,2886928.49,1023108.01,-8318.56,-8416.8,-8660.61,-8721.17,-8770.97,-8794.17,-8918.57,10413.69,149.272953909354,10413.69
10457.0,2886928.57,1023107.91,-8319.55,-8416.83,-8660.63,-8721.19,-8770.99,-8794.19,-8918.59,10414.66,121.4827763198466,10414.66
10458.0,2886928.65,1023107.82,-8320.54,-8416.85,-8660.65,-8721.21,-8771.01,-8794.21,-8918.61,10415.63,124.55954598154206,10415.63
10459.0,2886928.74,1023107.72,-8321.54,-8416.87,-8660.67,-8721.23,-8771.03,-8794.23,-8918.63,10416.6,128.43032071722345,10416.6
10460.0,2886928.82,1023107.62,-8322.53,-8416.89,-8660.7,-8721.26,-8771.06,-8794.26,-8918.65,10417.56,121.4827763198466,10417.56
10461.0,2886928.91,1023107.52,-8323.52,-8416.91,-8660.72,-8721.28,-8771.08,-8794.28,-8918.68,10418.53,,10418.53
10462.0,2886929.0,1023107.42,-8324.51,-8416.93,-8660.74,-8721.3,-8771.1,-8794.3,-8918.7,10419.5,135.3778651146003,10419.5
10463.0,2886929.08,1023107.32,-8325.5,-8416.96,-8660.76,-8721.32,-8771.12,-8794.32,-8918.72,10420.47,128.43032071722345,10420.47
10464.0,2886929.17,1023107.22,-8326.49,-8416.98,-8660.78,-8721.34,-8771.14,-8794.34,-8918.74,10421.44,142.32540951197714,10421.44
10465.0,2886929.26,1023107.11,-8327.48,-8417.0,-8660.81,-8721.36,-8771.16,-8794.36,-8918.76,10422.41,,10422.41
10466.0,2886929.35,1023107.0,-8328.47,-8417.02,-8660.83,-8721.39,-8771.19,-8794.39,-8918.79,10423.38,135.3778651146003,10423.38
10467.0,2886929.45,1023106.89,-8329.46,-8417.05,-8660.85,-8721.41,-8771.21,-8794.41,-8918.81,10424.34,,10424.34
10468.0,2886929.54,1023106.79,-8330.45,-8417.07,-8660.88,-8721.44,-8771.24,-8794.44,-8918.83,10425.31,,10425.31
10469.0,2886929.63,1023106.67,-8331.44,-8417.09,-8660.9,-8721.46,-8771.26,-8794.46,-8918.86,10426.27,,10426.27
10470.0,2886929.73,1023106.56,-8332.43,-8417.12,-8660.93,-8721.48,-8771.28,-8794.48,-8918.88,10427.240000000002,,10427.240000000002
10471.0,2886929.82,1023106.45,-8333.42,-8417.14,-8660.95,-8721.51,-8771.31,-8794.51,-8918.91,10428.2,142.32540951197714,10428.2
10472.0,2886929.92,1023106.33,-8334.41,-8417.17,-8660.97,-8721.53,-8771.33,-8794.53,-8918.93,10429.17,,10429.17
10473.0,2886930.02,1023106.22,-8335.4,-8417.19,-8661.0,-8721.56,-8771.36,-8794.56,-8918.96,10430.13,,10430.13
10474.0,2886930.11,1023106.1,-8336.38,-8417.22,-8661.02,-8721.58,-8771.38,-8794.58,-8918.98,10431.09,,10431.09
10475.0,2886930.21,1023105.98,-8337.37,-8417.24,-8661.05,-8721.61,-8771.41,-8794.61,-8919.01,10432.06,,10432.06
10476.0,2886930.31,1023105.86,-8338.36,-8417.27,-8661.07,-8721.63,-8771.43,-8794.63,-8919.03,10433.02,135.3778651146003,10433.02
10477.0,2886930.41,1023105.74,-8339.35,-8417.29,-8661.1,-8721.66,-8771.46,-8794.66,-8919.06,10433.98,,10433.98
10478.0,2886930.52,1023105.61,-8340.33,-8417.32,-8661.13,-8721.69,-8771.49,-8794.69,-8919.08,10434.94,,10434.94
10479.0,2886930.62,1023105.49,-8341.32,-8417.35,-8661.15,-8721.71,-8771.51,-8794.71,-8919.11,10435.9,,10435.9
10480.0,2886930.72,1023105.36,-8342.31,-8417.38,-8661.18,-8721.74,-8771.54,-8794.74,-8919.14,10436.86,,10436.86
10481.0,2886930.83,1023105.24,-8343.29,-8417.4,-8661.21,-8721.77,-8771.57,-8794.77,-8919.17,10437.820000000002,138.8119370595894,10437.820000000002
10482.0,2886930.93,1023105.11,-8344.28,-8417.43,-8661.23,-8721.79,-8771.59,-8794.79,-8919.19,10438.78,142.32540951197714,10438.78
10483.0,2886931.04,1023104.98,-8345.27,-8417.46,-8661.26,-8721.82,-8771.62,-8794.82,-8919.22,10439.740000000002,121.4827763198466,10439.740000000002
10484.0,2886931.15,1023104.84,-8346.25,-8417.48,-8661.29,-8721.85,-8771.65,-8794.85,-8919.25,10440.7,,10440.7
10485.0,2886931.25,1023104.71,-8347.24,-8417.51,-8661.32,-8721.88,-8771.68,-8794.88,-8919.27,10441.65,135.3778651146003,10441.65
10486.0,2886931.36,1023104.58,-8348.22,-8417.54,-8661.34,-8721.9,-8771.7,-8794.9,-8919.3,10442.61,,10442.61
10487.0,2886931.47,1023104.44,-8349.21,-8417.57,-8661.37,-8721.93,-8771.73,-8794.93,-8919.33,10443.570000000002,,10443.570000000002
