MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
9976.0,2927625.29,1060443.47,-7857.69,-8204.64,-8394.73,-8469.98,-8549.81,-8596.03,-8712.61,10213.67,100.82631893596852,10213.67
9977.0,2927625.27,1060443.48,-7858.69,-8204.7,-8394.79,-8470.04,-8549.87,-8596.09,-8712.67,10214.61,,10214.61
9978.0,2927625.26,1060443.5,-7859.69,-8204.77,-8394.86,-8470.11,-8549.93,-8596.15,-8712.73,10215.55,,10215.55
9979.0,2927625.24,1060443.51,-7860.69,-8204.83,-8394.92,-8470.17,-8550.0,-8596.21,-8712.79,10216.48,,10216.48
9980.0,2927625.23,1060443.52,-7861.69,-8204.89,-8394.98,-8470.23,-8550.06,-8596.28,-8712.85,10217.42,,10217.42
9981.0,2927625.21,1060443.54,-7862.69,-8204.95,-8395.04,-8470.29,-8550.12,-8596.34,-8712.92,10218.36,,10218.36
9982.0,2927625.2,1060443.55,-7863.69,-8205.01,-8395.1,-8470.35,-8550.18,-8596.4,-8712.98,10219.3,,10219.3
9983.0,2927625.18,1060443.57,-7864.69,-8205.08,-8395.17,-8470.42,-8550.25,-8596.47,-8713.04,10220.23,,10220.23
9984.0,2927625.16,1060443.58,-7865.69,-8205.14,-8395.23,-8470.48,-8550.31,-8596.53,-8713.1,10221.17,,10221.17
9985.0,2927625.15,1060443.6,-7866.69,-8205.2,-8395.29,-8470.54,-8550.37,-8596.59,-8713.17,10222.11,,10222.11
9986.0,2927625.13,1060443.61,-7867.69,-8205.27,-8395.35,-8470.61,-8550.43,-8596.65,-8713.23,10223.04,,10223.04
9987.0,2927625.12,1060443.63,-7868.68,-8205.33,-8395.42,-8470.67,-8550.5,-8596.72,-8713.29,10223.98,,10223.98
9988.0,2927625.1,1060443.64,-7869.68,-8205.39,-8395.48,-8470.73,-8550.56,-8596.78,-8713.35,10224.92,,10224.92
9989.0,2927625.08,1060443.65,-7870.68,-8205.45,-8395.54,-8470.79,-8550.62,-8596.84,-8713.42,10225.86,,10225.86
9990.0,2927625.07,1060443.67,-7871.68,-8205.52,-8395.61,-8470.86,-8550.69,-8596.91,-8713.48,10226.79,,10226.79
9991.0,2927625.05,1060443.68,-7872.68,-8205.58,-8395.67,-8470.92,-8550.75,-8596.97,-8713.55,10227.73,,10227.73
9992.0,2927625.03,1060443.7,-7873.68,-8205.65,-8395.74,-8470.99,-8550.82,-8597.04,-8713.61,10228.66,,10228.66
9993.0,2927625.02,1060443.71,-7874.68,-8205.71,-8395.8,-8471.05,-8550.88,-8597.1,-8713.68,10229.6,,10229.6
9994.0,2927625.0,1060443.73,-7875.68,-8205.78,-8395.87,-8471.12,-8550.95,-8597.17,-8713.74,10230.53,,10230.53
9995.0,2927624.98,1060443.74,-7876.68,-8205.84,-8395.93,-8471.18,-8551.01,-8597.23,-8713.81,10231.47,,10231.47
9996.0,2927624.97,1060443.76,-7877.68,-8205.91,-8396.0,-8471.25,-8551.08,-8597.29,-8713.87,10232.4,,10232.4
9997.0,2927624.95,1060443.77,-7878.68,-8205.97,-8396.06,-8471.31,-8551.14,-8597.36,-8713.94,10233.34,,10233.34
9998.0,2927624.93,1060443.79,-7879.68,-8206.04,-8396.13,-8471.38,-8551.2,-8597.42,-8714.0,10234.27,,10234.27
9999.0,2927624.92,1060443.8,-7880.68,-8206.1,-8396.19,-8471.44,-8551.27,-8597.49,-8714.06,10235.2,,10235.2
10000.0,2927624.9,1060443.82,-7881.68,-8206.17,-8396.26,-8471.51,-8551.34,-8597.56,-8714.13,10236.14,,10236.14
10001.0,2927624.88,1060443.84,-7882.68,-8206.24,-8396.33,-8471.58,-8551.4,-8597.62,-8714.2,10237.070000000002,,10237.070000000002
10002.0,2927624.87,1060443.85,-7883.68,-8206.3,-8396.39,-8471.64,-8551.47,-8597.69,-8714.27,10238.0,,10238.0
10003.0,2927624.85,1060443.87,-7884.68,-8206.37,-8396.46,-8471.71,-8551.54,-8597.76,-8714.33,10238.94,,10238.94
10004.0,2927624.83,1060443.88,-7885.68,-8206.44,-8396.53,-8471.78,-8551.61,-8597.83,-8714.4,10239.87,,10239.87
10005.0,2927624.81,1060443.9,-7886.68,-8206.5,-8396.59,-8471.84,-8551.67,-8597.89,-8714.47,10240.8,,10240.8
10006.0,2927624.8,1060443.91,-7887.68,-8206.57,-8396.66,-8471.91,-8551.74,-8597.96,-8714.54,10241.73,,10241.73
10007.0,2927624.78,1060443.93,-7888.68,-8206.64,-8396.73,-8471.98,-8551.81,-8598.03,-8714.6,10242.67,98.42949677425769,10242.67
10008.0,2927624.76,1060443.94,-7889.68,-8206.71,-8396.8,-8472.05,-8551.87,-8598.09,-8714.67,10243.6,96.83161533311714,10243.6
10009.0,2927624.75,1060443.96,-7890.68,-8206.77,-8396.86,-8472.11,-8551.94,-8598.16,-8714.74,10244.53,,10244.53
10010.0,2927624.73,1060443.98,-7891.68,-8206.84,-8396.93,-8472.18,-8552.01,-8598.23,-8714.81,10245.46,,10245.46
10011.0,2927624.71,1060443.99,-7892.68,-8206.91,-8397.0,-8472.25,-8552.08,-8598.3,-8714.88,10246.39,92.83691173026575,10246.39
10012.0,2927624.69,1060444.01,-7893.68,-8206.98,-8397.07,-8472.32,-8552.15,-8598.37,-8714.95,10247.320000000002,91.63850064941036,10247.320000000002
10013.0,2927624.67,1060444.02,-7894.68,-8207.05,-8397.14,-8472.39,-8552.22,-8598.44,-8715.01,10248.25,,10248.25
10014.0,2927624.66,1060444.04,-7895.68,-8207.12,-8397.21,-8472.46,-8552.29,-8598.51,-8715.08,10249.18,94.43479317140633,10249.18
10015.0,2927624.64,1060444.05,-7896.68,-8207.19,-8397.28,-8472.53,-8552.36,-8598.58,-8715.15,10250.11,,10250.11
10016.0,2927624.62,1060444.07,-7897.68,-8207.26,-8397.35,-8472.6,-8552.43,-8598.65,-8715.22,10251.04,99.22843749482796,10251.04
10017.0,2927624.6,1060444.09,-7898.68,-8207.33,-8397.42,-8472.67,-8552.5,-8598.72,-8715.29,10251.97,,10251.97
10018.0,2927624.58,1060444.1,-7899.68,-8207.4,-8397.49,-8472.74,-8552.57,-8598.79,-8715.36,10252.9,,10252.9
10019.0,2927624.57,1060444.12,-7900.68,-8207.47,-8397.56,-8472.81,-8552.64,-8598.86,-8715.43,10253.83,106.01943361967528,10253.83
10020.0,2927624.55,1060444.13,-7901.68,-8207.54,-8397.63,-8472.88,-8552.71,-8598.93,-8715.5,10254.76,111.21254830338204,10254.76
10021.0,2927624.53,1060444.15,-7902.68,-8207.61,-8397.7,-8472.95,-8552.78,-8599.0,-8715.58,10255.69,109.6146668622415,10255.69
10022.0,2927624.51,1060444.17,-7903.68,-8207.68,-8397.77,-8473.02,-8552.85,-8599.07,-8715.65,10256.62,108.81572614167123,10256.62
10023.0,2927624.49,1060444.18,-7904.68,-8207.76,-8397.85,-8473.1,-8552.92,-8599.14,-8715.72,10257.54,105.220492899105,10257.54
10024.0,2927624.47,1060444.2,-7905.67,-8207.83,-8397.92,-8473.17,-8553.0,-8599.22,-8715.79,10258.47,102.82367073739418,10258.47
10025.0,2927624.46,1060444.22,-7906.67,-8207.9,-8397.99,-8473.24,-8553.07,-8599.29,-8715.86,10259.4,99.22843749482796,10259.4
10026.0,2927624.44,1060444.23,-7907.67,-8207.97,-8398.06,-8473.31,-8553.14,-8599.36,-8715.94,10260.33,100.82631893596852,10260.33
10027.0,2927624.42,1060444.25,-7908.67,-8208.04,-8398.13,-8473.38,-8553.21,-8599.43,-8716.01,10261.25,102.42420037710905,10261.25
10028.0,2927624.4,1060444.27,-7909.67,-8208.12,-8398.21,-8473.46,-8553.28,-8599.5,-8716.08,10262.18,104.82102253881986,10262.18
10029.0,2927624.38,1060444.28,-7910.67,-8208.19,-8398.28,-8473.53,-8553.36,-8599.58,-8716.15,10263.11,107.21784470053068,10263.11
10030.0,2927624.36,1060444.3,-7911.67,-8208.26,-8398.35,-8473.6,-8553.43,-8599.65,-8716.22,10264.04,106.01943361967528,10264.04
10031.0,2927624.34,1060444.32,-7912.67,-8208.34,-8398.43,-8473.68,-8553.5,-8599.72,-8716.3,10264.96,104.0220818182496,10264.96
