MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10536.0,2978126.43,1092692.37,-8311.75,-8631.43,-8762.95,-8847.1,-8964.63,-9009.15,-9119.33,10404.11,156.04906250098398,10404.11
10537.0,2978126.46,1092692.4,-8312.75,-8631.43,-8762.95,-8847.1,-8964.63,-9009.16,-9119.34,10405.11,158.37202069720115,10405.11
10538.0,2978126.48,1092692.44,-8313.75,-8631.44,-8762.96,-8847.1,-8964.64,-9009.16,-9119.34,10406.1,153.7261043047668,10406.1
10539.0,2978126.5,1092692.48,-8314.75,-8631.44,-8762.96,-8847.11,-8964.64,-9009.16,-9119.34,10407.1,,10407.1
10540.0,2978126.52,1092692.51,-8315.75,-8631.44,-8762.96,-8847.11,-8964.64,-9009.17,-9119.35,10408.1,158.37202069720115,10408.1
10541.0,2978126.54,1092692.55,-8316.75,-8631.45,-8762.97,-8847.11,-8964.65,-9009.17,-9119.35,10409.09,144.48167883002498,10409.09
10542.0,2978126.56,1092692.59,-8317.74,-8631.45,-8762.97,-8847.12,-8964.65,-9009.17,-9119.35,10410.09,153.7261043047668,10410.09
10543.0,2978126.58,1092692.63,-8318.74,-8631.45,-8762.97,-8847.12,-8964.66,-9009.18,-9119.36,10411.08,144.48167883002498,10411.08
10544.0,2978126.59,1092692.67,-8319.74,-8631.46,-8762.98,-8847.12,-8964.66,-9009.18,-9119.36,10412.08,160.69497889341835,10412.08
10545.0,2978126.61,1092692.71,-8320.74,-8631.46,-8762.98,-8847.13,-8964.66,-9009.18,-9119.36,10413.070000000002,163.01793708963552,10413.070000000002
10546.0,2978126.63,1092692.75,-8321.74,-8631.46,-8762.99,-8847.13,-8964.67,-9009.19,-9119.37,10414.070000000002,156.04906250098398,10414.070000000002
10547.0,2978126.64,1092692.79,-8322.74,-8631.47,-8762.99,-8847.14,-8964.67,-9009.19,-9119.37,10415.06,151.40314610854963,10415.06
10548.0,2978126.66,1092692.83,-8323.74,-8631.47,-8763.0,-8847.14,-8964.68,-9009.2,-9119.38,10416.06,156.04906250098398,10416.06
10549.0,2978126.67,1092692.88,-8324.74,-8631.48,-8763.0,-8847.15,-8964.68,-9009.2,-9119.38,10417.05,146.80463702624215,10417.05
10550.0,2978126.68,1092692.92,-8325.74,-8631.48,-8763.01,-8847.15,-8964.69,-9009.21,-9119.39,10418.04,160.69497889341835,10418.04
10551.0,2978126.69,1092692.96,-8326.74,-8631.49,-8763.01,-8847.16,-8964.69,-9009.21,-9119.39,10419.04,151.40314610854963,10419.04
10552.0,2978126.7,1092693.01,-8327.73,-8631.49,-8763.02,-8847.16,-8964.7,-9009.22,-9119.4,10420.03,156.04906250098398,10420.03
10553.0,2978126.71,1092693.06,-8328.73,-8631.5,-8763.02,-8847.17,-8964.7,-9009.22,-9119.4,10421.03,153.7261043047668,10421.03
10554.0,2978126.72,1092693.1,-8329.73,-8631.5,-8763.03,-8847.17,-8964.71,-9009.23,-9119.41,10422.02,,10422.02
10555.0,2978126.73,1092693.15,-8330.73,-8631.51,-8763.03,-8847.18,-8964.71,-9009.23,-9119.41,10423.01,158.37202069720115,10423.01
10556.0,2978126.74,1092693.2,-8331.73,-8631.51,-8763.04,-8847.18,-8964.72,-9009.24,-9119.42,10424.01,163.01793708963552,10424.01
10557.0,2978126.74,1092693.25,-8332.73,-8631.52,-8763.04,-8847.19,-8964.72,-9009.24,-9119.42,10425.0,156.04906250098398,10425.0
10558.0,2978126.75,1092693.3,-8333.73,-8631.53,-8763.05,-8847.19,-8964.73,-9009.25,-9119.43,10425.990000000002,165.34089528585272,10425.990000000002
10559.0,2978126.75,1092693.35,-8334.73,-8631.53,-8763.06,-8847.2,-8964.74,-9009.26,-9119.44,10426.98,,10426.98
10560.0,2978126.75,1092693.4,-8335.73,-8631.54,-8763.06,-8847.21,-8964.74,-9009.26,-9119.44,10427.98,172.30976987450424,10427.98
10561.0,2978126.76,1092693.45,-8336.72,-8631.55,-8763.07,-8847.21,-8964.75,-9009.27,-9119.45,10428.97,163.01793708963552,10428.97
10562.0,2978126.76,1092693.5,-8337.72,-8631.55,-8763.08,-8847.22,-8964.76,-9009.28,-9119.46,10429.96,165.34089528585272,10429.96
10563.0,2978126.76,1092693.55,-8338.72,-8631.56,-8763.08,-8847.23,-8964.76,-9009.28,-9119.46,10430.95,172.30976987450424,10430.95
10564.0,2978126.76,1092693.61,-8339.72,-8631.57,-8763.09,-8847.23,-8964.77,-9009.29,-9119.47,10431.94,156.04906250098398,10431.94
10565.0,2978126.76,1092693.66,-8340.72,-8631.57,-8763.1,-8847.24,-8964.78,-9009.3,-9119.48,10432.94,163.01793708963552,10432.94
10566.0,2978126.76,1092693.71,-8341.72,-8631.58,-8763.1,-8847.25,-8964.78,-9009.3,-9119.48,10433.93,174.58532076059456,10433.93
10567.0,2978126.76,1092693.77,-8342.72,-8631.59,-8763.11,-8847.26,-8964.79,-9009.31,-9119.49,10434.92,156.04906250098398,10434.92
10568.0,2978126.75,1092693.83,-8343.71,-8631.6,-8763.12,-8847.26,-8964.8,-9009.32,-9119.5,10435.91,,10435.91
10569.0,2978126.75,1092693.88,-8344.71,-8631.6,-8763.13,-8847.27,-8964.81,-9009.33,-9119.51,10436.9,,10436.9
10570.0,2978126.74,1092693.94,-8345.71,-8631.61,-8763.13,-8847.28,-8964.81,-9009.34,-9119.52,10437.89,163.01793708963552,10437.89
10571.0,2978126.74,1092694.0,-8346.71,-8631.62,-8763.14,-8847.29,-8964.82,-9009.34,-9119.52,10438.88,169.98681167828707,10438.88
10572.0,2978126.73,1092694.06,-8347.71,-8631.63,-8763.15,-8847.3,-8964.83,-9009.35,-9119.53,10439.87,167.6638534820699,10439.87
10573.0,2978126.73,1092694.11,-8348.71,-8631.64,-8763.16,-8847.3,-8964.84,-9009.36,-9119.54,10440.86,153.7261043047668,10440.86
10574.0,2978126.72,1092694.17,-8349.7,-8631.64,-8763.17,-8847.31,-8964.85,-9009.37,-9119.55,10441.85,160.69497889341835,10441.85
10575.0,2978126.71,1092694.23,-8350.7,-8631.65,-8763.17,-8847.32,-8964.85,-9009.38,-9119.56,10442.84,165.34089528585272,10442.84
10576.0,2978126.71,1092694.29,-8351.7,-8631.66,-8763.18,-8847.33,-8964.86,-9009.38,-9119.56,10443.83,160.69497889341835,10443.83
