MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10420.0,2998625.6,1127700.18,-8323.15,-8337.53,-8452.31,-8544.77,-8716.83,-8768.84,-8864.24,10355.97,85.52606791664469,10355.97
10421.0,2998625.59,1127700.15,-8324.15,-8337.54,-8452.32,-8544.77,-8716.83,-8768.85,-8864.24,10356.96,82.8779804581377,10356.96
10422.0,2998625.58,1127700.11,-8325.15,-8337.54,-8452.32,-8544.78,-8716.84,-8768.85,-8864.25,10357.96,82.6632706642047,10357.96
10423.0,2998625.57,1127700.08,-8326.15,-8337.55,-8452.33,-8544.78,-8716.84,-8768.85,-8864.25,10358.95,71.92778096755474,10358.95
10424.0,2998625.56,1127700.04,-8327.15,-8337.55,-8452.33,-8544.79,-8716.85,-8768.86,-8864.26,10359.95,71.69160019422844,10359.95
10425.0,2998625.55,1127700.0,-8328.15,-8337.55,-8452.34,-8544.79,-8716.85,-8768.86,-8864.26,10360.94,75.72098732703773,10360.94
10426.0,2998625.54,1127699.96,-8329.15,-8337.56,-8452.34,-8544.8,-8716.86,-8768.87,-8864.27,10361.94,76.00726705228173,10361.94
10427.0,2998625.54,1127699.93,-8330.15,-8337.56,-8452.34,-8544.8,-8716.86,-8768.87,-8864.27,10362.93,76.93767615932472,10362.93
10428.0,2998625.53,1127699.89,-8331.15,-8337.57,-8452.35,-8544.81,-8716.86,-8768.88,-8864.28,10363.92,82.9495503894487,10363.92
10429.0,2998625.52,1127699.85,-8332.15,-8337.57,-8452.35,-8544.81,-8716.87,-8768.88,-8864.28,10364.92,87.6015959246637,10364.92
10430.0,2998625.51,1127699.81,-8333.14,-8337.58,-8452.36,-8544.82,-8716.87,-8768.89,-8864.29,10365.91,85.5976378479557,10365.91
10431.0,2998625.51,1127699.76,-8334.14,-8337.58,-8452.36,-8544.82,-8716.88,-8768.89,-8864.29,10366.91,86.1701972984437,10366.91
10432.0,2998625.5,1127699.72,-8335.14,-8337.59,-8452.37,-8544.83,-8716.89,-8768.9,-8864.3,10367.9,79.77900243237141,10367.9
10433.0,2998625.49,1127699.68,-8336.14,-8337.6,-8452.38,-8544.83,-8716.89,-8768.9,-8864.3,10368.89,76.00726705228173,10368.89
10434.0,2998625.49,1127699.63,-8337.14,-8337.6,-8452.38,-8544.84,-8716.9,-8768.91,-8864.31,10369.89,72.46455545238724,10369.89
10435.0,2998625.48,1127699.59,-8338.14,-8337.61,-8452.39,-8544.85,-8716.9,-8768.92,-8864.31,10370.88,81.62550666019521,10370.88
10436.0,2998625.48,1127699.54,-8339.14,-8337.61,-8452.39,-8544.85,-8716.91,-8768.92,-8864.32,10371.87,85.475968964727,10371.87
10437.0,2998625.48,1127699.5,-8340.14,-8337.62,-8452.4,-8544.86,-8716.91,-8768.93,-8864.33,10372.87,,10372.87
10438.0,2998625.47,1127699.45,-8341.14,-8337.62,-8452.41,-8544.86,-8716.92,-8768.93,-8864.33,10373.86,93.07669566995516,10373.86
10439.0,2998625.47,1127699.4,-8342.14,-8337.63,-8452.41,-8544.87,-8716.93,-8768.94,-8864.34,10374.85,87.0290364741757,10374.85
10440.0,2998625.47,1127699.36,-8343.13,-8337.64,-8452.42,-8544.87,-8716.93,-8768.95,-8864.34,10375.85,71.99935089886576,10375.85
